,,,,,,,,,,,,,,"Summary Statistics for Arts, Entertainment and Recreation  Establishments by Geolocation, Industry Description, Year and Data Items"
Geolocation,Industry Description,2019 Number of Establishments,2019 Total Employment a/,2019 Paid Employees a/,2019 Workers on Sub-Contract Agreement  or Under Manpower Agencies/Contractors a/,2019 Total Revenue,2019 Total  Expense,2019 Compensation,2019 Other Expense,2019 Value Added,2019 Gross Additions  to Tangible Fixed Assets,2019 Change  in Inventories,2019 Sales from E-Commerce Transactions,2019 Subsidies
..Bicol Region,"..Libraries, archives, museums and other cultural activities",4,94,91,8,16074,12302,6992,5310,11228,20,-,-,-
..Bicol Region,..Gambling and betting activities,42,464,464,-,496561,419366,50622,368743,145762,31797,-20,-,-
..Bicol Region,..Sports activities,18,98,84,-,11755,9665,6049,3616,10164,589,-,-,-
..Bicol Region,..Other amusement and recreation activities,69,950,890,24,383584,312558,231495,81062,329076,5324,-,-,-
..Western Visayas,"Arts, Entertainment and Recreation",225,3843,3804,2520,5197158,4106327,730677,3375650,2252665,27853,8666,-,-
..Western Visayas,"..Creative, arts and entertainment activities",c,c,c,c,c,c,c,c,c,c,c,c,c
..Western Visayas,"..Libraries, archives, museums and other cultural activities",9,101,89,-,44793,36147,19293,16855,29362,2,-1,-,-
..Western Visayas,..Gambling and betting activities,56,1014,1014,2441,3458254,2707100,305394,2401706,1335065,27851,2740,-,-
..Western Visayas,..Sports activities,39,478,450,-,558201,401405,111672,289733,280840,-,-181,-,-
..Western Visayas,..Other amusement and recreation activities,122,2250,2250,79,1135910,961674,294318,667357,607398,-,6109,-,-
..Central Visayas,"Arts, Entertainment and Recreation",354,6528,6249,92,7508400,6083296,1465816,4617480,3650283,485188,5809,58780,-
..Central Visayas,"..Creative, arts and entertainment activities",c,c,c,c,c,c,c,c,c,c,c,c,c
..Central Visayas,"..Libraries, archives, museums and other cultural activities",11,450,429,22,409209,290336,173209,117126,338079,238077,-34,18691,-
..Central Visayas,..Gambling and betting activities,72,1404,1404,-,4262352,3412374,525753,2886621,1738851,138701,1253,-,-
..Central Visayas,..Sports activities,49,1003,895,46,838654,741797,156744,585053,443246,7536,-505,-,-
..Central Visayas,..Other amusement and recreation activities,222,3671,3521,24,1998185,1638788,610110,1028679,1130106,100874,5095,40089,-
..Eastern Visayas,"Arts, Entertainment and Recreation",91,1189,1114,310,499517,414989,75089,339900,200343,10294,-71,-,-
..Eastern Visayas,"..Creative, arts and entertainment activities",,,,,,,,,,,,,
..Eastern Visayas,"..Libraries, archives, museums and other cultural activities",,,,,,,,,,,,,
..Eastern Visayas,..Gambling and betting activities,19,49,49,30,291637,240490,4381,236109,55996,-,-64,-,-
..Eastern Visayas,..Sports activities,30,249,249,280,34856,29488,11910,17578,21855,191,-,-,-
..Eastern Visayas,..Other amusement and recreation activities,43,892,816,-,173024,145011,58797,86214,122492,10103,-7,-,-
..Zamboanga Peninsula,"Arts, Entertainment and Recreation",76,810,714,31,318220,264842,162301,102542,239223,530,22,-,-
..Zamboanga Peninsula,"..Creative, arts and entertainment activities",,,,,,,,,,,,,
..Zamboanga Peninsula,"..Libraries, archives, museums and other cultural activities",,,,,,,,,,,,,
..Zamboanga Peninsula,..Gambling and betting activities,32,115,115,31,50677,42577,18094,24483,29101,-,48,-,-
..Zamboanga Peninsula,..Sports activities,19,152,66,-,19916,16273,5423,10850,13828,530,-,-,-
..Zamboanga Peninsula,..Other amusement and recreation activities,25,543,533,-,247626,205992,138784,67208,196294,-,-26,-,-
..Northern Mindanao,"Arts, Entertainment and Recreation",159,1976,1823,88,1080784,927809,262470,665339,558120,163974,751,-,-
