,,,,,,,,,,,,,,,"Summary Statistics for Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles Establishments by Geolocation, Industry Description, Year and Data Items"
Geolocation,Industry Description,2019 Number of Establishments,2019 Total Employment a/,2019 Paid Employees a/,2019 Workers on Sub-Contract Agreement  or Under Manpower Agencies/Contractors a/,2019 Total Revenue,2019 Total  Expense,2019 Compensation,2019 Other Expense,2019 Gross Margin,2019 Value Added,2019 Gross Additions  to Tangible Fixed Assets,2019 Change  in Inventories,2019 Sales from E-Commerce Transactions,2019 Subsidies
..Western Visayas,..Sale of motor vehicle parts and accessories,229,1672,1653,-,5781857,5693559,215313,5478245,810483,380761,-830,198812,-,-
..Western Visayas,"..Sale, maintenance and repair of mo torcycles and related parts and accessories",518,6733,6621,-,11447886,11092709,793367,10299342,1706205,1288489,677,124719,-,-
..Western Visayas,..Wholesale on a fee or contract basis,9,274,274,-,456562,439512,33148,406364,-,104547,420,55480,-,-
..Western Visayas,..Wholesale of agricultural raw materials and live animals,42,300,300,-,120601,114039,16483,97556,39359,31094,-,4482,-,-
..Western Visayas,"..Wholesale of food, beverages and tobacco",224,5676,5676,28,33613998,33197843,826293,32371550,2394606,1588140,105362,-36611,-,-
..Western Visayas,..Wholesale of household goods,318,4580,4580,-,25383451,22658982,618303,22040680,4169636,3663537,38784,783807,-,-
..Western Visayas,"..Wholesale of machinery, equipment and supplies",139,1671,1664,24,24322635,21998286,1006619,20991667,6725074,4034313,172352,836522,-,-
..Western Visayas,..Other specialized wholesale,182,3333,3333,688,8951020,7940647,574142,7366505,2214624,1679494,241173,13708,-,-
..Western Visayas,..Non-specialized wholesale trade,,,,,,,,,,,,,,
..Western Visayas,..Retail sale in non-specialized stores,712,20077,19874,1989,94445856,88819656,2340848,86478808,13686341,9175594,333520,-724988,-,-
..Western Visayas,"..Retail sale of food, beverages and tobacco in specialized stores",664,7883,7766,-,19982727,18594541,731439,17863102,5173237,2635247,4787,515486,-,-
..Western Visayas,..Retail sale of automotive fuel in specialized stores,457,4800,4704,264,77373319,75149192,973081,74176111,4582460,3515782,-,2583,-,-
..Western Visayas,..Retail sale of information and communications equipment in specialized stores,323,3072,3020,190,10921659,10702797,361580,10341217,1165296,712509,3009,68986,-,-
..Western Visayas,..Retail sale of other household equipment in specialized stores,926,11988,11466,3346,54660260,48593564,1815316,46778248,11692184,8843734,270034,-90784,-,-
..Western Visayas,..Retail sale of cultural and recreation goods in specialized stores,155,1645,1625,288,2046216,1923201,159115,1764086,548826,378848,-135631,-69643,-,-
..Western Visayas,..Retail sale of other goods in specialized stores,2027,19783,19309,844,66465727,62085353,3155045,58930308,12957508,5813300,459615,-3305669,-,361880
..Western Visayas,"..Retail trade not in stores, stalls or markets",29,170,170,-,122974,113490,20327,93164,22909,32275,-,31293,-,-
..Central Visayas,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,10188,142103,139134,10478,589510722,562979440,22563235,540416206,89291348,61123342,4859922,1902822,13765,2063295
..Central Visayas,..Sale of motor vehicles,177,7449,7374,813,42227225,40916138,1149336,39766802,3494609,3852421,257465,947486,-,-
..Central Visayas,..Maintenance and repair of motor vehicles,165,1104,1052,17,414447,391287,113072,278214,-,170423,4158,-860,-,-
..Central Visayas,..Sale of motor vehicle parts and accessories,333,4245,4167,-,10473324,8522178,526483,7995695,3134262,2627516,90199,66033,-,-
..Central Visayas,"..Sale, maintenance and repair of mo torcycles and related parts and accessories",670,9279,9161,102,21087826,20038318,1182850,18855468,3456470,2754301,36802,526054,-,-
..Central Visayas,..Wholesale on a fee or contract basis,40,591,591,-,1425431,1440065,52806,1387259,-,75235,-,2151,-,-
..Central Visayas,..Wholesale of agricultural raw materials and live animals,63,2894,2808,-,13812733,13445509,407871,13037638,1369958,906504,2408,67361,-,-
..Central Visayas,"..Wholesale of food, beverages and tobacco",213,7605,7605,108,52415500,50310283,1160623,49149659,4980168,3877926,220195,992377,-,233
..Central Visayas,..Wholesale of household goods,455,6801,6770,1568,36989407,36068508,1281787,34786721,5093671,3469677,87419,-8500120,-,-
..Central Visayas,"..Wholesale of machinery, equipment and supplies",245,3992,3906,-,10302272,9398917,1145039,8253878,3232086,2401995,63075,119752,-,-
..Central Visayas,..Other specialized wholesale,298,6717,6717,103,35190253,34137665,1209092,32928573,4930247,2686664,670,734331,-,-
..Central Visayas,..Non-specialized wholesale trade,3,113,113,-,1016588,1004036,16204,987832,81259,36453,1616,-971,-,-
..Central Visayas,..Retail sale in non-specialized stores,1040,32072,31806,2811,131146098,124699827,4563699,120136129,18940235,13432578,650919,2864021,13765,-
..Central Visayas,"..Retail sale of food, beverages and tobacco in specialized stores",986,6934,6797,943,34215703,31316869,944854,30372015,7476472,4228550,31240,283839,-,16845
..Central Visayas,..Retail sale of automotive fuel in specialized stores,424,6547,6547,48,34475169,34125368,903209,33222159,2014119,1398782,162742,561772,-,-
..Central Visayas,..Retail sale of information and communications equipment in specialized stores,531,4037,3989,-,23285563,22521214,742714,21778500,1831348,1700569,46619,544149,-,-
..Central Visayas,..Retail sale of other household equipment in specialized stores,1418,17895,17551,3106,63162356,60061929,2968696,57093233,11219155,7517465,2909901,1519384,-,-
..Central Visayas,..Retail sale of cultural and recreation goods in specialized stores,240,3479,3453,343,11688225,9570279,545763,9024516,4751243,3220697,34632,379116,-,-
..Central Visayas,..Retail sale of other goods in specialized stores,2846,19949,18352,515,65953603,64828658,3630509,61198148,13186797,6688257,259863,786143,-,2046217
..Central Visayas,"..Retail trade not in stores, stalls or markets",43,399,374,-,228999,182394,18628,163766,99251,77330,-,10807,-,-
..Eastern Visayas,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,3666,43735,43016,2801,276777002,229624575,4739950,224884625,80861295,72047003,327008,3482135,-,-
..Eastern Visayas,..Sale of motor vehicles,45,875,875,32,6996577,4760982,116375,4644607,2323236,2401814,1484,264510,-,-
..Eastern Visayas,..Maintenance and repair of motor vehicles,70,1046,1028,-,1521612,284059,87934,196125,-,1392806,37478,-6147,-,-
..Eastern Visayas,..Sale of motor vehicle parts and accessories,132,1985,1946,96,10522872,9310423,198533,9111889,1578803,1445755,-,1152193,-,-
..Eastern Visayas,"..Sale, maintenance and repair of mo torcycles and related parts and accessories",242,2946,2946,-,4856182,4787687,379969,4407719,665186,525372,-,-51149,-,-
..Eastern Visayas,..Wholesale on a fee or contract basis,s,s,s,s,s,s,s,s,s,s,s,s,s,s
..Eastern Visayas,..Wholesale of agricultural raw materials and live animals,97,1405,1403,-,7978293,7855914,152747,7703167,583469,357742,2650,38800,-,-
..Eastern Visayas,"..Wholesale of food, beverages and tobacco",100,2754,2754,26,9746967,10499776,422307,10077469,767011,-164127,47919,110967,-,-
..Eastern Visayas,..Wholesale of household goods,141,2403,2339,20,6084429,6005209,187839,5817371,431181,315062,-,32469,-,-
..Eastern Visayas,"..Wholesale of machinery, equipment and supplies",32,181,181,-,310224,283651,26522,257130,86136,59103,1806,-6056,-,-
..Eastern Visayas,..Other specialized wholesale,80,1625,1600,25,149991688,110407686,137173,110270512,61542323,57730798,8184,609457,-,-
..Eastern Visayas,..Non-specialized wholesale trade,,,,,,,,,,,,,,
..Eastern Visayas,..Retail sale in non-specialized stores,387,9179,9041,667,27595485,26754589,870563,25884026,3946697,2222692,33775,449987,-,-
..Eastern Visayas,"..Retail sale of food, beverages and tobacco in specialized stores",353,1879,1765,-,2952303,2462641,107069,2355573,1235771,779804,10647,186708,-,-
..Eastern Visayas,..Retail sale of automotive fuel in specialized stores,172,1235,1235,-,6182904,5771644,109027,5662617,756338,678760,-,77708,-,-
..Eastern Visayas,..Retail sale of information and communications equipment in specialized stores,216,1683,1683,-,4456740,4325744,147148,4178596,465941,334854,-,99261,-,-
..Eastern Visayas,..Retail sale of other household equipment in specialized stores,595,8311,8102,1304,16482581,15860510,805086,15055425,3004537,1877127,2375,497300,-,-
..Eastern Visayas,..Retail sale of cultural and recreation goods in specialized stores,86,628,628,-,2985319,2989837,119189,2870648,479481,168399,145744,5655,-,-
..Eastern Visayas,..Retail sale of other goods in specialized stores,904,5533,5427,632,18086908,17239808,871137,16368671,2987240,1916262,34946,18246,-,-
..Eastern Visayas,"..Retail trade not in stores, stalls or markets",s,s,s,s,s,s,s,s,s,s,s,s,s,s
..Zamboanga Peninsula,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,3232,44973,43671,1745,217119765,195841837,4404961,191436876,31488260,28054449,2147293,54266,-,-
..Zamboanga Peninsula,..Sale of motor vehicles,38,600,600,-,8562049,8393706,262439,8131267,599015,588186,38614,-362081,-,-
..Zamboanga Peninsula,..Maintenance and repair of motor vehicles,54,466,437,-,175232,160432,29796,130636,-,56370,-,-539,-,-
..Zamboanga Peninsula,..Sale of motor vehicle parts and accessories,70,624,573,-,420901,405380,30132,375249,86903,63716,-,-32518,-,-
..Zamboanga Peninsula,"..Sale, maintenance and repair of mo torcycles and related parts and accessories",252,2483,2483,-,8442976,7191948,240635,6951314,1845948,1636407,14115,-102737,-,-
..Zamboanga Peninsula,..Wholesale on a fee or contract basis,8,543,543,-,1463575,1423382,53108,1370275,-,129430,116563,-,-,-
..Zamboanga Peninsula,..Wholesale of agricultural raw materials and live animals,114,1847,1828,-,1377767,1292732,118786,1173946,254700,294616,-,15802,-,-
..Zamboanga Peninsula,"..Wholesale of food, beverages and tobacco",113,2143,2143,14,39380261,38144000,556338,37587662,2804418,1896016,39158,-659540,-,-
..Zamboanga Peninsula,..Wholesale of household goods,128,3581,3581,775,10596592,10355748,227573,10128175,901807,616380,833214,35397,-,-
..Zamboanga Peninsula,"..Wholesale of machinery, equipment and supplies",32,388,384,-,636867,580224,50913,529311,167531,133394,-,1997,-,-
..Zamboanga Peninsula,..Other specialized wholesale,78,1414,1309,-,17183790,11369439,93025,11276414,6160136,6025373,-,38003,-,-
..Zamboanga Peninsula,..Non-specialized wholesale trade,,,,,,,,,,,,,,
..Zamboanga Peninsula,..Retail sale in non-specialized stores,322,12014,11888,-,38615516,36981442,784645,36196797,3924811,2982246,675488,983589,-,-
..Zamboanga Peninsula,"..Retail sale of food, beverages and tobacco in specialized stores",332,1606,1206,161,1920984,1590924,69290,1521635,564841,431202,-,24735,-,-
..Zamboanga Peninsula,..Retail sale of automotive fuel in specialized stores,182,2156,2156,528,28658621,28116705,235124,27881581,1123644,936717,220922,195673,-,-
..Zamboanga Peninsula,..Retail sale of information and communications equipment in specialized stores,178,1514,1468,-,36497508,27815876,169185,27646690,8882629,9017001,102598,205378,-,-
..Zamboanga Peninsula,..Retail sale of other household equipment in specialized stores,435,6189,6064,25,13713214,12945479,714327,12231152,2324486,1907279,21641,-195994,-,-
..Zamboanga Peninsula,..Retail sale of cultural and recreation goods in specialized stores,46,621,470,-,379867,330995,68028,262967,172097,138432,-,-20733,-,-
..Zamboanga Peninsula,..Retail sale of other goods in specialized stores,846,6777,6535,243,9087242,8737671,701084,8036587,1673286,1199883,84960,-72286,-,-
..Zamboanga Peninsula,"..Retail trade not in stores, stalls or markets",4,8,5,-,6805,5752,533,5220,2009,1800,18,119,-,-
..Northern Mindanao,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,4562,65490,63428,16619,534190822,457348428,9084752,448263676,131390892,116299218,3276163,9632017,-,1002961
..Northern Mindanao,..Sale of motor vehicles,96,2975,2975,1075,17655954,17046703,676577,16370126,1307170,1689394,28281,1803049,-,-
..Northern Mindanao,..Maintenance and repair of motor vehicles,109,1584,1495,555,5634135,4633328,116108,4517221,-,1109897,29648,-66005,-,-
..Northern Mindanao,..Sale of motor vehicle parts and accessories,177,1899,1899,862,4045811,3845265,222160,3623105,691945,558485,146564,-2585,-,-
..Northern Mindanao,"..Sale, maintenance and repair of mo torcycles and related parts and accessories",349,4009,4009,-,18406766,17951805,800652,17151153,1516704,1416105,362060,5372,-,-
..Northern Mindanao,..Wholesale on a fee or contract basis,7,105,105,-,254229,244254,28627,215626,-,39933,18598,-4606,-,-
..Northern Mindanao,..Wholesale of agricultural raw materials and live animals,56,1350,1281,-,15715570,15208523,110577,15097945,2289298,1368304,14565,1796912,-,-
..Northern Mindanao,"..Wholesale of food, beverages and tobacco",118,4431,4431,36,33601485,31587668,511587,31076081,3717053,3009929,246540,450668,-,-
..Northern Mindanao,..Wholesale of household goods,157,3992,3850,207,8092739,6847333,485843,6361490,2237082,1850554,166982,-480546,-,-
..Northern Mindanao,"..Wholesale of machinery, equipment and supplies",89,841,840,-,4151264,3914908,200136,3714772,735774,490746,25535,-1753366,-,-
..Northern Mindanao,..Other specialized wholesale,125,3238,3012,440,222140987,164293944,649063,163644881,89610022,84225997,149731,-106953,-,-
..Northern Mindanao,..Non-specialized wholesale trade,46,742,742,-,5658371,5422956,82997,5339959,724747,384728,56676,267838,-,-
..Northern Mindanao,..Retail sale in non-specialized stores,485,11510,11489,12379,71809473,67097021,1447870,65649152,11003404,7058888,640683,-56502,-,42224
..Northern Mindanao,"..Retail sale of food, beverages and tobacco in specialized stores",396,2007,1527,196,1161246,1014015,117543,896473,406322,285492,6001,-48683,-,-
..Northern Mindanao,..Retail sale of automotive fuel in specialized stores,302,3891,3891,-,41413866,40538399,542625,39995774,2432729,1671610,257344,200963,-,-
..Northern Mindanao,..Retail sale of information and communications equipment in specialized stores,186,1300,1300,139,5843001,5411375,146702,5264673,1066432,725879,336873,148806,-,-
..Northern Mindanao,..Retail sale of other household equipment in specialized stores,546,9636,9434,381,47892975,43526873,1846377,41680496,8696835,6862161,512319,-1279798,-,960737
..Northern Mindanao,..Retail sale of cultural and recreation goods in specialized stores,91,1190,1190,32,1245691,1219262,97710,1121553,345995,149332,2141,-34129,-,-
..Northern Mindanao,..Retail sale of other goods in specialized stores,1219,10742,9912,318,29449918,27528730,997863,26530866,4604011,3397122,274684,8792120,-,-
..Northern Mindanao,"..Retail trade not in stores, stalls or markets",9,46,46,-,17340,16068,3735,12333,5369,4662,938,-537,-,-
..Davao Region,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,6480,99069,98467,18301,516353065,489605605,19425242,470180363,71281924,56277817,6363933,1911946,54738,-
..Davao Region,..Sale of motor vehicles,143,4133,4133,8,23474998,22708354,826809,21881544,2682650,2133636,93972,1839472,-,-
..Davao Region,..Maintenance and repair of motor vehicles,135,1605,1605,135,1042514,603456,149999,453457,-,676264,-,61104,-,-
..Davao Region,..Sale of motor vehicle parts and accessories,250,4678,4649,-,25420263,24604497,647838,23956659,2052899,1684802,-,672245,-,-
..Davao Region,"..Sale, maintenance and repair of mo torcycles and related parts and accessories",496,3567,3567,396,51839066,50496830,1404169,49092660,3593707,2982330,3819,-4204858,-,-
..Davao Region,..Wholesale on a fee or contract basis,77,4941,4941,798,29303331,24629485,1327144,23302341,-,6577614,151714,-531963,-,-
..Davao Region,..Wholesale of agricultural raw materials and live animals,130,3719,3698,1731,4782509,4397613,290336,4107277,978737,718117,175966,-233942,-,-
..Davao Region,"..Wholesale of food, beverages and tobacco",166,5323,5289,7291,34757205,31257540,1271390,29986150,10007438,5845407,67879,-34696,-,-
..Davao Region,..Wholesale of household goods,339,7201,7201,-,57791882,55832909,2170725,53662185,8163221,5598704,18995,2241256,-,-
..Davao Region,"..Wholesale of machinery, equipment and supplies",162,2088,2088,6,13172034,12530793,968219,11562574,2807947,2251915,223040,526697,-,-
..Davao Region,..Other specialized wholesale,228,4639,4639,1872,21458150,21084680,895858,20188822,2595783,1677589,116391,1036397,-,-
..Davao Region,..Non-specialized wholesale trade,4,33,33,2,75861,66841,7485,59356,29235,18729,-,3453,-,-
..Davao Region,..Retail sale in non-specialized stores,623,19019,18809,3200,78242682,76342702,2860113,73482589,11223632,6236522,404411,-2040791,-,-
..Davao Region,"..Retail sale of food, beverages and tobacco in specialized stores",495,6660,6629,-,7441324,6586101,701884,5884216,2245801,1702302,9836,30968,-,-
..Davao Region,..Retail sale of automotive fuel in specialized stores,422,5779,5779,1419,67188933,63769860,1021726,62748135,5713782,5093015,164904,642075,-,-
..Davao Region,..Retail sale of information and communications equipment in specialized stores,366,1872,1872,79,11319147,10507983,158006,10349977,1531140,1119928,5664,58449,-,-
..Davao Region,..Retail sale of other household equipment in specialized stores,727,9575,9543,111,32330084,29828987,1374125,28454862,5327530,4403892,88720,147700,-,-
..Davao Region,..Retail sale of cultural and recreation goods in specialized stores,99,1454,1454,84,2905576,2720789,183989,2536800,624361,430464,464,-65151,-,-
..Davao Region,..Retail sale of other goods in specialized stores,1595,12705,12459,1168,53771446,51601118,3157646,48443472,11690783,7115614,4838160,1765504,54738,-
..Davao Region,"..Retail trade not in stores, stalls or markets",21,78,78,-,36060,35067,7781,27286,13278,10973,-,-1972,-,-
..SOCCSKSARGEN,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,4557,58606,56048,4616,171031916,167283997,7475755,159808242,20263079,14847003,2406760,1253008,-,-
..SOCCSKSARGEN,..Sale of motor vehicles,49,1115,1102,17,7886211,7449440,253589,7195851,503902,786935,19738,46601,-,-
..SOCCSKSARGEN,..Maintenance and repair of motor vehicles,104,634,601,243,331848,293848,79455,214393,-,132423,-,779,-,-
..SOCCSKSARGEN,..Sale of motor vehicle parts and accessories,167,2013,1932,72,7421016,7242490,592551,6649939,1054758,871571,16981,264879,-,-
..SOCCSKSARGEN,"..Sale, maintenance and repair of mo torcycles and related parts and accessories",302,2469,2469,247,4767723,4513151,249857,4263294,789975,635479,15815,114396,-,-
..SOCCSKSARGEN,..Wholesale on a fee or contract basis,11,1712,1712,355,1757835,1668855,657752,1011103,-,909763,31226,-1471,-,-
..SOCCSKSARGEN,..Wholesale of agricultural raw materials and live animals,98,1450,1450,299,15758511,15573860,302554,15271307,923712,613493,-,84603,-,-
..SOCCSKSARGEN,"..Wholesale of food, beverages and tobacco",108,3285,3285,361,17238935,18156096,852479,17303616,1336895,446566,33786,-917779,-,-
..SOCCSKSARGEN,..Wholesale of household goods,175,1897,1702,-,12665018,12562655,263620,12299035,1188058,561312,-,705135,-,-
..SOCCSKSARGEN,"..Wholesale of machinery, equipment and supplies",85,543,543,5,1914105,1824622,64657,1759966,333109,185045,4454,-52481,-,-
..SOCCSKSARGEN,..Other specialized wholesale,71,576,576,265,2289042,1957754,93354,1864400,521177,455655,18554,108072,-,-
..SOCCSKSARGEN,..Non-specialized wholesale trade,,,,,,,,,,,,,,
..SOCCSKSARGEN,..Retail sale in non-specialized stores,479,13563,13443,1904,27313534,26450758,1510030,24940728,4908728,3250500,1503509,374326,-,-
..SOCCSKSARGEN,"..Retail sale of food, beverages and tobacco in specialized stores",490,2838,2614,-,5708776,5462911,252786,5210125,977992,710908,-,-37850,-,-
..SOCCSKSARGEN,..Retail sale of automotive fuel in specialized stores,284,3443,3443,464,22088251,21684352,321869,21362483,1154523,934519,111802,-701058,-,-
..SOCCSKSARGEN,..Retail sale of information and communications equipment in specialized stores,211,2061,2012,24,5463045,5362484,122945,5239538,595992,267541,-,483457,-,-
..SOCCSKSARGEN,..Retail sale of other household equipment in specialized stores,585,9892,9791,301,21975783,21328449,903236,20425213,2615347,2026425,547448,63147,-,-
..SOCCSKSARGEN,..Retail sale of cultural and recreation goods in specialized stores,82,1128,935,-,2755432,2575654,118466,2457188,342771,291096,18225,70095,-,-
..SOCCSKSARGEN,..Retail sale of other goods in specialized stores,1243,9938,8389,59,13672532,13153514,832475,12321039,3005098,1760080,84374,646383,-,-
..SOCCSKSARGEN,"..Retail trade not in stores, stalls or markets",14,50,50,-,24319,23104,4080,19024,11043,7691,849,1773,-,-
..Caraga,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,2198,32230,31339,2162,181410710,180816695,4434166,176382529,17136479,14059560,252826,4648922,-,8454
..Caraga,..Sale of motor vehicles,36,944,944,-,17401452,16924290,352497,16571793,967729,1026618,33334,-66702,-,-
..Caraga,..Maintenance and repair of motor vehicles,45,490,470,-,138064,103357,13920,89436,-,59548,6092,526,-,-
..Caraga,..Sale of motor vehicle parts and accessories,100,527,514,26,894240,860504,206110,654394,299277,268925,-,62363,-,-
..Caraga,"..Sale, maintenance and repair of mo torcycles and related parts and accessories",251,2805,2805,-,7259191,5762889,450114,5312775,2106987,2021035,21203,-110651,-,-
..Caraga,..Wholesale on a fee or contract basis,s,s,s,s,s,s,s,s,s,s,s,s,s,s
..Caraga,..Wholesale of agricultural raw materials and live animals,54,484,402,450,1472981,1349185,41001,1308183,174835,156255,-,28771,-,-
..Caraga,"..Wholesale of food, beverages and tobacco",68,1407,1375,1350,26229126,22694265,548953,22145312,4713758,4153893,-,3834016,-,-
..Caraga,..Wholesale of household goods,65,1593,1593,-,8166720,8020573,197835,7822738,443157,378503,-,23829,-,-
..Caraga,"..Wholesale of machinery, equipment and supplies",27,338,330,-,697371,677308,64859,612449,174147,92952,-,49530,-,-
..Caraga,..Other specialized wholesale,53,714,700,32,1063871,995469,57420,938049,166176,172401,-,-5169,-,-
..Caraga,..Non-specialized wholesale trade,,,,,,,,,,,,,,
..Caraga,..Retail sale in non-specialized stores,199,7275,6955,49,36930495,44069457,418708,43650749,1532307,1194731,55513,83708,-,8454
..Caraga,"..Retail sale of food, beverages and tobacco in specialized stores",167,2058,1690,-,3681448,3614738,164115,3450623,531968,288192,271,37635,-,-
..Caraga,..Retail sale of automotive fuel in specialized stores,171,1416,1416,192,15814783,15506680,226683,15279997,951191,748587,31710,158848,-,-
..Caraga,..Retail sale of information and communications equipment in specialized stores,95,561,532,-,2223301,1821865,131812,1690053,754375,567303,4313,3497,-,-
..Caraga,..Retail sale of other household equipment in specialized stores,267,5130,5130,-,17535723,17244780,512593,16732188,1450693,994223,73440,-185355,-,-
..Caraga,..Retail sale of cultural and recreation goods in specialized stores,34,246,246,-,206519,190901,17500,173401,54378,36673,-,111,-,-
..Caraga,..Retail sale of other goods in specialized stores,560,6186,6186,63,41668068,40954484,1025073,39929411,2811861,1891740,26951,726587,-,-
..Caraga,"..Retail trade not in stores, stalls or markets",s,s,s,s,s,s,s,s,s,s,s,s,s,s
..Autonomous Region in Muslim Mindanao,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,253,2322,2254,34,2279383,2123635,198587,1925049,551776,439953,276957,27989,-,-
..Autonomous Region in Muslim Mindanao,..Sale of motor vehicles,s,s,s,s,s,s,s,s,s,s,s,s,s,s
..Autonomous Region in Muslim Mindanao,..Maintenance and repair of motor vehicles,s,s,s,s,s,s,s,s,s,s,s,s,s,s
..Autonomous Region in Muslim Mindanao,..Sale of motor vehicle parts and accessories,8,84,72,-,8669,7217,833,6384,3128,2536,2919,-2445,-,-
..Autonomous Region in Muslim Mindanao,"..Sale, maintenance and repair of mo torcycles and related parts and accessories",6,8,8,-,6184,5613,336,5277,812,1710,348,-328,-,-
..Autonomous Region in Muslim Mindanao,..Wholesale on a fee or contract basis,,,,,,,,,,,,,,
..Autonomous Region in Muslim Mindanao,..Wholesale of agricultural raw materials and live animals,21,262,262,-,127888,121059,24075,96984,41568,35685,-,-4529,-,-
..Autonomous Region in Muslim Mindanao,"..Wholesale of food, beverages and tobacco",12,129,129,30,476314,471943,64389,407554,77181,70229,182,-29193,-,-
..Autonomous Region in Muslim Mindanao,..Wholesale of household goods,5,26,26,-,64498,62894,4176,58718,16107,9188,413,10920,-,-
..Autonomous Region in Muslim Mindanao,"..Wholesale of machinery, equipment and supplies",s,s,s,s,s,s,s,s,s,s,s,s,s,s
..Autonomous Region in Muslim Mindanao,..Other specialized wholesale,6,65,65,-,21183,16708,2581,14127,7303,6504,3299,-1903,-,-
..Autonomous Region in Muslim Mindanao,..Non-specialized wholesale trade,,,,,,,,,,,,,,
..Autonomous Region in Muslim Mindanao,..Retail sale in non-specialized stores,50,860,860,-,781665,733533,51369,682163,175353,133371,12900,52573,-,-
..Autonomous Region in Muslim Mindanao,"..Retail sale of food, beverages and tobacco in specialized stores",10,68,52,-,15260,13698,5247,8451,7595,7345,-,2101,-,-
..Autonomous Region in Muslim Mindanao,..Retail sale of automotive fuel in specialized stores,16,106,106,-,177013,151075,9586,141489,51436,66962,198655,2427,-,-
..Autonomous Region in Muslim Mindanao,..Retail sale of information and communications equipment in specialized stores,8,23,19,4,333519,331116,5107,326009,40713,8123,569,-489,-,-
..Autonomous Region in Muslim Mindanao,..Retail sale of other household equipment in specialized stores,36,236,213,-,90846,57926,11382,46544,54178,47416,13413,-5937,-,-
..Autonomous Region in Muslim Mindanao,..Retail sale of cultural and recreation goods in specialized stores,5,17,5,-,3830,2647,169,2478,1869,1404,18,-547,-,-
..Autonomous Region in Muslim Mindanao,..Retail sale of other goods in specialized stores,64,392,392,-,160158,139049,15394,123655,72290,40206,42172,7245,-,-
..Autonomous Region in Muslim Mindanao,"..Retail trade not in stores, stalls or markets",s,s,s,s,s,s,s,s,s,s,s,s,s,s
