,,,,,,,,,,,,,,,"Summary Statistics for Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles Establishments by Geolocation, Industry Description, Year and Data Items"
Geolocation,Industry Description,2019 Number of Establishments,2019 Total Employment a/,2019 Paid Employees a/,2019 Workers on Sub-Contract Agreement  or Under Manpower Agencies/Contractors a/,2019 Total Revenue,2019 Total  Expense,2019 Compensation,2019 Other Expense,2019 Gross Margin,2019 Value Added,2019 Gross Additions  to Tangible Fixed Assets,2019 Change  in Inventories,2019 Sales from E-Commerce Transactions,2019 Subsidies
..National Capital Region,..Retail sale of other goods in specialized stores,8807,75424,75113,7964,360317923,350845428,25409717,325435712,77091162,45239653,3737512,8567358,773114,300800
..National Capital Region,"..Retail trade not in stores, stalls or markets",91,3933,3933,-,29960046,29708132,2251246,27456887,12153859,2985325,672937,660224,17732773,-
..Cordillera Administrative Region,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,2120,21288,19930,674,74859972,69705120,2404776,67300344,10372062,8067050,244771,-191840,-,317026
..Cordillera Administrative Region,..Sale of motor vehicles,10,416,416,18,5917221,5704701,87861,5616840,404946,360138,17370,-91367,-,-
..Cordillera Administrative Region,..Maintenance and repair of motor vehicles,76,728,688,-,338686,296103,80284,215819,-,159423,-,-6957,-,-
..Cordillera Administrative Region,..Sale of motor vehicle parts and accessories,60,795,741,-,985491,956480,62932,893547,177230,113935,-,25848,-,-
..Cordillera Administrative Region,"..Sale, maintenance and repair of mo torcycles and related parts and accessories",47,300,268,-,487381,411282,36719,374564,121251,119505,-,5496,-,-
..Cordillera Administrative Region,..Wholesale on a fee or contract basis,4,78,73,-,298232,294475,7282,287192,-,14548,-,1161,-,-
..Cordillera Administrative Region,..Wholesale of agricultural raw materials and live animals,43,422,293,-,671328,650816,17663,633154,84358,59302,-,-4662,-,-
..Cordillera Administrative Region,"..Wholesale of food, beverages and tobacco",49,975,922,-,4564866,4306580,107188,4199392,514898,404521,-,-17488,-,-
..Cordillera Administrative Region,..Wholesale of household goods,46,218,179,-,972835,776602,13048,763555,271489,225619,-,-65503,-,-
..Cordillera Administrative Region,"..Wholesale of machinery, equipment and supplies",21,207,198,-,402192,373481,26283,347198,57193,62049,-,-89084,-,-
..Cordillera Administrative Region,..Other specialized wholesale,37,219,202,-,1258200,1172512,23509,1149004,153110,111398,-,13718,-,-
..Cordillera Administrative Region,..Non-specialized wholesale trade,,,,,,,,,,,,,,
..Cordillera Administrative Region,..Retail sale in non-specialized stores,261,6076,6035,372,25111528,24563919,708446,23855473,2188501,1400528,35269,-68332,-,-
..Cordillera Administrative Region,"..Retail sale of food, beverages and tobacco in specialized stores",296,1267,886,-,945089,803380,52580,750800,252189,208131,-,-4333,-,317026
..Cordillera Administrative Region,..Retail sale of automotive fuel in specialized stores,92,1400,1320,60,6898462,6416252,263503,6152749,449906,616264,24753,-32480,-,-
..Cordillera Administrative Region,..Retail sale of information and communications equipment in specialized stores,61,303,303,-,602459,592333,24154,568180,48113,36702,677,4474,-,-
..Cordillera Administrative Region,..Retail sale of other household equipment in specialized stores,271,3750,3581,-,15767013,14048090,491265,13556825,3562272,2342240,47,-15988,-,-
..Cordillera Administrative Region,..Retail sale of cultural and recreation goods in specialized stores,51,531,511,-,541560,527576,30265,497310,112222,72998,105695,-14292,-,-
..Cordillera Administrative Region,..Retail sale of other goods in specialized stores,685,3558,3282,224,9076032,7790987,369760,7421227,1965664,1753931,60959,168169,-,-
..Cordillera Administrative Region,"..Retail trade not in stores, stalls or markets",10,46,32,-,21396,19549,2034,17515,8722,5818,-,-217,-,-
..Ilocos Region,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,5425,62292,60987,4628,319601566,301933383,9970693,291962691,42452347,31618565,786106,527242,-,17667
..Ilocos Region,..Sale of motor vehicles,53,1761,1754,33,13453084,11805815,216348,11589467,1539156,1931035,42709,27603,-,-
..Ilocos Region,..Maintenance and repair of motor vehicles,96,1139,1124,-,712784,652465,70504,581961,-,172487,-,20278,-,-
..Ilocos Region,..Sale of motor vehicle parts and accessories,105,1092,1073,-,1705000,1658000,161874,1496126,245453,232490,54152,40039,-,-
