,,,,,,,,,,,,,,"Summary Statistics for Administrative and Support Service Activities Establishments by Geolocation, Industry Description, Year and Data Items"
Geolocation,Industry Description,2019 Number of Establishments,2019 Total Employment a/,2019 Paid Employees a/,2019 Workers on Sub-Contract Agreement  or Under Manpower Agencies/Contractors a/,2019 Total Revenue,2019 Total  Expense,2019 Compensation,2019 Other Expense,2019 Value Added,2019 Gross Additions  to Tangible Fixed Assets,2019 Change  in Inventories,2019 Sales from E-Commerce Transactions,2019 Subsidies
..CALABARZON,..Security systems service activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..CALABARZON,..Investigation activities,,,,,,,,,,,,,
..CALABARZON,..Combined facilities support activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..CALABARZON,..Cleaning activities,23,1810,1810,4,1120122,892856,408909,483947,655704,44,1131,-,-
..CALABARZON,..Landscape care and maintenance service activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..CALABARZON,..Office administrative and support activities,61,276,276,-,62722,50568,5618,44950,19803,-,108,-,-
..CALABARZON,..Call centers and other related activities,46,16187,16162,2074,8183668,7764027,5162001,2602026,5883193,197715,-1348,996179,-
..CALABARZON,..Organization of conventions and trade shows,4,26,26,-,143073,106888,7656,99232,49046,-,-263,-,-
..CALABARZON,"..Business support service activities, n.e.c.",41,1890,1890,333,1087984,910220,414535,495685,708387,40918,-3275,-,-
..MIMAROPA Region,Administrative and Support Service Activities,64,3896,3896,374,3622650,3362840,534289,2828551,844312,2769,5267,-,-
..MIMAROPA Region,..Renting and leasing of motor vehicles,,,,,,,,,,,,,
..MIMAROPA Region,..Renting and leasing of personal and household goods,,,,,,,,,,,,,
..MIMAROPA Region,"..Renting and leasing of other machinery, equipment and tangible goods, n.e.c.",s,s,s,s,s,s,s,s,s,s,s,s,s
..MIMAROPA Region,"..Leasing of intellectual property and  similar products, except copyrighted works",,,,,,,,,,,,,
..MIMAROPA Region,..Activities of employment placement agencies,s,s,s,s,s,s,s,s,s,s,s,s,s
..MIMAROPA Region,..Temporary employment agency activities,5,761,761,122,113256,107845,89825,18019,93221,-,4842,-,-
..MIMAROPA Region,..Other human resources provision,,,,,,,,,,,,,
