incident_datetime,incident_date,incident_time,incident_year,incident_day_of_week,report_datetime,row_id,incident_id,incident_number,computer_aided_dispatch_number,report_type_code,report_type_description,is_filed_online,incident_code,incident_category,incident_subcategory,incident_description,resolution,intersection,centerline_node_network,police_district,analysis_neighborhood,supervisor_district,supervisor_district_2012,latitude,longitude
2024-08-10 07:30:00,2024-08-10,07:30:00,2024,Saturday,2024-08-11 12:52:00,141582306372,1415823,246101892,241132279,II,Coplogic Initial,True,6372,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, $50-$200",Open or Active,"25th Ave , Crossover Dr , Fulton St",27519000,Richmond,Outer richmond,1,1,37.77256774902344,-122.48419189453124
2024-08-11 21:30:00,2024-08-11,21:30:00,2024,Sunday,2024-08-11 23:35:00,141602506374,1416025,246102072,241132279,II,Coplogic Initial,True,6374,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, >$950",Open or Active,"Powell St , Ofarrell St",25152000,Richmond,Mission,5,6,37.771923604637685,-122.42477951306687
2024-08-18 08:39:00,2024-08-18,08:39:00,2024,Sunday,2024-08-18 08:43:00,141593328100,1415933,240516954,242310779,II,Initial,True,28100,Malicious Mischief,Vandalism,"Malicious Mischief, Breaking Windows",Open or Active,"Bush St , Divisadero St",26810000,Northern,Pacific heights,2,2,37.78617858886719,-122.4400634765625
2024-08-18 15:41:00,2024-08-18,15:41:00,2024,Sunday,2024-08-18 16:58:00,141610026080,1416100,240517849,242312137,II,Initial,True,26080,Other Miscellaneous,Other,Conspiracy,Cite or Arrest Adult,"Eddy St , Mason St",24897000,Tenderloin,Tenderloin,5,6,37.78434753417969,-122.40930938720705
2024-08-10 22:01:00,2024-08-10,22:01:00,2024,Saturday,2024-08-11 12:25:00,141587506372,1415875,246101864,241132279,II,Coplogic Initial,True,6372,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, $50-$200",Open or Active,"32nd Ave , Lincoln Way",27722000,Richmond,Sunset/parkside,4,4,37.76483154296875,-122.4911880493164
2024-08-07 10:00:00,2024-08-07,10:00:00,2024,Wednesday,2024-08-16 08:58:00,141602606244,1416026,246102248,241132279,II,Coplogic Initial,True,6244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,"Powell St , Ofarrell St",25152000,Richmond,Mission,5,6,37.771923604637685,-122.42477951306687
2024-07-09 19:40:00,2024-07-09,19:40:00,2024,Tuesday,2024-07-09 22:17:00,141605406374,1416054,246102925,241132279,II,Coplogic Initial,True,6374,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, >$950",Open or Active,"Halleck St , Sansome St",24689000,Central,Fimissioncial district/south beach,3,3,37.79354476928711,-122.4012222290039
2024-08-10 22:00:00,2024-08-10,22:00:00,2024,Saturday,2024-08-11 10:43:00,141585806372,1415858,246102260,241132279,II,Coplogic Initial,True,6372,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, $50-$200",Open or Active,"Powell St , Ofarrell St",25152000,Richmond,Mission,5,6,37.771923604637685,-122.42477951306687
2024-08-17 22:39:00,2024-08-17,22:39:00,2024,Saturday,2024-08-17 22:39:00,141614475000,1416144,240197645,242303116,IS,Initial Supplement,True,75000,Missing Person,Missing Person,Found Person,Cite or Arrest Adult,"Green St , Larkin St",25314000,Northern,Russian hill,3,3,37.79803466796875,-122.42050170898438
2024-08-18 16:01:00,2024-08-18,16:01:00,2024,Sunday,2024-08-18 16:02:00,141609427195,1416094,240517736,242311961,II,Initial,True,27195,Other Miscellaneous,Trespass,Trespassing,Cite or Arrest Adult,"Gough St , Sacramento St",26542000,Northern,Pacific heights,2,2,37.79087448120117,-122.4258041381836
