incident_datetime,incident_date,incident_time,incident_year,incident_day_of_week,report_datetime,row_id,incident_id,incident_number,computer_aided_dispatch_number,report_type_code,report_type_description,is_filed_online,incident_code,incident_category,incident_subcategory,incident_description,resolution,intersection,centerline_node_network,police_district,analysis_neighborhood,supervisor_district,supervisor_district_2012,latitude,longitude
2020-08-20 03:00:00,2020-08-20,03:00:00,2020,Thursday,2020-08-20 17:41:00,95462006371,954620,200501995,202332331,II,Initial,True,6371,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, <$50",Open or Active,"18th St , Danvers St",32921000,Mission,Castro/upper market,8,8,37.760376326936566,-122.44337443129945
2020-09-10 21:56:00,2020-09-10,21:56:00,2020,Thursday,2020-09-10 22:03:00,96034328150,960343,200546123,202543238,II,Initial,True,28150,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Property",Open or Active,"Blythdale Ave , Brookdale Ave",20431000,Ingleside,Visitacion valley,10,10,37.71131669257075,-122.42224083209324
2020-10-27 00:00:00,2020-10-27,00:00:00,2020,Tuesday,2020-10-27 01:52:00,97296675000,972966,200647577,203010132,II,Initial,True,75000,Missing Person,Missing Person,Found Person,Open or Active,"01st St , Minna St",24542000,Southern,Fitenderloincial district/south beach,6,6,37.7893326515924,-122.39703479662292
2020-09-28 09:50:00,2020-09-28,09:50:00,2020,Monday,2020-09-28 09:56:00,96498571012,964985,200577805,202691670,VS,Vehicle Supplement,True,71012,Other Offenses,Other Offenses,"License Plate, Recovered",Open or Active,"Anza St , 06th Ave",27275000,Richmond,Inner richmond,1,1,37.779090726308574,-122.46414497098554
2020-09-03 00:00:00,2020-09-03,00:00:00,2020,Thursday,2020-10-26 05:38:00,97271309029,972713,200645305,203000392,II,Initial,True,9029,Fraud,Fraud,False Personation to Receive Money or Property,Open or Active,"Blake St , Anza St",26468000,Richmond,Lone mountain/usf,2,1,37.78062231300864,-122.45084384886376
2020-06-24 17:00:00,2020-06-24,17:00:00,2020,Wednesday,2020-06-27 15:21:00,93889907021,938899,200385272,201791883,VI,Vehicle Initial,True,7021,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Stolen, Auto",Open or Active,"Geary St , Leavenworth St",25154000,Central,Tenderloin,5,6,37.78651981906591,-122.41480664938403
2021-01-13 00:30:00,2021-01-13,00:30:00,2021,Wednesday,2021-01-13 07:50:00,99553607021,995536,210027248,210130473,VI,Vehicle Initial,True,7021,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Stolen, Auto",Open or Active,"Hermann St , Webster St",25887000,Park,Hayes valley,8,8,37.77045175941623,-122.428426181173
2020-10-24 23:53:00,2020-10-24,23:53:00,2020,Saturday,2020-10-24 23:54:00,97236862020,972368,200643412,202983251,II,Initial,True,62020,Warrant,Warrant,"Warrant Arrest, Enroute To Dept. Of Corrections",Cite or Arrest Adult,"Natoma St , 06th St",24282000,Southern,South of market,6,6,37.78016202513452,-122.40769141596378
2020-07-13 01:56:00,2020-07-13,01:56:00,2020,Monday,2020-07-13 19:51:00,94346028150,943460,200419774,201950991,II,Initial,True,28150,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Property",Open or Active,"20th St , San Carlos St",24146000,Mission,Mission,9,9,37.75858492478668,-122.41984131774169
2020-11-07 09:30:00,2020-11-07,09:30:00,2020,Saturday,2020-11-07 11:41:00,97630206371,976302,200672756,203121323,II,Initial,True,6371,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, <$50",Open or Active,"Fillmore St , Bush St",26608000,Northern,Pacific heights,5,5,37.78702066647638,-122.43345991736985
