incident_datetime,incident_date,incident_time,incident_year,incident_day_of_week,report_datetime,row_id,incident_id,incident_number,computer_aided_dispatch_number,report_type_code,report_type_description,is_filed_online,incident_code,incident_category,incident_subcategory,incident_description,resolution,intersection,centerline_node_network,police_district,analysis_neighborhood,supervisor_district,supervisor_district_2012,latitude,longitude
2023-05-19 23:42:00,2023-05-19,23:42:00,2023,Friday,2023-05-19 23:42:00,127738507055,1277385,230347468,231393739,VI,Vehicle Initial,True,7055,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Recovered, Stolen outside SF",Open or Active,"Thomas Ave , Hawes St",20121000,Bayview,Bayview hunters point,10,10,37.72617077817464,-122.3838103697584
2023-05-11 16:43:00,2023-05-11,16:43:00,2023,Thursday,2023-05-20 22:06:00,127761364070,1277613,230349624,231403168,II,Initial,True,64070,Suspicious Occ,Suspicious Occ,Suspicious Occurrence,Open or Active,"Buchaeddy St , Leavenworth St St , Washington St",26564000,Northern,Pacific heights,2,2,37.7920084579946,-122.43109199591473
2023-05-19 09:00:00,2023-05-19,09:00:00,2023,Friday,2023-05-20 03:47:00,127740074000,1277400,230347747,231400354,II,Initial,True,74000,Missing Person,Missing Adult,Missing Adult,Open or Active,"Geary Blvd , Broderick St",26803000,Richmond,Western addition,2,2,37.7831636693746,-122.44115820272584
2023-05-19 19:00:00,2023-05-19,19:00:00,2023,Friday,2023-05-20 09:35:00,127747905013,1277479,230348115,231400908,II,Initial,True,5013,Burglary,Burglary - Residential,"Burglary, Apartment House, Unlawful Entry",Open or Active,"22nd Ave , California St",27644000,Richmond,Outer richmond,1,1,37.78402823745795,-122.48179117303071
2023-05-20 14:53:00,2023-05-20,14:53:00,2023,Saturday,2023-05-20 14:53:00,127753516652,1277535,230348660,231401873,II,Initial,True,16652,Drug Offense,Drug Violation,"Methamphetamine, Possession For Sale",Cite or Arrest Adult,"Mission St , 09th St",24313000,Tenderloin,South of market,6,6,37.77623051953945,-122.41471100473302
2023-05-19 23:00:00,2023-05-19,23:00:00,2023,Friday,2023-05-20 08:48:00,127746807020,1277468,230347963,231400786,VI,Vehicle Initial,True,7020,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Stolen & Recovered",Open or Active,"Bache St , Crescent Ave",21197000,Ingleside,Bernal heights,9,9,37.734921019396246,-122.41747882998064
2023-05-19 19:43:00,2023-05-19,19:43:00,2023,Friday,2023-05-19 19:50:00,127733664020,1277336,230347098,231393109,II,Initial,True,64020,Non-Criminal,Other,Mental Health Detention,Open or Active,"Geneva Ave , Santos St",20421000,Ingleside,Tenderloin,6,10,37.70831126504184,-122.42008306742426
2023-05-10 22:04:00,2023-05-10,22:04:00,2023,Wednesday,2023-05-19 21:23:00,127737303401,1277373,230326268,231303542,IS,Initial Supplement,True,3401,Robbery,Robbery - Commercial,"Shoplifting, Force against Agent",Open or Active,"Clement St , 06th Ave",27286000,Richmond,Inner richmond,1,1,37.7829399329451,-122.46442502609422
2023-05-19 17:00:00,2023-05-19,17:00:00,2023,Friday,2023-05-19 17:50:00,127740906244,1277409,236084935,232661323,II,Coplogic Initial,True,6244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,"Mcallister St , Divisadero St",26067000,Northern,Western addition,5,5,37.7777941886761,-122.43836550237133
2023-05-20 08:22:00,2023-05-20,08:22:00,2023,Saturday,2023-05-20 08:30:00,127747404014,1277474,230348002,231400739,II,Initial,True,4014,Assault,Aggravated Assault,"Assault, Aggravated, W/ Force",Open or Active,"Delano Ave , Rudden Ave",22071000,Ingleside,Outer mission,11,11,37.72459191871847,-122.44232655185913
