incident_datetime,incident_date,incident_time,incident_year,incident_day_of_week,report_datetime,row_id,incident_id,incident_number,computer_aided_dispatch_number,report_type_code,report_type_description,is_filed_online,incident_code,incident_category,incident_subcategory,incident_description,resolution,intersection,centerline_node_network,police_district,analysis_neighborhood,supervisor_district,supervisor_district_2012,latitude,longitude
2020-08-11 01:00:00,2020-08-11,01:00:00,2020,Tuesday,2020-08-18 14:21:00,95444706244,954447,206123632,202711405,II,Coplogic Initial,True,6244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,"25th St , Mississippi St",23615000,Bayview,Potrero hill,10,10,37.75248536512138,-122.39361946988484
2020-10-16 18:00:00,2020-10-16,18:00:00,2020,Friday,2020-10-20 17:37:00,97116571000,971165,200633548,202942579,II,Initial,True,71000,Lost Property,Lost Property,Lost Property,Open or Active,"California St , Polk St",25221000,Northern,Nob hill,3,3,37.79057825823802,-122.42068738428432
2020-10-28 04:58:00,2020-10-28,04:58:00,2020,Wednesday,2020-10-28 04:58:00,97323826030,973238,200649589,203020283,II,Initial,True,26030,Arson,Arson,Arson,Cite or Arrest Adult,"Howard St , Harriet St",24281000,Southern,South of market,6,6,37.77931845974568,-122.40769108415834
2020-07-14 08:12:00,2020-07-14,08:12:00,2020,Tuesday,2020-07-14 08:12:00,94356764020,943567,200420367,201960612,II,Initial,True,64020,Non-Criminal,Other,Mental Health Detention,Open or Active,"Jones St , California St",25091000,Central,Nob hill,3,3,37.7914164780501,-122.41410730497438
2020-09-30 08:59:00,2020-09-30,08:59:00,2020,Wednesday,2020-11-12 15:18:00,97780709262,977807,200684096,203172068,II,Initial,True,9262,Forgery And Counterfeiting,Forgery And Counterfeiting,Forgery & Counterfeiting (general),Open or Active,"Montgomery St , Bush St",24716000,Central,Fimissioncial district/south beach,3,3,37.790968609726725,-122.40238040320416
2021-01-15 21:16:00,2021-01-15,21:16:00,2021,Friday,2021-01-15 21:20:00,99640104013,996401,210034306,210153284,II,Initial,True,4013,Assault,Aggravated Assault,"Assault, Aggravated, W/ Other Weapon",Cite or Arrest Adult,"Trumbull St , Ney St",21668000,Ingleside,Excelsior,11,11,37.73081870224356,-122.42324371431738
2020-10-27 17:00:00,2020-10-27,17:00:00,2020,Tuesday,2020-10-30 12:05:00,97399304014,973993,200654798,203041305,II,Initial,True,4014,Assault,Aggravated Assault,"Assault, Aggravated, W/ Force",Open or Active,"Taylor St , Eddy St",24925000,Tenderloin,Tenderloin,5,6,37.78414101130419,-122.41095161908784
2020-08-19 22:40:00,2020-08-19,22:40:00,2020,Wednesday,2020-08-19 22:40:00,95437304011,954373,200500317,202323621,II,Initial,True,4011,Assault,Aggravated Assault,"Assault, Aggravated, W/ Gun",Open or Active,"24th St , Harrison St",23978000,Mission,Mission,9,9,37.75262858904426,-122.41189982277923
2020-11-29 12:40:00,2020-11-29,12:40:00,2020,Sunday,2020-11-29 14:28:00,98255506243,982555,200720173,203341516,II,Initial,True,6243,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, $200-$950",Open or Active,"39th Ave , Clement St",27899000,Richmond,Lincoln park,1,1,37.781327195293386,-122.4998705718611
2020-08-16 20:26:00,2020-08-16,20:26:00,2020,Sunday,2020-08-16 21:40:00,95343307043,953433,200488393,202292805,VS,Vehicle Supplement,True,7043,Recovered Vehicle,Recovered Vehicle,"Vehicle, Recovered, Motorcycle",Open or Active,"Jerrold Ave , Phelps St",20672000,Bayview,Bayview hunters point,10,10,37.73985319897475,-122.39126842523832
2020-10-31 23:00:00,2020-10-31,23:00:00,2020,Saturday,2020-10-31 23:39:00,97441105073,974411,200658245,203053634,II,Initial,True,5073,Burglary,Burglary - Other,"Burglary, Other Bldg., Unlawful Entry",Open or Active,"Gough St , Ellis St",26492000,Northern,Western addition,2,5,37.78339985751909,-122.42429481397212
2020-12-06 19:06:00,2020-12-06,19:06:00,2020,Sunday,2020-12-06 20:07:00,98467364085,984673,200736205,203412399,II,Initial,True,64085,Other Miscellaneous,Other,Investigative Detention,Cite or Arrest Adult,"The Embarcadero , Green St",34014000,Central,Fimissioncial district/south beach,3,3,37.80089647618971,-122.39913024364353
2020-08-03 16:37:00,2020-08-03,16:37:00,2020,Monday,2020-08-12 16:34:00,95226228150,952262,200484222,202251409,II,Initial,True,28150,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Property",Open or Active,"Green St , Franklin St",26554000,Northern,Marina,2,2,37.79740834964961,-122.4254368676107
2021-01-08 18:00:00,2021-01-08,18:00:00,2021,Friday,2021-01-08 18:37:00,99420771012,994207,210017647,210082690,VI,Vehicle Initial,True,71012,Other Offenses,Other Offenses,"License Plate, Recovered",Open or Active,"Whitney St , Chenery St , Miguel St",21869000,Ingleside,Glen park,8,8,37.73721373583178,-122.4277073476846
2020-12-01 15:31:00,2020-12-01,15:31:00,2020,Tuesday,2020-12-01 15:31:00,98320916652,983209,200724761,203362150,II,Initial,True,16652,Drug Offense,Drug Violation,"Methamphetamine, Possession For Sale",Cite or Arrest Adult,"Golden Gate Ave , Hyde St",24431000,Tenderloin,Tenderloin,5,6,37.7816542606277,-122.41550518013352
2021-01-13 16:18:00,2021-01-13,16:18:00,2021,Wednesday,2021-01-13 16:18:00,99568827170,995688,210028359,210132287,II,Initial,True,27170,Other Miscellaneous,Other,"Resisting, Delaying, or Obstructing  Peace Officer Duties",Open or Active,"Larkin St , Hayes St",30744000,Tenderloin,Tenderloin,6,6,37.777722750028566,-122.41640107183976
2020-12-20 12:07:00,2020-12-20,12:07:00,2020,Sunday,2020-12-20 12:37:00,98863504138,988635,200765975,203551285,II,Initial,True,4138,Assault,Simple Assault,"Battery, former Spouse or Dating Relationship",Open or Active,"02nd Ave , Hugo St",27070000,Park,Inner sunset,7,5,37.765304319356304,-122.45888053305384
2020-09-17 16:30:00,2020-09-17,16:30:00,2020,Thursday,2020-11-05 14:00:00,97576305121,975763,200668266,202620727,II,Initial,True,5121,Burglary,Burglary - Residential,"Burglary, Flat Under Constr., Forcible Entry",Open or Active,"Valencia St , 20th St",24153000,Mission,Mission,9,9,37.758498507780814,-122.42127173012832
2020-08-25 00:48:00,2020-08-25,00:48:00,2020,Tuesday,2020-08-25 00:56:00,95574912027,955749,200510849,202380072,II,Initial,True,12027,Weapons Offense,Weapons Offense,"Firearm, Discharging Within City Limits",Open or Active,"03rd St , Galvez Ave",20231000,Bayview,Bayview hunters point,10,10,37.74110763100082,-122.38847589500467
2020-11-26 18:53:00,2020-11-26,18:53:00,2020,Thursday,2020-11-26 19:08:00,98182126031,981821,200715027,203312116,II,Initial,True,26031,Arson,Arson,Arson of Vehicle,Open or Active,"17th St , Pond St",25801000,Mission,Castro/upper market,8,8,37.76266812644032,-122.43212405745926
2020-12-29 14:10:00,2020-12-29,14:10:00,2020,Tuesday,2021-01-08 10:19:00,99487606244,994876,200784919,202711405,IS,Coplogic Supplement,True,6244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,"Taylor St , North Point St",25592000,Central,North beach,3,3,37.8063434285485,-122.41543157088526
2020-07-03 16:17:00,2020-07-03,16:17:00,2020,Friday,2020-07-03 16:20:00,94060606244,940606,200398316,201852012,II,Initial,True,6244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,"Beach St , Baker St",27018000,Northern,Marina,2,2,37.80328399631487,-122.44691011930168
2020-10-02 22:20:00,2020-10-02,22:20:00,2020,Friday,2020-10-02 22:23:00,96632807021,966328,200594752,202763698,VI,Vehicle Initial,True,7021,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Stolen, Auto",Open or Active,"02nd St , Market St",30734000,Central,Fimissioncial district/south beach,6,3,37.789264321511176,-122.4013754923669
