incident_datetime,incident_date,incident_time,incident_year,incident_day_of_week,report_datetime,row_id,incident_id,incident_number,computer_aided_dispatch_number,report_type_code,report_type_description,is_filed_online,incident_code,incident_category,incident_subcategory,incident_description,resolution,intersection,centerline_node_network,police_district,analysis_neighborhood,supervisor_district,supervisor_district_2012,latitude,longitude
2023-04-13 21:37:00,2023-04-13,21:37:00,2023,Thursday,2023-04-13 21:42:00,126545951040,1265459,230258100,231033398,II,Initial,True,51040,Non-Criminal,Non-Criminal,Aided Case,Open or Active,"Geary St , Larkin St",25170000,Northern,Tenderloin,3,6,37.78610229492188,-122.4180908203125
2022-08-21 12:10:00,2022-08-21,12:10:00,2022,Sunday,2022-08-21 12:18:00,118428128150,1184281,220562717,222331218,II,Initial,True,28150,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Property",Open or Active,"Lane St , Yosemite Ave",20494000,Bayview,Bayview hunters point,10,10,37.72791290283203,-122.3935317993164
2019-10-17 03:43:00,2019-10-17,03:43:00,2019,Thursday,2019-10-17 03:43:00,85917063010,859170,190781782,192900284,II,Initial,True,63010,Warrant,Other,"Warrant Arrest, Local SF Warrant",Cite or Arrest Adult,"Hemlock St , Larkin St",25173000,Northern,Nob hill,3,3,37.7874870300293,-122.41836547851562
2019-05-18 00:34:00,2019-05-18,00:34:00,2019,Saturday,2019-05-18 00:34:00,80201616740,802016,190354890,191380080,II,Initial,True,16740,Drug Offense,Drug Violation,"Controlled Substance, Under the Influence of",Open or Active,"Fulton St , Gough St",25940000,Northern,Hayes valley,5,5,37.77874755859375,-122.42335510253906
2019-08-26 10:50:00,2019-08-26,10:50:00,2019,Monday,2019-08-26 11:18:00,83903204134,839032,190632066,192381444,II,Initial,True,4134,Assault,Simple Assault,Battery,Cite or Arrest Adult,"Bay St , Mason St",25473000,Central,North beach,3,3,37.80561828613281,-122.41360473632812
2023-11-02 10:27:00,2023-11-02,10:27:00,2023,Thursday,2023-11-02 10:27:00,133403362050,1334033,230782632,233061132,II,Initial,True,62050,Warrant,Warrant,"Warrant Arrest, Enroute To Outside Jurisdiction",Cite or Arrest Adult,"15th St , Castro St",25824000,Park,Castro/upper market,8,8,37.76572799682617,-122.43547058105467
2019-10-10 18:00:00,2019-10-10,18:00:00,2019,Thursday,2019-10-10 19:31:00,85699911012,856999,190764669,192833859,II,Initial,True,11012,Stolen Property,Stolen Property,"Stolen Property, Possession with Knowledge, Receiving",Cite or Arrest Adult,"North Point St , Powell St",25480000,Central,North beach,3,3,37.806758880615234,-122.41213989257812
2019-09-11 20:00:00,2019-09-11,20:00:00,2019,Wednesday,2019-09-12 12:46:00,84912506244,849125,196197181,192370927,II,Coplogic Initial,True,6244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,"Argonaut Ave , Mccarthy Ave",20379000,Ingleside,Visitacion valley,10,10,37.71063232421875,-122.41390228271484
2019-04-19 12:00:00,2019-04-19,12:00:00,2019,Friday,2019-04-28 12:06:00,79534609340,795346,190301885,191181568,II,Initial,True,9340,Fraud,Fraud,"Credit Application, Fraudulent",Open or Active,"24th Ave , Santiago St",23262000,Out of SF,Sunset/parkside,4,4,37.74468231201172,-122.4811782836914
2019-08-12 20:00:00,2019-08-12,20:00:00,2019,Monday,2019-08-12 21:28:00,83373806244,833738,190592595,192244102,II,Initial,True,6244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,"Bay St , Kearny St",25384000,Central,North beach,3,3,37.806427001953125,-122.40714263916016
2019-04-29 17:23:00,2019-04-29,17:23:00,2019,Monday,2019-04-29 17:23:00,79579430006,795794,190305279,191193164,II,Initial,True,30006,Other Offenses,Other,"Permit Violation, Sidewalk Sales",Open or Active,"Charles J Brenham Pl , Mcallister St",30045000,Tenderloin,Tenderloin,5,6,37.7809944152832,-122.41314697265624
2019-10-20 18:00:00,2019-10-20,18:00:00,2019,Sunday,2019-10-21 11:04:00,86157906244,861579,196225497,192370927,II,Coplogic Initial,True,6244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,"Post St , Stockton St",24963000,Park,Mission,6,6,37.7691039557206,-122.42505213687295
2019-08-28 16:34:00,2019-08-28,16:34:00,2019,Wednesday,2019-08-28 16:34:00,84011806154,840118,190632016,192380875,IS,Initial Supplement,True,6154,Larceny Theft,Larceny Theft - Other,"Theft, From Person, >$950 (other than Pickpocket)",Open or Active,"Geary Blvd , Palm Ave",27229000,Richmond,Lone mountain/usf,2,1,37.78131484985352,-122.45773315429688
2023-02-24 12:17:00,2023-02-24,12:17:00,2023,Friday,2023-02-24 12:21:00,124790865015,1247908,230135473,230551501,II,Initial,True,65015,Other Miscellaneous,Other,"Driving, No License Issued",Cite or Arrest Adult,"06th St , Harrison St",23919000,Southern,South of market,6,6,37.77727127075195,-122.40406799316406
2019-07-30 17:50:00,2019-07-30,17:50:00,2019,Tuesday,2019-07-30 17:50:00,82878507041,828785,190554852,192113171,VS,Vehicle Supplement,True,7041,Recovered Vehicle,Recovered Vehicle,"Vehicle, Recovered, Auto",Cite or Arrest Adult,"24th St , Treat Ave",23987000,Mission,Mission,9,9,37.75257110595703,-122.41299438476562
2019-11-17 19:10:00,2019-11-17,19:10:00,2019,Sunday,2019-11-17 19:16:00,87119864020,871198,190870818,193213150,II,Initial,True,64020,Non-Criminal,Other,Mental Health Detention,Open or Active,"Geary St , Polk St",25182000,Northern,Tenderloin,5,6,37.785892486572266,-122.41973876953124
2019-04-16 14:32:00,2019-04-16,14:32:00,2019,Tuesday,2019-04-16 14:32:00,79344528150,793445,190128504,190513422,IS,Initial Supplement,True,28150,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Property",Cite or Arrest Adult,"Campbell Ave , Rutland St",20333000,Ingleside,Visitacion valley,10,10,37.71524429321289,-122.40618896484376
2019-05-01 10:27:00,2019-05-01,10:27:00,2019,Wednesday,2019-05-01 10:33:00,79640030190,796400,190309340,191211457,II,Initial,True,30190,Other Offenses,Other,Municipal Police Code Violation (general),Cite or Arrest Adult,"Larkin St , Myrtle St",25171000,Tenderloin,Tenderloin,5,6,37.785640716552734,-122.41799926757812
