incident_datetime,incident_date,incident_time,incident_year,incident_day_of_week,report_datetime,row_id,incident_id,incident_number,computer_aided_dispatch_number,report_type_code,report_type_description,is_filed_online,incident_code,incident_category,incident_subcategory,incident_description,resolution,intersection,centerline_node_network,police_district,analysis_neighborhood,supervisor_district,supervisor_district_2012,latitude,longitude
2022-12-06 11:15:00,2022-12-06,11:15:00,2022,Tuesday,2022-12-09 12:29:00,122278628160,1222786,220844004,223431402,II,Initial,True,28160,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Vehicle",Open or Active,"Ellis St , Leavenworth St",25139000,Tenderloin,Tenderloin,5,6,37.7846565246582,-122.4144287109375
2022-10-17 02:00:00,2022-10-17,02:00:00,2022,Monday,2022-10-17 02:04:00,120469527170,1204695,220712508,222900199,II,Initial,True,27170,Other Miscellaneous,Other,"Resisting, Delaying, or Obstructing  Peace Officer Duties",Cite or Arrest Adult,"19th St , Capp St",24131000,Mission,Mission,9,9,37.76029968261719,-122.41812133789062
2023-01-06 16:00:00,2023-01-06,16:00:00,2023,Friday,2023-01-09 08:06:00,123260707025,1232607,230018487,230090608,VI,Vehicle Initial,True,7025,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Stolen, Truck",Open or Active,"Bowdoin St , Woolsey St",20868000,Bayview,Portola,9,9,37.72343063354492,-122.40951538085938
2022-12-15 22:00:00,2022-12-15,22:00:00,2022,Thursday,2022-12-16 08:54:00,122595871000,1225958,226245595,222670755,II,Coplogic Initial,True,71000,Lost Property,Lost Property,Lost Property,Open or Active,"05th St , Cyril Magnin St , Market St",24948000,Out of SF,Mission,6,6,37.77082268162778,-122.42126668829667
2023-01-10 10:48:00,2023-01-10,10:48:00,2023,Tuesday,2023-01-10 10:48:00,123304116110,1233041,230021537,230101144,II,Initial,True,16110,Drug Offense,Drug Violation,"Heroin, Possession For Sale",Cite or Arrest Adult,"Eddy St , Van Ness Ave",25186000,Northern,Tenderloin,5,6,37.78289413452149,-122.42081451416016
2022-11-08 15:47:00,2022-11-08,15:47:00,2022,Tuesday,2022-11-08 15:47:00,121256516662,1212565,220768959,223122039,II,Initial,True,16662,Drug Offense,Drug Violation,"Controlled Substance, Possession For Sale",Cite or Arrest Adult,"Fulton St , Hyde St , United Nations Plz",24331000,Tenderloin,Tenderloin,5,6,37.77978897094727,-122.41513061523438
2023-03-05 16:00:00,2023-03-05,16:00:00,2023,Sunday,2023-03-06 09:25:00,125118706244,1251187,230159241,230650802,II,Initial,True,6244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,"North Point St , Stockton St",25478000,Central,North beach,3,3,37.80696105957031,-122.4104995727539
2022-10-24 18:08:00,2022-10-24,18:08:00,2022,Monday,2022-10-24 18:28:00,120773074000,1207730,220732891,222972778,II,Initial,True,74000,Missing Person,Missing Adult,Missing Adult,Open or Active,"Hayes St , Stanyan St",26446000,Park,Golden gate park,1,1,37.77289581298828,-122.45428466796876
2023-02-11 17:30:00,2023-02-11,17:30:00,2023,Saturday,2023-02-11 18:54:00,124363506154,1243635,230102814,230422652,II,Initial,True,6154,Larceny Theft,Larceny Theft - Other,"Theft, From Person, >$950 (other than Pickpocket)",Open or Active,"Franklin St , Peter Yorke Way , Post St",25216000,Northern,Western addition,2,2,37.78640365600586,-122.42321014404295
2022-10-11 20:00:00,2022-10-11,20:00:00,2022,Tuesday,2022-10-12 08:10:00,120250606151,1202506,220701153,222850639,II,Initial,True,6151,Larceny Theft,Larceny Theft - Other,"Theft, From Person, <$50 (other than Pickpocket)",Open or Active,"22nd St , South Van Ness Ave",24081000,Mission,Mission,9,9,37.75556945800781,-122.41656494140624
2022-07-26 21:25:00,2022-07-26,21:25:00,2022,Tuesday,2022-07-28 03:45:00,117540504022,1175405,220496508,222072916,IS,Initial Supplement,True,4022,Assault,Aggravated Assault,"Assault, Att. Homicide, W/ Knife",Open or Active,"Minna St , Russ St",24292000,Southern,South of market,6,6,37.77965927124024,-122.40928649902344
2022-09-02 23:14:00,2022-09-02,23:14:00,2022,Friday,2022-09-02 23:17:00,118860919057,1188609,220596277,222453411,II,Initial,True,19057,Disorderly Conduct,Intimidation,Terrorist Threats,Open or Active,"19th St , San Carlos St",24148000,Mission,Mission,9,9,37.76018905639648,-122.41997528076172
2022-12-24 18:41:00,2022-12-24,18:41:00,2022,Saturday,2022-12-24 18:56:00,122767215200,1227672,220880531,223581949,II,Initial,True,15200,Offences Against The Family And Children,Other,Domestic Violence (secondary only),Open or Active,"Connecticut St , Wisconsin St",28098000,Bayview,Potrero hill,10,10,37.753684997558594,-122.39859008789062
2023-03-17 06:47:00,2023-03-17,06:47:00,2023,Friday,2023-03-17 06:47:00,125513562050,1255135,230188325,230760442,II,Initial,True,62050,Warrant,Warrant,"Warrant Arrest, Enroute To Outside Jurisdiction",Cite or Arrest Adult,"06th St , Natoma St",24282000,Southern,South of market,6,6,37.7801628112793,-122.4076919555664
2022-10-11 11:30:00,2022-10-11,11:30:00,2022,Tuesday,2022-10-11 18:58:00,120391606244,1203916,226191380,222670755,II,Coplogic Initial,True,6244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,"05th St , Cyril Magnin St , Market St",24948000,Central,Mission,6,6,37.77082268162778,-122.42126668829667
2022-08-26 08:30:00,2022-08-26,08:30:00,2022,Friday,2022-08-30 13:14:00,118873906244,1188739,226158578,222670755,II,Coplogic Initial,True,6244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,"Haight St , Shrader St",26430000,Park,Haight ashbury,5,5,37.769378662109375,-122.45186614990234
2022-11-26 16:45:00,2022-11-26,16:45:00,2022,Saturday,2022-11-26 21:19:00,121912871000,1219128,226227220,222670755,II,Coplogic Initial,True,71000,Lost Property,Lost Property,Lost Property,Open or Active,"21st St , Valencia St",24119000,Mission,Mission,9,8,37.75690078735352,-122.4211196899414
2022-08-14 16:55:00,2022-08-14,16:55:00,2022,Sunday,2022-08-15 11:29:00,118213814040,1182138,220546426,222271380,II,Initial,True,14040,Sex Offense,Sex Offense,Indecent Exposure (Adult victim),Open or Active,"24th St , Church St",25639000,Mission,Noe valley,8,8,37.75170516967773,-122.42743682861328
