incident_datetime,incident_date,incident_time,incident_year,incident_day_of_week,report_datetime,row_id,incident_id,incident_number,computer_aided_dispatch_number,report_type_code,report_type_description,is_filed_online,incident_code,incident_category,incident_subcategory,incident_description,resolution,intersection,centerline_node_network,police_district,analysis_neighborhood,supervisor_district,supervisor_district_2012,latitude,longitude
2018-06-10 10:30:00,2018-06-10,10:30:00,2018,Sunday,2018-06-10 11:36:00,67776906243,677769,180430397,181611272,II,Initial,True,6243,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, $200-$950",Open or Active,"Filbert St , Leavenworth St",25517000,Central,Russian hill,3,2,37.80034255981445,-122.41758728027344
2019-09-23 00:15:00,2019-09-23,00:15:00,2019,Monday,2019-09-23 10:40:00,85003205082,850032,190712163,192661339,II,Initial,True,5082,Burglary,Burglary - Hot Prowl,"Burglary, Hot Prowl, Att. Forcible Entry",Open or Active,"03rd St , South Park",28061000,Southern,South of market,6,6,37.78070068359375,-122.3950653076172
2022-12-04 05:00:00,2022-12-04,05:00:00,2022,Sunday,2022-12-07 01:15:00,122530306244,1225303,226243812,222810125,II,Coplogic Initial,True,6244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,"Langton St , Howard St",24290000,Southern,South of market,6,6,37.777553408928654,-122.40992265087569
2022-08-08 09:00:00,2022-08-08,09:00:00,2022,Monday,2022-11-04 13:26:00,121345606374,1213456,226212077,222810125,II,Coplogic Initial,True,6374,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, >$950",Open or Active,"Lombard St , Hyde St",25565000,Central,Russian hill,3,2,37.80199486194488,-122.41961397441789
2022-10-15 00:00:00,2022-10-15,00:00:00,2022,Saturday,2022-10-15 20:09:00,120433964070,1204339,220709787,222882749,II,Initial,True,64070,Suspicious Occ,Suspicious Occ,Suspicious Occurrence,Open or Active,"Twin Peaks Blvd , Mountain Spring Ave , Raccoon Dr",32952000,Park,Twin peaks,7,7,37.75784998399825,-122.44818236654444
2022-12-04 07:30:00,2022-12-04,07:30:00,2022,Sunday,2022-12-04 07:42:00,122108168020,1221081,220831584,223380606,II,Initial,True,68020,Miscellaneous Investigation,Miscellaneous Investigation,Miscellaneous Investigation,Open or Active,"Ofarrell St , Jones St",24945000,Tenderloin,Tenderloin,5,6,37.78578958358186,-122.41296966814406
2019-03-24 10:21:00,2019-03-24,10:21:00,2019,Sunday,2019-03-24 10:21:00,78298462020,782984,190209132,190831371,II,Initial,True,62020,Warrant,Warrant,"Warrant Arrest, Enroute To Dept. Of Corrections",Cite or Arrest Adult,"California St , Spruce St",26943000,Richmond,Presidio heights,2,2,37.78641891479492,-122.45340728759766
2019-06-12 19:23:00,2019-06-12,19:23:00,2019,Wednesday,2019-06-12 19:23:00,81097412173,810974,190424045,191633878,II,Initial,True,12173,Weapons Carrying Etc,Weapons Offense,"Ammunition, Poss. By Prohibited Person",Cite or Arrest Adult,"Palou Ave , Selby St",20754000,Bayview,Bayview hunters point,10,10,37.73927688598633,-122.4002456665039
2018-03-31 07:30:00,2018-03-31,07:30:00,2018,Saturday,2018-03-31 10:06:00,65154904134,651549,180238715,180901194,II,Initial,True,4134,Assault,Simple Assault,Battery,Cite or Arrest Adult,"Buchaeddy St , Jones St St , Clay St",26563000,Northern,Pacific heights,2,2,37.79113006591797,-122.43091583251952
2018-03-07 07:00:00,2018-03-07,07:00:00,2018,Wednesday,2023-03-08 19:54:00,125216306374,1252163,190202001,222810125,IS,Coplogic Supplement,True,6374,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, >$950",Open or Active,"Page St , Pierce St",26003000,Northern,Haight ashbury,5,5,37.77262031024476,-122.4339221892179
