incident_datetime,incident_date,incident_time,incident_year,incident_day_of_week,report_datetime,row_id,incident_id,incident_number,computer_aided_dispatch_number,report_type_code,report_type_description,is_filed_online,incident_code,incident_category,incident_subcategory,incident_description,resolution,intersection,centerline_node_network,police_district,analysis_neighborhood,supervisor_district,supervisor_district_2012,latitude,longitude
2018-02-03 14:00:00,2018-02-03,14:00:00,2018,Saturday,2018-02-06 11:22:00,63278606244,632786,186031232,182101413,II,Coplogic Initial,True,6244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,"Beach St , Baker St",27018000,Northern,Marina,2,2,37.80328399631487,-122.44691011930168
2020-06-28 12:30:00,2020-06-28,12:30:00,2020,Sunday,2020-07-01 14:21:00,93999710120,939997,200394007,201831899,II,Initial,True,10120,Fraud,Fraud,"Theft, False Pretenses, Misd.",Open or Active,"08th St , Stevenson St",24327000,Tenderloin,South of market,6,6,37.77824020385742,-122.41414642333984
2018-08-07 15:40:00,2018-08-07,15:40:00,2018,Tuesday,2018-08-07 17:20:00,70015206244,700152,180590797,182192572,II,Initial,True,6244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,"Chestnut St , End",25569000,Central,Russian hill,3,2,37.80302146855491,-122.41905032879346
2018-05-25 02:00:00,2018-05-25,02:00:00,2018,Friday,2018-05-25 02:00:00,67219616652,672196,180388520,181450188,II,Initial,True,16652,Drug Offense,Drug Violation,"Methamphetamine, Possession For Sale",Cite or Arrest Adult,"Geneva Ave , Mission St",21486000,Ingleside,Excelsior,11,11,37.716459544514585,-122.44101956350757
2018-05-10 18:07:00,2018-05-10,18:07:00,2018,Thursday,2018-05-10 18:18:00,66696203024,666962,180349340,181303509,II,Initial,True,3024,Robbery,Robbery - Commercial,"Robbery, Comml. Establ., W/ Force",Cite or Arrest Adult,"Sutter St , Sansome St",30048000,Central,Fimissioncial district/south beach,3,3,37.790247403765534,-122.4005552648304
2018-02-11 10:00:00,2018-02-11,10:00:00,2018,Sunday,2018-02-11 11:13:00,63439828160,634398,180112523,180421283,II,Initial,True,28160,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Vehicle",Open or Active,"18th St , Missouri St",23678000,Mission,Potrero hill,10,10,37.7625796481404,-122.39652682670152
2021-02-05 11:44:00,2021-02-05,11:44:00,2021,Friday,2021-02-05 11:45:00,100268806243,1002688,210081432,210361436,II,Initial,True,6243,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, $200-$950",Open or Active,"Steiner St , Chestnut St",26771000,Northern,Marina,2,2,37.80060874463821,-122.43788945697766
2018-06-01 07:40:00,2018-06-01,07:40:00,2018,Friday,2018-06-14 14:31:00,67936174000,679361,180441645,181652168,II,Initial,True,74000,Missing Person,Missing Adult,Missing Adult,Open or Active,"24th St , Osage Aly",24089000,Mission,Mission,9,9,37.75220489501953,-122.41901397705078
2018-07-25 12:00:00,2018-07-25,12:00:00,2018,Wednesday,2018-08-02 06:16:00,69829510015,698295,180575062,182140421,II,Initial,True,10015,Embezzlement,Embezzlement,"Embezzlement, Grand Theft",Open or Active,"04th St , Berry St",23797000,Southern,Mission bay,6,6,37.775787314614526,-122.39335512646646
2018-05-16 14:30:00,2018-05-16,14:30:00,2018,Wednesday,2018-05-16 17:10:00,66938806243,669388,180365647,181363011,II,Initial,True,6243,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, $200-$950",Open or Active,"Webster St , Post St",26591000,Northern,Japantown,5,5,37.78537264618818,-122.43136639807877
2018-03-22 16:58:00,2018-03-22,16:58:00,2018,Thursday,2018-03-22 19:00:00,64859168020,648591,180216006,180813322,II,Initial,True,68020,Miscellaneous Investigation,Miscellaneous Investigation,Miscellaneous Investigation,Open or Active,"De Long St , Orizaba Ave",22484000,Ingleside,Outer mission,11,11,37.70965576171875,-122.46255493164062
2020-07-11 15:20:00,2020-07-11,15:20:00,2020,Saturday,2020-07-11 15:30:00,94285803074,942858,200415136,201931869,II,Initial,True,3074,Robbery,Robbery - Other,"Robbery, W/ Force",Cite or Arrest Adult,"18th St , Capp St",24133000,Mission,Mission,9,9,37.76190185546875,-122.41827392578124
2018-06-16 12:06:00,2018-06-16,12:06:00,2018,Saturday,2018-06-16 12:06:00,68004216110,680042,180446532,181671409,II,Initial,True,16110,Drug Offense,Drug Violation,"Heroin, Possession For Sale",Cite or Arrest Adult,"Hyde St , Turk St",24933000,Tenderloin,Tenderloin,5,6,37.78258503232177,-122.41569387441228
2020-01-16 05:00:00,2020-01-16,05:00:00,2020,Thursday,2020-01-17 11:21:00,89306005073,893060,200038681,182101413,IS,Coplogic Supplement,True,5073,Burglary,Burglary - Other,"Burglary, Other Bldg., Unlawful Entry",Open or Active,"12th St , Howard St",24354000,Southern,Mission,6,6,37.77172470092773,-122.41690063476562
2024-12-04 11:00:00,2024-12-04,11:00:00,2024,Wednesday,2024-12-05 16:45:00,144525107021,1445251,240753093,243402519,VI,Vehicle Initial,True,7021,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Stolen, Auto",Open or Active,"27th St , Dolores St",21900000,Ingleside,Noe valley,8,8,37.747032165527344,-122.42469024658205
2018-03-16 15:27:00,2018-03-16,15:27:00,2018,Friday,2018-03-16 15:27:00,64661864020,646618,180200253,180752441,II,Initial,True,64020,Non-Criminal,Other,Mental Health Detention,Open or Active,"Taylor St , 06th St , Golden Gate Ave , Market St",24922000,Tenderloin,South of market,6,6,37.78223057378371,-122.4102920278806
