incident_datetime,incident_date,incident_time,incident_year,incident_day_of_week,report_datetime,row_id,incident_id,incident_number,computer_aided_dispatch_number,report_type_code,report_type_description,is_filed_online,incident_code,incident_category,incident_subcategory,incident_description,resolution,intersection,centerline_node_network,police_district,analysis_neighborhood,supervisor_district,supervisor_district_2012,latitude,longitude
2018-06-08 17:00:00,2018-06-08,17:00:00,2018,Friday,2018-07-22 08:23:00,69480906374,694809,186167025,192671088,II,Coplogic Initial,True,6374,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, >$950",Open or Active,"California St , Commonwealth Ave",27560000,Richmond,Presidio heights,2,2,37.78610470678912,-122.45586511593012
2019-04-22 22:30:00,2019-04-22,22:30:00,2019,Monday,2019-04-22 23:00:00,79333506241,793335,190287649,191124127,II,Initial,True,6241,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, <$50",Open or Active,"Van Ness Ave , Olive St",25193000,Northern,Tenderloin,5,6,37.78430272931328,-122.42101751556471
2018-12-02 07:09:00,2018-12-02,07:09:00,2018,Sunday,2018-12-16 18:00:00,74867007025,748670,180946770,183501542,VI,Vehicle Initial,True,7025,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Stolen, Truck",Open or Active,"Van Ness Ave , Post St",25215000,Northern,Western addition,3,5,37.78661895979627,-122.4215701166973
2019-06-11 16:00:00,2019-06-11,16:00:00,2019,Tuesday,2019-06-15 11:52:00,81193571000,811935,190430650,191661412,II,Initial,True,71000,Lost Property,Lost Property,Lost Property,Open or Active,"Fillmore St , Turk St",25973000,Out of SF,Western addition,5,5,37.78049625961115,-122.43214039079034
2019-10-19 16:00:00,2019-10-19,16:00:00,2019,Saturday,2019-10-19 18:08:00,86030515161,860305,190789322,192922972,II,Initial,True,15161,Offences Against The Family And Children,Other,Violation of Restraining Order,Cite or Arrest Adult,"Quint St , Santa Fe Ave",20738000,Bayview,Bayview hunters point,10,10,37.73335266113281,-122.40003204345705
2019-09-25 18:52:00,2019-09-25,18:52:00,2019,Wednesday,2019-09-26 06:05:00,85142706372,851427,196202326,192671088,II,Coplogic Initial,True,6372,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, $50-$200",Open or Active,"Gough St , Vallejo St",26572000,Northern,Marina,2,2,37.79627227783203,-122.42689514160156
2018-10-21 12:30:00,2018-10-21,12:30:00,2018,Sunday,2018-11-01 01:08:00,73346406244,733464,180799911,192671088,IS,Coplogic Supplement,True,6244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,"01st St , Howard St",24532000,Southern,Fitenderloincial district/south beach,6,6,37.78853592966637,-122.39603476680188
2018-10-05 11:50:00,2018-10-05,11:50:00,2018,Friday,2018-10-05 11:54:00,72238228150,722382,180754711,182781617,II,Initial,True,28150,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Property",Open or Active,"16th St , Potrero Ave",24022000,Mission,Mission,9,10,37.76578329861651,-122.40753423057456
2020-03-14 06:22:00,2020-03-14,06:22:00,2020,Saturday,2020-03-14 06:29:00,91273371000,912733,200187539,200740513,II,Initial,True,71000,Lost Property,Lost Property,Lost Property,Open or Active,"Howard St , Russ St",24287000,Southern,South of market,6,6,37.77886199951172,-122.40827178955078
2018-08-15 20:30:00,2018-08-15,20:30:00,2018,Wednesday,2018-08-16 08:26:00,70364207025,703642,180615414,182280840,VI,Vehicle Initial,True,7025,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Stolen, Truck",Open or Active,"Metson Rd , Middle West Dr",27518000,Richmond,Golden gate park,4,1,37.76614439427537,-122.49291402842287
