incident_datetime,incident_date,incident_time,incident_year,incident_day_of_week,report_datetime,row_id,incident_id,incident_number,computer_aided_dispatch_number,report_type_code,report_type_description,is_filed_online,incident_code,incident_category,incident_subcategory,incident_description,resolution,intersection,centerline_node_network,police_district,analysis_neighborhood,supervisor_district,supervisor_district_2012,latitude,longitude
2023-12-07 19:09:00,2023-12-07,19:09:00,2023,Thursday,2023-12-07 19:10:00,134535463010,1345354,230860119,233412705,II,Initial,True,63010,Warrant,Other,"Warrant Arrest, Local SF Warrant",Cite or Arrest Adult,"Eddy St , Jones St",24929000,Tenderloin,Tenderloin,5,6,37.78393173217773,-122.41259765625
2019-03-03 16:45:00,2019-03-03,16:45:00,2019,Sunday,2019-03-03 16:45:00,77595462050,775954,190156674,190622472,II,Initial,True,62050,Warrant,Warrant,"Warrant Arrest, Enroute To Outside Jurisdiction",Cite or Arrest Adult,"Folsom St , Russ St",24279000,Southern,South of market,6,6,37.77762985229492,-122.40672302246094
2018-12-04 11:04:00,2018-12-04,11:04:00,2018,Tuesday,2018-12-04 18:30:00,74464271000,744642,180915731,183383260,II,Initial,True,71000,Lost Property,Lost Property,Lost Property,Open or Active,"Lombard St , Van Ness Ave",26696000,Northern,Marina,3,2,37.80130386352539,-122.4245376586914
2022-08-10 22:30:00,2022-08-10,22:30:00,2022,Wednesday,2022-08-10 22:36:00,118084107100,1180841,220535689,222223312,IS,Initial Supplement,True,7100,Vandalism,Vandalism,"Vehicle, Tampering",Open or Active,"01st St , Howard St",24532000,Southern,Fitenderloincial district/south beach,6,6,37.78853592966637,-122.39603476680188
2022-08-03 13:13:00,2022-08-03,13:13:00,2022,Wednesday,2022-08-03 13:13:00,117782416710,1177824,220515562,222151586,II,Initial,True,16710,Drug Offense,Drug Violation,"Narcotics Paraphernalia, Possession of",Cite or Arrest Adult,"Eddy St , Larkin St",25148000,Tenderloin,Tenderloin,5,6,37.78331088878137,-122.41752877437465
2022-07-26 19:31:00,2022-07-26,19:31:00,2022,Tuesday,2022-07-26 19:31:00,117498073010,1174980,220496354,222072623,II,Initial,True,73010,Non-Criminal,Non-Criminal,"Firearm, Turned In by Public",Open or Active,"Anza St , 06th Ave",27275000,Richmond,Inner richmond,1,1,37.779090726308574,-122.46414497098554
2022-09-21 19:20:00,2022-09-21,19:20:00,2022,Wednesday,2022-10-12 17:53:00,120265106364,1202651,220702537,222852607,II,Initial,True,6364,Larceny Theft,Larceny Theft - Shoplifting,"Theft, Shoplifting, >$950",Open or Active,"Sutter St , Powell St",24909000,Central,Nob hill,3,3,37.78922561367261,-122.40859504581256
2018-09-08 16:14:00,2018-09-08,16:14:00,2018,Saturday,2018-09-08 16:14:00,71209765015,712097,180680166,182512478,II,Initial,True,65015,Other Miscellaneous,Other,"Driving, No License Issued",Cite or Arrest Adult,"Joost Ave , Lippard Ave",21965000,Ingleside,West of twin peaks,8,8,37.732383728027344,-122.43624114990234
2018-11-16 15:00:00,2018-11-16,15:00:00,2018,Friday,2018-11-17 13:44:00,73859709015,738597,180872608,183211785,II,Initial,True,9015,Forgery And Counterfeiting,Forgery And Counterfeiting,"Forgery, Checks, Felony",Open or Active,"California St , Van Ness Ave",25225000,Northern,Nob hill,3,2,37.79037094116211,-122.42233276367188
2019-02-16 10:51:00,2019-02-16,10:51:00,2019,Saturday,2019-02-20 10:47:00,77196816710,771968,190126990,190511401,II,Initial,True,16710,Drug Offense,Drug Violation,"Narcotics Paraphernalia, Possession of",Cite or Arrest Adult,"California St , Powell St",25002000,Central,Nob hill,3,3,37.79204177856445,-122.40917205810548
