"incident_datetime","incident_date","incident_time","incident_year","incident_day_of_week","report_datetime","row_id","incident_id","incident_number","cad_number","report_type_code","report_type_description","filed_online","incident_code","incident_category","incident_subcategory","incident_description","resolution","intersection","cnn","police_district","analysis_neighborhood","supervisor_district","supervisor_district_2012","latitude","longitude","point",":@computed_region_jwn9_ihcz",":@computed_region_jg9y_a9du",":@computed_region_h4ep_8xdi",":@computed_region_n4xg_c4py",":@computed_region_nqbw_i6c3",":@computed_region_viu7_rrfi",":@computed_region_26cr_cadq",":@computed_region_qgnn_b9vv"
"2024-10-20T20:30:00.000","2024-10-20T00:00:00.000","20:30","2024","Sunday","2024-10-21T08:34:00.000","143409606244","1434096","246135590",,"II","Coplogic Initial","true","06244","Larceny Theft","Larceny - From Vehicle","Theft, From Locked Vehicle, >$950","Open or Active","FRANKLIN ST \ OFARRELL ST \ STARR KING WAY","25196000","Northern","Western Addition","2","5","37.7845458984375","-122.42283630371094","POINT (-122.42283630371094 37.7845458984375)","100",,,,,,"11","4"
"2018-10-27T11:40:00.000","2018-10-27T00:00:00.000","11:40","2018","Saturday","2018-10-27T22:02:00.000","73191206374","731912","186250385",,"II","Coplogic Initial","true","06374","Larceny Theft","Larceny Theft - Other","Theft, Other Property, >$950","Open or Active",,,"Northern",,,,,,,,,,,,,,
"2018-08-08T18:30:00.000","2018-08-08T00:00:00.000","18:30","2018","Wednesday","2018-08-09T00:47:00.000","71125006374","711250","186202427",,"II","Coplogic Initial","true","06374","Larceny Theft","Larceny Theft - Other","Theft, Other Property, >$950","Open or Active",,,"Out of SF",,,,,,,,,,,,,,
"2024-11-27T22:00:00.000","2024-11-27T00:00:00.000","22:00","2024","Wednesday","2024-12-05T12:10:00.000","144594871000","1445948","246156847",,"II","Coplogic Initial","true","71000","Lost Property","Lost Property","Lost Property","Open or Active",,,"Out of SF",,,,,,,,,,,,,,
"2024-03-15T15:00:00.000","2024-03-15T00:00:00.000","15:00","2024","Friday","2024-03-15T17:23:00.000","137372564070","1373725","240168135","240752520","II","Initial",,"64070","Suspicious Occ","Suspicious Occ","Suspicious Occurrence","Open or Active","MENDELL ST \ CARGO WAY","33105000","Central","Bayview Hunters Point","10","10","37.7438850402832","-122.38311767578125","POINT (-122.38311767578125 37.7438850402832)","56",,,,,,"9","2"
"2024-02-12T15:20:00.000","2024-02-12T00:00:00.000","15:20","2024","Monday","2024-02-12T16:56:00.000","137339971000","1373399","246033687",,"II","Coplogic Initial","true","71000","Lost Property","Lost Property","Lost Property","Open or Active","GEARY ST \ POWELL ST","24903000","Central","Financial District/South Beach","3","3","37.78736114501953","-122.4082260131836","POINT (-122.4082260131836 37.78736114501953)","19",,,,,,"3","6"
"2024-03-14T10:00:00.000","2024-03-14T00:00:00.000","10:00","2024","Thursday","2024-03-15T16:40:00.000","137369171000","1373691","240167911","240752363","II","Initial",,"71000","Lost Property","Lost Property","Lost Property","Open or Active","POLK ST \ WILLOW ST","25177000","Northern","Tenderloin","5","6","37.7835693359375","-122.41927337646484","POINT (-122.41927337646484 37.7835693359375)","20",,"1",,,,"10","4"
"2024-03-15T09:00:00.000","2024-03-15T00:00:00.000","09:00","2024","Friday","2024-03-15T10:58:00.000","137361168020","1373611","240167002","240751166","II","Initial",,"68020","Miscellaneous Investigation","Miscellaneous Investigation","Miscellaneous Investigation","Open or Active","FILLMORE ST \ EDDY ST","26044000","Northern","Western Addition","5","5","37.781429290771484","-122.43232727050781","POINT (-122.43232727050781 37.781429290771484)","97",,,,,,"11","4"
"2024-03-14T17:30:00.000","2024-03-14T00:00:00.000","17:30","2024","Thursday","2024-03-15T08:44:00.000","137359728100","1373597","240166690","240750679","II","Initial",,"28100","Malicious Mischief","Vandalism","Malicious Mischief, Breaking Windows","Open or Active","VAN NESS AVE \ REDWOOD ST","24469000","Northern","Tenderloin","5","6","37.780574798583984","-122.42025756835938","POINT (-122.42025756835938 37.780574798583984)","21",,"1","1","1",,"10","4"
"2024-02-05T19:10:00.000","2024-02-05T00:00:00.000","19:10","2024","Monday","2024-02-05T20:58:00.000","137351409320","1373514","246033637",,"II","Coplogic Initial","true","09320","Fraud","Fraud","Access Card, incl. Credit, Phone, ATM, Fraudulent Use of","Open or Active","NEW MONTGOMERY ST \ MARKET ST \ MONTGOMERY ST","30735000","Central","Financial District/South Beach","3","3","37.78872299194336","-122.40206909179688","POINT (-122.40206909179688 37.78872299194336)","19",,,,,,"3","6"
