"incident_datetime","incident_date","incident_time","incident_year","incident_day_of_week","report_datetime","row_id","incident_id","incident_number","cad_number","report_type_code","report_type_description","filed_online","incident_code","incident_category","incident_subcategory","incident_description","resolution","intersection","cnn","police_district","analysis_neighborhood","supervisor_district","supervisor_district_2012","latitude","longitude","point",":@computed_region_jwn9_ihcz",":@computed_region_jg9y_a9du",":@computed_region_h4ep_8xdi",":@computed_region_n4xg_c4py",":@computed_region_nqbw_i6c3",":@computed_region_viu7_rrfi",":@computed_region_26cr_cadq",":@computed_region_qgnn_b9vv"
"2025-01-15T19:10:00.000","2025-01-15T00:00:00.000","19:10","2025","Wednesday","2025-01-15T19:11:00.000","145488516650","1454885","250030013","250153003","II","Initial",,"16650","Drug Offense","Drug Violation","Methamphetamine Offense","Cite or Arrest Adult","06TH ST \ FOLSOM ST","23941000","Southern","South of Market","6","6","37.77850341796875","-122.4056167602539","POINT (-122.4056167602539 37.77850341796875)","32",,,"1","1",,"10","1"
"2024-12-06T13:45:00.000","2024-12-06T00:00:00.000","13:45","2024","Friday","2025-01-14T20:29:00.000","145505271000","1455052","256004474",,"II","Coplogic Initial","true","71000","Lost Property","Lost Property","Lost Property","Open or Active","GREENWICH ST \ SCOTT ST","26966000","Northern","Marina","2","2","37.79832458496094","-122.4407958984375","POINT (-122.4407958984375 37.79832458496094)","14",,,,,,"6","4"
"2025-01-15T05:00:00.000","2025-01-15T00:00:00.000","05:00","2025","Wednesday","2025-01-16T08:18:00.000","145497927090","1454979","250030734","250160673","II","Initial",,"27090","Larceny Theft","Larceny Theft - Other","Theft, Lost Property, Petty","Open or Active","13TH ST \ SOUTH VAN NESS AVE","24241000","Mission","Mission","6","9","37.769813537597656","-122.41775512695312","POINT (-122.41775512695312 37.769813537597656)","53",,,"1","3",,"2","3"
"2025-01-16T09:00:00.000","2025-01-16T00:00:00.000","09:00","2025","Thursday","2025-01-16T09:05:00.000","145499611012","1454996","250030938","250160837","II","Initial",,"11012","Stolen Property","Stolen Property","Stolen Property, Possession with Knowledge, Receiving","Cite or Arrest Adult","24TH ST \ OSAGE ALY","24089000","Mission","Mission","9","9","37.75220489501953","-122.41901397705078","POINT (-122.41901397705078 37.75220489501953)","53",,,,"3",,"2","3"
"2025-01-12T21:18:00.000","2025-01-12T00:00:00.000","21:18","2025","Sunday","2025-01-14T19:25:00.000","145506506224","1455065","256004468",,"II","Coplogic Initial","true","06224","Larceny Theft","Larceny - From Vehicle","Theft, From Unlocked Vehicle, >$950","Open or Active","CLAY ST \ LAGUNA ST","26562000","Northern","Pacific Heights","2","2","37.79133987426758","-122.42926788330078","POINT (-122.42926788330078 37.79133987426758)","102",,,,,,"6","4"
"2025-01-14T10:03:00.000","2025-01-14T00:00:00.000","10:03","2025","Tuesday","2025-01-15T10:47:00.000","145505706364","1455057","256004559",,"II","Coplogic Initial","true","06364","Larceny Theft","Larceny Theft - Shoplifting","Theft, Shoplifting, >$950","Open or Active","FILLMORE ST \ PINE ST","26609000","Northern","Pacific Heights","5","5","37.78794860839844","-122.43364715576172","POINT (-122.43364715576172 37.78794860839844)","103",,,,,,"11","4"
"2025-01-14T05:00:00.000","2025-01-14T00:00:00.000","05:00","2025","Tuesday","2025-01-15T14:06:00.000","145496406244","1454964","256004747",,"II","Coplogic Initial","true","06244","Larceny Theft","Larceny - From Vehicle","Theft, From Locked Vehicle, >$950","Open or Active","ELLIS ST \ QUICKSTEP LN","54011000","Northern","Western Addition","5","5","37.78293991088867","-122.42794036865234","POINT (-122.42794036865234 37.78293991088867)","97",,,,,,"11","4"
"2025-01-16T09:07:00.000","2025-01-16T00:00:00.000","09:07","2025","Thursday","2025-01-16T09:07:00.000","145502706314","1455027","250030819","250160967","IS","Initial Supplement",,"06314","Larceny Theft","Larceny Theft - Bicycle","Theft, Bicycle, >$950","Open or Active","15TH ST \ SHOTWELL ST","24338000","Mission","Mission","9","9","37.76687240600586","-122.41654968261719","POINT (-122.41654968261719 37.76687240600586)","53",,,,"3",,"2","3"
"2025-01-15T21:00:00.000","2025-01-15T00:00:00.000","21:00","2025","Wednesday","2025-01-15T21:43:00.000","145492526142","1454925","250030251","250153374","II","Initial",,"26142","Other Miscellaneous","Kidnapping","False Imprisonment","Cite or Arrest Adult","JONES ST \ POST ST","24965000","Central","Tenderloin","3","3","37.787662506103516","-122.4133529663086","POINT (-122.4133529663086 37.787662506103516)","50",,,,,,"3","6"
"2025-01-11T20:46:00.000","2025-01-11T00:00:00.000","20:46","2025","Saturday","2025-01-11T20:46:00.000","145513103011","1455131","250022292","250112889","IS","Initial Supplement",,"03011","Robbery","Robbery - Street","Robbery, Street or Public Place, W/ Gun","Open or Active","22ND ST \ CAPP ST","24082000","Mission","Mission","9","9","37.75550079345703","-122.41765594482422","POINT (-122.41765594482422 37.75550079345703)","53",,,,"3",,"2","3"
