"incident_datetime","incident_date","incident_time","incident_year","incident_day_of_week","report_datetime","row_id","incident_id","incident_number","cad_number","report_type_code","report_type_description","filed_online","incident_code","incident_category","incident_subcategory","incident_description","resolution","intersection","cnn","police_district","analysis_neighborhood","supervisor_district","supervisor_district_2012","latitude","longitude","point",":@computed_region_jwn9_ihcz",":@computed_region_jg9y_a9du",":@computed_region_h4ep_8xdi",":@computed_region_n4xg_c4py",":@computed_region_nqbw_i6c3",":@computed_region_viu7_rrfi",":@computed_region_26cr_cadq",":@computed_region_qgnn_b9vv"
"2021-06-24T19:40:00.000","2021-06-24T00:00:00.000","19:40","2021","Thursday","2021-09-24T19:40:00.000","107387761030","1073877","210621828","212673068","II","Initial",,"61030","Other","Other","Death Report, Cause Unknown","Open or Active","KEARNY ST \ CLAY ST","24770000","Central","Chinatown","3","3","37.79445300351448","-122.40479647356554","POINT (-122.40479647356554 37.79445300351448)","104",,,,,,"3","6"
"2021-07-29T18:11:00.000","2021-07-29T00:00:00.000","18:11","2021","Thursday","2021-07-29T18:11:00.000","105503465015","1055034","210480862","212102655","II","Initial",,"65015","Other Miscellaneous","Other","Driving, No License Issued","Cite or Arrest Adult","VAN NESS AVE \ CALIFORNIA ST","25225000","Northern","Nob Hill","3","2","37.79036965855657","-122.42232895626927","POINT (-122.42232895626927 37.79036965855657)","102",,,,,,"6","4"
"2021-10-17T22:00:00.000","2021-10-17T00:00:00.000","22:00","2021","Sunday","2021-10-18T18:06:00.000","108384971000","1083849","216155879",,"II","Coplogic Initial","true","71000","Lost Property","Lost Property","Lost Property","Open or Active","SILVER AVE \ MISSION ST","21765000","Ingleside","Excelsior","11","11","37.72872954740928","-122.43129384491388","POINT (-122.43129384491388 37.72872954740928)","94",,,,,,"1","9"
"2023-06-01T18:00:00.000","2023-06-01T00:00:00.000","18:00","2023","Thursday","2023-06-02T14:12:00.000","128182406364","1281824","230381513","231531934","II","Initial",,"06364","Larceny Theft","Larceny Theft - Shoplifting","Theft, Shoplifting, >$950","Open or Active","20TH AVE \ BUCKINGHAM WAY \ WINSTON DR","33717000","Taraval","Lakeshore","7","7","37.73011779785156","-122.47593688964844","POINT (-122.47593688964844 37.73011779785156)","41",,,,,,"8","10"
"2021-10-19T15:15:00.000","2021-10-19T00:00:00.000","15:15","2021","Tuesday","2021-10-19T15:50:00.000","108243564070","1082435","210685727","212922164","II","Initial",,"64070","Suspicious Occ","Suspicious Occ","Suspicious Occurrence","Open or Active","MINNA ST \ 09TH ST","24312000","Southern","South of Market","6","6","37.77580068534641","-122.4141732061619","POINT (-122.4141732061619 37.77580068534641)","32",,"1","1","1",,"10","1"
"2021-10-19T17:30:00.000","2021-10-19T00:00:00.000","17:30","2021","Tuesday","2021-10-19T18:40:00.000","108240906234","1082409","210686117","212922854","II","Initial",,"06234","Larceny Theft","Larceny - Auto Parts","Theft, Vehicle Strip, >$950","Open or Active","24TH AVE \ GEARY BLVD","27542000","Richmond","Outer Richmond","1","1","37.78014305865286","-122.48366195097974","POINT (-122.48366195097974 37.78014305865286)","8",,,,,,"4","8"
"2021-10-29T19:00:00.000","2021-10-29T00:00:00.000","19:00","2021","Friday","2021-11-08T20:17:00.000","109030106244","1090301","210711112","213023898","IS","Initial Supplement",,"06244","Larceny Theft","Larceny - From Vehicle","Theft, From Locked Vehicle, >$950","Open or Active","THE EMBARCADERO \ BATTERY ST \ LOMBARD ST","24819000","Central","Financial District/South Beach","3","3","37.804072249404626","-122.4019734281221","POINT (-122.4019734281221 37.804072249404626)","77",,,,,,"3","6"
"2019-12-06T22:00:00.000","2019-12-06T00:00:00.000","22:00","2019","Friday","2019-12-06T22:03:00.000","87803719057","878037","190920532","193404007","II","Initial",,"19057","Disorderly Conduct","Intimidation","Terrorist Threats","Cite or Arrest Adult","GENEVA AVE \ MISSION ST","21486000","Ingleside","Excelsior","11","11","37.716461181640625","-122.4410171508789","POINT (-122.4410171508789 37.716461181640625)","90",,,,,,"1","9"
"2023-09-28T17:00:00.000","2023-09-28T00:00:00.000","17:00","2023","Thursday","2023-10-02T10:14:00.000","132442372000","1324423","230706961","232751087","II","Initial",,"72000","Non-Criminal","Non-Criminal","Found  Property","Open or Active","FREMONT ST \ MISSION ST","24560000","Southern","Financial District/South Beach","6","6","37.790462493896484","-122.39669036865234","POINT (-122.39669036865234 37.790462493896484)","108",,,,,,"10","1"
"2019-11-01T08:00:00.000","2019-11-01T00:00:00.000","08:00","2019","Friday","2021-07-28T17:44:00.000","105469707021","1054697","210478384","212092746","VI","Vehicle Initial",,"07021","Motor Vehicle Theft","Motor Vehicle Theft","Vehicle, Stolen, Auto","Open or Active","FILLMORE ST \ EDDY ST","26044000","Northern","Western Addition","5","5","37.7814283707046","-122.43232898312252","POINT (-122.43232898312252 37.7814283707046)","97",,,,,,"11","4"
"2021-09-13T18:15:00.000","2021-09-13T00:00:00.000","18:15","2021","Monday","2021-09-13T18:35:00.000","107012227195","1070122","210592934","212562902","II","Initial",,"27195","Other Miscellaneous","Trespass","Trespassing","Open or Active","ESSEX ST \ FOLSOM ST","24524000","Southern","Financial District/South Beach","6","6","37.78637893587979","-122.39564546789741","POINT (-122.39564546789741 37.78637893587979)","32","1",,,,,"10","1"
"2021-08-25T20:53:00.000","2021-08-25T00:00:00.000","20:53","2021","Wednesday","2021-08-25T21:03:00.000","106386304144","1063863","210545795","212373281","II","Initial",,"04144","Assault","Simple Assault","Battery, Sexual","Open or Active","LARKIN ST \ 09TH ST \ MARKET ST","30745000","Tenderloin","South of Market","6","6","37.77749384266056","-122.41629170279316","POINT (-122.41629170279316 37.77749384266056)",,,"1","1","1",,"10","5"
"2021-07-29T19:00:00.000","2021-07-29T00:00:00.000","19:00","2021","Thursday","2021-07-30T09:48:00.000","105525605041","1055256","210482056","212110945","II","Initial",,"05041","Burglary","Burglary - Residential","Burglary, Residence, Forcible Entry","Open or Active","MOFFITT ST \ FARNUM ST","21956000","Ingleside","Glen Park","8","8","37.73813599423452","-122.43394990337283","POINT (-122.43394990337283 37.73813599423452)","96",,,,,,"5","9"
"2021-09-27T12:19:00.000","2021-09-27T00:00:00.000","12:19","2021","Monday","2021-09-27T12:27:00.000","107468426170","1074684","210628006","212701566","II","Initial",,"26170","Other Miscellaneous","Other","Probation Violation","Cite or Arrest Adult","HYDE ST \ TURK ST","24933000","Tenderloin","Tenderloin","5","6","37.78258503232177","-122.41569387441227","POINT (-122.41569387441227 37.78258503232177)","20",,"1","1","1",,"10","5"
"2021-07-27T17:30:00.000","2021-07-27T00:00:00.000","17:30","2021","Tuesday","2021-07-27T18:00:00.000","105440106244","1054401","210475647","212082630","II","Initial",,"06244","Larceny Theft","Larceny - From Vehicle","Theft, From Locked Vehicle, >$950","Open or Active","FULTON ST \ LA PLAYA","27978000","Richmond","Outer Richmond","1","1","37.771396030943585","-122.50989475109745","POINT (-122.50989475109745 37.771396030943585)","8",,,,,,"4","8"
"2019-11-22T16:30:00.000","2019-11-22T00:00:00.000","16:30","2019","Friday","2019-11-22T16:32:00.000","87312175030","873121","190885146","193262900","II","Initial",,"75030","Case Closure","Case Closure","Case Closure","Exceptional Adult","COLE ST \ HAIGHT ST","26417000","Park","Haight Ashbury","5","5","37.769588470458984","-122.4502182006836","POINT (-122.4502182006836 37.769588470458984)","25",,,,,,"11","7"
"2021-04-27T15:23:00.000","2021-04-27T00:00:00.000","15:23","2021","Tuesday","2021-04-27T15:28:00.000","104300907026","1043009","210257912","211172130","VS","Vehicle Supplement",,"07026","Motor Vehicle Theft","Motor Vehicle Theft","Vehicle, Stolen, Other Vehicle","Open or Active","22ND ST \ DE HARO ST","23709000","Bayview","Potrero Hill","10","10","37.75718475479323","-122.40086954323993","POINT (-122.40086954323993 37.75718475479323)","54",,,,,,"9","2"
"2021-07-02T22:00:00.000","2021-07-02T00:00:00.000","22:00","2021","Friday","2021-10-19T13:40:00.000","108416706224","1084167","216157831",,"II","Coplogic Initial","true","06224","Larceny Theft","Larceny - From Vehicle","Theft, From Unlocked Vehicle, >$950","Open or Active","KANSAS ST \ 22ND ST","23726000","Bayview","Potrero Hill","10","10","37.75706836664919","-122.40280294494583","POINT (-122.40280294494583 37.75706836664919)","54",,,,,,"9","2"
"2021-09-12T19:35:00.000","2021-09-12T00:00:00.000","19:35","2021","Sunday","2021-09-12T19:35:00.000","106978664085","1069786","210590693","212552928","II","Initial",,"64085","Other Miscellaneous","Other","Investigative Detention","Open or Active","VELASCO AVE \ CARRIZAL ST","20424000","Ingleside","Visitacion Valley","10","10","37.71018703835025","-122.42020180073543","POINT (-122.42020180073543 37.71018703835025)","74",,,,,,"9","9"
"2019-09-28T01:00:00.000","2019-09-28T00:00:00.000","01:00","2019","Saturday","2021-09-22T11:20:00.000","107293506244","1072935","210614613","212651374","II","Initial",,"06244","Larceny Theft","Larceny - From Vehicle","Theft, From Locked Vehicle, >$950","Open or Active","05TH ST \ HOWARD ST","23944000","Southern","South of Market","6","6","37.781499507548546","-122.40493334783943","POINT (-122.40493334783943 37.781499507548546)","32",,,"1",,,"10","1"
"2023-08-25T21:15:00.000","2023-08-25T00:00:00.000","21:15","2023","Friday","2023-08-26T00:24:00.000","131182906243","1311829","230608232","232380052","II","Initial",,"06243","Larceny Theft","Larceny - From Vehicle","Theft, From Locked Vehicle, $200-$950","Open or Active","GROVE ST \ OCTAVIA ST","25928000","Northern","Hayes Valley","5","5","37.77760314941406","-122.42481231689453","POINT (-122.42481231689453 37.77760314941406)","22",,,,,,"11","4"
"2021-09-06T08:30:00.000","2021-09-06T00:00:00.000","08:30","2021","Monday","2021-09-06T12:34:00.000","106762307021","1067623","210574396","212491119","VI","Vehicle Initial",,"07021","Motor Vehicle Theft","Motor Vehicle Theft","Vehicle, Stolen, Auto","Open or Active","PACHECO ST \ 48TH AVE","23521000","Taraval","Sunset/Parkside","4","4","37.7491399708844","-122.50728688055536","POINT (-122.50728688055536 37.7491399708844)","39",,,,,,"7","10"
