"Summary Statistics for Professional, Scientific and Technical Activities Establishments by Region and Industry Group: Philippines by Geolocation, Industry Description, Year and Data Items"

"Geolocation","Industry Description","2020 Number of Establishments","2020 Total Employment a/","2020 Paid Employees a/","2020 Workers on Sub-Contract Agreement or Under Manpower Agencies/Contractors a/","2020 Total Revenue","2020 Total Expense","2020 Compensation","2020 Other Expense","2020 Value Added","2020 Gross Additions To Tangible Fixed Assets","2020 Change in Inventories","2020 Sales from E-commerce","2020 Subsidies"
"..Zamboanga Peninsula","..Architectural and engineering activities and related technical consultancy",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Zamboanga Peninsula","..Technical testing and analysis",16,69,69,-,21721,15706,5510,10197,12108,-,-,-,-
"..Zamboanga Peninsula","..Research and experimental development on natural sciences and engineering",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Zamboanga Peninsula","..Research and experimental development on social sciences and humanities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Zamboanga Peninsula","..Research and experimental development in information technology",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Zamboanga Peninsula","..Research and experimental development services, n.e.c.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Zamboanga Peninsula","..Advertising",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Zamboanga Peninsula","..Market research and public opinion polling",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Zamboanga Peninsula","..Specialized design activities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Zamboanga Peninsula","..Photographic activities",10,59,59,-,77724,94109,15680,78429,15071,2399,-13525,-,-
"..Zamboanga Peninsula","..Other professional, scientific and technical activities, n.e.c.",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Zamboanga Peninsula","..Veterinary activities",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Northern Mindanao","Professional, Scientific and Technical Activities",103,764,764,23,403179,324546,109754,214792,251154,354768,-284,-,817
"..Northern Mindanao","..Legal activities",24,79,79,-,28193,22048,8793,13255,20116,11652,-141,-,-
"..Northern Mindanao","..Accounting, bookkeeping and auditing activities; tax consultancy",10,130,130,-,90006,55930,25940,29990,64901,14160,-,-,-
"..Northern Mindanao","..Activities of head offices",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Northern Mindanao","..Management consultancy activities",3,90,90,-,88065,78119,17322,60797,38660,7191,-,-,-
"..Northern Mindanao","..Architectural and engineering activities and related technical consultancy",12,231,231,23,117911,99159,27288,71871,55560,34977,-,-,817
"..Northern Mindanao","..Technical testing and analysis",16,39,39,-,19172,10664,4514,6150,14196,225500,-,-,-
"..Northern Mindanao","..Research and experimental development on natural sciences and engineering",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Northern Mindanao","..Research and experimental development on social sciences and humanities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Northern Mindanao","..Research and experimental development in information technology",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Northern Mindanao","..Research and experimental development services, n.e.c.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Northern Mindanao","..Advertising",7,64,64,-,14037,17634,8305,9329,5170,360,-,-,-
"..Northern Mindanao","..Market research and public opinion polling",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Northern Mindanao","..Specialized design activities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Northern Mindanao","..Photographic activities",27,88,88,-,35932,31548,13125,18423,46720,60052,-110,-,-
"..Northern Mindanao","..Other professional, scientific and technical activities, n.e.c.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Northern Mindanao","..Veterinary activities",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Davao Region","Professional, Scientific and Technical Activities",211,3123,3091,4,3694360,2757272,965844,1791428,1812256,10663,5352,-,-
"..Davao Region","..Legal activities",58,253,253,-,475268,251106,87303,163802,324049,-,-,-,-
"..Davao Region","..Accounting, bookkeeping and auditing activities; tax consultancy",22,728,725,2,518046,425126,255700,169426,371327,1450,-,-,-
"..Davao Region","..Activities of head offices",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Davao Region","..Management consultancy activities",9,397,386,-,812452,669263,349551,319712,258534,-1575,-,-,-
"..Davao Region","..Architectural and engineering activities and related technical consultancy",44,947,928,-,760010,512539,97677,414863,398302,4011,1860,-,-
"..Davao Region","..Technical testing and analysis",22,90,90,-,171961,76658,26260,50399,128618,-,823,-,-
"..Davao Region","..Research and experimental development on natural sciences and engineering",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Davao Region","..Research and experimental development on social sciences and humanities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Davao Region","..Research and experimental development in information technology",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Davao Region","..Research and experimental development services, n.e.c.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Davao Region","..Advertising",22,224,224,-,533473,469307,40441,428866,115428,-,9859,-,-
"..Davao Region","..Market research and public opinion polling",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Davao Region","..Specialized design activities",3,58,58,-,37129,18320,11829,6492,31343,-,-7,-,-
"..Davao Region","..Photographic activities",24,234,234,-,332443,281644,55601,226043,142239,6777,-7184,-,-
"..Davao Region","..Other professional, scientific and technical activities, n.e.c.",3,19,19,-,8865,9350,1827,7523,1858,-,-,-,-
"..Davao Region","..Veterinary activities",s,s,s,s,s,s,s,s,s,s,s,s,s
"..SOCCSKSARGEN","Professional, Scientific and Technical Activities",119,1041,1030,21,765059,622976,205674,417302,410116,6251,-31364,-,-
"..SOCCSKSARGEN","..Legal activities",26,112,103,-,17764,17181,10558,6623,12381,-,-27,-,-
"..SOCCSKSARGEN","..Accounting, bookkeeping and auditing activities; tax consultancy",9,102,102,-,61699,52799,28894,23905,42130,-,-,-,-
"..SOCCSKSARGEN","..Activities of head offices",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..SOCCSKSARGEN","..Management consultancy activities",s,s,s,s,s,s,s,s,s,s,s,s,s
"..SOCCSKSARGEN","..Architectural and engineering activities and related technical consultancy",11,538,538,21,359263,221415,103469,117946,263482,-,-6142,-,-
"..SOCCSKSARGEN","..Technical testing and analysis",25,50,50,-,159236,131341,18993,112348,50268,-,-,-,-
"..SOCCSKSARGEN","..Research and experimental development on natural sciences and engineering",s,s,s,s,s,s,s,s,s,s,s,s,s
"..SOCCSKSARGEN","..Research and experimental development on social sciences and humanities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..SOCCSKSARGEN","..Research and experimental development in information technology",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..SOCCSKSARGEN","..Research and experimental development services, n.e.c.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..SOCCSKSARGEN","..Advertising",4,24,24,-,13353,12370,1765,10605,3629,1117,-83,-,-
"..SOCCSKSARGEN","..Market research and public opinion polling",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..SOCCSKSARGEN","..Specialized design activities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..SOCCSKSARGEN","..Photographic activities",30,116,116,-,129523,161204,28072,133132,25698,4862,-25023,-,-
"..SOCCSKSARGEN","..Other professional, scientific and technical activities, n.e.c.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..SOCCSKSARGEN","..Veterinary activities",7,22,22,-,8098,4648,1395,3253,5052,204,-89,-,-
"..Caraga","Professional, Scientific and Technical Activities",61,240,219,-,152945,106945,34653,72293,89670,447,-115,-,-
"..Caraga","..Legal activities",14,55,49,-,8688,5838,3123,2715,6329,-,-31,-,-
"..Caraga","..Accounting, bookkeeping and auditing activities; tax consultancy",3,25,25,-,17140,13726,9042,4685,13639,-,-,-,-
"..Caraga","..Activities of head offices",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Caraga","..Management consultancy activities",4,24,24,-,6586,4605,975,3630,3274,-,12,-,-
"..Caraga","..Architectural and engineering activities and related technical consultancy",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Caraga","..Technical testing and analysis",17,41,41,-,84942,54113,16376,37737,49971,-,21,-,-
"..Caraga","..Research and experimental development on natural sciences and engineering",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Caraga","..Research and experimental development on social sciences and humanities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Caraga","..Research and experimental development in information technology",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Caraga","..Research and experimental development services, n.e.c.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Caraga","..Advertising",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Caraga","..Market research and public opinion polling",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Caraga","..Specialized design activities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Caraga","..Photographic activities",18,62,49,-,29999,23835,3243,20591,13334,-,-117,-,-
"..Caraga","..Other professional, scientific and technical activities, n.e.c.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Caraga","..Veterinary activities",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Autonomous Region in Muslim Mindanao","Professional, Scientific and Technical Activities",3,5,5,-,668,565,108,457,234,-,-,-,-
"..Autonomous Region in Muslim Mindanao","..Legal activities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Autonomous Region in Muslim Mindanao","..Accounting, bookkeeping and auditing activities; tax consultancy",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Autonomous Region in Muslim Mindanao","..Activities of head offices",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Autonomous Region in Muslim Mindanao","..Management consultancy activities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Autonomous Region in Muslim Mindanao","..Architectural and engineering activities and related technical consultancy",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Autonomous Region in Muslim Mindanao","..Technical testing and analysis",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Autonomous Region in Muslim Mindanao","..Research and experimental development on natural sciences and engineering",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Autonomous Region in Muslim Mindanao","..Research and experimental development on social sciences and humanities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Autonomous Region in Muslim Mindanao","..Research and experimental development in information technology",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Autonomous Region in Muslim Mindanao","..Research and experimental development services, n.e.c.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Autonomous Region in Muslim Mindanao","..Advertising",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Autonomous Region in Muslim Mindanao","..Market research and public opinion polling",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Autonomous Region in Muslim Mindanao","..Specialized design activities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Autonomous Region in Muslim Mindanao","..Photographic activities",3,5,5,-,668,565,108,457,234,-,-,-,-
"..Autonomous Region in Muslim Mindanao","..Other professional, scientific and technical activities, n.e.c.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Autonomous Region in Muslim Mindanao","..Veterinary activities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
