"by_month_incident_date","incident_category","analysis_neighborhood","count","point"
"2024-10-01T00:00:00.000","Offences Against The Family And Children","Excelsior","1","POINT (-122.4312973022461 37.728729248046875)"
"2023-04-01T00:00:00.000","Traffic Violation Arrest","South of Market","1","POINT (-122.41093444824219 37.779212951660156)"
"2022-06-01T00:00:00.000","Larceny Theft","Mission","2","POINT (-122.42142521378148 37.760101292412216)"
"2019-08-01T00:00:00.000","Larceny Theft","Excelsior","1","POINT (-122.43943786621094 37.71567153930664)"
"2019-10-01T00:00:00.000","Traffic Violation Arrest","South of Market","1","POINT (-122.41093444824219 37.779212951660156)"
"2024-09-01T00:00:00.000","Larceny Theft","Pacific Heights","1","POINT (-122.44375610351562 37.78764724731445)"
"2020-09-01T00:00:00.000","Non-Criminal","Noe Valley","1","POINT (-122.42855072021484 37.75163650512695)"
"2019-01-01T00:00:00.000","Suspicious Occ","Tenderloin","1","POINT (-122.41936492919922 37.78403091430664)"
"2018-06-01T00:00:00.000","Lost Property","Financial District/South Beach","1","POINT (-122.40276677080121 37.79285122058812)"
"2022-02-01T00:00:00.000","Disorderly Conduct","Noe Valley","1","POINT (-122.42266944640758 37.74394224018153)"
"2023-07-01T00:00:00.000","Assault","Golden Gate Park","1","POINT (-122.45372772216797 37.77009963989258)"
"2019-07-01T00:00:00.000","Malicious Mischief","Pacific Heights","1","POINT (-122.42451477050781 37.792842864990234)"
"2024-09-01T00:00:00.000","Larceny Theft","Tenderloin","2","POINT (-122.41499328613281 37.787452697753906)"
"2020-05-01T00:00:00.000","Malicious Mischief","Hayes Valley","1","POINT (-122.43946838378906 37.774776458740234)"
"2020-08-01T00:00:00.000","Drug Offense","Western Addition","1","POINT (-122.43195180329982 37.77956414797087)"
"2024-07-01T00:00:00.000","Larceny Theft","Financial District/South Beach","1","POINT (-122.39637756347656 37.7817497253418)"
"2025-03-01T00:00:00.000","Larceny Theft","Bernal Heights","1","POINT (-122.41437530517578 37.74245834350586)"
"2018-09-01T00:00:00.000","Suspicious Occ","Golden Gate Park","2","POINT (-122.49291402842287 37.76614439427537)"
"2021-12-01T00:00:00.000","Larceny Theft","Mission","1","POINT (-122.42457580566406 37.76475524902344)"
"2022-11-01T00:00:00.000","Warrant","South of Market","1","POINT (-122.40924544400873 37.781398133437946)"
"2019-04-01T00:00:00.000","Malicious Mischief","Financial District/South Beach","1","POINT (-122.39581342280272 37.791152807557935)"
"2023-05-01T00:00:00.000","Embezzlement","Financial District/South Beach","1","POINT (-122.3922119140625 37.77927780151367)"
"2021-02-01T00:00:00.000","Weapons Offense","South of Market","1","POINT (-122.40827178955078 37.77550506591797)"
"2019-12-01T00:00:00.000","Non-Criminal","West of Twin Peaks","1","POINT (-122.44578222014269 37.73385028746181)"
"2019-06-01T00:00:00.000","Other Miscellaneous","Mission","1","POINT (-122.41970544916016 37.753769699814576)"
"2018-01-01T00:00:00.000","Burglary","Nob Hill","1","POINT (-122.41922173749678 37.7917040142914)"
"2018-05-01T00:00:00.000","Other Miscellaneous","Mission","1","POINT (-122.41947628865915 37.76305083908165)"
