"by_month_incident_date","incident_category","analysis_neighborhood","count","point"
"2018-05-01T00:00:00.000","Non-Criminal","Tenderloin","1","POINT (-122.41588253952085 37.78351564008561)"
"2025-03-01T00:00:00.000","Assault","Bernal Heights","2","POINT (-122.40670776367188 37.743350982666016)"
"2022-06-01T00:00:00.000","Fraud","Japantown","1","POINT (-122.42997741699219 37.786502838134766)"
"2024-08-01T00:00:00.000","Suspicious Occ","Mission Bay","1","POINT (-122.39720916748047 37.775333404541016)"
"2022-02-01T00:00:00.000","Suspicious Occ","Tenderloin","1","POINT (-122.41606903076172 37.78445053100586)"
"2023-07-01T00:00:00.000","Miscellaneous Investigation","Bernal Heights","1","POINT (-122.42504699558478 37.73212994702763)"
"2019-09-01T00:00:00.000","Other","Financial District/South Beach","1","POINT (-122.39658591411781 37.79458821565897)"
"2024-07-01T00:00:00.000","Larceny Theft","North Beach","2","POINT (-122.41030883789062 37.806026458740234)"
"2020-08-01T00:00:00.000","Larceny Theft","North Beach","6","POINT (-122.4154281616211 37.80634307861328)"
"2021-12-01T00:00:00.000","Other Miscellaneous","Tenderloin","2","POINT (-122.41770935058594 37.784236907958984)"
"2019-03-01T00:00:00.000","Other Miscellaneous","Financial District/South Beach","1","POINT (-122.3944091796875 37.78194046020508)"
"2022-03-01T00:00:00.000","Larceny Theft","Glen Park","1","POINT (-122.43253542957581 37.73585364685519)"
"2023-08-01T00:00:00.000","Traffic Violation Arrest","South of Market","1","POINT (-122.40700149161678 37.77004977136961)"
"2024-04-01T00:00:00.000","Other Miscellaneous","Financial District/South Beach","1","POINT (-122.39385986328125 37.79377365112305)"
"2021-02-01T00:00:00.000","Malicious Mischief","Financial District/South Beach","1","POINT (-122.39914859933208 37.79101664809732)"
"2021-09-01T00:00:00.000","Non-Criminal","Sunset/Parkside","1","POINT (-122.5079345703125 37.75846481323242)"
"2021-05-01T00:00:00.000","Larceny Theft","Russian Hill","1","POINT (-122.41780090332031 37.801265716552734)"
"2019-09-01T00:00:00.000","Assault","Mission","1","POINT (-122.42058060938771 37.76499626872751)"
"2020-02-01T00:00:00.000","Larceny Theft","Potrero Hill","1","POINT (-122.39470672607422 37.76396560668945)"
"2025-02-01T00:00:00.000","Larceny Theft","Hayes Valley","1","POINT (-122.42279052734375 37.77595138549805)"
"2019-04-01T00:00:00.000","Missing Person","Mission","1","POINT (-122.42442321777344 37.76863098144531)"
"2021-04-01T00:00:00.000","Larceny Theft","Bernal Heights","1","POINT (-122.41399383544922 37.73834991455078)"
"2018-11-01T00:00:00.000","Robbery","Bayview Hunters Point","2","POINT (-122.39594268798828 37.72171401977539)"
"2021-02-01T00:00:00.000","Motor Vehicle Theft","Tenderloin","1","POINT (-122.41880798339844 37.78123474121094)"
"2023-11-01T00:00:00.000","Malicious Mischief","Mission","1","POINT (-122.42123215696753 37.773523379813106)"
"2020-08-01T00:00:00.000","Forgery And Counterfeiting","Mission","1","POINT (-122.42189025878906 37.76491928100586)"
"2025-04-01T00:00:00.000","Non-Criminal","Tenderloin","1","POINT (-122.41770935058594 37.784236907958984)"
"2023-07-01T00:00:00.000","Sex Offense","Tenderloin","1","POINT (-122.42121887207031 37.78523254394531)"
"2025-04-01T00:00:00.000","Non-Criminal","Bayview Hunters Point","1","POINT (-122.3890380859375 37.73291778564453)"
"2023-09-01T00:00:00.000","Larceny Theft","Financial District/South Beach","2","POINT (-122.40302819424984 37.78702441743788)"
"2023-09-01T00:00:00.000","Assault","Outer Mission","2","POINT (-122.46060943603516 37.70967483520508)"
"2018-11-01T00:00:00.000","Assault","Bayview Hunters Point","1","POINT (-122.3959448289191 37.73778405361255)"
"2021-10-01T00:00:00.000","Assault","Russian Hill","2","POINT (-122.42176818847656 37.79594421386719)"
"2023-12-01T00:00:00.000","Vandalism","Bayview Hunters Point","1","POINT (-122.3826904296875 37.72742462158203)"
"2019-05-01T00:00:00.000","Lost Property","Western Addition","3","POINT (-122.43214416503906 37.780494689941406)"
"2019-01-01T00:00:00.000","Non-Criminal","Marina","1","POINT (-122.43220428969965 37.797506948421855)"
"2022-12-01T00:00:00.000","Offences Against The Family And Children","Tenderloin","1","POINT (-122.41588253952085 37.78351564008561)"
"2021-12-01T00:00:00.000","Burglary","Hayes Valley","1","POINT (-122.4267807006836 37.770660400390625)"
"2025-02-01T00:00:00.000","Larceny Theft","Western Addition","4","POINT (-122.42256164550781 37.78314971923828)"
"2020-09-01T00:00:00.000","Lost Property","Nob Hill","2","POINT (-122.40878610771277 37.790159500031805)"
"2021-01-01T00:00:00.000","Burglary","Inner Sunset","1","POINT (-122.47378540039062 37.7618408203125)"
"2021-10-01T00:00:00.000","Motor Vehicle Theft","Castro/Upper Market","1","POINT (-122.42745971679688 37.76877212524414)"
"2018-08-01T00:00:00.000","Other Offenses","Mission","1","POINT (-122.4190175437401 37.75220444116967)"
"2023-03-01T00:00:00.000","Recovered Vehicle","Bayview Hunters Point","1","POINT (-122.38766133455968 37.71876049748721)"
"2022-07-01T00:00:00.000","Larceny Theft","Mission","1","POINT (-122.42001109885577 37.7569686010414)"
"2018-07-01T00:00:00.000","Non-Criminal","Mission","1","POINT (-122.42142486572266 37.760101318359375)"
"2022-02-01T00:00:00.000","Larceny Theft","Outer Richmond","1","POINT (-122.4848742588828 37.78202549388128)"
"2024-09-01T00:00:00.000","Motor Vehicle Theft","Twin Peaks","1","POINT (-122.4498291015625 37.74684524536133)"
"2018-12-01T00:00:00.000","Burglary","Potrero Hill","1","POINT (-122.4015884399414 37.75457000732422)"
"2022-04-01T00:00:00.000","Malicious Mischief","Inner Sunset","1","POINT (-122.46417202379678 37.76413086896357)"
"2023-07-01T00:00:00.000","Motor Vehicle Theft","Western Addition","1","POINT (-122.4235413079694 37.77967358513161)"
"2020-07-01T00:00:00.000","Larceny Theft","Bernal Heights","1","POINT (-122.42304255365349 37.74311399941621)"
"2020-12-01T00:00:00.000","Motor Vehicle Theft","Castro/Upper Market","1","POINT (-122.43820190429688 37.76715850830078)"
"2022-10-01T00:00:00.000","Recovered Vehicle","Bayview Hunters Point","1","POINT (-122.37258911132812 37.72834396362305)"
"2023-01-01T00:00:00.000","Non-Criminal","Lakeshore","1","POINT (-122.47438049316406 37.717506408691406)"
"2022-09-01T00:00:00.000","Other Miscellaneous","Chinatown","1","POINT (-122.40460968017578 37.79356384277344)"
"2018-03-01T00:00:00.000","Warrant","Mission","1","POINT (-122.41622924804688 37.763633728027344)"
"2021-04-01T00:00:00.000","Other Miscellaneous","Mission Bay","2","POINT (-122.39098358154297 37.76871871948242)"
"2018-07-01T00:00:00.000","Other Miscellaneous","Outer Mission","1","POINT (-122.44271850585938 37.72813415527344)"
"2022-05-01T00:00:00.000","Assault","Western Addition","3","POINT (-122.43291473388672 37.78435516357422)"
"2022-01-01T00:00:00.000","Larceny Theft","West of Twin Peaks","1","POINT (-122.4549331665039 37.74177551269531)"
"2018-10-01T00:00:00.000","Other Miscellaneous","Mission","1","POINT (-122.41499861820773 37.76209916032053)"
"2019-02-01T00:00:00.000","Malicious Mischief","Bayview Hunters Point","1","POINT (-122.3890380859375 37.73291778564453)"
"2024-01-01T00:00:00.000","Assault","Mission","2","POINT (-122.42142521378148 37.760101292412216)"
"2019-10-01T00:00:00.000","Fraud","Nob Hill","1","POINT (-122.41427612304688 37.79596710205078)"
"2020-07-01T00:00:00.000","Larceny Theft","Western Addition","1","POINT (-122.4273963984862 37.782056938164764)"
"2024-03-01T00:00:00.000","Offences Against The Family And Children","Bayview Hunters Point","1","POINT (-122.38408660888672 37.71966552734375)"
"2023-08-01T00:00:00.000","Other Miscellaneous","Tenderloin","1","POINT (-122.41569387441227 37.78258503232177)"
"2024-07-01T00:00:00.000","Motor Vehicle Theft","Tenderloin","1","POINT (-122.41822814941406 37.77848815917969)"
"2023-08-01T00:00:00.000","Malicious Mischief","Mission","2","POINT (-122.40618656585733 37.75136690198006)"
"2020-08-01T00:00:00.000","Assault","South of Market","3","POINT (-122.40493334783943 37.781499507548546)"
"2023-11-01T00:00:00.000","Warrant","Mission","1","POINT (-122.42442416173675 37.768629313657044)"
"2020-03-01T00:00:00.000","Larceny Theft","Lone Mountain/USF","1","POINT (-122.44294738769531 37.77529525756836)"
"2021-10-01T00:00:00.000","Assault","Mission","1","POINT (-122.42196431314674 37.765720754921674)"
"2022-11-01T00:00:00.000","Suspicious Occ","Presidio Heights","1","POINT (-122.45629574095672 37.78138128185571)"
"2018-01-01T00:00:00.000","Courtesy Report","Bayview Hunters Point","1","POINT (-122.39646333261608 37.720740035734394)"
"2018-03-01T00:00:00.000","Larceny Theft","Excelsior","1","POINT (-122.44984436035156 37.70832824707031)"
"2019-09-01T00:00:00.000","Miscellaneous Investigation","Mission","1","POINT (-122.42128446199904 37.74885044177842)"
"2024-11-01T00:00:00.000","Larceny Theft","Sunset/Parkside","1","POINT (-122.48556518554688 37.761322021484375)"
"2024-11-01T00:00:00.000","Non-Criminal","Marina","1","POINT (-122.43669128417969 37.80262756347656)"
"2024-01-01T00:00:00.000","Larceny Theft","Mission","3","POINT (-122.40633392333984 37.75300216674805)"
"2020-05-01T00:00:00.000","Disorderly Conduct","Financial District/South Beach","1","POINT (-122.40452450386199 37.79165205510238)"
"2022-09-01T00:00:00.000","Non-Criminal","Castro/Upper Market","1","POINT (-122.43340825880185 37.76746158246703)"
"2018-06-01T00:00:00.000","Motor Vehicle Theft","Bayview Hunters Point","1","POINT (-122.39334106445312 37.749916076660156)"
"2018-04-01T00:00:00.000","Offences Against The Family And Children","Tenderloin","1","POINT (-122.41405376568504 37.78279444506034)"
"2018-08-01T00:00:00.000","Recovered Vehicle","Potrero Hill","1","POINT (-122.38925170898438 37.75788497924805)"
"2018-03-01T00:00:00.000","Larceny Theft","West of Twin Peaks","1","POINT (-122.46768951416016 37.723506927490234)"
"2023-02-01T00:00:00.000","Assault","Chinatown","1","POINT (-122.41171893926939 37.796290764675476)"
"2024-10-01T00:00:00.000","Non-Criminal","Lone Mountain/USF","1","POINT (-122.4588623046875 37.78125762939453)"
"2022-03-01T00:00:00.000","Assault","West of Twin Peaks","1","POINT (-122.46356201171875 37.72917556762695)"
"2018-06-01T00:00:00.000","Recovered Vehicle","Mission","1","POINT (-122.40621948242188 37.75172805786133)"
"2022-04-01T00:00:00.000","Malicious Mischief","Potrero Hill","1","POINT (-122.39372979676084 37.76402134194153)"
"2021-12-01T00:00:00.000","Larceny Theft","Bernal Heights","1","POINT (-122.41828462289301 37.74669436943103)"
"2019-10-01T00:00:00.000","Larceny Theft","West of Twin Peaks","1","POINT (-122.47274215730079 37.746921457310705)"
"2022-05-01T00:00:00.000","Weapons Carrying Etc","Mission","1","POINT (-122.41796112060547 37.758697509765625)"
"2020-06-01T00:00:00.000","Warrant","Bayview Hunters Point","1","POINT (-122.3794307451485 37.73408161617108)"
"2022-08-01T00:00:00.000","Burglary","Excelsior","1","POINT (-122.43746114104351 37.72116354747668)"
"2020-07-01T00:00:00.000","Burglary","Russian Hill","1","POINT (-122.42055996630992 37.806657732348235)"
"2022-04-01T00:00:00.000","Non-Criminal","Mission","1","POINT (-122.41890102956305 37.75703540085026)"
"2024-02-01T00:00:00.000","Fraud","Haight Ashbury","1","POINT (-122.4462890625 37.76231002807617)"
"2018-07-01T00:00:00.000","Disorderly Conduct","Tenderloin","2","POINT (-122.41241455078125 37.78300476074219)"
"2019-10-01T00:00:00.000","Non-Criminal","Financial District/South Beach","2","POINT (-122.401123046875 37.793060302734375)"
"2020-01-01T00:00:00.000","Offences Against The Family And Children","Mission Bay","1","POINT (-122.38971710205078 37.77293014526367)"
"2023-07-01T00:00:00.000","Malicious Mischief","Potrero Hill","1","POINT (-122.39651489257812 37.75231170654297)"
"2024-07-01T00:00:00.000","Larceny Theft","Excelsior","1","POINT (-122.43441009521484 37.722381591796875)"
