ttxid,certificate_number,ownership_name,dba_name,full_business_address,city,state,business_zip,dba_start_date,dba_end_date,location_start_date,location_end_date,mailing_address_1
0451358-01-001,451358,Thai Sen,Creighton's Bakery Cafe,5214 Diamond Heights Blvd #D,San Francisco,CA,94131.0,2010-07-01T00:00:00.000,,2010-07-01T00:00:00.000,,5214 Diamond Heights Blvd # D
0451373-01-999,451373,Gonzalez Rafael,Moriscos Frescos Estilo Mozatl,118 S Oro Ave,Stockton,CA,95215.0,2010-07-30T00:00:00.000,,2010-07-30T00:00:00.000,,509 Valverde Dr
0451377-01-002,451377,American Industrial Center Nor,American Industrial Center Nor,2345 3rd St,San Francisco,CA,94107.0,2010-03-01T00:00:00.000,,2012-04-01T00:00:00.000,,2345 3rd St
0451377-02-001,451377,American Industrial Center Nor,American Industrial Center,2345 3rd St,San Francisco,CA,94107.0,2010-03-01T00:00:00.000,,2011-04-01T00:00:00.000,,2345 3rd St
0451379-01-001,451379,Sailors' Union Of The Pacific,Sailors' Union Of The Pacific,450 Harrison St,San Francisco,CA,94105.0,1987-01-01T00:00:00.000,,1987-01-01T00:00:00.000,,450 Harrison St
0451382-01-001,451382,Croninco,Cronin Painting,2350 Ulloa St,San Francisco,CA,94116.0,2010-08-02T00:00:00.000,,2010-08-02T00:00:00.000,,2350 Ulloa St
0451384-01-999,451384,Gonzalez Efrain,Efrain Gonzalez,234 Isleton Ave,Oakland,CA,94603.0,2010-07-01T00:00:00.000,,2010-07-01T00:00:00.000,,234 Isleton Ave
0451387-01-001,451387,Source Planning & Const Inc,Source Planning & Const Inc,909 Montgomery St Ste 103,San Francisco,CA,94133.0,2010-08-02T00:00:00.000,,2010-08-02T00:00:00.000,,909 Montgomery St Ste 103
0451389-01-001,451389,Alston Aaron J,Alstons Furniture & Appliances,474 La Grande Ave,San Francisco,CA,94112.0,2010-08-02T00:00:00.000,,2010-08-02T00:00:00.000,,Po Box P.O. Box 880842
0451403-01-001,451403,Grossbard-Bourzat Corporation,Grossbard-Bourzat Corporation,618 Athens St,San Francisco,CA,94112.0,2010-07-01T00:00:00.000,,2010-07-01T00:00:00.000,,618 Athens St
0451409-01-001,451409,Yummy Dim Sum Fast Food LLC,Yummy Dim Sum Fast Food LLC,930 Stockton St,San Francisco,CA,94108.0,2010-08-01T00:00:00.000,,2010-08-01T00:00:00.000,,930 Stockton St
0451411-01-999,451411,Cci Network Services LLC,Cci Netowrk Services LLC,155 N 400 W Ste 100,Salt Lake City,UT,84103.0,2010-06-01T00:00:00.000,,2010-06-01T00:00:00.000,,155 N 400 W 100 Ste
0451413-01-999,451413,Cain Michael S,Safeguard Surfaces,712 Bancroft Rd #802,Walnut Creek,CA,94598.0,2010-07-01T00:00:00.000,,2010-07-01T00:00:00.000,,712 Bancroft Rd # 802
0451416-01-999,451416,Ip Network   Services Inc,Ip Network Services Inc,1950 Hassell Rd,Hoffman Estates,IL,60169.0,2010-07-01T00:00:00.000,,2010-07-01T00:00:00.000,,1950 Hassell Rd
0451421-01-001,451421,Power Auto Glass Inc,Power Auto Glass Inc,2801 25th St,San Francisco,CA,94110.0,2010-08-02T00:00:00.000,,2010-08-02T00:00:00.000,,2801 25th St
0451421-02-001,451421,Power Auto Glass Inc,Glass  Master,2801 25th St,San Francisco,CA,94110.0,2010-08-02T00:00:00.000,,2011-01-18T00:00:00.000,,2801 25th St
0451432-02-001,451432,Martinez Marta L,Esperanza Cleaning,1475 Hawes St #Cc,San Francisco,CA,94124.0,2010-08-01T00:00:00.000,,2014-02-13T00:00:00.000,,1475 Hawes St C Apt
0451440-01-001,451440,Olsen Brittany L,Brittany Olsen Mft,582 Market St Ste 317,San Francisco,CA,94104.0,2010-08-01T00:00:00.000,,2010-08-30T00:00:00.000,,582 Market St Ste 1200
0451446-01-001,451446,Ca Real Property Lending Inc,Ca Real Property Lending Inc,300 Montgomery St Ste 1050,San Francisco,CA,94104.0,2010-04-08T00:00:00.000,,2010-04-08T00:00:00.000,,300 Montgomery St Ste 1050
0451475-01-001,451475,Mcgarden Bakery Inc,Mcgarden Bakery Inc,5131 Mission St,San Francisco,CA,94112.0,2010-09-01T00:00:00.000,,2010-09-01T00:00:00.000,,5131 Mission St
0451481-02-999,451481,Allsbrooks Cynthia,Belle River Marketing,7311 Wisteria Chase Pl,Humble,TX,77346.0,2010-07-26T00:00:00.000,,2011-05-01T00:00:00.000,,16622 Whiteoak Canyon Dr
0451488-01-001,451488,Wong Stephen Y,Stephen Y Wong,110 Forest Knolls Dr,San Francisco,CA,94131.0,2010-08-02T00:00:00.000,,2010-08-02T00:00:00.000,,110 Forest Knolls Dr
0451490-01-001,451490,Nichi Bei Foundation,Nichi Bei Weekly,354 Pine St #700,San Francisco,CA,94104.0,2009-07-27T00:00:00.000,,2009-07-27T00:00:00.000,,Po Box 15693
0451499-01-001,451499,Events & Adventures California,Events And Adventures,350 California St Ste 1770,San Francisco,CA,94104.0,2010-07-10T00:00:00.000,,2010-07-10T00:00:00.000,,Po Box 30565
0451504-01-003,451504,Kilroy Realty Lp,Kilroy Realty Lp,250 Brannan St,San Francisco,CA,94107.0,2010-05-26T00:00:00.000,,2011-01-28T00:00:00.000,,12200 W Olympic Blvd 200 Ste
0451504-01-004,451504,Kilroy Realty Lp,Kilroy Realty Lp,201 3rd St,San Francisco,CA,94103.0,2010-05-26T00:00:00.000,,2011-09-15T00:00:00.000,,12200 W Olympic Blvd 200 Ste
0451504-02-001,451504,Kilroy Realty Lp,Kilroy Realty Lp,301 Brannan St,San Francisco,CA,94107.0,2010-05-26T00:00:00.000,,2011-11-15T00:00:00.000,,12200 W Olympic Blvd 200 Ste
0451504-05-001,451504,Kilroy Realty Lp,Kr 350 Mission LLC,350 Mission St,San Francisco,CA,94105.0,2010-05-26T00:00:00.000,,2012-12-18T00:00:00.000,,12200 W Olympic Blvd 200 Ste
0451506-01-002,451506,Cdw Direct LLC,Cdw Direct LLC,1221 Greenwich St Apt 8,San Francisco,CA,94109.0,2010-01-01T00:00:00.000,,2011-10-22T00:00:00.000,,200 N Milwaukee Ave
0451506-01-003,451506,Cdw Direct LLC,Cdw Direct LLC,111 Bucareli Dr,San Francisco,CA,94132.0,2010-01-01T00:00:00.000,,2011-06-10T00:00:00.000,,200 N Milwaukee Ave
0451506-01-004,451506,Cdw Direct LLC,Cdw Direct LLC,1336 Willard St Apt E,San Francisco,CA,94117.0,2010-01-01T00:00:00.000,,2011-01-01T00:00:00.000,,200 N Milwaukee Ave
0451506-02-999,451506,Cdw Direct LLC,Cdw Direct LLC,1608 Juniper St,Livermore,CA,94551.0,2010-01-01T00:00:00.000,,2013-02-18T00:00:00.000,,200 N Milwaukee Ave
0451506-03-999,451506,Cdw Direct LLC,Cdw Direct LLC,12810 Bravo Ct,,,94046.0,2010-01-01T00:00:00.000,,2013-05-06T00:00:00.000,,200 N Milwaukee Ave
0451506-04-999,451506,Cdw Direct LLC,Cdw Direct LLC,1472 Regalo Ct,San Jose,CA,95128.0,2010-01-01T00:00:00.000,,2013-07-01T00:00:00.000,,200 N Milwaukee Ave
0451506-05-999,451506,Cdw Direct LLC,Cdw Direct LLC,7000 Sunne Ln,Walnut Creek,CA,94597.0,2010-01-01T00:00:00.000,,2013-09-12T00:00:00.000,,200 N Milwaukee Ave
0451508-01-001,451508,Cdw Government LLC,Cdw Direct LLC,2 Townsend St #1-1100,San Francisco,CA,94107.0,2010-01-01T00:00:00.000,,2010-01-01T00:00:00.000,,200 N Milwaukee Ave
0451517-01-999,451517,Mora Antonio,A M Plumbing,296 N Capitol Ave,San Jose,CA,95127.0,2010-08-06T00:00:00.000,,2010-08-06T00:00:00.000,,1640 Mabury Rd Ste B
0451529-01-001,451529,Tran Chau Myra,Golden Eagle Real Estate & Inv,1 Hallidie Plz Ste 500,San Francisco,CA,94102.0,2010-08-15T00:00:00.000,,2010-08-15T00:00:00.000,,200 Taraval St
0451529-02-001,451529,Tran Chau Myra,Mctran Construction,200 Taraval St,San Francisco,CA,94116.0,2010-08-15T00:00:00.000,,2013-09-09T00:00:00.000,,200 Taraval St
0451541-01-001,451541,Jc Real Estate Invest Grp Inc,Jc Real Estate Invest Grp Inc,1533 Taraval St,San Francisco,CA,94116.0,2010-08-06T00:00:00.000,,2010-08-06T00:00:00.000,,225 Hanover St
0451561-01-001,451561,Carson Megan M,Treat Skin,200 Green St,San Francisco,CA,94111.0,2010-08-16T00:00:00.000,,2010-08-16T00:00:00.000,,0000 Undeliverable Mail
0451569-01-001,451569,Calbay Protective Services Inc,Calbay Protective Services Inc,1270 Pennsylvania Ave #B,San Francisco,CA,94107.0,2010-01-01T00:00:00.000,,2010-01-01T00:00:00.000,,1270 Pennsylvania Ave # B
0451571-01-001,451571,Natoma LLC,Natoma LLC,770 Natoma St,San Francisco,CA,94103.0,2010-08-09T00:00:00.000,,2010-08-09T00:00:00.000,,Po Box 225313
0451594-01-999,451594,Guerra Eber Osmin,Eber Guerra Janitorial,888 Davis St Apt 111,San Leandro,CA,94577.0,2010-08-10T00:00:00.000,,2010-08-10T00:00:00.000,,888 Davis St Apt 111
0451595-02-999,451595,Giorgio Armani Corporation,Giorgio Armani,450 W 15th St Fl 4,New York,NY,10011.0,2010-07-01T00:00:00.000,,2014-01-01T00:00:00.000,,335 Madison Ave # 28
0451595-03-999,451595,Giorgio Armani Corporation,Armani Outlet Livermore,2810 Livermore Outlets Dr,Livermore,CA,94551.0,2010-07-01T00:00:00.000,,2012-11-08T00:00:00.000,,335 Madison Ave # 28
0451607-01-001,451607,Webebaking Inc,Fillmore Bakeshop,1890 Fillmore St #1,San Francisco,CA,94115.0,2010-09-15T00:00:00.000,,2010-09-15T00:00:00.000,,1890 Fillmore St
0451674-01-001,451674,Pham Viet H,Pham Photo,1435 Laguna St Apt 5,San Francisco,CA,94115.0,2010-08-11T00:00:00.000,,2010-08-11T00:00:00.000,,1435 Laguna St Apt 5
0451681-01-001,451681,Kitchen Star Inc,Kitchen Star Inc,562 Bryant St,San Francisco,CA,94107.0,2010-08-12T00:00:00.000,,2010-08-12T00:00:00.000,,562 Bryant St
