ttxid,certificate_number,ownership_name,dba_name,full_business_address,city,state,business_zip,dba_start_date,dba_end_date,location_start_date,location_end_date,mailing_address_1
0164033-02-001,164033,Binsaree Ruchanewan,4166-4168 24th St Apartments,4166 24th St,San Francisco,CA,94114.0,1987-03-30T00:00:00.000,,1990-04-03T00:00:00.000,,150 Dennis Dr
0164088-01-001,164088,Wong Ben T,Benkee Electrical&Construction,1633 11th Ave,San Francisco,CA,94122.0,1987-06-08T00:00:00.000,,2003-07-09T00:00:00.000,,1633 11th Ave
0164162-04-001,164162,Events Management Inc,Events Mgmt@Legion Of Honor,100 34th Ave,San Francisco,CA,94121.0,1987-04-01T00:00:00.000,,2009-01-20T00:00:00.000,,1798 Bryant St
0164162-05-001,164162,Events Management Inc,Events Mgmt@De Young Museum,50 Hagiwara Tea Garden Dr,San Francisco,CA,94118.0,1987-04-01T00:00:00.000,,2009-01-20T00:00:00.000,,1798 Bryant St
0164162-07-001,164162,Events Management Inc,Mccall Associates,2720 17th St,San Francisco,CA,94110.0,1987-04-01T00:00:00.000,,2013-08-30T00:00:00.000,,1798 Bryant St
0164168-02-001,164168,Lai Tung Loi,115-117 Clement St,115 Clement St,San Francisco,CA,94118.0,1987-01-01T00:00:00.000,,1990-01-01T00:00:00.000,,811 33rd Ave
0164168-03-001,164168,Lai Tung Loi,1257-10th Av Apartments,1257 10th Ave,San Francisco,CA,94122.0,1987-01-01T00:00:00.000,,1989-01-01T00:00:00.000,,811 33rd Ave
0164232-01-999,164232,Palmer Electric Inc,Palmer Electric Inc,801 C American St,Brisbane Q4068,,,1987-06-22T00:00:00.000,,1987-06-22T00:00:00.000,,801 American St C Ste
0164323-01-002,164323,Harder+Co Community Research,Harder + Co Community Research,299 Kansas St,San Francisco,CA,94103.0,1987-08-03T00:00:00.000,,2007-10-27T00:00:00.000,,3965 5th Ave Ste 420
0164399-01-001,164399,Mah Nancy & Ginn Raymond,Ginn & Mah-Dds,3520 Balboa St,San Francisco,CA,94121.0,1987-07-01T00:00:00.000,,1987-07-01T00:00:00.000,,3520 Balboa St
0164423-02-001,164423,San Francisco Communications,San Francisco Communications,79 Rossi Ave,San Francisco,CA,94118.0,2004-07-16T00:00:00.000,,2004-07-16T00:00:00.000,,79 Rossi Ave
0164468-01-999,164468,Benfarhat Raouf,North Of South Trading Co,545 Laurel St,Petaluma,CA,94952.0,1987-07-02T00:00:00.000,,1995-02-10T00:00:00.000,,545 Laurel St
0164567-02-001,164567,Sanders Albert,Another World Realty,4304 18th St #154,San Francisco,CA,94114.0,1987-08-01T00:00:00.000,,2013-04-01T00:00:00.000,,Po Box 14154
0164574-02-001,164574,Simco Fast Food Inc,Wipe Out Bar & Grill,Pier 39 A-02,San Francisco,CA,94133.0,1987-04-04T00:00:00.000,,2005-05-01T00:00:00.000,,39 Pier Pier 213
0164575-01-999,164575,Ulrich Fred,Burlingame Heating-Ventltn Inc,"821 Malcolm Road, Burlingame",Hillsborough,CA,94010.0,1987-01-01T00:00:00.000,,1987-01-01T00:00:00.000,,31721 Knapp St
0164581-01-001,164581,Commonwealth Funding Inc,Commonwealth Funding Inc,50 Chumasero Dr Apt 2l,San Francisco,CA,94132.0,1987-06-01T00:00:00.000,,2001-09-15T00:00:00.000,,50 Chumasero Dr 2-L Apt
0164582-01-001,164582,The People Connection Inc,People Connection The,201 California St Ste 440,San Francisco,CA,94111.0,1987-05-04T00:00:00.000,,2008-04-02T00:00:00.000,,57 Post St 701 Ste
0164588-05-001,164588,Melnitzer Rudy & Helaine,International Pastry,2565 3rd St Ste 342,San Francisco,CA,94107.0,1990-12-31T00:00:00.000,,2001-12-01T00:00:00.000,,2565 3rd St 342 Ste
0164588-06-001,164588,Melnitzer Rudy & Helaine,California Smart Foods,2565 3rd St Ste 341,San Francisco,CA,94107.0,1990-12-31T00:00:00.000,,2001-12-01T00:00:00.000,,2565 3rd St 342 Ste
0164636-01-999,164636,Mcrae K M Inc,Mcrae K M Inc,238 Esther Ct,Hayward,CA,94544.0,1987-07-22T00:00:00.000,,1987-07-22T00:00:00.000,,Po Box 188
0164651-01-001,164651,Hershman Donald E Dpm,Amer Podiatry Group,450 Sutter St Rm 1101,San Francisco,CA,94108.0,1982-06-01T00:00:00.000,,1982-06-01T00:00:00.000,,450 Sutter St Rm 1101
0164677-01-001,164677,Wai Hing Imports Inc,Wai Hing Chinese Crafts Import,829 Grant Ave,San Francisco,CA,94108.0,1987-07-03T00:00:00.000,,1987-07-03T00:00:00.000,,829 Grant Ave
0164862-03-999,164862,Redwood Electric Group Inc,Redwood Electric Group Inc,2775 Northwestern Pkwy,Santa Clara,CA,95051.0,2002-04-15T00:00:00.000,,2013-01-01T00:00:00.000,,2775 Northwestern Pkwy
0164894-01-001,164894,K & K Diversified Inc,Toronado,547 Haight St,San Francisco,CA,94117.0,1987-08-01T00:00:00.000,,1987-08-01T00:00:00.000,,547 Haight St
0164923-01-001,164923,Ghattas Lotfi Nabbeh & Mary,Bus Stop Grocery,2698 San Bruno Ave,San Francisco,CA,94134.0,1987-01-01T00:00:00.000,,1987-01-01T00:00:00.000,,2698 San Bruno Ave
0164948-01-001,164948,Erkelens William J,Aunt Charlies,133 Turk St,San Francisco,CA,94102.0,1987-04-01T00:00:00.000,,1987-04-01T00:00:00.000,,133 Turk St
0164952-01-001,164952,Schwartz Andrew,Skin Zone,748 Castro St,San Francisco,CA,94114.0,1987-04-01T00:00:00.000,,2006-01-01T00:00:00.000,,748 Po Box 460925
0164960-01-001,164960,Sokolsky Andrew P,Andrews Chiropractic Care,2 Monterey Blvd,San Francisco,CA,94131.0,1987-08-10T00:00:00.000,,1987-08-10T00:00:00.000,,2 Monterey Blvd
0164960-02-001,164960,Sokolsky Andrew P,Glen Park Chiropractic,2 Monterey Blvd,San Francisco,CA,94131.0,1987-08-10T00:00:00.000,,2000-03-30T00:00:00.000,,2 Monterey Blvd
0164960-03-001,164960,Sokolsky Andrew P,The Sokolsky Plan,2 Monterey Blvd,San Francisco,CA,94131.0,1987-08-10T00:00:00.000,,2008-04-08T00:00:00.000,,2 Monterey Blvd
0164960-04-001,164960,Sokolsky Andrew P,San Francisco Weight Loss Ctr,2 Monterey Blvd,San Francisco,CA,94131.0,1987-08-10T00:00:00.000,,2009-10-01T00:00:00.000,,2 Monterey Blvd
0164994-01-001,164994,Gisela Lloyd R,3055 Gough St Apartments,3055 Gough St,San Francisco,CA,94123.0,1987-05-05T00:00:00.000,,1987-05-05T00:00:00.000,,15330 Rainbird Rd
0164999-02-001,164999,Louie Moon F & Chung W,278 27th Av Apartments,278 27th Ave,San Francisco,CA,94121.0,1987-01-01T00:00:00.000,,1987-01-01T00:00:00.000,,2429 Anza St
0164999-03-001,164999,Louie Moon F & Chung W,1129-1131 Pacific,1129 Pacific Ave,San Francisco,CA,94133.0,1987-01-01T00:00:00.000,,1992-01-01T00:00:00.000,,2429 Anza St
0164999-04-001,164999,Louie Moon F & Chung W,40 Anzavista Ave Apt,40 Anzavista Ave,San Francisco,CA,94115.0,1987-01-01T00:00:00.000,,1989-08-01T00:00:00.000,,2429 Anza St
0165065-02-001,165065,Pak Carolyn J,Pak Carolyn J Cpa,2487 38th Ave,San Francisco,CA,94116.0,2004-12-03T00:00:00.000,,2004-12-03T00:00:00.000,,2487 38th Ave
0165273-01-001,165273,Toy Laura Ng,2800-2806 Anza St Apartments,2800 Anza St,San Francisco,CA,94121.0,1987-01-01T00:00:00.000,,1987-01-01T00:00:00.000,,1901 Lawton St
0165276-02-001,165276,Louie Sammy & Eleanor,1381 48th Av Apartments,1381 48th Ave,San Francisco,CA,94122.0,1987-01-01T00:00:00.000,,1988-01-01T00:00:00.000,,1749 15th Ave
0165292-01-001,165292,Paul Steurt R & Judith L,667-71 Castro St Apartments,667 Castro St,San Francisco,CA,94114.0,1987-01-01T00:00:00.000,,1987-01-01T00:00:00.000,,1704 Union St
