ttxid,certificate_number,ownership_name,dba_name,full_business_address,city,state,business_zip,dba_start_date,dba_end_date,location_start_date,location_end_date,mailing_address_1
0205452-01-999,205452,Milti-Amp Corp,Multi-Amp Corp,4271 Bronze Wy,Brisbane Q4068,,,1991-01-01T00:00:00.000,,1991-01-01T00:00:00.000,,4545 W Davis St
0205498-01-001,205498,Schwendiman Mark R,Schwendiman Mark Designs,1700 Broadway Apt 402,San Francisco,CA,94109.0,1984-10-01T00:00:00.000,,1984-10-01T00:00:00.000,,1700 Broadway Apt 402
0205561-01-999,205561,Intelligent Tech & Svcs Inc,Intelligent Tech & Svcs Inc,"P O Box 1317, Pleasanton Ca",Brisbane Q4068,,,1991-03-01T00:00:00.000,,1991-03-01T00:00:00.000,,1031 Serpentine Ln Ste 101
0205574-01-999,205574,Alcon Laboratories Inc,Alcon Laboratories Inc,6201 S Freeway Fort Worth Tx,Fort Worth,TX,76134.0,1991-01-01T00:00:00.000,,1991-01-01T00:00:00.000,,6201 S Frwy
0205593-01-001,205593,Weinstein Joel,3616 18th St Apartments,3616 18th St,San Francisco,CA,94110.0,1991-01-01T00:00:00.000,,2003-02-13T00:00:00.000,,2051 Ralston Ave
0205612-01-001,205612,Liu Michael,Liu Michael Construction Co,25 Galilee Ln Apt 3,San Francisco,CA,94115.0,1991-04-01T00:00:00.000,,1991-04-01T00:00:00.000,,25 Galilee Ln Apt 3
0205614-01-001,205614,Braby Edward Paul Dr,1495 Golden Gate Apartments,1495 Golden Gate Ave,San Francisco,CA,94115.0,1989-01-01T00:00:00.000,,1989-01-01T00:00:00.000,,Po Box 14128
0205614-02-001,205614,Braby Edward Paul Dr,745 Fillmore St Apts,745 Fillmore St,San Francisco,CA,94117.0,1989-01-01T00:00:00.000,,1989-01-01T00:00:00.000,,Po Box 14128
0205614-03-001,205614,Braby Edward Paul Dr,1970 15th St Apts,1970 15th St,San Francisco,CA,94114.0,1989-01-01T00:00:00.000,,1989-01-01T00:00:00.000,,Po Box 14128
0205614-04-001,205614,Braby Edward Paul Dr,181 Franklin St Bldg,181 Franklin St,San Francisco,CA,94102.0,1989-01-01T00:00:00.000,,1997-08-21T00:00:00.000,,Po Box 14128
0205616-01-001,205616,Hurtado Victor G,Victor Enterprises,2953 24th St,San Francisco,CA,94110.0,1991-01-01T00:00:00.000,,1991-01-01T00:00:00.000,,2953 24th St
0205625-03-001,205625,Chow Albert,Great Wall,1821 Taraval St,San Francisco,CA,94116.0,2005-03-03T00:00:00.000,,2008-10-02T00:00:00.000,,1821 Taraval St
0205674-01-001,205674,Bay Cities Painters-Decorators,Bay Cities Painters-Decorators,Pier 28 The Embarcadero,San Francisco,CA,94103.0,1991-01-01T00:00:00.000,,2005-05-02T00:00:00.000,,28 Pier 28 Pier
0205693-01-001,205693,Debanne Trust The,1352 Filbert St Apartments,1352 Filbert St,San Francisco,CA,94109.0,1991-01-01T00:00:00.000,,1991-01-01T00:00:00.000,,1354 Filbert St
0205749-01-001,205749,Koloski Vincent C,Koloski Vince Studios,1094 Revere Ave Ste A41,San Francisco,CA,94124.0,1991-07-01T00:00:00.000,,1991-07-01T00:00:00.000,,1094 Revere Ave Ste A41
0205777-03-001,205777,Yeung Gary Chi Wai,Eclipse Salon,2047 Polk St,San Francisco,CA,94109.0,1999-03-22T00:00:00.000,,2009-03-09T00:00:00.000,,2047 Polk St
0205793-01-999,205793,Challenge Dairy Products Inc,Challenge Dairy Products Inc,11875 Dublin Blvd #B230,Dublin,CA,94568.0,1991-06-06T00:00:00.000,,1991-06-06T00:00:00.000,,6701 Donlon Way
0205802-03-999,205802,Pacific Erectors Inc,Pacific Erectors Inc,4460 Yankee Hill Rd,Rocklin,CA,95677.0,2010-01-01T00:00:00.000,,2010-01-01T00:00:00.000,,4460 Yankee Hill Rd
0205886-04-001,205886,Tan Nathan S,Nate1design,1890 30th Ave,San Francisco,CA,94122.0,1991-06-11T00:00:00.000,,2012-07-05T00:00:00.000,,2101 18th Ave
0205886-05-001,205886,Tan Nathan S,New Skool,1890 30th Ave,San Francisco,CA,94122.0,1991-06-11T00:00:00.000,,2012-07-05T00:00:00.000,,2101 18th Ave
0205903-01-001,205903,Chan Jeffrey C & Guo-Ling,G J Cleaner,1826 San Jose Ave,San Francisco,CA,94112.0,1991-07-01T00:00:00.000,,1991-07-01T00:00:00.000,,1826 San Jose Ave
0205904-01-001,205904,Wei Carol T R,Carol Wei's School Of Dance,403 32nd Ave,San Francisco,CA,94121.0,1989-10-01T00:00:00.000,,1989-10-01T00:00:00.000,,481 40th Ave
0205918-01-999,205918,Vient D C Inc,Vient D C Inc,"P O Box D, Modesto Ca",Modesto,CA,95352.0,1991-06-10T00:00:00.000,,1991-06-10T00:00:00.000,,Po Box P. O. Box D
0205958-03-001,205958,Maca Builders Inc,Maca Builders Inc,528 Arch St,San Francisco,CA,94132.0,2004-04-27T00:00:00.000,,2009-09-03T00:00:00.000,,739 Washington St Ste 300
0205974-01-001,205974,Ahuruonye Hyacinth C,Hca & Co Cpa,595 Market St Ste 2160,San Francisco,CA,94105.0,1989-01-01T00:00:00.000,,2002-01-01T00:00:00.000,,595 Market St 1180
0205974-02-001,205974,Ahuruonye Hyacinth C,Hca,595 Market St Ste 2160,San Francisco,CA,94105.0,1989-01-01T00:00:00.000,,2002-01-01T00:00:00.000,,595 Market St 1180
0205974-03-001,205974,Ahuruonye Hyacinth C,Hca Enterprises,595 Market St Ste 2160,San Francisco,CA,94105.0,1989-01-01T00:00:00.000,,2002-01-01T00:00:00.000,,595 Market St 1180
0205974-04-001,205974,Ahuruonye Hyacinth C,Hca Records,595 Market St Ste 2160,San Francisco,CA,94105.0,1989-01-01T00:00:00.000,,2002-01-01T00:00:00.000,,595 Market St 1180
0205974-05-001,205974,Ahuruonye Hyacinth C,Hca & Cu Cpa,595 Market St Ste 2160,San Francisco,CA,94105.0,1989-01-01T00:00:00.000,,2002-09-01T00:00:00.000,,595 Market St 1180
0205987-01-001,205987,Chee Martin A,Chee Martin A Dds,500 Sutter St Ste 523,San Francisco,CA,94102.0,1991-06-17T00:00:00.000,,1991-06-17T00:00:00.000,,500 Sutter St Ste 523
