"pdid","incidntnum","incident_code","category","descript","dayofweek","date","time","pddistrict","resolution","address","x","y","location",":@computed_region_6qbp_sg9q",":@computed_region_qgnn_b9vv",":@computed_region_26cr_cadq",":@computed_region_ajp5_b2md",":@computed_region_yftq_j783",":@computed_region_p5aj_wyqh",":@computed_region_rxqg_mtj9",":@computed_region_bh8s_q3mv",":@computed_region_fyvs_ahh9",":@computed_region_9dfj_4gjx",":@computed_region_n4xg_c4py",":@computed_region_4isq_27mq",":@computed_region_fcz8_est8",":@computed_region_pigm_ib2e",":@computed_region_9jxd_iqea",":@computed_region_6pnf_4xz7",":@computed_region_6ezc_tdp2",":@computed_region_h4ep_8xdi",":@computed_region_nqbw_i6c3",":@computed_region_2dwj_jsy4",":@computed_region_jwn9_ihcz"
"9076494315150","090764943","15150","OTHER OFFENSES","VIOLATION OF RESTRAINING ORDER","Tuesday","2009-07-28T00:00:00.000","09:00","SOUTHERN","NONE","800 Block of BRYANT ST","-122.403404791479","37.775420706711","POINT (-122.40340479147902 37.775420706711)","32","1","10","34","14","2","9","28853","34",,,,,,,"2",,,,,"32"
"11096609906244","110966099","06244","LARCENY/THEFT","GRAND THEFT FROM LOCKED AUTO","Friday","2011-12-02T00:00:00.000","09:30","SOUTHERN","NONE","800 Block of BRYANT ST","-122.403404791479","37.775420706711","POINT (-122.40340479147902 37.775420706711)","32","1","10","34","14","2","9","28853","34",,,,,,,"2",,,,,"32"
"8125169068020","081251690","68020","OTHER OFFENSES","MISCELLANEOUS INVESTIGATION","Saturday","2008-11-22T00:00:00.000","18:00","TENDERLOIN","NONE","300 Block of EDDY ST","-122.412930522059","37.7838344374141","POINT (-122.412930522059 37.7838344374141)","20","5","10","36","7","10","9","28852","36","17","1","18",,"18","6","2","1","1",,,"20"
"10108510106152","101085101","06152","LARCENY/THEFT","GRAND THEFT FROM PERSON","Monday","2010-11-22T00:00:00.000","22:36","NORTHERN","NONE","GEARY BL / WEBSTER ST","-122.431206932079","37.7845681170336","POINT (-122.43120693207901 37.7845681170336)","101","4","11","39","13","9","11","29490","41","8",,"9",,"9",,"2",,,,,"101"
"6021313006361","060213130","06361","LARCENY/THEFT","PETTY THEFT SHOPLIFTING","Friday","2006-02-24T00:00:00.000","15:30","TENDERLOIN","ARREST, BOOKED","0 Block of OFARRELL ST","-122.405895369887","37.7867342184983","POINT (-122.405895369887 37.7867342184983)","19","6","3","8","5","10","10","28857","6","10",,"12",,"12","5","2",,,,,"19"
"5002971507041","050029715","07041","VEHICLE THEFT","VEHICLE, RECOVERED, AUTO","Saturday","2005-01-08T00:00:00.000","10:30","MISSION","NONE","25TH ST / SOUTH VAN NESS AV","-122.416109699284","37.7507718949493","POINT (-122.41610969928401 37.7507718949493)","53","3","2","20","2","4","7","28859","19",,,,"3",,,"2",,,"3",,"53"
"11088415630200","110884156","30200","OTHER OFFENSES","VIOLATION OF MUNICIPAL CODE","Tuesday","2011-11-01T00:00:00.000","21:00","SOUTHERN","NONE","800 Block of BRYANT ST","-122.403404791479","37.775420706711","POINT (-122.40340479147902 37.775420706711)","32","1","10","34","14","2","9","28853","34",,,,,,,"2",,,,,"32"
"5083774016710","050837740","16710","DRUG/NARCOTIC","POSSESSION OF NARCOTICS PARAPHERNALIA","Wednesday","2005-07-27T00:00:00.000","10:59","TENDERLOIN","ARREST, CITED","0 Block of TURK ST","-122.409849441655","37.7832755202567","POINT (-122.40984944165501 37.7832755202567)","20","5","10","36","14","10","9","28852","36","17","1","18",,"18","6","2","1","1",,,"20"
"6008502007021","060085020","07021","VEHICLE THEFT","STOLEN AUTOMOBILE","Saturday","2006-01-21T00:00:00.000","14:00","TARAVAL","NONE","1500 Block of 43RD AV","-122.502445754989","37.7577525400824","POINT (-122.50244575498898 37.7577525400824)","39","10","7","35","1","8","3","56","35",,,,,,,"1",,,,,"39"
"7061651864070","070616518","64070","SUSPICIOUS OCC","SUSPICIOUS OCCURRENCE","Monday","2007-06-18T00:00:00.000","18:05","MISSION","NONE","900 Block of ELIZABETH ST","-122.441742151851","37.751689279742","POINT (-122.44174215185102 37.751689279742)","51","3","5","22","2","4","5","28862","22",,,,,,,"1",,,,,"51"
