"pdid","incidntnum","incident_code","category","descript","dayofweek","date","time","pddistrict","resolution","address","x","y","location",":@computed_region_6qbp_sg9q",":@computed_region_qgnn_b9vv",":@computed_region_26cr_cadq",":@computed_region_ajp5_b2md",":@computed_region_yftq_j783",":@computed_region_p5aj_wyqh",":@computed_region_rxqg_mtj9",":@computed_region_bh8s_q3mv",":@computed_region_fyvs_ahh9",":@computed_region_9dfj_4gjx",":@computed_region_n4xg_c4py",":@computed_region_4isq_27mq",":@computed_region_fcz8_est8",":@computed_region_pigm_ib2e",":@computed_region_9jxd_iqea",":@computed_region_6pnf_4xz7",":@computed_region_6ezc_tdp2",":@computed_region_h4ep_8xdi",":@computed_region_nqbw_i6c3",":@computed_region_2dwj_jsy4",":@computed_region_jwn9_ihcz"
"13027700875030","130277008","75030","NON-CRIMINAL","CASE CLOSURE","Wednesday","2013-04-03T00:00:00.000","11:00","SOUTHERN","COMPLAINANT REFUSES TO PROSECUTE","300 Block of KING ST","-122.395021745914","37.7753128522284","POINT (-122.395021745914 37.7753128522284)","34","1","10","4","6","2","9","310","20",,,,,,,"1",,,,,"34"
"9011333415150","090113334","15150","OTHER OFFENSES","VIOLATION OF RESTRAINING ORDER","Saturday","2009-01-31T00:00:00.000","15:59","PARK","ARREST, BOOKED","700 Block of STANYAN ST","-122.453512911126","37.7686969786551","POINT (-122.453512911126 37.7686969786551)","9","7","11","12","11","5","11","29492","8","22",,"24",,"25",,"1",,,,,"9"
"13063683016650","130636830","16650","DRUG/NARCOTIC","POSSESSION OF METH-AMPHETAMINE","Friday","2013-08-02T00:00:00.000","10:37","INGLESIDE","ARREST, BOOKED","200 Block of BOWDOIN ST","-122.413013320943","37.7311047855511","POINT (-122.41301332094301 37.7311047855511)","91","2","2","25","9","3","7","309","28",,,,,,,"2",,,,,"91"
"3000755928160","030007559","28160","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Wednesday","2003-01-01T00:00:00.000","15:30","RICHMOND","NONE","5900 Block of CALIFORNIA ST","-122.481272413752","37.7841067969599","POINT (-122.48127241375201 37.7841067969599)","2","8","4","29","11","6","2","55","26",,,,,,,"2",,,,,"2"
"6107767671000","061077676","71000","NON-CRIMINAL","LOST PROPERTY","Monday","2006-09-04T00:00:00.000","23:30","SOUTHERN","NONE","9TH ST / FOLSOM ST","-122.411612378034","37.7737679567236","POINT (-122.411612378034 37.7737679567236)","32","1","10","34","8","2","9","28853","34",,"1",,"1",,,"2",,,"1",,"32"
"3062373519050","030623735","19050","OTHER OFFENSES","OBSCENE PHONE CALLS(S)","Thursday","2003-05-22T00:00:00.000","08:30","INGLESIDE","NONE","600 Block of AVALON AV","-122.427255005951","37.7253790171504","POINT (-122.427255005951 37.7253790171504)","90","9","1","7","9","7","6","28861","5",,,,,,,"1",,,,,"90"
"5112451607025","051124516","07025","VEHICLE THEFT","STOLEN TRUCK","Tuesday","2005-10-04T00:00:00.000","17:30","TARAVAL","NONE","33RD AV / JUDAH ST","-122.491997442745","37.7610370994068","POINT (-122.49199744274502 37.7610370994068)","39","10","7","35","1","8","3","56","35",,,,,,,"1",,,,,"39"
"13100987068020","131009870","68020","OTHER OFFENSES","MISCELLANEOUS INVESTIGATION","Thursday","2013-11-28T00:00:00.000","19:40","TARAVAL","NONE","600 Block of LAKEVIEW AV","-122.457685971124","37.7182873221809","POINT (-122.457685971124 37.7182873221809)","64","10","1","24","9","8","6","28861","24",,,,,,,"2",,,,,"64"
"7125809812030","071258098","12030","WEAPON LAWS","EXHIBITING DEADLY WEAPON IN A THREATING MANNER","Sunday","2007-12-09T00:00:00.000","00:01","SOUTHERN","ARREST, BOOKED","100 Block of 6TH ST","-122.408368579345","37.7807784253732","POINT (-122.40836857934498 37.7807784253732)","32","1","10","34","14","2","9","28853","34","24","1","6","1","6","7","2","1","1","1",,"32"
"3003337263010","030033372","63010","WARRANTS","WARRANT ARREST","Wednesday","2003-01-08T00:00:00.000","20:19","CENTRAL","ARREST, BOOKED","1300 Block of TAYLOR ST","-122.413169470388","37.7947589530812","POINT (-122.41316947038801 37.7947589530812)","16","6","3","21","5","1","10","28857","21",,,,,,,"1",,,,,"16"
"10025934316010","100259343","16010","DRUG/NARCOTIC","POSSESSION OF MARIJUANA","Thursday","2010-03-18T00:00:00.000","23:20","SOUTHERN","ARREST, BOOKED","9TH ST / MISSION ST","-122.414714295579","37.7762310404758","POINT (-122.414714295579 37.7762310404758)","32","1","10","34","8","2","9","28853","34",,"1",,"1",,"7","2","1","1","1",,"32"
"9082036305071","090820363","05071","BURGLARY","BURGLARY, FORCIBLE ENTRY","Tuesday","2009-08-11T00:00:00.000","20:30","TENDERLOIN","NONE","200 Block of GOLDEN GATE AV","-122.414302052544","37.781863316866","POINT (-122.41430205254399 37.781863316866)","20","5","10","36","7","10","9","28852","36","17","1","18","1","18","6","2","1","1","1",,"20"
"13603204228150","136032042","28150","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Tuesday","2013-02-12T00:00:00.000","18:00","NORTHERN","NONE","VANNESS AV / BROADWAY ST","-122.423413057205","37.795737109246","POINT (-122.423413057205 37.795737109246)","102","4","6","32","13","9","1","28858","32",,,,,,,"1",,,,,"102"
"3043253603044","030432536","03044","ROBBERY","ROBBERY OF A CHAIN STORE WITH BODILY FORCE","Saturday","2003-04-12T00:00:00.000","22:41","NORTHERN","NONE","1400 Block of WEBSTER ST","-122.431240435829","37.7840280157969","POINT (-122.431240435829 37.7840280157969)","101","4","11","39","13","9","11","29490","41","8",,"9",,"9",,"2",,,,,"101"
"11039004009320","110390040","09320","FRAUD","CREDIT CARD, THEFT BY USE OF","Saturday","2011-05-14T00:00:00.000","15:00","TARAVAL","NONE","100 Block of WESTPORTAL AV","-122.468117499815","37.7389000144845","POINT (-122.46811749981501 37.7389000144845)","46","10","8","41","1","8","4","59","40",,,,,,,"1",,,,,"46"
"11031405663010","110314056","63010","WARRANTS","WARRANT ARREST","Sunday","2011-04-17T00:00:00.000","22:50","SOUTHERN","ARREST, BOOKED","1100 Block of MARKET ST","-122.413564091744","37.779514030063","POINT (-122.413564091744 37.779514030063)","32","5","10","34","8","2","9","28853","34","3","1","3","1","3","7","2","1","1","1","35","32"
"3002121415200","030021214","15200","SECONDARY CODES","DOMESTIC VIOLENCE","Friday","2003-01-03T00:00:00.000","11:00","INGLESIDE","NONE","100 Block of OCEAN AV","-122.43934468789","37.723624467748","POINT (-122.43934468789 37.723624467748)","94","9","1","28","9","7","6","28861","25",,,,,,,"1",,,,,"94"
"12076736003014","120767360","03014","ROBBERY","ROBBERY ON THE STREET, STRONGARM","Monday","2012-09-24T00:00:00.000","18:18","MISSION","NONE","2300 Block of 16TH ST","-122.409529913278","37.7657184395282","POINT (-122.40952991327799 37.7657184395282)","53","3","9","20","8","4","8","28853","19",,,,"3",,,"2",,,"3",,"53"
"13022665706240","130226657","06240","LARCENY/THEFT","ATTEMPTED THEFT FROM LOCKED VEHICLE","Monday","2013-03-18T00:00:00.000","23:00","TARAVAL","NONE","0 Block of FAIRFIELD WY","-122.463383028865","37.7267977688125","POINT (-122.463383028865 37.7267977688125)","68","10","8","41","9","8","4","59","40",,,,,,,"1",,,,,"68"
"11081515104134","110815151","04134","ASSAULT","BATTERY","Sunday","2011-10-09T00:00:00.000","16:00","MISSION","NONE","3000 Block of 21ST ST","-122.415089059899","37.7573197989318","POINT (-122.41508905989899 37.7573197989318)","53","3","2","20","2","4","7","28859","19","13",,"15","3","15",,"2",,,"3","60","53"
"5039606971000","050396069","71000","NON-CRIMINAL","LOST PROPERTY","Thursday","2005-04-07T00:00:00.000","15:30","SOUTHERN","NONE","MARKET ST / POWELL ST","-122.407545855938","37.7844011794631","POINT (-122.40754585593801 37.7844011794631)","19","5","10","34","12","2","9","28853","34","17",,"18",,"18","5","2","1",,,"35","19"
"10027888264085","100278882","64085","SUSPICIOUS OCC","INVESTIGATIVE DETENTION","Wednesday","2010-03-24T00:00:00.000","18:16","RICHMOND","NONE","400 Block of 47TH AV","-122.508264103163","37.7794627283881","POINT (-122.50826410316301 37.7794627283881)","6","8","4","29","11","6","2","55","26",,,,,,,"1",,,,,"6"
"6128179271000","061281792","71000","NON-CRIMINAL","LOST PROPERTY","Saturday","2006-12-02T00:00:00.000","10:00","SOUTHERN","NONE","800 Block of BRYANT ST","-122.403404791479","37.775420706711","POINT (-122.40340479147902 37.775420706711)","32","1","10","34","14","2","9","28853","34",,,,,,,"2",,,,,"32"
"10054089104134","100540891","04134","ASSAULT","BATTERY","Friday","2010-06-11T00:00:00.000","13:30","TARAVAL","NONE","0 Block of EDGAR PL","-122.452222836761","37.7209145102852","POINT (-122.45222283676098 37.7209145102852)","64","10","1","24","9","8","6","28861","24",,,,,,,"2",,,,,"64"
"12006382309250","120063823","09250","FRAUD","FRAUDULENT USE OF AUTOMATED TELLER CARD","Thursday","2012-01-12T00:00:00.000","09:00","INGLESIDE","NONE","200 Block of MONTEREY BL","-122.440906402233","37.7314749522922","POINT (-122.44090640223301 37.7314749522922)","95","9","8","41","9","7","4","63","40",,,,,,,"1",,,,,"95"
"3042001403014","030420014","03014","ROBBERY","ROBBERY ON THE STREET, STRONGARM","Wednesday","2003-04-09T00:00:00.000","23:30","NORTHERN","NONE","WALLER ST / FILLMORE ST","-122.430263450525","37.7711730992261","POINT (-122.430263450525 37.7711730992261)","28","7","11","9","7","9","11","29492","10",,,,,,,"1",,,,,"28"
"5048561207041","050485612","07041","VEHICLE THEFT","VEHICLE, RECOVERED, AUTO","Sunday","2005-05-01T00:00:00.000","15:05","CENTRAL","NONE","800 Block of VALLEJO ST","-122.411302650354","37.798321225099","POINT (-122.411302650354 37.798321225099)","107","6","3","6","3","1","10","308","4",,,,,,,"2",,,,,"107"
"6079537664070","060795376","64070","SUSPICIOUS OCC","SUSPICIOUS OCCURRENCE","Thursday","2006-07-27T00:00:00.000","17:09","TARAVAL","NONE","0 Block of WESTPORTAL AV","-122.466448582438","37.7403329886376","POINT (-122.466448582438 37.7403329886376)","46","10","8","41","1","8","4","59","40",,,,,,,"1",,,,,"46"
"8105605865050","081056058","65050","DRIVING UNDER THE INFLUENCE","DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL","Saturday","2008-10-04T00:00:00.000","00:36","NORTHERN","ARREST, CITED","OCTAVIA ST / BAY ST","-122.430048417662","37.8035160637942","POINT (-122.430048417662 37.8035160637942)","98","4","6","13","13","9","1","28858","17",,,,,,,"1",,,,,"98"
"4008359963010","040083599","63010","WARRANTS","WARRANT ARREST","Wednesday","2004-01-21T00:00:00.000","23:20","BAYVIEW","ARREST, BOOKED","JENNINGS ST / REVERE AV","-122.386420682565","37.7295447729959","POINT (-122.38642068256502 37.7295447729959)","86","2","9","1","10","3","8","58","1",,,,,,,"2",,,,,"86"
"13001243426080","130012434","26080","OTHER OFFENSES","CONSPIRACY","Saturday","2013-01-05T00:00:00.000","08:30","RICHMOND","ARREST, BOOKED","300 Block of 32ND AV","-122.49248913097","37.7822906641847","POINT (-122.49248913097001 37.7822906641847)","8","8","4","29","11","6","2","55","26",,,,,,,"2",,,,,"8"
"3128707165016","031287071","65016","OTHER OFFENSES","DRIVERS LICENSE, SUSPENDED OR REVOKED","Saturday","2003-11-01T00:00:00.000","22:10","SOUTHERN","ARREST, CITED","HARRISON ST / 4TH ST","-122.399617558789","37.7807906549838","POINT (-122.39961755878902 37.7807906549838)","32","1","10","34","6","2","9","28856","34",,,,,,"4","2",,,,,"32"
"8084014903411","080840149","03411","ROBBERY","ATTEMPTED ROBBERY ON THE STREET WITH A GUN","Thursday","2008-08-07T00:00:00.000","21:40","NORTHERN","NONE","900 Block of LAGUNA ST","-122.427039990746","37.7799602707966","POINT (-122.42703999074601 37.7799602707966)","97","4","11","39","7","9","11","29490","41",,,,,,,"2",,,,,"97"
"3061093607041","030610936","07041","VEHICLE THEFT","VEHICLE, RECOVERED, AUTO","Sunday","2003-05-25T00:00:00.000","04:30","TARAVAL","NONE","1200 Block of LA PLAYA ST","-122.509403436665","37.7630666354225","POINT (-122.50940343666498 37.7630666354225)","39","10","7","35","1","8","3","56","35",,,,,,,"1",,,,,"39"
"7089607704013","070896077","04013","ASSAULT","AGGRAVATED ASSAULT WITH A DEADLY WEAPON","Saturday","2007-09-01T00:00:00.000","22:00","MISSION","NONE","2600 Block of BRYANT ST","-122.408983439759","37.751987040935","POINT (-122.408983439759 37.751987040935)","53","3","2","20","2","4","7","28859","19",,,,"3",,,"1",,,"3",,"53"
"4081390462050","040813904","62050","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Saturday","2004-07-17T00:00:00.000","01:44","TARAVAL","ARREST, BOOKED","RANDOLPH ST / BRIGHT ST","-122.463500207712","37.7143005357294","POINT (-122.46350020771202 37.7143005357294)","65","10","1","24","9","8","6","64","24",,,,,,,"2",,,,,"65"
"7071431665016","070714316","65016","OTHER OFFENSES","DRIVERS LICENSE, SUSPENDED OR REVOKED","Sunday","2007-07-15T00:00:00.000","21:55","MISSION","ARREST, CITED","MISSION ST / 16TH ST","-122.419671780296","37.7650501214668","POINT (-122.419671780296 37.7650501214668)","53","3","2","20","8","4","7","28859","19","12",,"14","3","14",,"2",,,"3","50","53"
"11040663175000","110406631","75000","MISSING PERSON","FOUND PERSON","Friday","2011-05-20T00:00:00.000","07:00","RICHMOND","LOCATED","900 Block of CABRILLO ST","-122.468706870862","37.7752040514383","POINT (-122.468706870862 37.7752040514383)","5","8","4","11","11","6","2","54","11",,,,,,,"1",,,,,"5"
"5086899912026","050868999","12026","WEAPON LAWS","DISCHARGE FIREARM AT AN INHABITED DWELLING","Wednesday","2005-08-03T00:00:00.000","21:08","INGLESIDE","NONE","700 Block of MOSCOW ST","-122.431690484339","37.7157728286068","POINT (-122.431690484339 37.7157728286068)","90","9","1","7","9","7","6","28861","5",,,,,,,"2",,,,,"90"
"6041621505072","060416215","05072","BURGLARY","BURGLARY, ATTEMPTED FORCIBLE ENTRY","Tuesday","2006-04-18T00:00:00.000","19:00","RICHMOND","NONE","1000 Block of CLEMENT ST","-122.470322318777","37.7827315132733","POINT (-122.470322318777 37.7827315132733)","5","8","4","11","11","6","2","54","11",,,,,,,"1",,,,,"5"
"7108265915150","071082659","15150","OTHER OFFENSES","VIOLATION OF RESTRAINING ORDER","Monday","2007-10-22T00:00:00.000","10:15","MISSION","NONE","2100 Block of MISSION ST","-122.419470488515","37.7622701739914","POINT (-122.41947048851502 37.7622701739914)","53","3","2","20","8","4","7","28859","19","13",,"15","3","15",,"2",,,"3",,"53"
"8090289607023","080902896","07023","VEHICLE THEFT","STOLEN MOTORCYCLE","Tuesday","2008-08-26T00:00:00.000","08:30","SOUTHERN","NONE","200 Block of MISSION ST","-122.395336395079","37.7914518970007","POINT (-122.39533639507901 37.7914518970007)","108","1","10","8","12","2","9","28855","6",,,,,,"3","1",,,,,"108"
"8104337828150","081043378","28150","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Wednesday","2008-10-01T00:00:00.000","00:50","RICHMOND","ARREST, CITED","2300 Block of GOLDEN GATE AV","-122.449116002905","37.7773216006661","POINT (-122.449116002905 37.7773216006661)","12","7","4","18","15","6","2","29492","16",,,,,,,"1",,,,,"12"
"10104971563010","101049715","63010","WARRANTS","WARRANT ARREST","Thursday","2010-11-11T00:00:00.000","18:07","SOUTHERN","ARREST, BOOKED","400 Block of JESSIE ST","-122.408534383763","37.7820325646934","POINT (-122.408534383763 37.7820325646934)","32","5","10","34","14","2","9","28853","34",,"1",,,,"7","2","1","1",,,"32"
"8131502027195","081315020","27195","TRESPASS","TRESPASSING","Tuesday","2008-12-09T00:00:00.000","17:33","TENDERLOIN","ARREST, CITED","0 Block of POWELL ST","-122.407845374111","37.7850943210103","POINT (-122.407845374111 37.7850943210103)","19","6","3","36","14","10","10","28852","36",,,,,,"5","2","1","1",,,"19"
"6604827406244","066048274","06244","LARCENY/THEFT","GRAND THEFT FROM LOCKED AUTO","Friday","2006-07-21T00:00:00.000","17:00","SOUTHERN","NONE","800 Block of BRYANT ST","-122.403404791479","37.775420706711","POINT (-122.40340479147902 37.775420706711)","32","1","10","34","14","2","9","28853","34",,,,,,,"2",,,,,"32"
"3094976315150","030949763","15150","OTHER OFFENSES","VIOLATION OF RESTRAINING ORDER","Monday","2003-08-11T00:00:00.000","21:04","MISSION","NONE","900 Block of ALABAMA ST","-122.411278054259","37.7566750455245","POINT (-122.411278054259 37.7566750455245)","53","3","2","20","2","4","7","28859","19",,,,"3",,,"2",,,"3",,"53"
"4062952974000","040629529","74000","MISSING PERSON","MISSING ADULT","Tuesday","2004-06-01T00:00:00.000","10:00","NORTHERN","NONE","2400 Block of JACKSON ST","-122.435385464038","37.7923108893368","POINT (-122.435385464038 37.7923108893368)","102","4","6","30","13","9","1","29490","27",,,,,,,"1",,,,,"102"
"8073548727195","080735487","27195","TRESPASS","TRESPASSING","Monday","2008-07-14T00:00:00.000","02:10","MISSION","ARREST, BOOKED","300 Block of NOE ST","-122.432955532301","37.7633958260603","POINT (-122.432955532301 37.7633958260603)","38","3","5","5","15","4","5","28862","3",,,,,"1",,"1",,,"5",,"38"
