"pdid","incidntnum","incident_code","category","descript","dayofweek","date","time","pddistrict","resolution","address","x","y","location",":@computed_region_6qbp_sg9q",":@computed_region_qgnn_b9vv",":@computed_region_26cr_cadq",":@computed_region_ajp5_b2md",":@computed_region_yftq_j783",":@computed_region_p5aj_wyqh",":@computed_region_rxqg_mtj9",":@computed_region_bh8s_q3mv",":@computed_region_fyvs_ahh9",":@computed_region_9dfj_4gjx",":@computed_region_n4xg_c4py",":@computed_region_4isq_27mq",":@computed_region_fcz8_est8",":@computed_region_pigm_ib2e",":@computed_region_9jxd_iqea",":@computed_region_6pnf_4xz7",":@computed_region_6ezc_tdp2",":@computed_region_h4ep_8xdi",":@computed_region_nqbw_i6c3",":@computed_region_2dwj_jsy4",":@computed_region_jwn9_ihcz"
"6016758710045","060167587","10045","EMBEZZLEMENT","EMBEZZLEMENT, GRAND THEFT BY EMPLOYEE","Friday","2006-02-10T00:00:00.000","21:00","RICHMOND","NONE","1600 Block of DIVISADERO ST","-122.439895352954","37.7847777703892","POINT (-122.439895352954 37.7847777703892)","103","4","11","15","15","6","11","29490","13",,,,,,,"2",,,,,"103"
"3054502626150","030545026","26150","OTHER OFFENSES","PAROLE VIOLATION","Tuesday","2003-04-01T00:00:00.000","12:00","BAYVIEW","ARREST, BOOKED","1100 Block of FITZGERALD AV","-122.39036028161","37.7205064590363","POINT (-122.39036028161 37.7205064590363)","88","2","9","1","10","3","8","58","1",,,,,,,"2",,,,,"88"
"13065977974000","130659779","74000","MISSING PERSON","MISSING ADULT","Saturday","2013-08-10T00:00:00.000","06:30","NORTHERN","NONE","2300 Block of BUCHANAN ST","-122.431073169007","37.7915687103002","POINT (-122.431073169007 37.7915687103002)","102","4","6","30","13","9","1","29490","27",,,,,,,"1",,,,,"102"
"11605319306372","116053193","06372","LARCENY/THEFT","PETTY THEFT OF PROPERTY","Wednesday","2011-04-27T00:00:00.000","16:00","INGLESIDE","NONE","600 Block of MYRA WY","-122.450551251496","37.7397130494481","POINT (-122.45055125149601 37.7397130494481)","72","9","8","41","9","7","4","59","40",,,,,,,"1",,,,,"72"
"13017995904014","130179959","04014","ASSAULT","AGGRAVATED ASSAULT WITH BODILY FORCE","Sunday","2013-03-03T00:00:00.000","01:00","TENDERLOIN","COMPLAINANT REFUSES TO PROSECUTE","300 Block of TAYLOR ST","-122.411302813025","37.7855355791102","POINT (-122.41130281302499 37.7855355791102)","20","5","10","36","14","10","9","28852","36",,,,,,"6","2","1","1",,,"20"
"5130972404013","051309724","04013","ASSAULT","AGGRAVATED ASSAULT WITH A DEADLY WEAPON","Sunday","2005-11-20T00:00:00.000","02:14","SOUTHERN","ARREST, BOOKED","FOLSOM ST / 11TH ST","-122.414027262698","37.77186361772","POINT (-122.414027262698 37.77186361772)","32","1","10","20","8","2","9","28853","19",,"1",,"1",,,"2",,,"1",,"32"
"5034088463010","050340884","63010","WARRANTS","WARRANT ARREST","Sunday","2005-03-27T00:00:00.000","20:30","TENDERLOIN","ARREST, BOOKED","OFARRELL ST / MASON ST","-122.409686191845","37.7862042105067","POINT (-122.409686191845 37.7862042105067)","20","5","3","36","5","10","10","28852","36",,,,,,"5","2","1","1",,,"20"
"3059558216662","030595582","16662","DRUG/NARCOTIC","POSSESSION OF CONTROLLED SUBSTANCE FOR SALE","Thursday","2003-05-15T00:00:00.000","14:55","TENDERLOIN","ARREST, BOOKED","0 Block of JONES ST","-122.412192555721","37.7816045741252","POINT (-122.412192555721 37.7816045741252)","20","5","10","36","7","10","9","28852","36","17","1","18","1","18","6","2","1","1","1",,"20"
"11067220265016","110672202","65016","OTHER OFFENSES","DRIVERS LICENSE, SUSPENDED OR REVOKED","Sunday","2011-08-21T00:00:00.000","22:15","BAYVIEW","ARREST, CITED","3RD ST / QUESADA AV","-122.391245623019","37.7332252032804","POINT (-122.39124562301902 37.7332252032804)","87","2","9","1","10","3","8","58","1","11",,"13",,"13",,"2",,,,,"87"
"7087264164080","070872641","64080","SUSPICIOUS OCC","SUSPICIOUS PERSON","Monday","2007-08-27T00:00:00.000","06:34","BAYVIEW","NONE","1100 Block of WAYLAND ST","-122.413495192528","37.7237782572789","POINT (-122.413495192528 37.7237782572789)","92","2","2","25","9","3","7","309","28",,,,,,,"1",,,,,"92"
"9096413762050","090964137","62050","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Friday","2009-09-18T00:00:00.000","13:38","RICHMOND","ARREST, BOOKED","600 Block of 35TH AV","-122.495310429803","37.7767239668024","POINT (-122.495310429803 37.7767239668024)","8","8","4","29","11","6","2","55","26",,,,,,,"1",,,,,"8"
"11010140526080","110101405","26080","OTHER OFFENSES","CONSPIRACY","Wednesday","2011-02-02T00:00:00.000","16:50","MISSION","ARREST, BOOKED","2800 Block of CESAR CHAVEZ ST","-122.405997639804","37.7490475978139","POINT (-122.40599763980401 37.7490475978139)","53","3","2","20","10","4","7","28859","19",,,,"3",,,"1",,,"3",,"53"
