"pdid","incidntnum","incident_code","category","descript","dayofweek","date","time","pddistrict","resolution","address","x","y","location",":@computed_region_6qbp_sg9q",":@computed_region_qgnn_b9vv",":@computed_region_26cr_cadq",":@computed_region_ajp5_b2md",":@computed_region_yftq_j783",":@computed_region_p5aj_wyqh",":@computed_region_rxqg_mtj9",":@computed_region_bh8s_q3mv",":@computed_region_fyvs_ahh9",":@computed_region_9dfj_4gjx",":@computed_region_n4xg_c4py",":@computed_region_4isq_27mq",":@computed_region_fcz8_est8",":@computed_region_pigm_ib2e",":@computed_region_9jxd_iqea",":@computed_region_6pnf_4xz7",":@computed_region_6ezc_tdp2",":@computed_region_h4ep_8xdi",":@computed_region_nqbw_i6c3",":@computed_region_2dwj_jsy4",":@computed_region_jwn9_ihcz"
"4130408505153","041304085","05153","BURGLARY","BURGLARY,STORE UNDER CONSTRUCTION, UNLAWFUL ENTRY","Saturday","2004-11-13T00:00:00.000","12:35","RICHMOND","NONE","1300 Block of CLEMENT ST","-122.473554862957","37.7824762444503","POINT (-122.473554862957 37.7824762444503)","5","8","4","29","11","6","2","54","26",,,,,,,"1",,,,,"5"
"6047616228135","060476162","28135","OTHER OFFENSES","HARASSING PHONE CALLS","Wednesday","2006-05-03T00:00:00.000","11:00","INGLESIDE","NONE","300 Block of SILVER AV","-122.429969905093","37.728489252473","POINT (-122.42996990509302 37.728489252473)","90","9","1","7","9","7","6","28861","5","16",,,,,,"1",,,,,"90"
"12083467406243","120834674","06243","LARCENY/THEFT","PETTY THEFT FROM LOCKED AUTO","Tuesday","2012-10-16T00:00:00.000","21:00","NORTHERN","NONE","1500 Block of JACKSON ST","-122.420605323663","37.7943011060723","POINT (-122.42060532366301 37.7943011060723)","105","4","3","32","13","9","10","28858","32",,,,,,,"1",,,,,"105"
"4132197609015","041321976","09015","FORGERY/COUNTERFEITING","CHECKS, FORGERY (FELONY)","Wednesday","2004-10-20T00:00:00.000","00:01","NORTHERN","NONE","1300 Block of EDDY ST","-122.429828871559","37.7816903586506","POINT (-122.429828871559 37.7816903586506)","97","4","11","39","7","9","11","29490","41",,,,,,,"2",,,,,"97"
"7117339916705","071173399","16705","DRUG/NARCOTIC","MAINTAINING PREMISE WHERE NARCOTICS ARE SOLD/USED","Thursday","2007-11-15T00:00:00.000","16:59","NORTHERN","ARREST, BOOKED","1000 Block of POST ST","-122.419126295342","37.7869849580362","POINT (-122.41912629534201 37.7869849580362)","50","4","3","21","13","9","10","28858","21",,,,,,"10","2",,,,,"50"
"3019763306365","030197633","06365","LARCENY/THEFT","PETTY THEFT WITH PRIOR","Monday","2003-02-17T00:00:00.000","13:11","NORTHERN","ARREST, BOOKED","2100 Block of POLK ST","-122.421798040888","37.7964404207928","POINT (-122.42179804088802 37.7964404207928)","105","4","3","32","13","9","10","28858","32",,,,,,,"1",,,,,"105"
"5063933603013","050639336","03013","ROBBERY","ROBBERY ON THE STREET WITH A DANGEROUS WEAPON","Wednesday","2005-06-08T00:00:00.000","04:50","TARAVAL","NONE","43RD AV / JUDAH ST","-122.502710973792","37.7605643626043","POINT (-122.50271097379199 37.7605643626043)","39","10","7","35","1","8","3","56","35",,,,,,,"1",,,,,"39"
"4034587215150","040345872","15150","OTHER OFFENSES","VIOLATION OF RESTRAINING ORDER","Thursday","2004-03-25T00:00:00.000","15:15","NORTHERN","NONE","1200 Block of WEBSTER ST","-122.430857476037","37.7820966815117","POINT (-122.430857476037 37.7820966815117)","97","4","11","39","15","9","11","29490","41",,,,,,,"2",,,,,"97"
"8028469426170","080284694","26170","OTHER OFFENSES","PROBATION VIOLATION","Monday","2008-03-17T00:00:00.000","15:00","TENDERLOIN","ARREST, BOOKED","500 Block of ELLIS ST","-122.415436031905","37.784585134714","POINT (-122.415436031905 37.784585134714)","20","5","10","36","7","10","9","28858","36","17",,"18",,"18","6","2","1","1",,,"20"
"11001831126150","110018311","26150","OTHER OFFENSES","PAROLE VIOLATION","Thursday","2011-01-06T00:00:00.000","17:40","MISSION","ARREST, BOOKED","1000 Block of POTRERO AV","-122.406539115148","37.7564864109309","POINT (-122.40653911514798 37.7564864109309)","54","3","9","20","10","4","8","28859","19","23",,"10","3","10",,"2",,,"3",,"54"
"5110532807043","051105328","07043","VEHICLE THEFT","VEHICLE, RECOVERED, MOTORCYCLE","Saturday","2005-10-01T00:00:00.000","01:00","NORTHERN","NONE","500 Block of PAGE ST","-122.429836242427","37.77319578686","POINT (-122.429836242427 37.77319578686)","26","4","11","9","7","9","11","29492","10",,,,,,,"1",,,,,"26"
