"pdid","incidntnum","incident_code","category","descript","dayofweek","date","time","pddistrict","resolution","address","x","y","location",":@computed_region_6qbp_sg9q",":@computed_region_qgnn_b9vv",":@computed_region_26cr_cadq",":@computed_region_ajp5_b2md",":@computed_region_yftq_j783",":@computed_region_p5aj_wyqh",":@computed_region_rxqg_mtj9",":@computed_region_bh8s_q3mv",":@computed_region_fyvs_ahh9",":@computed_region_9dfj_4gjx",":@computed_region_n4xg_c4py",":@computed_region_4isq_27mq",":@computed_region_fcz8_est8",":@computed_region_pigm_ib2e",":@computed_region_9jxd_iqea",":@computed_region_6pnf_4xz7",":@computed_region_6ezc_tdp2",":@computed_region_h4ep_8xdi",":@computed_region_nqbw_i6c3",":@computed_region_2dwj_jsy4",":@computed_region_jwn9_ihcz"
"16080674672000","160806746","72000","NON-CRIMINAL","FOUND PROPERTY","Tuesday","2016-10-04T00:00:00.000","12:30","CENTRAL","NONE","700 Block of VALLEJO ST","-122.40979166229266","37.79850834804346","POINT (-122.40979166229266 37.79850834804346)","106","6","3","6","3","1","10","308","4",,,,,,,"2",,,,,"106"
"17068808904134","170688089","04134","ASSAULT","BATTERY","Wednesday","2017-08-23T00:00:00.000","15:59","BAYVIEW","ARREST, BOOKED","0 Block of CAMERON WY","-122.38587918905313","37.72028697791187","POINT (-122.38587918905313 37.72028697791187)","88","2","9","1","10","3","8","58","1",,,,,,,"2",,,,,"88"
"17080405372000","170804053","72000","NON-CRIMINAL","FOUND PROPERTY","Monday","2017-10-02T00:00:00.000","10:00","TENDERLOIN","NONE","300 Block of MASON ST","-122.40979743014817","37.7864220856559","POINT (-122.40979743014817 37.7864220856559)","20","5","3","36","5","10","10","28852","36",,,,,,"5","2","1","1",,,"20"
"18028860728140","180288607","28140","VANDALISM","MALICIOUS MISCHIEF, STREET CARS/BUSES","Thursday","2018-04-19T00:00:00.000","01:37","SOUTHERN","NONE","9TH ST / MISSION ST","-122.41471429557896","37.7762310404758","POINT (-122.41471429557896 37.7762310404758)","32","1","10","34","8","2","9","28853","34",,"1",,"1",,"7","2","1","1","1",,"32"
"16610465571000","166104655","71000","NON-CRIMINAL","LOST PROPERTY","Tuesday","2016-05-10T00:00:00.000","05:05","TARAVAL","NONE","VICTORIA ST / SHIELDS ST","-122.46534207949956","37.71791779515544","POINT (-122.46534207949956 37.71791779515544)","65","10","1","24","9","8","6","64","24",,,,,,,"2",,,,,"65"
"17085742207021","170857422","07021","VEHICLE THEFT","STOLEN AUTOMOBILE","Thursday","2017-10-19T00:00:00.000","19:00","BAYVIEW","NONE","ELMIRA ST / SHAFTER AV","-122.40425958201563","37.738712705498166","POINT (-122.40425958201563 37.738712705498166)","82","2","9","1","10","3","8","58","1",,,,,,,"2",,,,,"82"
"17088204306223","170882043","06223","LARCENY/THEFT","PETTY THEFT FROM UNLOCKED AUTO","Tuesday","2017-10-03T00:00:00.000","10:30","NORTHERN","NONE","VANNESS AV / PINE ST","-122.42213951148828","37.78941076334573","POINT (-122.42213951148828 37.78941076334573)","100","4","6","39","13","9","1","28858","41",,,,,,"10","1",,,,,"100"
"17094931471010","170949314","71010","OTHER OFFENSES","LOST/STOLEN LICENSE PLATE","Tuesday","2017-11-21T00:00:00.000","15:55","MISSION","NONE","4000 Block of 23RD ST","-122.43314767689269","37.752902052647926","POINT (-122.43314767689269 37.752902052647926)","84","3","5","22","2","4","5","28862","22",,,,,,,"1",,,,,"84"
"17095646664070","170956466","64070","SUSPICIOUS OCC","SUSPICIOUS OCCURRENCE","Saturday","2017-11-25T00:00:00.000","02:51","PARK","NONE","500 Block of BUENAVISTAWEST AV","-122.44319435184484","37.766542833629316","POINT (-122.44319435184484 37.766542833629316)","112","7","5","3","15","5","5","29492","9",,,,,,,"1",,,,"31","112"
"17065494906372","170654949","06372","LARCENY/THEFT","PETTY THEFT OF PROPERTY","Friday","2017-08-11T00:00:00.000","17:40","SOUTHERN","NONE","300 Block of 5TH ST","-122.40204653129206","37.779272352423156","POINT (-122.40204653129206 37.779272352423156)","32","1","10","34","6","2","9","28856","34",,,,,,"4","2",,,,,"32"
