"pdid","incidntnum","incident_code","category","descript","dayofweek","date","time","pddistrict","resolution","address","x","y","location",":@computed_region_6qbp_sg9q",":@computed_region_qgnn_b9vv",":@computed_region_26cr_cadq",":@computed_region_ajp5_b2md",":@computed_region_yftq_j783",":@computed_region_p5aj_wyqh",":@computed_region_rxqg_mtj9",":@computed_region_bh8s_q3mv",":@computed_region_fyvs_ahh9",":@computed_region_9dfj_4gjx",":@computed_region_n4xg_c4py",":@computed_region_4isq_27mq",":@computed_region_fcz8_est8",":@computed_region_pigm_ib2e",":@computed_region_9jxd_iqea",":@computed_region_6pnf_4xz7",":@computed_region_6ezc_tdp2",":@computed_region_h4ep_8xdi",":@computed_region_nqbw_i6c3",":@computed_region_2dwj_jsy4",":@computed_region_jwn9_ihcz"
"9001717865010","090017178","65010","OTHER OFFENSES","TRAFFIC VIOLATION ARREST","Tuesday","2009-01-06T00:00:00.000","01:51","SOUTHERN","ARREST, BOOKED","JONES ST / MCALLISTER ST","-122.411979487494","37.7809039696758","POINT (-122.41197948749401 37.7809039696758)","20","5","10","34","14","2","9","28853","34",,"1",,"1",,"7","2","1","1","1","35","20"
"10034345728090","100343457","28090","VANDALISM","MALICIOUS MISCHIEF","Tuesday","2010-04-13T00:00:00.000","20:45","SOUTHERN","ARREST, BOOKED","800 Block of BRYANT ST","-122.403404791479","37.775420706711","POINT (-122.40340479147902 37.775420706711)","32","1","10","34","14","2","9","28853","34",,,,,,,"2",,,,,"32"
"4142490671000","041424906","71000","NON-CRIMINAL","LOST PROPERTY","Monday","2004-12-13T00:00:00.000","13:00","INGLESIDE","NONE","900 Block of ELLSWORTH ST","-122.416517427405","37.7330103867416","POINT (-122.41651742740501 37.7330103867416)","83","9","2","2","2","7","7","28859","2",,,,,,,"1",,,,,"83"
"3130716871000","031307168","71000","NON-CRIMINAL","LOST PROPERTY","Tuesday","2003-11-04T00:00:00.000","16:00","CENTRAL","NONE","STOCKTON ST / PACIFIC AV","-122.408433097293","37.7967039278214","POINT (-122.408433097293 37.7967039278214)","104","6","3","6","3","1","10","308","4",,,,,,,"2",,,,,"104"
"12098091009320","120980910","09320","FRAUD","CREDIT CARD, THEFT BY USE OF","Sunday","2012-12-02T00:00:00.000","16:07","CENTRAL","NONE","900 Block of STOCKTON ST","-122.407924523261","37.7945175317794","POINT (-122.40792452326099 37.7945175317794)","104","6","3","6","3","1","10","28857","4","5",,"5",,"5",,"2",,,,,"104"
"4140548962020","041405489","62020","WARRANTS","ENROUTE TO DEPARTMENT OF CORRECTIONS","Saturday","2004-12-11T00:00:00.000","12:31","NORTHERN","ARREST, BOOKED","WEBSTER ST / IVY ST","-122.429627009951","37.7765125488951","POINT (-122.429627009951 37.7765125488951)","22","4","11","9","7","9","11","29492","10",,,,,,,"1",,,,,"22"
"4041133275000","040411332","75000","MISSING PERSON","FOUND PERSON","Saturday","2004-04-10T00:00:00.000","12:25","SOUTHERN","NONE","800 Block of BRYANT ST","-122.403404791479","37.775420706711","POINT (-122.40340479147902 37.775420706711)","32","1","10","34","14","2","9","28853","34",,,,,,,"2",,,,,"32"
"6076448416660","060764484","16660","DRUG/NARCOTIC","POSSESSION OF CONTROLLED SUBSTANCE","Wednesday","2006-07-19T00:00:00.000","17:09","SOUTHERN","ARREST, BOOKED","800 Block of BRYANT ST","-122.403404791479","37.775420706711","POINT (-122.40340479147902 37.775420706711)","32","1","10","34","14","2","9","28853","34",,,,,,,"2",,,,,"32"
"5059976805013","050599768","05013","BURGLARY","BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY","Friday","2005-04-29T00:00:00.000","12:00","NORTHERN","NONE","3500 Block of BRODERICK ST","-122.445246326299","37.803027472012","POINT (-122.445246326299 37.803027472012)","17","4","6","13","13","9","1","57","17",,,,,,,"1",,,,,"17"
"6110320906242","061103209","06242","LARCENY/THEFT","PETTY THEFT FROM LOCKED AUTO","Monday","2006-10-16T00:00:00.000","01:00","NORTHERN","NONE","700 Block of ELLIS ST","-122.418562097105","37.7841847091303","POINT (-122.41856209710498 37.7841847091303)","20","5","10","36","7","9","9","28858","36",,,,,,,"2","1","1",,,"20"
"6051214206223","060512142","06223","LARCENY/THEFT","PETTY THEFT FROM UNLOCKED AUTO","Sunday","2006-05-14T00:00:00.000","10:00","TARAVAL","NONE","VICENTE ST / WESTPORTAL AV","-122.466991112144","37.7397231592142","POINT (-122.46699111214399 37.7397231592142)","46","10","8","41","1","8","4","59","40",,,,,,,"1",,,,,"46"
"10026634827199","100266348","27199","TRESPASS","LODGING WITHOUT PERMISSION","Sunday","2010-03-21T00:00:00.000","06:56","TENDERLOIN","ARREST, CITED","100 Block of ELLIS ST","-122.408269031453","37.7853831105797","POINT (-122.408269031453 37.7853831105797)","19","5","3","36","14","10","10","28852","36",,,,,,"5","2","1","1",,,"19"
"9073509110015","090735091","10015","EMBEZZLEMENT","EMBEZZLEMENT, GRAND THEFT","Monday","2009-06-15T00:00:00.000","12:00","RICHMOND","NONE","0 Block of TEMESCAL TR","-122.452264132639","37.7774667508393","POINT (-122.45226413263902 37.7774667508393)","12","7","4","18","15","6","2","54","16",,,,,,,"1",,,,,"12"
"4114780716010","041147807","16010","DRUG/NARCOTIC","POSSESSION OF MARIJUANA","Thursday","2004-10-07T00:00:00.000","13:00","MISSION","ARREST, BOOKED","3400 Block of 22ND ST","-122.424047750246","37.755174812334","POINT (-122.42404775024599 37.755174812334)","52","3","5","20","2","4","5","28859","19",,,,,,,"1",,,,,"52"
"9076873564020","090768735","64020","NON-CRIMINAL","AIDED CASE, MENTAL DISTURBED","Wednesday","2009-07-29T00:00:00.000","07:47","BAYVIEW","NONE","100 Block of VENUS ST","-122.397847684487","37.7307229072026","POINT (-122.397847684487 37.7307229072026)","87","2","9","1","10","3","8","58","1",,,,,,,"2",,,,,"87"
"5105048805043","051050488","05043","BURGLARY","BURGLARY OF RESIDENCE, UNLAWFUL ENTRY","Tuesday","2005-09-20T00:00:00.000","00:46","TARAVAL","ARREST, BOOKED","300 Block of SHIELDS ST","-122.465797811186","37.7179700121368","POINT (-122.46579781118601 37.7179700121368)","64","10","1","24","9","8","6","64","24",,,,,,,"2",,,,,"64"
"8095348571010","080953485","71010","OTHER OFFENSES","LOST/STOLEN LICENSE PLATE","Friday","2008-08-29T00:00:00.000","08:00","RICHMOND","NONE","24TH AV / CALIFORNIA ST","-122.483934382444","37.7839288854903","POINT (-122.48393438244402 37.7839288854903)","8","8","4","29","11","6","2","55","26",,,,,,,"2",,,,,"8"
"3056522806371","030565228","06371","LARCENY/THEFT","PETTY THEFT OF PROPERTY","Wednesday","2003-05-07T00:00:00.000","12:00","SOUTHERN","NONE","100 Block of 2ND ST","-122.399477770814","37.7878321941049","POINT (-122.399477770814 37.7878321941049)","32","1","10","8","12","2","9","28855","6",,,,,,"3","1",,,,,"32"
"12092720706244","120927207","06244","LARCENY/THEFT","GRAND THEFT FROM LOCKED AUTO","Thursday","2012-11-15T00:00:00.000","20:30","NORTHERN","NONE","2400 Block of CALIFORNIA ST","-122.434689351674","37.7888538411014","POINT (-122.434689351674 37.7888538411014)","102","4","6","30","13","9","1","29490","27",,,,,,,"1",,,,,"102"
"9119933106303","091199331","06303","LARCENY/THEFT","PETTY THEFT FROM A BUILDING","Saturday","2009-11-21T00:00:00.000","12:50","BAYVIEW","NONE","2000 Block of PALOU AV","-122.399370590026","37.7387108274334","POINT (-122.399370590026 37.7387108274334)","87","2","9","1","10","3","8","58","1",,,,,,,"2",,,,,"87"
"3093472074000","030934720","74000","MISSING PERSON","MISSING ADULT","Monday","2003-08-04T00:00:00.000","23:56","PARK","NONE","1800 Block of HAIGHT ST","-122.452706340322","37.7692156705894","POINT (-122.452706340322 37.7692156705894)","25","7","11","3","15","5","11","29492","9","22",,"24",,"25",,"1",,,,,"25"
"14011303809029","140113038","09029","OTHER OFFENSES","FALSE PERSONATION TO RECEIVE MONEY OR PROPERTY","Saturday","2013-06-01T00:00:00.000","08:00","RICHMOND","NONE","300 Block of EUCLID AV","-122.451446768576","37.7841442932644","POINT (-122.451446768576 37.7841442932644)","11","8","6","31","15","6","1","54","31",,,,,,,"1",,,,,"11"
"10007007028165","100070070","28165","VANDALISM","MALICIOUS MISCHIEF, GRAFFITI","Friday","2010-01-22T00:00:00.000","01:49","MISSION","NONE","3100 Block of 16TH ST","-122.423637302048","37.7648666651043","POINT (-122.423637302048 37.7648666651043)","37","3","5","20","8","4","5","28853","19",,,,,,,"2",,,,,"37"
"7085135007021","070851350","07021","VEHICLE THEFT","STOLEN AUTOMOBILE","Sunday","2007-08-19T00:00:00.000","16:45","SOUTHERN","NONE","HAWTHORNE ST / HOWARD ST","-122.399374405812","37.7858983123003","POINT (-122.399374405812 37.7858983123003)","32","1","10","8","6","2","9","28855","6",,,,,,"4","1",,,,,"32"
"4121323206243","041213232","06243","LARCENY/THEFT","PETTY THEFT FROM LOCKED AUTO","Friday","2004-10-22T00:00:00.000","19:15","SOUTHERN","NONE","HARRISON ST / 4TH ST","-122.399617558789","37.7807906549838","POINT (-122.39961755878902 37.7807906549838)","32","1","10","34","6","2","9","28856","34",,,,,,"4","2",,,,,"32"
