1,,(In thousands),,,,,,,,,,,(In thousands),,,,,,,,,,,(In thousands),,,,,,,,,,,(In percent),,,,,,,,,,,(In percent),,,,,,,,,,
2,,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,REGION III - CENTRAL LUZON,270.21,155.86,188.9,206.48,222,235.83,259.28,273.88,302.48,351.4,506.06,258.45,143.23,174.67,199.02,201.95,227.56,244.58,265.86,296.08,341.25,490.04,298.7,188.98,223.15,245.48,260.11,274.59,294.1,312.09,334.08,371.84,482.42,-4.35,-8.1,-7.53,-3.61,-9.03,-3.51,-5.67,-2.93,-2.12,-2.89,-3.17,15.57,31.94,27.76,23.35,28.8,20.66,20.25,17.39,12.84,8.96,-1.55
53,Aurora,224.21,141.14,154.13,176.54,162.27,173.34,181.61,181.34,252.28,309.62,509.23,226.51,122.2,142.62,156.84,171.34,178.89,193.35,227.64,249.47,297.29,524.65,234.77,137.61,161.99,167.43,164.68,188.18,190.32,195.59,251.79,302.86,586,1.03,-13.42,-7.47,-11.16,5.59,3.2,6.47,25.54,-1.11,-3.98,3.03,3.65,12.61,13.58,6.75,-3.89,5.19,-1.56,-14.08,0.93,1.87,11.69
54,Bataan,306.56,183.36,217.34,238,251.42,276.91,281.46,311.23,353.56,399.17,553.45,281.04,153.29,188.72,221.36,219.66,226.97,240.18,272.44,303.96,338.14,645.03,283.2,171.15,202.29,204.64,240.96,253.5,260.56,260.75,295.76,387.34,553.59,-8.32,-16.4,-13.17,-6.99,-12.63,-18.04,-14.67,-12.46,-14.03,-15.29,16.55,0.77,11.65,7.19,-7.55,9.69,11.69,8.49,-4.29,-2.7,14.55,-14.18
55,Bulacan,281.1,176.04,189.68,212.99,228.21,246.15,279.75,256.6,301.9,367.69,551.54,253.36,153.45,191.83,196.94,194.26,242.91,233.53,260.19,275.84,318.51,464.7,300.02,194.35,223.12,245.72,256.28,263.1,296.78,321.13,339.94,389.91,468.78,-9.87,-12.83,1.13,-7.53,-14.88,-1.32,-16.52,1.4,-8.63,-13.38,-15.74,18.42,26.65,16.31,24.77,31.93,8.31,27.08,23.42,23.24,22.42,0.88
56,Nueva Ecija,223.07,139.13,156.64,164.17,174.37,196.68,193.14,206.79,237.13,313.18,449.94,185.27,123.17,127.97,140.87,155.06,165.46,163.13,180.59,193.17,245.6,356.82,255.4,186.22,203.34,212.47,229.61,223.8,254.9,259.7,277.25,295.31,410.65,-16.94,-11.47,-18.31,-14.19,-11.08,-15.87,-15.54,-12.67,-18.54,-21.58,-20.7,37.86,51.18,58.9,50.83,48.08,35.26,56.26,43.81,43.53,20.24,15.09
57,Pampanga (Excluding City of Angeles),290.74,193.55,224.69,243.6,268.99,268.35,285.11,275.71,302.1,370.02,475.81,319.82,211.83,237.82,242.25,287.99,281.24,315.11,332.75,362.91,397.29,527.82,343.85,262.79,284.66,309.43,327.26,306.9,342.09,361.02,375.11,387.13,481.17,10,9.44,5.84,-0.56,7.06,4.8,10.52,20.69,20.13,7.37,10.93,7.51,24.06,19.69,27.73,13.64,9.12,8.56,8.5,3.36,-2.56,-8.84
58,City of Angeles,328.33,225.25,248.56,267.06,288.78,309.52,308.37,336.33,358.97,387.65,552.62,360.26,230.8,264.05,283.66,287.45,320.8,342.12,351.48,384.44,424.17,711.75,373.41,300.85,325.97,343.28,344.99,373.52,363.87,381.14,404.77,420.67,474.47,9.73,2.46,6.23,6.21,-0.46,3.64,10.95,4.5,7.1,9.42,28.79,3.65,30.35,23.45,21.02,20.02,16.43,6.36,8.44,5.29,-0.83,-33.34
59,Tarlac,240.22,137.25,161.17,191.92,190.03,206.04,218.51,255.72,276.81,334.86,429.82,254.24,142.94,166.63,185.87,211.06,205.32,226.65,257.16,285.11,348.5,512.03,299.67,171.3,221.96,242.97,254.74,273.32,299.19,294.92,322.31,387.54,527.19,5.84,4.14,3.39,-3.15,11.07,-0.35,3.72,0.56,3,4.07,19.13,17.87,19.84,33.2,30.72,20.7,33.12,32.01,14.68,13.05,11.2,2.96
60,Zambales (Excluding City of Olongapo),271.36,148.34,182.76,203.74,204.58,214.7,261.06,292.17,313.56,368.42,524.6,224.44,139.16,148.45,164.68,176.68,196.98,202.54,221.42,238.1,316.09,439.71,257.39,167.81,188.58,215.96,215.62,238.2,231.17,296.39,286.54,318.68,414.13,-17.29,-6.19,-18.77,-19.17,-13.64,-8.25,-22.42,-24.21,-24.07,-14.2,-16.18,14.68,20.59,27.04,31.14,22.04,20.93,14.13,33.86,20.35,0.82,-5.82
61,City of Olongapo,345.73,218.48,258.39,286.12,273.73,297.65,362.64,366.79,391.55,428.71,573.02,314.37,205.42,232.24,250.2,262.11,303.81,300.9,335.25,348.5,367.49,536.14,331.87,196.79,239.11,251.83,297.3,297.64,305.47,332.42,347.26,415.21,634.15,-9.07,-5.98,-10.12,-12.55,-4.25,2.07,-17.02,-8.6,-10.99,-14.28,-6.44,5.56,-4.2,2.96,0.65,13.43,-2.03,1.52,-0.84,-0.36,12.99,18.28
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,REGION IVA - CALABARZON,304.64,143.95,185.15,211.57,231.13,260.21,286.48,313.05,351.52,427.69,635.78,280.58,140.15,175.69,198.84,221.15,241.85,267.62,288.52,326.37,367.71,577.33,310.32,171.22,200.68,227.83,244.73,267.17,288.92,327.73,353.28,409.14,612.02,-7.9,-2.64,-5.11,-6.02,-4.32,-7.06,-6.58,-7.83,-7.16,-14.02,-9.19,10.6,22.17,14.22,14.58,10.66,10.47,7.96,13.59,8.25,11.27,6.01
64,Batangas,249.38,140.09,159.84,189.59,191.23,228.01,234.43,239.28,282.8,346.71,481.37,254.56,156.2,176.66,186.56,197.16,210.51,231.37,262.07,316.24,314.64,492.84,279.71,165.92,186.92,213.13,223.08,246.32,264.15,275.2,314.07,359.51,547.87,2.08,11.5,10.52,-1.6,3.1,-7.67,-1.31,9.52,11.82,-9.25,2.38,9.88,6.22,5.8,14.24,13.15,17.01,14.17,5.01,-0.69,14.26,11.17
65,Cavite,338.35,159.07,221.33,246.19,258.06,292.53,337.14,344.06,412.34,449.13,663.64,313.76,160.99,205.74,233.69,263.63,289.76,293.47,319.02,340.05,387.88,641.27,313.49,182.49,226.83,232.47,250.58,285.44,323.72,323.11,350.01,408.2,550.47,-7.27,1.2,-7.05,-5.08,2.16,-0.95,-12.95,-7.28,-17.53,-13.64,-3.37,-0.09,13.36,10.25,-0.52,-4.95,-1.49,10.31,1.28,2.93,5.24,-14.16
66,Laguna,321.25,163.1,206.92,225.75,253.29,280.99,304.43,316.92,398.44,450.53,611.88,267.17,136.56,176.6,205.93,220.02,237.82,266.98,277.89,320.96,355.04,472.6,332.44,186.97,229.87,247.08,268.92,289.46,331.66,332.48,373.28,426.01,636.96,-16.83,-16.27,-14.65,-8.78,-13.13,-15.36,-12.3,-12.32,-19.45,-21.2,-22.76,24.43,36.92,30.16,19.98,22.23,21.71,24.23,19.65,16.3,19.99,34.78
67,Quezon (Excluding City of Lucena),197.86,103.98,128.4,148.83,159.03,163.47,167.51,198.01,227.48,250.35,431.26,194.01,96.23,127.73,139.32,148.59,152.52,166.2,188.76,212.26,253.2,454.36,217.08,149.35,164.86,165.99,176.97,180.47,189.83,209.65,242.22,253.08,437.66,-1.95,-7.45,-0.52,-6.39,-6.57,-6.7,-0.78,-4.67,-6.69,1.14,5.36,11.89,55.2,29.07,19.14,19.09,18.32,14.21,11.06,14.12,-0.05,-3.68
68,City of Lucena,299.05,170.31,190.33,233.91,231.77,246.23,259.95,283.47,387.92,442.6,544.61,277.87,151.5,185.45,184.57,209.65,222.57,260.68,297.58,317.56,360.23,586.79,300.7,204.12,228.22,236.54,255.37,272.73,285.03,296.64,302.81,399.76,524.07,-7.08,-11.04,-2.56,-21.09,-9.55,-9.61,0.28,4.98,-18.14,-18.61,7.75,8.22,34.74,23.07,28.15,21.81,22.54,9.34,-0.32,-4.64,10.97,-10.69
69,Rizal,359.21,184.82,226.65,254.64,259.46,283.54,337.08,346.08,382.76,485.09,830.7,331.02,186.28,208.76,243.09,253.69,280.84,290.06,331.85,359.84,449.91,704.67,369.37,194.8,235.94,258.08,282.08,290.97,325.24,387.96,418.86,477.14,820.81,-7.85,0.79,-7.89,-4.54,-2.22,-0.95,-13.95,-4.11,-5.99,-7.25,-15.17,11.59,4.58,13.02,6.17,11.19,3.61,12.13,16.91,16.4,6.05,16.48
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,MIMAROPA REGION,174.79,100.2,120.72,126.85,133.29,138.21,147.94,161.86,184.18,228.68,406.01,178.46,92.74,112.9,121.72,130.24,138,152.05,166.41,189.59,253.91,426.86,189.77,102.73,132.62,135.37,137.38,155.62,160.71,175.83,201.85,237.58,457.89,2.1,-7.45,-6.48,-4.04,-2.29,-0.15,2.78,2.81,2.94,11.03,5.13,6.34,10.77,17.46,11.21,5.48,12.77,5.7,5.66,6.47,-6.43,7.27
72,Marinduque,184.76,116.3,124.35,135.9,153.72,138.69,147.78,168.04,190.86,238.25,433.47,183.97,120.3,138.53,140.83,150.87,145.41,166.73,175.49,187.49,245.84,367.62,222.87,154.38,171.96,169.59,187.47,174.3,187.89,193.54,221.42,275.74,491.74,-0.43,3.44,11.4,3.63,-1.86,4.85,12.82,4.43,-1.76,3.18,-15.19,21.15,28.32,24.14,20.42,24.26,19.87,12.69,10.29,18.09,12.16,33.76
73,Occidental Mindoro,178.4,77.8,112.89,116.18,133.12,130.9,137.78,161.61,178.45,245.17,489.62,175.78,75.11,103.95,113.6,127.16,132.26,155.5,161.99,201.42,266.12,419.42,190.21,88.01,111.26,133.17,138.23,144.85,152.1,169.59,205.3,244.13,515.01,-1.47,-3.45,-7.92,-2.22,-4.48,1.04,12.86,0.23,12.87,8.55,-14.34,8.21,17.17,7.03,17.23,8.71,9.52,-2.19,4.69,1.93,-8.26,22.79
74,Oriental Mindoro,184.15,112.17,132.69,132.31,149.58,156.02,149.5,175.81,189.64,237.98,405.39,204.9,91.49,113.59,137.24,137.85,165.69,169.62,200.81,218.61,324.37,487.33,198.3,108.58,142.74,142.24,155.26,175.83,161.02,196.37,198.97,243.6,456.38,11.27,-18.43,-14.39,3.73,-7.84,6.19,13.46,14.22,15.28,36.3,20.21,-3.22,18.68,25.67,3.65,12.63,6.12,-5.07,-2.21,-8.99,-24.9,-6.35
75,Palawan (Excluding City of Puerto Princesa),151.11,104.03,121.1,117.97,126.17,129.11,132.25,139.3,163.24,174.89,303.55,154.12,91.13,109.56,112.93,117.81,127.98,132.42,146.37,161.31,170.89,369.62,157.39,96.08,108.38,120.65,120.93,120.16,137.87,149.18,160.72,197.15,360.86,1.99,-12.4,-9.53,-4.27,-6.62,-0.87,0.13,5.07,-1.18,-2.29,21.77,2.12,5.43,-1.08,6.83,2.65,-6.11,4.12,1.92,-0.36,15.37,-2.37
76,City of Puerto Princesa,228.9,129.57,152.51,150.5,165.71,192.56,204.78,242.62,274.27,293.42,482.49,192.22,105.48,123.71,126.68,151.56,154.38,160.61,176.72,220.91,288.31,412.36,236.61,140.22,158.68,171.35,188.68,195.9,216.37,219.01,263.46,325.92,485.52,-16.02,-18.59,-18.89,-15.83,-8.54,-19.83,-21.57,-27.16,-19.45,-1.74,-14.54,23.09,32.94,28.27,35.26,24.5,26.89,34.72,23.93,19.26,13.04,17.74
77,Romblon,152.63,97.85,106.8,109.36,112.49,117.47,120.84,138.6,134.08,190.81,397.95,166.37,98.91,111,119.87,127.73,128.21,146.07,138.71,158.92,223.69,410.16,194.53,131.93,144.85,148.42,141.39,152.15,148.63,156.67,186.92,243.51,489.8,9,1.09,3.93,9.61,13.54,9.15,20.87,0.08,18.53,17.23,3.07,16.93,33.38,30.49,23.81,10.7,18.67,1.75,12.95,17.62,8.86,19.42
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,REGION V - BICOL REGION,193.42,111.05,129.13,135.51,141.93,153.85,166.63,176.66,199.6,256.24,463.46,190.27,103.62,120.63,133.41,138.26,148.69,160.89,168.96,201.84,268.74,457.48,202.62,119.94,135.23,144.07,154.27,158.31,167.5,184.56,209.22,271.25,481.72,-1.63,-6.69,-6.58,-1.55,-2.59,-3.35,-3.44,-4.36,1.12,4.88,-1.29,6.49,15.74,12.11,7.99,11.58,6.47,4.11,9.23,3.66,0.93,5.3
80,Albay,202.87,124.97,127.15,131.44,152.01,166.04,168.54,169.91,208.46,302.63,476.79,213.16,106.5,124.2,146.37,152.6,166.48,176.99,193.64,234.55,324.25,505.18,215.64,133.59,154.86,161.7,164.24,180.53,182.69,197.24,228.45,286.88,465.04,5.07,-14.78,-2.32,11.36,0.39,0.27,5.01,13.97,12.52,7.14,5.95,1.17,25.44,24.68,10.48,7.63,8.44,3.22,1.86,-2.6,-11.53,-7.95
81,Camarines Norte,178.92,109.67,125.83,138.54,137.69,145.49,153.85,167.46,195.87,241.27,373.25,175.28,98.66,124.22,128.24,124.85,149.77,146.3,164.84,185.75,242.44,386.81,190.37,124.82,144.6,154.85,154.64,159.62,165.37,190.26,184.22,223.49,400.59,-2.04,-10.04,-1.28,-7.43,-9.33,2.94,-4.91,-1.57,-5.17,0.48,3.63,8.61,26.52,16.41,20.76,23.86,6.57,13.04,15.42,-0.82,-7.82,3.56
82,Camarines Sur,206.7,112.89,137.13,144.32,150.12,162.52,180.9,194.81,213.68,259.65,511.46,193.56,105.58,119.02,131.87,139.49,151.78,169,171.86,209.99,268.37,467.79,202.25,105.07,118.75,128,140.82,142.11,162.25,177.85,229.65,332.67,484,-6.36,-6.47,-13.2,-8.63,-7.08,-6.61,-6.58,-11.78,-1.73,3.36,-8.54,4.49,-0.48,-0.22,-2.93,0.95,-6.37,-3.99,3.49,9.36,23.96,3.47
83,Catanduanes,202.12,125.96,135.58,150.6,151.71,168.56,181.32,181.47,207.65,276.91,442.31,219.12,118.05,137.95,144.28,154.22,163.27,181.74,189.43,233.49,308.05,559.02,230.91,123.39,136.85,152.58,163.99,172.78,184.44,203.13,251.72,321.85,597.02,8.41,-6.28,1.75,-4.2,1.66,-3.14,0.23,4.39,12.45,11.25,26.39,5.38,4.52,-0.8,5.75,6.33,5.82,1.48,7.23,7.81,4.48,6.8
84,Masbate,156.25,97.92,106.09,114.86,116.58,132.7,124.58,138.76,154.05,202.27,374.73,151.4,92.14,104.1,111.02,114.57,118.09,125.71,131.35,137.03,188.25,390.43,184.02,122.77,126.97,130.09,144.07,147.53,170.04,161.65,172.59,225.21,437.71,-3.11,-5.9,-1.87,-3.34,-1.72,-11.01,0.9,-5.34,-11.05,-6.93,4.19,21.54,33.24,21.96,17.18,25.75,24.93,35.26,23.07,25.95,19.63,12.11
85,Sorsogon,196.33,115.11,136.86,144,152.3,161.35,170.26,162.72,207.88,250.95,461.45,190.63,111.09,135.61,139.93,149.35,153.56,168.16,172.41,187.04,244.86,443.08,203.51,137.19,145.85,153.9,157.27,172.56,169.05,180.6,193.32,251.39,472.73,-2.91,-3.49,-0.91,-2.83,-1.94,-4.83,-1.23,5.95,-10.03,-2.43,-3.98,6.76,23.49,7.55,9.99,5.3,12.37,0.53,4.75,3.36,2.66,6.69
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,REGION VI - WESTERN VISAYAS,208.38,115.99,129.53,140.21,146.01,157.47,163.89,184.37,226.32,305.82,513.73,211.08,102.97,124.62,133.61,143.71,154.67,174.24,191.29,229.87,311.47,544.15,229.74,139.64,150.14,166.86,181.96,190.83,196.62,217.43,245.14,318.93,489,1.29,-11.23,-3.79,-4.71,-1.58,-1.78,6.31,3.75,1.57,1.85,5.92,8.84,35.61,20.48,24.89,26.62,23.38,12.85,13.66,6.64,2.4,-10.13
88,Aklan,224.94,126.02,145.42,161.57,170.41,171.79,181.63,203.28,229.73,312.86,546.52,216.23,102.86,119.88,137.28,152.73,165.11,167.75,183.85,221.26,314.17,596.84,247.56,169.87,177.09,190.05,207.65,217.7,215.45,221.52,248.91,351.61,475.07,-3.87,-18.38,-17.56,-15.03,-10.37,-3.89,-7.64,-9.56,-3.69,0.42,9.21,14.49,65.15,47.73,38.45,35.96,31.86,28.44,20.49,12.5,11.92,-20.4
89,Antique,160.39,107.45,112.58,112.63,124.12,131.17,131.11,138.25,183.63,183.9,379.74,178.33,79.53,99.84,109.56,120.72,141.17,147.63,156.61,197.26,267.3,462.06,216.38,122.74,135.29,148.7,159.68,172.1,164.88,209.72,205.51,306.72,537.2,11.18,-25.98,-11.32,-2.73,-2.74,7.62,12.6,13.28,7.43,45.35,21.68,21.34,54.34,35.5,35.72,32.27,21.91,11.69,33.91,4.18,14.75,16.26
90,Capiz,198.65,128.02,135.66,146.25,152.71,163.25,167.2,182.24,195.6,243.7,471.46,207.46,144.14,159.99,156.03,171.94,174.85,181.22,196.07,207.51,243.51,438.07,225.28,137.2,156.14,181.29,202.27,180.97,211.24,212.56,248.91,278.09,443.38,4.43,12.59,17.93,6.69,12.59,7.11,8.39,7.59,6.09,-0.08,-7.08,8.59,-4.81,-2.41,16.19,17.64,3.5,16.57,8.41,19.95,14.2,1.21
91,Iloilo (Excluding City of Iloilo),202.86,113.24,123.6,126.01,139.62,141.56,153.02,172.24,226.36,326.77,505.65,209.67,102.75,119.04,118.37,125.64,136.71,165.74,190.38,248.07,328.29,560.33,214.57,136.98,142.64,145.71,160.31,169.28,184.24,197.83,236.16,298.19,472.93,3.36,-9.27,-3.69,-6.07,-10.01,-3.43,8.31,10.53,9.59,0.47,10.81,2.33,33.32,19.83,23.1,27.59,23.82,11.16,3.92,-4.8,-9.17,-15.6
92,City of Iloilo,302.5,161.68,173.3,198.25,212.49,222.2,274.07,292.64,337.61,429.81,723.1,268.9,139.75,153.65,188.29,189.68,208.05,220.14,261.93,314.46,355.52,655.69,306.65,195.73,211.72,225.78,247.13,258.26,259.64,298.82,345.22,428.77,592.97,-11.11,-13.56,-11.34,-5.03,-10.73,-6.37,-19.68,-10.49,-6.86,-17.29,-9.32,14.04,40.06,37.8,19.92,30.29,24.13,17.94,14.08,9.78,20.6,-9.57
93,Guimaras,194.78,128.08,158.33,153.59,156.85,171.73,175.47,174.71,187.53,223.68,417.51,203.41,117.59,142.22,141.69,149.14,154.2,150.11,192.83,204.42,238.32,539.79,238.72,179.72,193.64,206.79,212.08,199.65,210.92,219.62,222.32,308.69,432.21,4.43,-8.19,-10.18,-7.75,-4.92,-10.21,-14.45,10.37,9.01,6.55,29.29,17.36,52.83,36.16,45.95,42.2,29.47,40.5,13.89,8.76,29.53,-19.93
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,NEGROS ISLAND REGION,184.49,88.2,103.56,121.59,123.08,137.19,150.93,170.43,210.77,265.41,472.74,175.67,87.38,107.09,121.74,127.17,136.31,149.56,169.3,172.17,266.11,418.88,203.84,107.13,122.64,146.61,155.8,165.36,179.38,204.93,223.42,272.66,460.08,-4.78,-0.93,3.41,0.13,3.32,-0.64,-0.91,-0.66,-18.31,0.26,-11.39,16.03,22.61,14.52,20.43,22.52,21.31,19.94,21.05,29.77,2.46,9.84
96,Negros Occidental (Excluding City of Bacolod),172.78,92.07,111.24,123.55,134.74,138.82,148.61,167.34,190.56,236.96,383.61,164.03,95.53,113.72,125.64,132.3,133.39,149.69,158.23,165.13,193.48,372.01,201.43,117.9,130.42,155.5,161.75,162.49,172.85,200.72,222.47,233.93,455.23,-5.06,3.76,2.23,1.69,-1.81,-3.91,0.72,-5.45,-13.35,-18.35,-3.02,22.8,23.41,14.69,23.76,22.27,21.81,15.47,26.85,34.73,20.91,22.37
97,City of Bacolod,285.7,142.51,167.9,181.83,214.28,230.47,248.05,258.85,330.01,415.24,668.22,267.53,148.07,169.87,199.11,211.74,229.26,240.53,262.15,293.63,380.79,539.09,292.81,172.22,208.42,228.61,235.83,268.47,286.85,297.65,349.6,394.22,485.22,-6.36,3.9,1.17,9.5,-1.19,-0.52,-3.03,1.27,-11.02,-8.3,-19.32,9.45,16.31,22.69,14.82,11.38,17.1,19.26,13.54,19.06,3.53,-9.99
98,Negros Oriental,163.73,71.75,83.59,90.4,95.44,106.87,114.91,133.65,179.94,251.6,508.87,156.94,76.03,84.31,93.3,102.79,107.5,127.14,136.9,149.03,236.53,455.42,168.82,93.16,102.06,105.94,125.12,129.61,140.4,151.76,181.08,207.81,450.66,-4.15,5.97,0.86,3.2,7.7,0.59,10.64,2.43,-17.18,-5.99,-10.5,7.57,22.54,21.06,13.54,21.73,20.57,10.44,10.86,21.51,-12.14,-1.04
99,Siquijor,182.27,95.58,95.66,123.29,123.35,132.54,153.71,181.56,178.56,262.95,474.98,202.59,127.7,129.39,121.54,118.4,161.6,163.46,159.31,207.39,299.86,533.73,230.26,151.12,155,151.15,170.76,153.12,202.44,211.66,255.2,277.29,570.41,11.15,33.61,35.26,-1.42,-4.01,21.93,6.34,-12.25,16.15,14.04,12.37,13.66,18.34,19.79,24.36,44.23,-5.25,23.84,32.86,23.05,-7.53,6.87
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,REGION VII - CENTRAL VISAYAS,213.23,106.14,127.54,139.99,153.05,170.77,189.2,216.96,241.6,297.02,489.85,201.32,94.67,112.85,126.93,147.13,156.36,173.73,198.7,238.01,283.47,481.01,218.03,125.29,142.71,152.55,169.74,188.15,196.12,215.11,251.35,288.63,450.39,-5.59,-10.81,-11.52,-9.33,-3.87,-8.44,-8.18,-8.42,-1.48,-4.56,-1.81,8.3,32.35,26.46,20.19,15.37,20.33,12.89,8.26,5.6,1.82,-6.37
102,Bohol,201.06,105.97,119.14,126.63,130.05,139.11,154.26,190.53,213.98,288.1,541.77,181.43,91.99,111.73,127.76,126,143.77,156.32,159.12,199.46,273.32,423.31,193.25,120.49,127.89,140.19,144.56,155.69,161.86,186.65,197.26,252.72,443.47,-9.77,-13.2,-6.22,0.89,-3.12,3.35,1.33,-16.49,-6.78,-5.13,-21.87,6.52,30.98,14.47,9.73,14.73,8.29,3.54,17.3,-1.1,-7.54,4.76
103,Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),188.18,99.98,118.63,132.27,141.27,157.85,170.84,192.99,204.01,244.1,420.14,174.12,87.46,100.11,112.91,122.98,139.3,142.19,157.76,199.56,238.56,438.54,193.81,121.48,129.02,146.13,150.81,161.37,182.81,188.36,211.54,247.92,397.47,-7.47,-12.52,-15.61,-14.64,-12.95,-11.75,-16.77,-18.25,-2.18,-2.27,4.38,11.31,38.89,28.87,29.42,22.63,15.84,28.57,19.4,6,3.93,-9.36
104,City of Cebu,274.86,138.84,169.55,182.63,193.74,242.4,251.1,301.93,324.02,371.42,574.21,255.86,143.68,167.72,195.99,192.91,217.39,258.15,255.04,291.82,324.9,509.41,260.13,165.44,190.81,210.11,218.64,230.07,240.91,263.62,289.16,305.2,486.29,-6.91,3.49,-1.08,7.32,-0.43,-10.32,2.81,-15.53,-9.94,-12.52,-11.29,1.67,15.14,13.77,7.2,13.33,5.83,-6.68,3.36,-0.91,-6.07,-4.54
105,City of Lapu-Lapu (Opon),258.85,127.91,165.08,177.03,213.32,218.2,242.79,249.94,301.34,369.19,524.55,284.73,141.74,175.49,192.77,213.67,225.79,253.6,281.87,299.85,405.71,655.47,297.73,171.69,203.8,228.7,236.78,256.59,280.8,311.94,323.91,398.32,563.2,10,10.81,6.31,8.89,0.17,3.48,4.45,12.77,-0.49,9.89,24.96,4.56,21.13,16.13,18.64,10.82,13.64,10.73,10.67,8.03,-1.82,-14.08
106,City of Mandaue ,241.44,149.99,168.54,173.85,203.96,217.2,225.46,233.87,277.7,285.89,477.52,243.95,149.25,162.84,181.41,185.97,204.96,216.37,245.11,247.63,299.88,544.96,283.03,174.5,216.08,230.17,246.79,259.99,272.76,289.58,304.46,338.35,496.67,1.04,-0.49,-3.38,4.35,-8.82,-5.64,-4.03,4.81,-10.83,4.89,14.12,16.02,16.92,32.7,26.88,32.7,26.85,26.06,18.15,22.95,12.83,-8.86
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,REGION VIII - EASTERN VISAYAS,178.64,98.97,112.63,119.85,120.58,133.93,145.82,152.27,181.16,246.49,474.59,189.13,96.11,112.16,123.01,131.04,139.77,154.6,165.93,195.71,272.9,499.28,199.91,116.42,133.89,143.62,148,159.86,167.22,178.21,201.1,272.16,478.35,5.87,-2.89,-0.42,2.64,8.67,4.36,6.02,8.97,8.03,10.72,5.2,5.7,21.13,19.38,16.75,12.94,14.38,8.16,7.4,2.76,-0.27,-4.19
109,Eastern Samar,159.07,100,106.41,116.07,119.01,133.83,129.87,131.16,162.63,202.48,389.31,164.72,84.55,89.64,100.78,109.48,119.02,128.29,150.3,182.99,261.72,419.28,194.35,123.91,138.2,150.91,149.84,147.67,163.1,170.11,201.66,254.6,442.68,3.55,-15.45,-15.76,-13.18,-8.01,-11.07,-1.22,14.59,12.52,29.26,7.7,17.99,46.56,54.17,49.75,36.87,24.07,27.13,13.18,10.2,-2.72,5.58
110,Leyte (Excluding City of Tacloban),168.25,94.87,111.75,112.3,109.16,128.01,137.14,146.74,162.82,224.79,455.01,185.78,93.02,106.73,119.73,128.41,125.06,155.87,163.51,194.3,264.5,505.45,197.09,113.51,130.3,138.07,149.49,154.31,163.71,175.04,191,275.35,478.61,10.42,-1.95,-4.49,6.62,17.63,-2.3,13.66,11.43,19.34,17.66,11.09,6.09,22.03,22.09,15.32,16.42,23.38,5.03,7.05,-1.7,4.1,-5.31
111,City of Tacloban,290.88,136.99,155.72,177.84,185.95,202.2,222.71,292.68,369,450.65,714.2,305.79,139.16,159.97,174.99,181.09,192.99,245.72,277.46,375.25,479.08,829.43,297.52,161.37,182.99,197.21,209.56,217.46,253.27,272.86,361.77,434.87,680.9,5.12,1.59,2.73,-1.6,-2.61,-4.55,10.33,-5.2,1.69,6.31,16.13,-2.71,15.95,14.39,12.7,15.72,12.68,3.07,-1.66,-3.59,-9.23,-17.91
112,Northern Samar,170.08,98.35,102.72,114.33,120.9,121.5,138.09,144.59,165.86,232.26,462.07,172.1,97.01,113.69,123.51,131.06,140.38,144.66,145.42,156,227.03,441.89,177.81,114.28,127.38,133.22,150.58,151.1,160.61,165.66,188.2,221.84,364.13,1.19,-1.36,10.68,8.03,8.41,15.54,4.76,0.58,-5.95,-2.25,-4.37,3.31,17.79,12.05,7.86,14.89,7.64,11.02,13.92,20.64,-2.28,-17.6
