1,,(In thousands),,,,,,,,,,,(In thousands),,,,,,,,,,,(In thousands),,,,,,,,,,,(In percent),,,,,,,,,,,(In percent),,,,,,,,,,
2,,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile
15,City of Pasig,379.12,206.43,248.35,295.66,305.8,338.5,366.43,383.72,467.91,486.97,690.95,317.19,206.66,227.49,250.39,267.55,286.79,305.11,304.32,360.94,380.6,580.15,425.44,242.18,278.02,320.37,332.34,378.2,402.26,444.7,436.33,509.62,908.79,-16.33,0.11,-8.4,-15.31,-12.51,-15.28,-16.73,-20.69,-22.86,-21.84,-16.04,34.12,17.19,22.21,27.95,24.22,31.87,31.84,46.13,20.89,33.9,56.65
16,NCR III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,City of Caloocan,293.98,184.78,214.45,219.19,263.43,273.6,288.03,302.23,342.06,368.84,482.83,247.97,166.57,182.21,203.89,216.76,228.27,241.4,259.11,277.26,320.24,383.09,296.9,237.38,253.91,249.27,272.13,290.45,300.03,317.57,321.1,334.95,391.77,-15.65,-9.86,-15.03,-6.98,-17.72,-16.57,-16.19,-14.27,-18.94,-13.18,-20.66,19.73,42.51,39.35,22.26,25.55,27.24,24.29,22.56,15.81,4.59,2.26
18,City of Malabon,275.65,195.27,226.41,236.74,254.51,248.88,266.8,288.7,335.16,333.82,370.13,253.71,169.59,190.15,200.27,211.7,236.85,251.86,263.86,288.84,301.6,421.51,297.51,217.6,229.8,252.72,263.87,263.06,312.07,316.41,306.78,377.6,434.23,-7.96,-13.15,-16.01,-15.4,-16.82,-4.84,-5.6,-8.6,-13.82,-9.65,13.88,17.27,28.31,20.86,26.19,24.64,11.07,23.91,19.91,6.21,25.2,3.02
19,City of Navotas,264.39,176.09,196.86,219.56,240.68,257.54,258.8,298.53,282.33,315.26,397.98,233.89,171.33,186.18,200.13,211.69,208.53,238.41,242.08,264.96,269.1,345.87,275.24,221.65,228.86,266.79,249.08,261.33,272.95,287.04,286.63,329.81,347.76,-11.54,-2.7,-5.43,-8.85,-12.04,-19.03,-7.88,-18.91,-6.15,-14.64,-13.09,17.68,29.37,22.93,33.31,17.66,25.32,14.49,18.57,8.18,22.56,0.55
20,City of Valenzuela,296.12,205.69,236.8,236.92,270.8,272.37,310.37,296.31,318.03,353.22,460.78,279.42,182.31,206.6,219.68,246.7,250.66,261.52,308.04,330.33,383.34,403.78,305.32,234.17,241.23,251.25,288.42,300.56,317.9,312.22,344.31,337.51,425.05,-5.64,-11.37,-12.75,-7.28,-8.9,-7.97,-15.74,3.96,3.87,8.53,-12.37,9.27,28.44,16.77,14.37,16.91,19.9,21.56,1.36,4.23,-11.96,5.27
21,NCR IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,City of Las Piñas,403.88,224.31,269.92,311.26,310.39,349.69,368.26,461.9,454.71,603.9,685.02,301.51,183.03,204.87,226.53,234,258.43,303.95,309.66,357.81,401.44,534.31,391.48,256.55,279.2,301.65,315.95,360.13,363.8,392.73,460.91,539.99,642.14,-25.35,-18.4,-24.1,-27.22,-24.61,-26.1,-17.46,-32.96,-21.31,-33.53,-22,29.84,40.17,36.28,33.16,35.02,39.36,19.69,26.83,28.81,34.51,20.18
23,City of Muntinlupa,368.49,205.69,245,255.23,268.32,306.3,304.76,363.98,374.74,465.94,894.78,315.87,201.15,229,251.4,249.28,302.81,316.41,327.6,411.76,390.34,478.34,376.15,277.93,307.58,316.92,344.28,335.46,385.71,384.36,389.8,445.92,572.59,-14.28,-2.2,-6.53,-1.5,-7.1,-1.14,3.82,-10,9.88,-16.22,-46.54,19.08,38.17,34.31,26.06,38.11,10.78,21.9,17.33,-5.33,14.24,19.7
24,City of Parañaque,406.22,213.47,242.18,289.57,301.84,333.13,350.47,390.07,461.53,664.68,813.65,377.33,199.63,227.99,261.76,264.53,294.84,303.88,358.82,410.32,500.01,944.61,384.49,263.47,283.64,280.54,319.26,332.26,343.66,391.67,387.54,495.16,746.45,-7.11,-6.48,-5.86,-9.6,-12.36,-11.49,-13.29,-8.01,-11.1,-24.77,16.09,1.9,31.98,24.41,7.18,20.69,12.69,13.09,9.16,-5.55,-0.97,-20.98
25,Pasay City,300.79,190.35,223.56,234.57,275.42,292.24,269.98,318.65,376.99,395.77,430.11,283.41,186.69,208.31,227.49,255.81,276.08,281.46,302.37,326.27,338.49,429.95,332.99,254.82,278.47,287.51,299.44,334.22,352.84,341.82,380.67,369.45,429.16,-5.78,-1.92,-6.82,-3.02,-7.12,-5.53,4.25,-5.11,-13.45,-14.47,-0.04,17.49,36.49,33.68,26.38,17.06,21.06,25.36,13.05,16.67,9.15,-0.18
26,City of Makati,482.05,244.44,319.66,346.98,370.96,382.48,405.22,474.24,508.42,594.44,1176.81,414.46,223.06,278.58,299.33,323.48,312.04,393.85,355.28,391.47,425.05,1136.9,506.9,261.46,302.12,364.94,370.5,390.86,404.49,427.22,466.21,559.42,1517.96,-14.02,-8.75,-12.85,-13.73,-12.8,-18.42,-2.81,-25.08,-23,-28.5,-3.39,22.3,17.22,8.45,21.92,14.54,25.26,2.7,20.25,19.09,31.61,33.52
27,Pateros,365.06,200.99,235.89,284.37,346.49,356.76,364.79,383.69,466.22,443.93,566.54,276.97,179.71,220.76,219.15,245.55,279.22,271.86,312.68,295.8,347.14,395.42,363.61,233.41,270.86,276.33,318.23,366.1,362.38,374.75,419.03,479.12,532.95,-24.13,-10.59,-6.42,-22.93,-29.13,-21.73,-25.47,-18.51,-36.55,-21.8,-30.2,31.28,29.88,22.69,26.09,29.6,31.12,33.3,19.85,41.66,38.02,34.78
28,City of Taguig,359.99,219.22,267.48,297.85,306.81,317.04,358.52,417.01,411.87,432.21,572.82,269.35,186.52,213.08,226.5,253.45,244.85,251.48,274.81,303.68,333.97,404.2,372.21,226.21,267.75,305.13,305.8,318.59,357.91,362.74,397.35,430.55,747.5,-25.18,-14.92,-20.34,-23.96,-17.39,-22.77,-29.86,-34.1,-26.27,-22.73,-29.44,38.18,21.28,25.66,34.71,20.66,30.11,42.32,32,30.85,28.92,84.93
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,CAR - CORDILLERA ADMINISTRATIVE REGION,230.29,121.81,136.94,152.16,160.33,174.64,204.22,238.46,275.55,344.23,494.49,242.89,134.43,156.61,169.81,186.82,198.95,219.6,240.02,276.2,331.29,514.63,247.86,165.24,187.02,198.19,209.16,217,242.81,261.62,284.07,306.21,407.15,5.47,10.36,14.37,11.6,16.52,13.92,7.53,0.65,0.24,-3.76,4.07,2.05,22.92,19.41,16.71,11.96,9.08,10.57,9,2.85,-7.57,-20.89
