,"Table 5. Gini Coefficient and Palma Ratio, by Region, Province and HUC: 2018, 2021 and 2023p",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,Region/Province/HUC,2018,,2021,,2023p,
1,,Gini Coefficient,Palma Ratio,Gini Coefficient,Palma Ratio,Gini Coefficient,Palma Ratio
86,Aklan,0.418688557,1.324992086,0.4541,1.58,0.379,0.97
87,Antique,0.397131521,1.232630015,0.4448,1.58,0.4181,1.29
88,Capiz,0.359620517,0.999083663,0.3478,0.92,0.3419,0.86
89,Iloilo (Excluding City of Iloilo),0.427236736,1.466553673,0.46,1.64,0.4095,1.27
90,City of Iloilo,0.420964396,1.443444863,0.4356,1.53,0.3666,1.02
91,Guimaras,0.404217562,1.198126469,0.3902,1.17,0.3262,0.73
92,,,,,,,
93,NEGROS ISLAND REGION,0.43271666944901177,1.1511928866334904,0.4114092726666968,0.819849992795082,0.4031115062932265,1.1910956556836636
94,Negros Occidental (Excluding City of Bacolod),0.391136744,1.141950799,0.3577,0.97,0.3627,0.99
95,City of Bacolod,0.404152288,1.247694636,0.3599,0.95,0.3159,0.71
96,Negros Oriental,0.473900986,1.897950335,0.4731,1.77,0.4723,1.76
97,Siquijor,0.434724597,1.469918648,0.4416,1.54,0.4486,1.5
98,,,,,,,
99,REGION VII - CENTRAL VISAYAS,0.42537832497477757,1.514509567583244,0.43327069239684435,1.6153872596888272,0.3647060256633655,0.9775847496578298
100,Bohol,0.437146344,1.509741637,0.4278,1.41,0.401,1.24
101,Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),0.399503094,1.235792844,0.4464,1.56,0.3569,0.94
102,City of Cebu,0.46792178,1.749573927,0.3633,0.96,0.3095,0.7
103,City of Lapu-Lapu (Opon),0.385397019,1.104269669,0.4242,1.32,0.3335,0.83
104,City of Mandaue ,0.351859577,0.912229251,0.3858,1.1,0.33,0.75
105,,,,,,,
106,REGION VIII - EASTERN VISAYAS,0.441550069,1.547801443,0.4448,1.51,0.3986,1.19
107,Eastern Samar,0.420227996,1.347864873,0.461,1.61,0.3995,1.18
108,Leyte (Excluding City of Tacloban),0.450304942,1.646604812,0.4413,1.46,0.3873,1.11
109,City of Tacloban,0.450202923,1.547099412,0.4913,2.01,0.4126,1.29
110,Northern Samar,0.444846911,1.619644467,0.4101,1.27,0.3725,1.06
