1,,(In thousands),,,,,,,,,,,(In thousands),,,,,,,,,,,(In thousands),,,,,,,,,,,(In percent),,,,,,,,,,,(In percent),,,,,,,,,,
2,,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile
14,City of Pasig,451.83,207.05,263.17,322.21,342.13,391.73,418.54,460.94,552.93,599.38,959.62,429.92,217.37,261.76,297.48,340.55,380.54,399.76,427.1,521.46,535.22,914.24,590.37,259.23,323.46,388.81,413.15,498.51,544.37,626.57,612.06,755.91,1478.88,-4.85,4.98,-0.54,-7.68,-0.46,-2.86,-4.49,-7.34,-5.69,-10.7,-4.73,37.32,19.26,23.57,30.7,21.32,31,36.17,46.71,17.37,41.23,61.76
15,NCR III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,City of Caloocan,371.46,181.79,232.6,248.21,306.66,326.9,353.1,373.78,444.55,511.57,734.58,334.58,192.7,224.29,246.94,272.92,296.7,326.43,353.84,384.75,465.38,580.38,393.24,249.36,286.4,297.23,344.11,373.98,391.41,436.99,461.83,483.91,606.06,-9.93,6,-3.57,-0.51,-11,-9.24,-7.55,-5.33,-13.45,-9.03,-20.99,17.53,29.41,27.69,20.37,26.08,26.05,19.91,23.5,20.03,3.98,4.42
17,City of Malabon,357.8,210.44,259.32,270.88,301.53,298.82,335.85,370.2,441.04,471.96,617.92,350.28,207.42,240.77,257.47,280.9,314.24,363.46,373.17,410.68,421.75,631.5,380.6,234.69,261.36,296.75,319.68,331.54,397.84,412.9,402.87,520.08,626.51,-2.1,-1.44,-7.15,-4.95,-6.84,5.16,8.22,0.8,-6.88,-10.64,2.2,8.65,13.15,8.55,15.25,13.81,5.51,9.46,10.65,-1.9,23.31,-0.79
18,City of Navotas,354.76,185.37,211.91,254.02,282.05,309.95,340.59,390.01,388.52,421.7,762.79,327.42,213.79,244.8,263.94,283.72,287.88,329.86,349.21,367,396.67,536.33,336.98,231.31,252.14,302.14,289.05,310.39,337.73,352.11,370.86,435.88,487.13,-7.71,15.33,15.52,3.91,0.59,-7.12,-3.15,-10.46,-5.54,-5.93,-29.69,2.92,8.19,3,14.47,1.88,7.82,2.38,0.83,1.05,9.89,-9.17
19,City of Valenzuela,369.33,212.57,263.84,265.46,313.37,323.04,384.17,370.89,411.39,462.37,686.31,370.89,204.51,242.51,270.68,311.89,312.94,339.85,409.29,439.37,549.91,625.53,403.07,257.05,279.32,300.25,345.87,395.58,421.79,428.85,476.51,468.47,655.85,0.42,-3.79,-8.08,1.96,-0.47,-3.13,-11.54,10.35,6.8,18.93,-8.86,8.68,25.69,15.18,10.93,10.89,26.41,24.11,4.78,8.45,-14.81,4.85
20,NCR IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,City of Las Piñas,515.19,228.58,294.93,352.93,381.96,434.52,466.85,565.11,578.3,832.03,1017.15,414.53,212.26,251.5,290.78,317.47,355.73,414.59,429.17,490.51,555.31,826.1,594.93,301.84,368.31,408.64,457.64,552.69,561.19,599.59,732.04,864.9,1099,-19.54,-7.14,-14.73,-17.61,-16.88,-18.13,-11.19,-24.06,-15.18,-33.26,-18.78,43.52,42.2,46.44,40.53,44.15,55.37,35.36,39.71,49.24,55.75,33.03
22,City of Muntinlupa,461.38,222.46,266.83,300.56,316.18,361.54,381.66,457.1,479.43,622.94,1204.94,399.4,213.52,256.54,289.14,295.1,350.09,387.39,421.13,523.39,533.41,723.26,506.18,320.13,360.12,392.11,428.51,430.52,504.89,515.47,539.63,642.26,926.57,-13.43,-4.02,-3.86,-3.8,-6.67,-3.17,1.5,-7.87,9.17,-14.37,-39.98,26.73,49.93,40.38,35.61,45.21,22.97,30.33,22.4,3.1,20.41,28.11
23,City of Parañaque,521.16,228.97,297.67,355.93,374.94,447.81,447.64,536,596.11,836.08,1087.85,477.67,216.06,268.33,311.67,315.22,373.77,379.88,467.24,537.38,665.05,1232.87,556.45,292.7,346.87,365.91,438.82,471.71,487.11,570.1,586.8,696.6,1305.96,-8.35,-5.64,-9.86,-12.43,-15.93,-16.53,-15.14,-12.83,-9.85,-20.46,13.33,16.49,35.47,29.27,17.4,39.21,26.2,28.23,22.02,9.19,4.74,5.93
