1,,(In thousands),,,,,,,,,,,(In thousands),,,,,,,,,,,(In thousands),,,,,,,,,,,(In percent),,,,,,,,,,,(In percent),,,,,,,,,,
2,,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile
58,Tarlac,280.11,129.2,164.01,197.7,197.96,226.78,243.31,282.01,322.08,399.96,638.19,305.77,153.18,183.73,204.36,230.26,230.24,269.39,306.13,346.76,432.64,699.29,367.82,182.04,254.49,275.75,298.23,324.42,352.28,351.9,396.29,496.58,744.25,9.16,18.56,12.02,3.37,16.31,1.52,10.72,8.55,7.66,8.17,9.57,20.29,18.84,38.51,34.94,29.52,40.91,30.77,14.95,14.28,14.78,6.43
59,Zambales (Excluding City of Olongapo),297.32,125.31,172.23,191.89,202.09,214.61,263.06,308.91,345.83,420.25,729.43,252.06,136.4,149.32,170.66,185.33,206.48,219.66,249.2,269.04,366.25,567.52,302.87,170.4,201.14,225.23,241.74,267.66,270.6,338.5,333.94,393.42,584.55,-15.22,8.85,-13.3,-11.06,-8.29,-3.79,-16.5,-19.33,-22.2,-12.85,-22.2,20.16,24.93,34.71,31.98,30.44,29.63,23.19,35.83,24.12,7.42,3
60,City of Olongapo,382.06,194.16,243.77,272.3,271.47,321.06,376.23,397.83,447.04,487.79,808.48,335.53,183.86,221.55,242.95,263.04,311.14,311.72,360.73,385.35,419.61,653.06,385.44,203.61,255.04,273.53,330.48,346.02,353.81,403.69,406.8,494.28,785.15,-12.18,-5.31,-9.11,-10.78,-3.1,-3.09,-17.15,-9.33,-13.8,-13.98,-19.22,14.87,10.74,15.12,12.59,25.64,11.21,13.5,11.91,5.57,17.79,20.23
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,REGION IVA - CALABARZON,384.17,145.6,197.81,233.8,261.76,304.69,343.05,388.67,448.66,557.77,960.05,361.03,150.33,197.88,230.28,266.65,290.26,330.91,367.28,424.84,496.48,854.5,426.53,187.42,233.96,272.38,305.8,341.81,378.1,441.64,488.57,595.58,1019.18,-6.02,3.25,0.03,-1.5,1.87,-4.74,-3.54,-5.5,-5.31,-10.99,-10.99,18.14,24.67,18.23,18.28,14.68,17.76,14.26,20.25,15,19.96,19.27
63,Batangas,360.56,157.08,184.06,230.72,237.43,290.95,312.86,333.21,406.14,522.23,929.82,356.56,178.31,211.09,240.49,260.32,274.1,329.7,352.78,452.84,460.65,802.69,402.17,195.48,231.59,267.06,296.67,336.08,355.27,387.62,464.57,543.35,942.29,-1.11,13.52,14.69,4.24,9.64,-5.79,5.38,5.87,11.5,-11.79,-13.67,12.79,9.63,9.71,11.05,13.96,22.61,7.75,9.87,2.59,17.95,17.39
64,Cavite,394.68,161.77,236.73,267.22,280.62,322.3,389.99,400.69,486.13,556.06,845.03,392.61,175.43,227.73,272.55,302.79,334.4,351.26,395.95,427.65,517.69,917.27,457.62,223.84,288.1,310.96,339.99,390.59,448.34,458.01,496.89,661.59,954.89,-0.52,8.44,-3.8,1.99,7.9,3.75,-9.93,-1.18,-12.03,-6.9,8.55,16.56,27.6,26.51,14.09,12.28,16.8,27.64,15.67,16.19,27.8,4.1
65,Laguna,400.74,151.4,213.22,236.36,290.49,320.44,353.49,403.05,491.18,587.86,959.56,347.15,149.52,195.41,236.46,260.93,281.53,327.76,376.42,420.15,483.11,737.66,441.89,203.67,260.89,285.19,328.94,356.12,426,434.07,513.06,585.22,1022.61,-13.37,-1.24,-8.35,0.04,-10.18,-12.14,-7.28,-6.61,-14.46,-17.82,-23.13,27.29,36.21,33.51,20.61,26.07,26.49,29.98,15.32,22.11,21.14,38.63
66,Quezon (Excluding City of Lucena),233.29,104.67,131.87,152.76,159.68,177.7,187.17,218.09,256.64,314.62,629.29,221.05,100.55,132.12,144.5,157.41,166.09,181.33,210.93,235.18,298.24,583.05,247.11,146.12,168.03,174.17,190.7,192.09,206.78,234.87,275.04,299,583.16,-5.25,-3.93,0.19,-5.41,-1.42,-6.53,-3.12,-3.28,-8.36,-5.2,-7.35,11.79,45.32,27.18,20.54,21.15,15.66,14.04,11.35,16.95,0.25,0.02
67,City of Lucena,363.23,163.8,193.26,249.09,242.04,279.45,296.11,335.76,475.74,556.7,841.92,329.7,157.84,195.57,194.3,223.93,247.61,290.3,318.7,370.96,427.01,867.45,361.93,203.6,239.69,254.77,277.54,308.17,334.12,356.47,372.53,500.42,769.16,-9.23,-3.64,1.2,-22,-7.48,-11.39,-1.96,-5.08,-22.02,-23.3,3.03,9.78,28.99,22.56,31.12,23.94,24.46,15.1,11.85,0.42,17.19,-11.33
68,Rizal,470.41,193.74,255.84,292.27,321.48,356.4,411.83,450.39,506.95,647.67,1265.74,429.23,205.68,250.78,283.93,312.37,348.92,359.76,428.46,464.58,596.19,1039.72,506.05,217.04,268.61,309.31,349.8,362.08,409.5,516.27,571.15,673.02,1380.41,-8.75,6.16,-1.98,-2.85,-2.83,-2.1,-12.64,-4.87,-8.36,-7.95,-17.86,17.9,5.52,7.11,8.94,11.98,3.77,13.83,20.5,22.94,12.89,32.77
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,MIMAROPA REGION,257.43,110.08,140.37,153.93,164.79,180.16,196.32,225.88,266.42,348.91,787.55,255.08,106.41,132.86,151.01,162.58,180.81,199.37,220.58,263.46,367.4,765.95,267.36,116.34,156.3,162.98,172.13,196.58,208.4,232.37,280.11,344.75,803.43,-0.91,-3.33,-5.35,-1.9,-1.34,0.36,1.55,-2.35,-1.11,5.3,-2.74,4.82,9.33,17.64,7.93,5.88,8.72,4.53,5.34,6.32,-6.16,4.89
71,Marinduque,248.05,112.35,137.25,153.67,170.36,169.11,186.13,212,274.17,346.26,718.76,226.55,118.04,133.48,143.39,162.09,162.68,187.57,209.76,225.44,328.14,593.93,280.5,155.23,175.26,187.78,208.88,200.75,219.91,249.73,286.29,365.07,754.71,-8.67,5.06,-2.75,-6.69,-4.85,-3.8,0.77,-1.06,-17.77,-5.23,-17.37,23.81,31.51,31.3,30.96,28.86,23.4,17.24,19.06,27,11.25,27.07
72,Occidental Mindoro,242.81,83.16,122.86,127.62,146.93,156.46,165.22,198.5,231.43,342.8,852.11,245.1,90.97,121.97,139.92,152.37,165.78,203.84,211.83,275.92,365.74,720.13,269.17,98.01,135.02,161.89,168.61,187.48,192.16,221.99,280.54,373.66,871.5,0.94,9.4,-0.72,9.63,3.7,5.96,23.38,6.71,19.22,6.69,-15.49,9.82,7.74,10.7,15.7,10.66,13.09,-5.73,4.79,1.68,2.16,21.02
73,Oriental Mindoro,296.82,127.4,158.39,165.64,190.92,202.75,211.82,255.65,296.16,397.02,960.77,286.09,103.41,140.42,166.2,173.08,210.44,224.28,263.93,311.07,427.8,835.65,266.37,120.57,162.72,174.33,195.08,226.04,215.53,258.6,274.36,332.71,700.28,-3.61,-18.83,-11.35,0.34,-9.34,3.79,5.88,3.24,5.03,7.75,-13.02,-6.89,16.59,15.88,4.89,12.71,7.41,-3.9,-2.02,-11.8,-22.23,-16.2
74,Palawan (Excluding City of Puerto Princesa),215.06,120.05,146.69,151.67,162.26,173.98,188.74,205.73,238.13,267.34,496.95,235.61,114.1,137.32,152.85,158.03,177.32,189.26,203.51,228.09,256.95,735.97,244.42,111.91,138.52,156.72,158.55,155.71,188.79,208.56,236,305.81,779.67,9.55,-4.96,-6.39,0.78,-2.6,1.92,0.27,-1.08,-4.21,-3.89,48.1,3.74,-1.92,0.87,2.53,0.33,-12.19,-0.25,2.48,3.47,19.02,5.94
75,City of Puerto Princesa,340.16,153.08,190.32,198.53,223.4,267.5,287.21,339.83,420.35,455.94,864.37,313.17,135.53,162.08,182.78,207.81,227.75,233.12,276.56,369.82,483.57,848.87,354.52,171.34,198.04,226.38,247.88,260.79,297.4,318.59,403.74,523.69,895.34,-7.93,-11.46,-14.84,-7.93,-6.98,-14.86,-18.83,-18.62,-12.02,6.06,-1.79,13.2,26.42,22.19,23.85,19.28,14.51,27.57,15.2,9.17,8.3,5.47
76,Romblon,224.87,106.03,119.87,126.29,131.39,138.65,148.68,170.52,178.38,257.19,871.53,208.27,100.66,114.35,125.93,133.64,136.02,159.26,158.29,186.97,281.67,685.12,239.59,136.6,151.58,157.25,150.35,165.17,165.79,176.77,218.78,309.51,762.35,-7.38,-5.06,-4.61,-0.29,1.71,-1.9,7.11,-7.17,4.81,9.52,-21.39,15.04,35.7,32.56,24.88,12.5,21.43,4.1,11.67,17.01,9.88,11.27
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,REGION V - BICOL REGION,234.93,109.5,133.79,142.3,152.48,169.06,186.52,203.88,234.31,332.15,685.15,252.01,112.61,138.8,158.68,162.27,178.79,195.46,215.26,261,359.77,737.23,287.47,142.2,164.95,180.12,197.79,203.84,222.65,243.99,288.1,391.11,839.66,7.27,2.84,3.75,11.51,6.42,5.75,4.79,5.58,11.39,8.32,7.6,14.07,26.28,18.83,13.51,21.89,14.01,13.91,13.34,10.38,8.71,13.89
79,Albay,255.12,121.99,137.38,144.22,172.23,190.44,197.26,211.25,266.25,398.2,710.63,293.29,120.64,145.24,176.21,190.31,200.18,234.82,248.24,305.17,455.46,855.34,292.12,151.76,184.25,197.78,200.11,227.58,233.28,259.77,308.5,418.58,737.54,14.96,-1.11,5.72,22.18,10.49,5.11,19.04,17.51,14.62,14.38,20.36,-0.4,25.79,26.86,12.24,5.15,13.69,-0.65,4.65,1.09,-8.1,-13.77
80,Camarines Norte,211.17,108,128.07,143.21,145.28,156.81,167.26,187.94,217.17,300.86,556.71,269.54,115.95,149.24,162.95,168.54,203.05,205.22,241.95,264.91,376.4,804.81,286.82,154.28,180.39,198.29,199.69,215.69,223.57,256.26,263.04,351.01,823.11,27.64,7.36,16.53,13.78,16.01,29.48,22.7,28.74,21.98,25.11,44.57,6.41,33.06,20.87,21.69,18.49,6.22,8.94,5.91,-0.71,-6.75,2.27
81,Camarines Sur,249.7,110.55,142.1,145.27,163.15,173.39,197.75,224.95,249.88,338.8,751.92,240.79,109.24,131.14,151.67,161.06,168.78,195.83,205.54,264.7,342.15,676.5,322.29,135.32,162.63,182,206.55,209.83,245.83,263.34,337.96,520.24,955.9,-3.57,-1.19,-7.71,4.4,-1.28,-2.66,-0.97,-8.63,5.93,0.99,-10.03,33.85,23.87,24.01,20,28.24,24.32,25.53,28.12,27.68,52.05,41.3
82,Catanduanes,251.03,120.92,140.09,165.34,166.4,189.88,213.37,210.09,261.19,367.64,676.89,290.67,128.43,159.91,166.79,180.25,197.23,218.83,243.83,299.66,429.62,879.34,282.19,128.45,145.58,166.73,179.07,188.24,203.03,223.58,291.22,404.81,889.03,15.79,6.21,14.14,0.88,8.33,3.87,2.56,16.06,14.73,16.86,29.91,-2.92,0.02,-8.96,-0.03,-0.66,-4.56,-7.22,-8.31,-2.82,-5.77,1.1
83,Masbate,188.23,97.82,110.77,121.29,124.61,138.73,137.99,154.4,175.53,250.87,570.29,212.34,110.12,126.67,141.66,145.41,153.62,163.52,179.49,179.15,269.44,651.87,250.72,144.9,159.68,163.14,186.68,197.65,221.68,209.27,236.82,294.35,690.34,12.81,12.57,14.35,16.79,16.69,10.74,18.5,16.25,2.06,7.4,14.31,18.07,31.58,26.06,15.16,28.38,28.65,35.57,16.59,32.19,9.24,5.9
84,Sorsogon,232.17,116.97,142.79,153.1,163.25,178.44,186.73,183.96,233.97,299.88,661.75,228.55,119.91,146.77,154.37,164.37,168.3,185.61,196.93,212.22,292.91,642.14,239.54,143.63,155.06,163.8,168.85,185.23,187.73,195.43,221.6,303.92,668.07,-1.56,2.51,2.79,0.83,0.69,-5.69,-0.6,7.05,-9.29,-2.32,-2.96,4.81,19.78,5.65,6.11,2.72,10.06,1.14,-0.76,4.42,3.76,4.04
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,REGION VI - WESTERN VISAYAS,283.12,127.1,147.48,164.12,174.22,192.72,204.47,240.02,304.35,416.1,859.7,292.4,116.51,146.89,160.92,172.47,189.16,223.36,248.07,307.53,444.52,914.22,320.23,149.75,173.62,199.64,222.49,241.68,256.44,294.21,336.77,464.72,861.23,3.28,-8.33,-0.4,-1.95,-1,-1.85,9.24,3.35,1.05,6.83,6.34,9.52,28.53,18.2,24.06,29,27.77,14.81,18.6,9.51,4.54,-5.8
87,Aklan,271.56,126.21,150.58,170.56,183.35,186.24,197.78,222.74,276.55,366.14,835.44,281.07,118.89,138.13,160.09,172.61,190.45,199.21,224.52,270,404.17,931.76,329.01,176.29,196.43,221.12,246.66,259.54,268.26,286.73,335,486.85,812.01,3.5,-5.8,-8.27,-6.14,-5.86,2.26,0.73,0.8,-2.37,10.39,11.53,17.06,48.28,42.21,38.12,42.9,36.28,34.66,27.71,24.07,20.46,-12.85
88,Antique,244.71,121.64,138.14,144.16,166.74,177.14,190.1,203.15,288.02,313.3,706.02,266.29,96.84,124.54,141.92,159.34,193.57,203.28,222.52,296.87,397.89,823.11,306.64,136.58,163.68,184.35,197.91,227.21,224.8,287.95,288.86,474.05,878.78,8.82,-20.39,-9.85,-1.55,-4.44,9.27,6.93,9.54,3.07,27,16.58,15.15,41.04,31.43,29.9,24.21,17.38,10.59,29.4,-2.7,19.14,6.76
89,Capiz,233.93,137.52,150.38,163.31,170.95,183.73,190.7,208.45,226.09,286.58,620.98,246.89,148.12,175.28,170.23,187.7,192.73,205.06,224.35,240.87,299.11,623.38,267.17,144.64,171.89,195.75,219.14,205.92,236.93,240.27,290.54,336.85,628.55,5.54,7.71,16.56,4.23,9.8,4.9,7.53,7.63,6.54,4.37,0.39,8.22,-2.35,-1.93,14.99,16.75,6.84,15.54,7.09,20.62,12.62,0.83
90,Iloilo (Excluding City of Iloilo),284.82,125.17,143.32,150.72,172.38,179.1,202.63,240.68,313.53,453.61,866.13,296.18,113.9,143.56,150.37,153.08,172.84,220.89,255.3,334.74,499.7,914.84,317.32,146.75,165.19,188.28,209.58,236.12,256.32,284.6,332.18,453.98,897.31,3.99,-9.01,0.17,-0.23,-11.2,-3.5,9.01,6.07,6.77,10.16,5.62,7.14,28.84,15.07,25.21,36.91,36.61,16.04,11.48,-0.77,-9.15,-1.92
91,City of Iloilo,450.81,192.63,213.9,258.39,277.73,298.43,375.61,401.9,481.92,647.86,1360.15,445.91,169.53,209.88,267.29,276.47,304.78,329.47,411.19,489.96,587.52,1408.69,478.73,221.59,261.94,310.2,373.89,393.68,372.27,474.13,508.76,689.99,1174.44,-1.09,-11.99,-1.88,3.44,-0.45,2.13,-12.29,2.31,1.67,-9.31,3.57,7.36,30.71,24.8,16.05,35.24,29.17,12.99,15.31,3.84,17.44,-16.63
92,Guimaras,261.06,131.75,172.91,166.78,181.83,196.23,205.09,214.48,245.2,313,782.63,242.52,127.71,159.94,156.56,167.85,176.72,168.14,228.77,241.35,286.65,706.37,274.65,184.35,199.47,211.85,220.44,213.93,224.67,250.78,259.41,383.25,595.81,-7.1,-3.06,-7.5,-6.13,-7.69,-9.94,-18.02,6.67,-1.57,-8.42,-9.74,13.25,44.35,24.72,35.31,31.34,21.05,33.62,9.62,7.48,33.7,-15.65
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,NEGROS ISLAND REGION,248.4,98.23,120.97,142.09,152.43,168.83,187.56,222.71,267.03,361.4,761.01,237.42,98.64,127.14,146.33,157.27,170.34,192.63,216.47,238.78,367.82,657.09,266.29,111.85,136.94,165.32,181.19,196.88,219.93,257.75,301.94,381.97,708.57,-4.42,0.41,5.1,2.98,3.18,0.9,2.7,-2.8,-10.58,1.78,-13.66,12.16,13.4,7.71,12.98,15.21,15.58,14.17,19.07,26.46,3.85,7.83
95,Negros Occidental (Excluding City of Bacolod),211.74,96.98,119.78,135.7,149.04,156.17,174.2,198.28,223.74,291.89,571.13,203.96,104.94,129.71,145.02,152.87,158.57,181.56,188.95,211.21,250.85,514.09,241.78,124.88,142.39,170.59,183.62,186.29,200.26,236.63,272.78,287.63,611.28,-3.68,8.21,8.29,6.87,2.57,1.54,4.22,-4.7,-5.6,-14.06,-9.99,18.54,19,9.78,17.63,20.11,17.48,10.3,25.24,29.15,14.66,18.91
96,City of Bacolod,364.55,154.99,186.28,213.21,252.39,272.85,296.2,315.48,423.32,521.55,1010.04,353.24,166.05,198.01,237.36,263.84,284.25,303.46,343.8,393.33,521.38,819.25,367.16,190.26,243.59,268.78,279.99,331.37,344.68,363.89,451.41,505.54,690.35,-3.1,7.14,6.3,11.33,4.54,4.18,2.45,8.98,-7.09,-0.03,-18.89,3.94,14.58,23.01,13.24,6.12,16.58,13.59,5.84,14.77,-3.04,-15.73
97,Negros Oriental,263.99,89.62,117.75,131.92,145.41,162.01,170.48,215.21,283.65,404.87,918.33,245.49,87.03,104.63,126.61,145.48,158.86,184.04,204.64,242.66,380.1,819.84,263.8,90.38,113.69,128.33,151.45,168.61,199.42,232.92,313.8,387.54,850.15,-7.01,-2.89,-11.15,-4.02,0.05,-1.94,7.96,-4.91,-14.45,-6.12,-10.72,7.46,3.85,8.66,1.36,4.1,6.14,8.35,13.82,29.32,1.96,3.7
98,Siquijor,298.62,123.85,140.39,181.15,179.13,201.72,236.47,283.46,282.45,442.05,914.3,323.37,151.06,164.09,166.82,176.55,227.38,252.88,269,328.79,487.65,1002.89,354.96,169.87,178.74,199.59,219.4,222,290.62,312.35,377.46,432.1,1136.51,8.29,21.97,16.88,-7.91,-1.44,12.72,6.94,-5.1,16.4,10.32,9.69,9.77,12.45,8.93,19.64,24.27,-2.37,14.92,16.11,14.8,-11.39,13.32
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,REGION VII - CENTRAL VISAYAS,317.8,120.55,153.57,175.77,202.62,229.81,261.33,303.21,357.4,454.54,918.82,292.6,102.87,136.34,156.61,192.24,214.71,235.39,275.52,333.75,433.36,844.54,326.94,147.73,190.5,206.01,239.38,269.97,291.37,324.65,386.05,448.08,765.12,-7.93,-14.67,-11.22,-10.9,-5.12,-6.57,-9.93,-9.13,-6.62,-4.66,-8.08,11.73,43.61,39.72,31.54,24.52,25.73,23.78,17.83,15.67,3.4,-9.4
101,Bohol,293.83,123.25,144.72,163.78,168.54,192.15,229,261.61,309.24,441.46,902.57,247.83,91.74,122.62,151.01,150.4,176.62,202.24,209.67,260.81,390.02,720.31,292.49,123.15,151.89,187.27,202.34,211.31,236.34,277.92,311.3,402.23,817.38,-15.65,-25.56,-15.27,-7.8,-10.77,-8.08,-11.69,-19.85,-15.66,-11.65,-20.19,18.02,34.23,23.87,24.01,34.53,19.65,16.86,32.55,19.36,3.13,13.48
102,Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),273.26,112.19,140.11,162.53,181.07,220.29,227.88,275.74,291.32,383.75,738.32,264.27,95.6,122.02,144.92,158.9,195.83,206.56,227.52,293.98,385.23,808.4,293.38,147.26,181.9,191.01,218.99,238,271.18,281.63,328.74,381.89,690.88,-3.29,-14.79,-12.91,-10.84,-12.25,-11.1,-9.36,-17.49,0.91,0.39,9.49,11.02,54.03,49.07,31.81,37.82,21.53,31.29,23.78,11.82,-0.87,-14.54
103,City of Cebu,447.02,153.81,202.83,228.17,257.51,318.79,354.9,424.51,468.15,583.12,1483.55,355.86,163.67,201.54,250.07,254.8,284.56,324.35,354.03,419.27,473.82,829.78,386.39,210.47,249.21,295.3,311.38,335.54,361.6,400.1,461.1,498.9,738.64,-20.39,6.41,-0.63,9.6,-1.05,-10.74,-8.61,-16.6,-10.44,-18.74,-44.07,8.58,28.59,23.65,18.08,22.21,17.92,11.49,13.02,9.98,5.29,-10.98
104,City of Lapu-Lapu (Opon),383.11,151.3,201.07,222.17,276.47,297.46,337.72,369.29,439.09,596.23,941.97,418.36,159.58,214.49,249.14,278.24,313.38,334.27,400.77,417.26,627.69,1186.21,428.24,200.72,257.91,306.72,328.81,377.13,397.72,456.76,464.48,582.44,906.96,9.2,5.47,6.67,12.14,0.64,5.35,-1.02,8.52,-4.97,5.28,25.93,2.36,25.79,20.24,23.11,18.17,20.34,18.98,13.97,11.32,-7.21,-23.54
105,City of Mandaue ,349.01,169.38,208.04,229.77,275.42,314.27,327.09,341.79,403.99,415.53,803.88,348.79,163.68,200.65,238.68,231.56,270.92,316.84,348.53,369.05,434.03,911.66,424.81,205.41,278.58,300.24,366.91,380.13,393.71,444.78,492.57,516.6,867.29,-0.06,-3.37,-3.55,3.88,-15.92,-13.79,-3.13,1.97,-8.65,4.45,13.41,21.8,25.49,38.83,25.8,58.45,40.31,24.26,27.62,33.47,19.03,-4.87
106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,REGION VIII - EASTERN VISAYAS,226.63,96.35,117.26,128.56,131.43,150.96,168.9,181.21,227.93,330.59,732.91,242.93,100.75,123.41,136.9,148.66,160.7,179.5,202.96,249.62,355.61,769.84,267.33,128.24,152.89,168.93,180.46,196.66,211.64,230.37,267.45,385.17,751.07,7.19,4.57,5.24,6.48,13.11,6.45,6.28,12,9.51,7.57,5.04,10.05,27.28,23.89,23.4,21.39,22.38,17.91,13.51,7.14,8.31,-2.44
108,Eastern Samar,197.15,92.14,108.95,116.86,128.56,147.5,146.11,154.68,202.7,270.93,603.15,240.3,101.82,113.85,126.16,136.7,154.36,165.96,198.33,247.39,388.78,767.27,250.69,127.19,147.33,164.98,172.06,170.81,194.99,208.72,250.12,348.57,720.63,21.89,10.51,4.5,7.96,6.33,4.65,13.58,28.22,22.05,43.5,27.21,4.33,24.91,29.4,30.77,25.87,10.66,17.5,5.24,1.11,-10.34,-6.08
109,Leyte (Excluding City of Tacloban),211.09,87.97,108.64,119.39,112.66,140.92,159.54,168.93,204.71,302.97,705.35,220.5,93.61,113.65,124.32,140.11,135.42,168.23,183.43,237.2,318.73,688.67,249.97,126.58,148.45,160.35,179.93,186.28,198.57,217.26,243.88,358.23,677.85,4.46,6.42,4.61,4.13,24.36,-3.9,5.45,8.58,15.87,5.2,-2.37,13.37,35.23,30.62,28.98,28.42,37.56,18.03,18.45,2.82,12.39,-1.57
110,City of Tacloban,391.9,144.64,170.12,202.63,214.3,241.08,274.16,378.48,494.22,667.95,1129.98,407.84,138.51,171.45,181.36,204.81,218.31,292.59,338.11,487.79,648.32,1391.96,414.03,175.14,213.51,236.25,251.65,272.89,327.45,372.61,504.51,657.68,1123.33,4.07,-4.24,0.78,-10.5,-4.43,-9.45,6.72,-10.67,-1.3,-2.94,23.18,1.52,26.45,24.53,30.26,22.87,25,11.91,10.2,3.43,1.44,-19.3
111,Northern Samar,251.15,109.35,123.23,139.43,153.45,155.59,183.18,202.09,238.45,354.7,851.77,261.33,124.38,143.92,166.16,176.84,194.02,206.55,218.9,246.35,362.37,773.08,296.49,140.81,171.01,190.09,221.07,229.6,253.27,271.86,317.04,410.21,757.28,4.06,13.75,16.79,19.17,15.24,24.7,12.76,8.32,3.31,2.16,-9.24,13.46,13.21,18.82,14.4,25.01,18.34,22.62,24.2,28.69,13.2,-2.04
112,Samar (Western Samar),208.98,99.88,125.08,135.81,134.69,139.64,159.49,193.97,195.13,305.61,599.83,226.48,94.5,119.35,133.54,150.12,162.87,170.08,192.94,230.39,290.71,719.08,231.43,112.39,133.66,145.3,165.46,167.61,176.12,190.69,222.13,302.86,697.2,8.38,-5.38,-4.58,-1.67,11.46,16.64,6.64,-0.53,18.07,-4.88,19.88,2.19,18.93,11.99,8.8,10.22,2.91,3.55,-1.17,-3.59,4.18,-3.04
113,Southern Leyte,222.74,108.74,129.88,145.25,151.49,151.28,172.02,187.15,232.79,320.73,627.18,248.87,118.52,139.65,158.11,172.51,175,193.65,213.66,273.31,359.43,682.8,303.51,173.57,177.41,207.04,209.28,224.15,228.49,263.85,314.36,420.25,814.8,11.73,8.99,7.52,8.85,13.87,15.68,12.57,14.16,17.41,12.07,8.87,21.95,46.44,27.04,30.95,21.31,28.09,17.99,23.49,15.02,16.92,19.33
114,Biliran,265.9,121.45,148.69,152.56,154.29,170.56,180.7,213.87,249.91,371.87,896.52,283.47,112.08,137.77,159.66,156.07,182.28,201.98,228,278.04,461.89,915.24,307.11,157.29,183.43,189.7,203.72,216.78,217.86,237.52,300.08,449.03,912.29,6.61,-7.72,-7.35,4.66,1.15,6.87,11.78,6.61,11.26,24.21,2.09,8.34,40.33,33.14,18.82,30.53,18.93,7.86,4.17,7.93,-2.78,-0.32
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,REGION IX - ZAMBOANGA PENINSULA,227.8,97.1,118.29,134.57,142.23,153.69,174.35,197.67,224.9,329.22,705.65,238.56,98.79,122.84,143.56,152.34,170.69,187.59,203.93,244.73,330.81,729.98,257.14,117.37,143.27,160.99,173.12,192.22,209.69,232.91,263.43,338.14,739.66,4.72,1.74,3.85,6.68,7.11,11.06,7.6,3.16,8.82,0.48,3.45,7.79,18.81,16.64,12.14,13.64,12.61,11.78,14.21,7.64,2.21,1.33
117,Zamboanga Del Norte,201.07,90.36,111.05,117.65,128.14,137.95,144.84,172.42,199.74,285.55,623.45,218.83,98.38,118.14,131.5,138.16,148.46,154.91,169.42,208.54,302.54,715.29,237.56,128.39,137.52,158.4,166.56,173.36,183.61,195.29,224.53,278.83,726.91,8.83,8.87,6.39,11.77,7.82,7.62,6.95,-1.74,4.41,5.95,14.73,8.56,30.5,16.4,20.46,20.55,16.77,18.53,15.27,7.67,-7.84,1.62
118,Zamboanga Del Sur (Excluding City of Zamboanga),187.54,90.47,111.19,118.25,131.98,130.46,140.82,156.82,180.02,245.68,570.63,226.94,91.35,108.44,129.29,142.22,149.1,175.41,192.68,222.3,326.4,729.25,231.55,90.81,119.86,135.68,136.96,155,174.41,185.5,219.05,334.35,760.72,21.01,0.97,-2.47,9.34,7.76,14.29,24.56,22.86,23.48,32.85,27.8,2.03,-0.6,10.54,4.95,-3.7,3.96,-0.57,-3.73,-1.46,2.44,4.31
119,City of Zamboanga,302.84,173.02,180.99,202.3,211.78,214.09,245.79,260.46,329.42,431.38,780.34,272.75,169.61,183.7,204.61,207.51,219.32,247.08,255.41,289.69,341.29,607.42,296.27,200.69,223.74,241.32,247.6,256.4,272.98,275.46,305.68,353.94,583.22,-9.94,-1.97,1.5,1.14,-2.02,2.44,0.53,-1.94,-12.06,-20.89,-22.16,8.62,18.33,21.8,17.94,19.32,16.91,10.48,7.85,5.52,3.71,-3.98
120,Zamboanga Sibugay,228.96,97.38,110.01,113.89,133.27,132.73,146.81,170.69,196.53,298.89,888.2,240.96,94.64,117.7,116.05,137.82,142.7,154.61,184.47,204.92,303.03,951.17,261.55,123.46,138.92,143.16,150.25,158.56,176.91,205.06,249.24,348.63,919.65,5.24,-2.81,6.99,1.9,3.41,7.51,5.32,8.07,4.27,1.39,7.09,8.55,30.45,18.03,23.37,9.02,11.11,14.42,11.16,21.63,15.05,-3.31
