1,,(In millions),,,,,,,,,,,(In millions),,,,,,,,,,,(In millions),,,,,,,,,,,(In percent),,,,,,,,,,,(In percent),,,,,,,,,,
2,,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile
14,City of Pasig,74488.2,4042.13,4901.36,5809.69,5978.31,6685.99,7198.57,7511.48,9214.03,9564.14,13582.5,67167.06,4361.16,4803.31,5333.85,5641.94,6056.65,6469.85,6467.34,7657.61,8005.71,12369.64,94232.81,5351.05,6110.24,7099.71,7393.26,8412.88,8900.71,9834.13,9676.67,11305.52,20148.63,-9.83,7.89,-2,-8.19,-5.63,-9.41,-10.12,-13.9,-16.89,-16.29,-8.93,40.3,22.7,27.21,33.11,31.04,38.9,37.57,52.06,26.37,41.22,62.89
15,NCR III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,City of Caloocan,111869.38,7027.57,8117.4,8413.88,10018,10348.72,10996.19,11508.01,13011.78,13982.58,18445.26,96263.86,6439.78,7031.19,7960.3,8439.8,8867.35,9346.46,10027.45,10823.89,12385.41,14942.23,116395.79,9247.55,9995.12,9730.01,10729.82,11384.06,11733.98,12457.29,12530.9,13213.08,15373.98,-13.95,-8.36,-13.38,-5.39,-15.75,-14.31,-15,-12.87,-16.81,-11.42,-18.99,20.91,43.6,42.15,22.23,27.13,28.38,25.54,24.23,15.77,6.68,2.89
17,City of Malabon,24460.68,1731.93,2006.37,2104.93,2264.14,2204.76,2358.22,2571.95,2977.66,2955.42,3285.3,22745.19,1512.94,1705.73,1788.88,1905.71,2123.14,2258.29,2370.04,2584.14,2707.15,3789.17,26789.66,1951.39,2073.62,2265.66,2389.93,2356.6,2811.11,2847.62,2765.81,3399.45,3928.48,-7.01,-12.64,-14.98,-15.01,-15.83,-3.7,-4.24,-7.85,-13.22,-8.4,15.34,17.78,28.98,21.57,26.65,25.41,11,24.48,20.15,7.03,25.57,3.68
18,City of Navotas,16325.74,1081.88,1220.7,1360.5,1477.24,1598.39,1593.91,1849.61,1739.42,1942.73,2461.35,14651.28,1071.07,1165.64,1250.57,1324.03,1308.75,1500.17,1502.39,1667.33,1691.28,2170.05,17390.43,1395.28,1447.68,1679.94,1573.5,1653.06,1730.35,1807.91,1808.87,2089.54,2204.29,-10.26,-1,-4.51,-8.08,-10.37,-18.12,-5.88,-18.77,-4.14,-12.94,-11.83,18.7,30.27,24.2,34.33,18.84,26.31,15.34,20.34,8.49,23.55,1.58
19,City of Valenzuela,48198.53,3351.1,3855.73,3847.07,4415.56,4431.82,5056.44,4803.58,5198.38,5743.24,7495.61,47240.15,3075.7,3498.23,3703.36,4183.96,4213.87,4408.18,5246.89,5544.43,6502.8,6862.73,52941.88,4035.11,4194.6,4340.58,5001.07,5241.53,5483.12,5434.31,5975.25,5864.25,7372.04,-1.99,-8.22,-9.27,-3.74,-5.25,-4.92,-12.82,9.23,6.66,13.23,-8.44,12.07,31.19,19.91,17.21,19.53,24.39,24.39,3.57,7.77,-9.82,7.42
20,NCR IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,City of Las Piñas,60603.58,3364.7,4038.43,4677.41,4689.79,5200.23,5569.06,6896.23,6850.08,9010.3,10307.35,47700.81,2876.82,3239.32,3600.73,3704,4085.34,4813.53,4905.06,5652.3,6343.25,8480.45,63707.77,4169.18,4527.3,4922.5,5111.44,5890.92,5905.7,6414.75,7477.48,8786.3,10502.2,-21.29,-14.5,-19.79,-23.02,-21.02,-21.44,-13.57,-28.87,-17.49,-29.6,-17.72,33.56,44.92,39.76,36.71,38,44.2,22.69,30.78,32.29,38.51,23.84
22,City of Muntinlupa,51334.11,2861.47,3417.24,3556.53,3743.8,4269.05,4214.85,5082.91,5230.2,6501.16,12456.9,47759.73,3036.32,3459.42,3794.01,3768.85,4586.65,4766.94,4974.83,6214.77,5923.09,7234.85,59693.01,4389.08,4900.65,5005.48,5478.02,5303.92,6155.73,6099.1,6171.03,7094.62,9095.39,-6.96,6.11,1.23,6.68,0.67,7.44,13.1,-2.13,18.82,-8.89,-41.92,24.99,44.55,41.66,31.93,45.35,15.64,29.13,22.6,-0.7,19.78,25.72
23,City of Parañaque,73201.17,3857.29,4362.36,5212.2,5444.38,6002.6,6311.2,6999.72,8347.4,11810.72,14853.3,73638.41,3874.42,4471.59,5086.5,5163.31,5769.47,5897.65,7044.37,7963.57,9707.32,18660.2,79030.3,5391.85,5852.01,5746.73,6562.89,6842.62,7043.07,8083.5,7928.62,10231.28,15347.73,0.6,0.44,2.5,-2.41,-5.16,-3.88,-6.55,0.64,-4.6,-17.81,25.63,7.32,39.17,30.87,12.98,27.11,18.6,19.42,14.75,-0.44,5.4,-17.75
