rank,playerName,age,teamCode,position,totalGames,totalGamesStarted,totalMinutesPerGame,fieldGoalsPerGame,fieldGoalAttemptsPerGame,fieldGoalsPct,threePtFieldGoalsPerGame,threePtFieldGoalAttemptsPerGame,threePtFieldGoalsPct,twoPtFieldGoalsPerGame,twoPtFieldGoalAttemptsPerGame,twoPtFieldGoalsPct,effectiveFieldGoalsPct,freeThrowsPerGame,freeThrowAttemptsPerGame,freeThrowPct,offensiveReboundsPerGame,defensiveReboundsPerGame,totalReboundsPerGame,assistsPerGame,stealsPerGame,blocksPerGame,turnoversPerGame,personalFoulsPerGame,pointsPerGame
23,Tyler Herro,25,MIA,SG,41,41,35.30,8.30,17.40,.478,3.90,9.60,.407,4.40,7.90,.565,.590,3.50,4.00,.866,0.30,5.40,5.70,5.00,0.70,0.10,2.40,1.40,24.00
24,Zach LaVine,29,CHI,SF,39,39,34.00,8.70,17.00,.514,3.20,7.20,.450,5.50,9.80,.560,.608,3.30,4.10,.816,0.30,4.50,4.80,4.50,0.90,0.30,2.90,1.50,24.00
25,LeBron James,40,LAL,SF,38,38,34.90,9.10,17.80,.513,2.30,5.70,.398,6.90,12.10,.566,.576,3.20,4.20,.763,0.90,6.60,7.50,9.00,0.90,0.60,3.80,1.40,23.70
26,Norman Powell,31,LAC,SG,35,35,32.90,8.20,16.70,.490,3.50,8.00,.441,4.70,8.80,.534,.595,3.80,4.60,.832,0.30,3.10,3.40,2.20,1.30,0.10,2.10,1.90,23.70
27,Donovan Mitchell,28,CLE,SG,40,40,31.20,8.20,18.40,.446,3.70,9.20,.402,4.50,9.30,.489,.546,3.30,3.90,.833,0.70,3.90,4.60,4.50,1.40,0.20,2.00,2.00,23.30
28,Trae Young,26,ATL,PG,39,39,35.80,7.10,17.50,.402,3.00,8.70,.349,4.00,8.90,.454,.488,6.20,7.10,.870,0.50,2.90,3.40,11.70,1.40,0.30,4.50,1.90,23.30
29,Jaylen Brown,28,BOS,SF,36,36,35.50,8.50,18.80,.451,2.00,6.30,.320,6.50,12.60,.517,.504,4.10,5.40,.764,1.60,4.50,6.00,4.80,1.30,0.30,2.80,2.40,23.10
30,Stephen Curry,36,GSW,PG,34,34,31.60,7.60,17.10,.448,4.40,10.80,.409,3.20,6.30,.514,.577,3.20,3.40,.939,0.50,4.40,4.90,6.10,1.20,0.50,3.00,1.20,22.90
31,Jaren Jackson Jr.,25,MEM,C,41,41,29.30,8.20,16.80,.491,1.80,5.20,.340,6.50,11.60,.558,.543,4.40,5.60,.778,1.50,4.90,6.40,2.10,1.50,1.70,2.20,3.30,22.60
32,CJ McCollum,33,NOP,PG,31,31,33.60,8.50,18.60,.453,3.20,8.50,.374,5.30,10.10,.521,.539,2.30,3.20,.710,0.70,3.00,3.70,3.80,0.80,0.60,1.60,2.40,22.40
