rank,playerName,age,teamCode,position,totalGames,totalGamesStarted,totalMinutesPerGame,fieldGoalsPerGame,fieldGoalAttemptsPerGame,fieldGoalsPct,threePtFieldGoalsPerGame,threePtFieldGoalAttemptsPerGame,threePtFieldGoalsPct,twoPtFieldGoalsPerGame,twoPtFieldGoalAttemptsPerGame,twoPtFieldGoalsPct,effectiveFieldGoalsPct,freeThrowsPerGame,freeThrowAttemptsPerGame,freeThrowPct,offensiveReboundsPerGame,defensiveReboundsPerGame,totalReboundsPerGame,assistsPerGame,stealsPerGame,blocksPerGame,turnoversPerGame,personalFoulsPerGame,pointsPerGame
105,Deandre Ayton,26,POR,C,32,32,30.00,6.50,11.40,.568,0.20,0.90,.200,6.30,10.50,.601,.577,0.60,1.00,.606,3.00,7.20,10.20,1.50,0.80,1.00,1.70,2.10,13.80
106,Malcolm Brogdon,32,WAS,PG,18,13,24.80,4.80,10.80,.443,0.80,2.70,.313,3.90,8.10,.486,.482,3.40,3.90,.886,0.90,3.10,4.10,3.90,0.60,0.30,1.70,1.40,13.80
107,Naz Reid,25,MIN,C,43,0,25.20,5.00,10.50,.478,2.10,5.20,.404,2.90,5.30,.550,.577,1.50,1.90,.783,1.00,4.30,5.20,1.70,0.70,0.80,1.20,2.40,13.70
108,Kawhi Leonard,33,LAC,SF,5,5,21.80,5.40,11.00,.491,1.20,3.40,.353,4.20,7.60,.553,.545,1.60,2.00,.800,0.60,2.00,2.60,1.60,1.20,0.00,1.00,0.40,13.60
109,Klay Thompson,34,DAL,SF,38,38,27.60,4.80,11.80,.411,2.90,7.70,.380,1.90,4.10,.468,.535,0.90,1.10,.900,0.60,2.80,3.40,2.00,0.90,0.40,1.40,1.20,13.60
110,Aaron Gordon,29,DEN,PF,22,16,26.90,4.70,8.60,.542,1.20,2.80,.435,3.50,5.80,.594,.613,3.00,3.70,.793,1.60,3.70,5.30,2.70,0.40,0.20,1.40,1.60,13.50
111,Kelly Oubre Jr.,29,PHI,SF,39,36,33.40,5.20,11.30,.456,1.20,4.30,.283,3.90,7.10,.560,.509,2.00,2.60,.748,1.50,4.30,5.80,1.60,1.50,0.50,1.30,2.90,13.50
112,Jeremy Sochan,21,SAS,PF,22,19,29.00,5.30,10.00,.530,0.50,1.80,.282,4.80,8.20,.583,.555,2.30,3.20,.729,2.70,5.40,8.00,2.60,0.90,0.60,1.80,2.40,13.40
113,Bobby Portis,29,MIL,PF,40,5,24.80,5.40,11.70,.465,1.30,3.60,.366,4.10,8.10,.508,.520,1.20,1.50,.810,1.70,6.30,7.90,2.00,0.70,0.50,1.20,1.80,13.30
114,Dyson Daniels,21,ATL,SG,38,38,33.50,5.60,12.10,.464,1.20,3.70,.314,4.40,8.40,.530,.512,0.80,1.40,.566,1.70,3.30,4.90,3.60,3.10,0.80,1.80,2.50,13.20
115,Tobias Harris,32,DET,PF,41,41,32.30,5.00,11.10,.448,1.40,4.00,.348,3.60,7.10,.505,.511,1.90,2.10,.874,1.00,5.30,6.30,2.50,0.90,0.80,1.20,2.00,13.20
116,P.J. Washington,26,DAL,PF,36,35,32.40,4.70,11.00,.428,1.50,4.10,.369,3.20,6.80,.463,.497,2.20,2.90,.750,1.40,6.40,7.80,2.20,1.30,1.00,1.80,2.30,13.10
117,Santi Aldama,24,MEM,PF,37,11,25.00,5.10,10.20,.499,1.80,4.70,.376,3.30,5.50,.603,.585,1.10,1.60,.707,1.60,5.40,7.00,2.70,0.90,0.50,1.10,1.00,13.00
118,Dillon Brooks,29,HOU,SF,39,39,31.90,4.70,11.70,.407,2.20,6.10,.369,2.50,5.60,.447,.502,1.30,1.50,.850,1.20,2.60,3.80,1.60,0.80,0.30,1.00,3.40,13.00
119,Russell Westbrook,36,DEN,PG,43,22,27.20,4.90,10.40,.465,1.20,3.60,.342,3.60,6.80,.531,.524,2.10,3.20,.645,1.30,3.70,5.00,6.60,1.50,0.50,3.00,2.50,13.00
120,Amen Thompson,22,HOU,SF,39,12,29.90,5.00,8.90,.557,0.30,1.30,.240,4.70,7.60,.611,.575,2.60,3.80,.694,2.60,5.20,7.80,2.50,1.30,1.10,1.90,2.30,12.90
121,Moritz Wagner,27,ORL,C,30,1,18.80,4.70,8.30,.562,0.90,2.50,.360,3.80,5.80,.649,.616,2.60,3.70,.718,1.30,3.60,4.90,1.40,0.80,0.40,1.60,1.80,12.90
122,D'Angelo Russell,28,2TM,PG,36,14,25.90,4.40,10.80,.412,2.00,5.80,.340,2.50,5.00,.497,.504,1.90,2.20,.886,0.30,2.60,2.80,5.40,0.90,0.30,1.80,1.90,12.80
123,Khris Middleton,33,MIL,SF,18,7,23.50,4.60,9.60,.480,1.40,3.80,.377,3.20,5.80,.548,.555,1.90,2.30,.833,0.30,3.70,3.90,5.10,0.90,0.20,1.70,2.20,12.60
124,Scoot Henderson,20,POR,PG,36,7,27.00,4.30,10.00,.429,1.40,3.90,.352,2.90,6.00,.479,.499,2.60,3.40,.769,0.70,2.40,3.00,5.40,1.10,0.30,2.80,2.60,12.50
125,Bilal Coulibaly,20,WAS,SF,38,38,33.40,4.40,10.60,.418,1.00,3.80,.273,3.40,6.80,.498,.466,2.40,3.10,.765,1.50,3.70,5.10,3.40,1.30,0.80,2.10,2.40,12.30
126,Ayo Dosunmu,25,CHI,SG,33,17,30.60,4.80,9.80,.492,1.30,4.00,.318,3.50,5.80,.613,.557,1.40,1.80,.797,0.60,3.20,3.80,4.70,0.80,0.40,1.30,2.30,12.30
127,Keldon Johnson,25,SAS,SF,38,0,24.40,4.60,10.00,.459,1.10,3.80,.287,3.50,6.30,.563,.513,2.00,2.60,.770,1.30,3.70,5.00,1.40,0.70,0.30,0.80,1.40,12.30
128,Rui Hachimura,26,LAL,PF,36,36,32.10,4.60,9.40,.491,1.50,3.60,.411,3.20,5.90,.540,.569,1.50,1.90,.768,1.60,3.60,5.20,1.50,0.90,0.50,1.00,1.90,12.20
129,Buddy Hield,32,GSW,SG,42,10,23.50,4.40,10.50,.417,2.70,7.20,.374,1.70,3.30,.511,.546,0.80,0.90,.842,0.60,2.70,3.30,1.60,0.90,0.30,1.20,1.80,12.20
130,Brook Lopez,36,MIL,C,41,41,31.90,4.60,9.50,.488,1.90,5.00,.372,2.80,4.40,.621,.587,1.10,1.40,.776,1.10,3.80,4.90,1.70,0.80,1.90,1.00,2.10,12.20
131,Daniel Gafford,26,DAL,C,41,18,20.30,4.90,6.90,.710,0.00,0.00,0.0,4.90,6.90,.710,.710,2.30,3.40,.683,2.50,3.80,6.20,1.20,0.40,1.60,1.10,2.50,12.10
132,Terry Rozier,30,MIA,PG,38,21,28.50,4.40,10.90,.404,1.50,5.20,.294,2.90,5.70,.505,.475,1.70,1.80,.913,0.70,3.40,4.00,2.90,0.60,0.30,1.50,1.40,12.00
133,Keegan Murray,24,SAC,PF,39,39,35.60,4.60,10.80,.421,1.80,5.70,.317,2.70,5.10,.538,.505,0.90,1.10,.857,2.10,5.10,7.30,1.40,0.70,0.80,0.90,2.70,11.90
134,Jabari Smith Jr.,21,HOU,PF,33,33,30.90,4.10,9.50,.435,1.70,4.80,.354,2.40,4.70,.516,.524,2.00,2.30,.867,1.80,4.70,6.50,1.00,0.40,1.00,0.90,2.30,11.90
135,Isaiah Hartenstein,26,OKC,C,24,23,29.80,5.00,8.90,.561,0.00,0.50,.000,5.00,8.50,.591,.561,1.80,2.60,.677,2.80,9.30,12.20,4.10,0.90,1.30,2.00,2.90,11.80
136,Jaylen Wells,21,MEM,SG,43,38,26.20,4.20,9.40,.441,2.00,5.10,.386,2.20,4.30,.505,.546,1.50,1.90,.825,1.00,2.30,3.30,1.60,0.60,0.10,1.10,1.80,11.80
137,Stephon Castle,20,SAS,PG,40,23,25.20,4.20,10.40,.403,1.00,3.80,.258,3.20,6.60,.487,.450,2.30,3.20,.713,0.80,1.80,2.50,3.60,0.80,0.30,1.90,1.70,11.60
138,Tari Eason,23,HOU,PF,27,0,23.00,4.40,9.20,.480,0.90,2.90,.316,3.50,6.30,.556,.530,1.80,2.40,.742,2.10,4.10,6.20,1.10,2.00,0.90,0.90,2.40,11.60
139,Jrue Holiday,34,BOS,PG,37,37,30.60,4.20,9.40,.452,1.80,5.20,.349,2.40,4.20,.581,.549,1.30,1.50,.891,1.20,3.20,4.40,3.80,1.00,0.40,1.40,1.50,11.60
140,Corey Kispert,25,WAS,SF,37,0,26.90,4.20,9.50,.444,2.00,5.60,.353,2.20,3.90,.576,.548,1.20,1.40,.843,0.50,2.50,3.00,1.70,0.50,0.20,1.00,1.60,11.60
141,Alex Sarr,19,WAS,C,38,38,27.00,4.40,10.90,.399,1.40,4.60,.313,2.90,6.30,.463,.465,1.40,2.20,.643,1.90,4.80,6.70,2.20,0.70,1.60,1.50,2.40,11.60
142,Jonas Valančiūnas,32,WAS,C,42,8,19.70,4.80,8.60,.561,0.10,0.50,.217,4.70,8.00,.585,.568,1.90,2.10,.889,2.40,5.80,8.20,2.20,0.50,0.70,1.80,1.90,11.60
143,Onyeka Okongwu,24,ATL,C,35,1,24.10,4.60,8.30,.553,0.40,1.60,.255,4.20,6.70,.623,.577,1.90,2.60,.756,2.90,4.70,7.60,1.80,0.70,0.90,0.80,2.20,11.50
144,Josh Giddey,22,CHI,PG,40,40,28.30,4.40,9.90,.439,1.20,3.60,.324,3.20,6.30,.506,.499,1.50,2.00,.750,1.60,5.80,7.30,6.70,1.10,0.50,2.70,1.60,11.40
145,Julian Champagnie,23,SAS,SF,41,26,26.80,3.90,9.30,.417,2.50,6.80,.364,1.40,2.50,.564,.551,1.10,1.20,.898,0.80,3.60,4.40,1.30,0.70,0.50,1.00,1.40,11.30
146,Tim Hardaway Jr.,32,DET,SG,39,39,28.20,3.70,8.60,.428,2.20,5.70,.385,1.50,2.90,.513,.555,1.80,2.20,.821,0.20,1.90,2.10,1.50,0.40,0.00,0.70,1.30,11.30
147,Tyus Jones,28,PHO,PG,41,41,30.00,4.30,9.00,.473,2.00,4.90,.418,2.20,4.10,.538,.586,0.80,0.90,.861,0.60,1.90,2.50,6.10,1.00,0.10,1.30,1.10,11.30
148,Grayson Allen,29,PHO,SG,33,1,24.30,3.50,7.70,.453,2.40,5.60,.430,1.10,2.10,.515,.610,1.70,2.00,.846,0.50,2.60,3.20,1.80,0.90,0.30,1.10,1.50,11.10
149,Harrison Barnes,32,SAS,PF,41,41,28.10,3.70,7.70,.481,1.50,3.60,.405,2.20,4.10,.548,.576,2.30,2.80,.809,1.40,2.40,3.80,1.70,0.30,0.20,0.60,0.90,11.10
150,Walker Kessler,23,UTA,C,33,33,29.80,4.80,6.60,.724,0.10,0.10,.500,4.70,6.50,.728,.728,1.50,2.70,.556,4.30,7.00,11.40,1.50,0.50,2.50,1.40,2.20,11.10
151,Donte DiVincenzo,28,MIN,SG,40,8,26.40,3.70,9.30,.397,2.60,7.00,.369,1.10,2.40,.479,.535,1.00,1.30,.820,0.60,3.10,3.70,3.60,1.20,0.20,1.80,1.60,11.00
152,Naji Marshall,27,DAL,SF,34,14,24.70,4.40,8.60,.503,0.90,2.80,.313,3.50,5.80,.596,.554,1.40,1.60,.870,0.90,2.70,3.60,2.60,1.00,0.10,1.50,1.50,11.00
153,Duncan Robinson,30,MIA,SF,40,22,23.50,3.90,9.20,.427,2.50,6.60,.385,1.40,2.70,.528,.564,0.60,0.70,.893,0.30,2.10,2.40,2.70,0.50,0.10,1.00,2.10,11.00
154,Jordan Hawkins,22,NOP,SG,28,4,22.70,3.60,10.00,.361,2.00,5.90,.331,1.60,4.10,.404,.459,1.70,2.00,.825,0.40,2.10,2.50,0.90,0.50,0.50,0.90,0.80,10.90
155,Caris LeVert,30,CLE,SF,35,2,24.10,3.70,7.90,.473,1.70,3.90,.420,2.10,4.00,.525,.578,1.70,2.40,.699,0.60,2.30,2.90,3.80,0.90,0.50,1.30,1.30,10.80
156,Ochai Agbaji,24,TOR,SG,39,33,28.90,4.30,8.40,.508,1.60,3.90,.403,2.70,4.50,.600,.602,0.50,0.70,.679,0.90,2.80,3.80,1.70,0.80,0.50,0.80,2.10,10.60
157,Brandon Boston Jr.,23,NOP,SG,39,10,23.80,3.90,9.00,.436,1.20,3.30,.346,2.80,5.70,.489,.500,1.60,2.00,.810,0.70,2.50,3.20,2.30,1.20,0.20,1.20,1.70,10.60
158,Andrew Nembhard,25,IND,SG,28,28,28.30,4.00,8.60,.461,0.80,2.40,.328,3.20,6.20,.511,.506,1.90,2.50,.743,0.50,2.80,3.30,5.00,1.00,0.10,1.80,2.00,10.60
159,Zaccharie Risacher,19,ATL,SF,39,37,23.70,3.90,9.80,.403,1.20,4.10,.281,2.80,5.70,.491,.462,1.50,2.10,.713,1.30,2.20,3.50,1.20,0.80,0.50,1.20,2.10,10.50
160,Grant Williams,26,CHO,PF,16,7,29.90,3.40,7.70,.439,1.70,4.60,.365,1.70,3.10,.551,.549,1.90,2.30,.838,1.10,4.00,5.10,2.30,1.10,0.80,1.80,2.90,10.40
161,Guerschon Yabusele,29,PHI,PF,40,18,25.80,3.80,7.30,.512,1.60,3.90,.409,2.20,3.50,.626,.619,1.30,1.90,.684,1.90,3.40,5.30,1.90,0.70,0.40,1.20,2.60,10.40
162,Amir Coffey,27,LAC,SG,41,9,25.50,3.60,7.60,.471,1.60,3.80,.422,2.00,3.80,.519,.576,1.60,1.80,.889,0.50,2.10,2.60,1.20,0.60,0.10,0.70,1.60,10.30
163,Herbert Jones,26,NOP,SF,20,20,32.40,3.80,8.60,.436,1.10,3.60,.306,2.70,5.00,.530,.500,1.70,2.00,.825,1.10,2.80,3.90,3.30,1.90,0.50,1.80,3.30,10.30
164,De'Anthony Melton,26,GSW,SG,6,2,20.20,3.70,9.00,.407,2.20,5.80,.371,1.50,3.20,.474,.528,0.80,1.30,.625,1.00,2.30,3.30,2.80,1.20,0.30,1.70,3.00,10.30
165,Chris Boucher,32,TOR,PF,38,0,17.30,3.70,7.50,.491,1.30,3.80,.352,2.30,3.70,.636,.581,1.40,1.80,.786,1.30,3.10,4.40,0.70,0.60,0.60,0.60,1.40,10.20
166,Tosan Evbuomwan,23,BRK,SF,10,0,23.50,3.80,7.20,.528,0.80,2.60,.308,3.00,4.60,.652,.583,1.80,2.70,.667,1.20,3.20,4.40,1.30,0.40,0.40,1.70,2.10,10.20
167,Quentin Grimes,24,DAL,SG,40,11,22.50,3.60,7.80,.465,1.70,4.30,.395,1.90,3.50,.551,.574,1.30,1.80,.757,0.70,3.30,4.00,2.10,0.70,0.20,1.20,1.60,10.20
168,Ty Jerome,27,CLE,SG,39,2,17.70,3.70,7.30,.503,1.30,3.20,.423,2.40,4.20,.564,.594,1.50,1.70,.879,0.60,1.60,2.20,3.40,1.20,0.00,1.10,1.50,10.20
169,Nikola Jović,21,MIA,PF,33,10,23.30,3.50,7.80,.444,1.50,4.20,.365,2.00,3.70,.533,.541,1.70,2.10,.838,0.60,3.20,3.90,2.80,0.80,0.30,1.10,1.50,10.20
170,T.J. McConnell,32,IND,PG,42,0,19.10,4.60,8.60,.533,0.20,0.60,.280,4.40,8.00,.552,.543,0.80,1.10,.739,0.60,2.00,2.50,4.50,1.20,0.30,1.50,1.10,10.20
171,Svi Mykhailiuk,27,UTA,SF,15,7,18.50,3.70,8.50,.430,2.10,6.10,.348,1.50,2.40,.639,.555,0.70,0.90,.786,0.30,1.90,2.20,1.90,0.90,0.30,1.70,1.20,10.20
172,Brice Sensabaugh,21,UTA,SF,32,0,18.50,3.70,7.90,.464,1.90,4.80,.395,1.80,3.10,.570,.583,1.00,1.00,.939,0.60,2.20,2.80,1.40,0.50,0.10,1.60,1.40,10.20
173,Rudy Gobert,32,MIN,C,43,43,33.10,3.90,6.10,.640,0.00,0.00,0.0,3.90,6.10,.640,.640,2.20,3.30,.669,3.30,7.00,10.30,1.70,0.60,1.40,1.40,2.50,10.10
174,Jaden McDaniels,24,MIN,PF,43,43,30.70,4.00,8.90,.451,1.30,3.80,.329,2.80,5.10,.541,.521,0.80,1.00,.756,1.50,3.60,5.00,1.60,1.30,0.80,1.00,2.90,10.10
175,Cam Whitmore,20,HOU,SF,24,0,16.50,3.90,8.80,.439,1.30,4.00,.323,2.60,4.80,.534,.512,1.10,1.50,.722,0.90,2.40,3.30,0.80,0.60,0.20,0.80,0.90,10.10
176,Bogdan Bogdanović,32,ATL,SG,21,0,24.80,3.50,9.10,.382,2.00,6.20,.313,1.50,2.90,.533,.490,1.10,1.30,.889,0.50,2.10,2.60,2.20,0.90,0.20,1.60,2.40,10.00
177,Spencer Dinwiddie,31,DAL,PG,41,12,24.60,3.00,7.90,.385,1.30,4.00,.325,1.70,3.80,.449,.469,2.60,3.00,.862,0.20,2.20,2.50,3.70,0.90,0.20,1.00,1.50,10.00
178,Luguentz Dort,25,OKC,SF,41,41,29.10,3.40,8.30,.415,2.30,5.60,.417,1.10,2.70,.409,.556,0.70,0.90,.811,1.30,3.00,4.30,1.70,1.10,0.70,0.80,3.00,10.00
179,Jalen Duren,21,DET,C,40,40,25.10,4.20,5.90,.703,0.00,0.00,0.0,4.20,5.90,.703,.703,1.70,2.70,.642,3.40,6.30,9.70,2.30,0.60,1.20,1.80,3.20,10.00
180,Scotty Pippen Jr.,24,MEM,PG,43,16,21.70,3.80,7.90,.476,1.10,2.90,.373,2.70,5.00,.537,.546,1.40,2.10,.674,0.70,2.60,3.30,4.70,1.20,0.40,1.90,2.50,10.00
181,Obi Toppin,26,IND,PF,40,0,19.40,3.90,7.20,.540,1.20,3.30,.346,2.70,3.90,.708,.620,1.10,1.40,.804,0.70,3.30,4.00,1.60,0.80,0.40,0.70,1.50,10.00
182,Jose Alvarado,26,NOP,PG,21,7,21.90,3.30,8.30,.394,2.20,5.50,.409,1.00,2.90,.367,.529,1.00,1.20,.808,0.50,1.50,2.00,4.00,1.50,0.20,1.10,2.10,9.80
183,Derrick Jones Jr.,27,LAC,SF,40,37,24.00,3.90,7.80,.506,0.90,2.70,.346,3.00,5.10,.591,.566,1.10,1.30,.808,1.20,2.10,3.30,0.80,1.20,0.30,0.90,1.90,9.80
184,Royce O'Neale,31,PHO,SF,36,9,25.40,3.40,7.80,.440,2.30,5.50,.422,1.10,2.30,.482,.589,0.50,0.60,.773,0.90,4.60,5.50,2.20,0.90,0.60,1.10,2.30,9.70
185,Julian Strawther,22,DEN,SG,43,0,22.10,3.40,7.60,.446,1.60,4.10,.382,1.80,3.50,.523,.550,1.30,1.50,.859,0.30,1.90,2.20,1.40,0.70,0.30,0.80,2.50,9.70
186,Goga Bitadze,25,ORL,C,36,33,24.60,4.10,6.60,.619,0.10,0.50,.105,4.00,6.00,.664,.623,1.40,2.10,.680,2.80,5.40,8.20,2.40,0.90,1.60,1.40,2.40,9.60
187,Nic Claxton,25,BRK,C,37,29,26.40,4.20,7.80,.538,0.00,0.40,.077,4.20,7.40,.560,.540,1.20,2.40,.511,2.00,5.60,7.60,2.00,1.00,1.10,1.20,2.00,9.60
188,Jaime Jaquez Jr.,23,MIA,SF,38,10,23.70,3.50,7.80,.448,0.70,2.10,.325,2.80,5.70,.493,.492,1.90,2.60,.735,1.30,3.50,4.80,2.70,1.30,0.20,1.60,1.60,9.60
189,Chris Paul,39,SAS,PG,41,41,29.20,3.20,7.60,.420,1.80,4.80,.365,1.40,2.80,.513,.535,1.40,1.50,.967,0.50,3.70,4.20,8.20,1.30,0.20,1.60,1.90,9.60
190,Aaron Wiggins,26,OKC,SG,42,11,20.90,3.80,7.70,.492,1.40,3.50,.388,2.40,4.20,.580,.580,0.70,0.80,.848,1.00,2.50,3.50,1.60,0.80,0.30,0.90,1.30,9.60
191,Ziaire Williams,23,BRK,SF,31,16,22.70,3.20,7.90,.410,1.30,3.80,.328,2.00,4.00,.488,.490,1.90,2.30,.817,1.10,3.60,4.70,1.50,1.00,0.40,1.10,2.50,9.60
192,Dorian Finney-Smith,31,2TM,PF,28,20,27.30,3.30,7.20,.460,2.10,5.00,.432,1.20,2.30,.524,.609,0.70,1.00,.655,1.50,2.60,4.00,1.40,0.90,0.40,0.80,2.50,9.50
193,Toumani Camara,24,POR,PF,41,41,31.20,3.50,8.40,.420,1.40,4.30,.333,2.10,4.10,.512,.506,1.00,1.40,.724,2.20,3.20,5.40,2.00,1.40,0.60,1.50,2.90,9.50
194,Noah Clowney,20,BRK,PF,34,15,22.70,3.10,7.90,.388,2.00,5.50,.360,1.10,2.40,.451,.513,1.40,1.60,.857,1.00,3.00,4.00,0.90,0.50,0.50,1.00,2.50,9.50
195,Larry Nance Jr.,32,ATL,PF,15,2,19.40,3.70,6.30,.585,1.70,3.30,.520,1.90,2.90,.659,.723,0.50,0.50,.875,1.10,3.20,4.30,1.60,1.10,0.70,0.70,1.50,9.50
196,Aaron Nesmith,25,IND,SF,8,7,19.50,3.30,5.60,.578,1.30,2.10,.588,2.00,3.50,.571,.689,1.80,2.00,.875,0.50,2.90,3.40,0.80,0.50,0.30,0.60,3.10,9.50
197,Gary Trent Jr.,26,MIL,SG,36,7,24.50,3.30,7.60,.434,2.10,4.90,.424,1.20,2.70,.454,.571,0.80,0.90,.906,0.20,2.10,2.30,0.90,1.10,0.00,0.60,2.00,9.50
198,Clint Capela,30,ATL,C,42,41,22.70,4.20,7.40,.568,0.00,0.00,0.0,4.20,7.40,.568,.568,1.00,1.80,.532,3.20,5.70,9.00,1.20,0.60,1.00,1.00,2.00,9.40
199,Patrick Williams,23,CHI,PF,34,33,26.60,3.30,8.60,.381,1.70,4.60,.367,1.60,3.90,.398,.481,1.10,1.40,.830,0.60,3.20,3.90,2.20,0.80,0.60,1.40,1.40,9.40
200,Kentavious Caldwell-Pope,31,ORL,SG,43,43,30.50,3.30,7.80,.420,1.60,4.90,.318,1.70,2.90,.592,.519,1.20,1.30,.912,0.30,1.60,1.90,2.00,1.60,0.60,0.90,1.90,9.30
201,Zach Edey,22,MEM,C,29,22,20.60,3.90,6.60,.583,0.40,1.00,.393,3.50,5.70,.616,.612,1.20,1.90,.630,3.20,4.10,7.30,0.90,0.60,1.00,1.50,2.70,9.30
202,Kevin Porter Jr.,24,LAC,SG,37,1,19.50,3.80,9.10,.412,0.60,2.50,.242,3.20,6.60,.476,.445,1.20,1.90,.634,0.60,2.70,3.30,3.30,0.90,0.30,2.00,1.50,9.30
203,Nick Richards,27,2TM,C,23,10,21.40,3.20,5.50,.579,0.00,0.00,.000,3.20,5.40,.584,.579,2.90,4.20,.688,2.40,5.10,7.50,1.30,0.30,1.20,1.50,2.40,9.20
204,Anthony Black,21,ORL,PG,41,4,24.60,3.20,7.90,.407,0.60,2.40,.245,2.60,5.50,.478,.444,2.30,3.00,.750,0.60,2.10,2.70,3.50,1.00,0.60,2.10,2.30,9.20
205,Isaiah Joe,25,OKC,SG,40,11,20.60,3.30,7.70,.423,2.30,6.00,.388,0.90,1.70,.552,.575,0.40,0.50,.750,0.40,2.10,2.50,1.40,0.80,0.20,0.50,1.60,9.20
206,Miles McBride,24,NYK,PG,35,0,23.50,3.30,7.70,.424,1.70,4.60,.381,1.50,3.20,.486,.537,0.90,1.10,.816,0.80,1.70,2.50,2.90,0.80,0.20,0.80,1.50,9.20
207,Marcus Smart,30,MEM,PG,18,6,21.20,2.90,7.90,.373,1.60,4.80,.333,1.30,3.10,.436,.475,1.70,2.00,.833,0.80,1.60,2.30,3.80,1.30,0.30,1.90,1.70,9.20
208,Dalton Knecht,23,LAL,SF,41,12,21.00,3.30,7.30,.450,1.50,4.40,.341,1.80,2.90,.619,.553,1.00,1.30,.808,0.60,2.60,3.20,1.00,0.40,0.10,0.50,1.30,9.10
209,Dereck Lively II,20,DAL,C,32,25,24.00,3.90,5.50,.701,0.00,0.00,0.0,3.90,5.50,.701,.701,1.40,2.20,.638,3.10,4.80,7.80,2.60,0.50,1.70,1.20,2.90,9.10
210,Caleb Martin,29,PHI,SF,31,24,30.40,3.30,7.50,.435,1.10,2.80,.379,2.20,4.70,.469,.506,1.50,2.40,.622,1.40,3.00,4.40,2.20,1.10,0.60,1.40,2.00,9.10
211,Yves Missi,20,NOP,C,41,35,27.10,3.60,6.40,.561,0.00,0.00,.000,3.60,6.40,.563,.561,1.90,2.90,.661,3.60,4.50,8.20,1.40,0.60,1.40,1.20,2.30,9.10
212,Jalen Wilson,24,BRK,PF,43,9,26.90,3.10,8.00,.387,1.40,4.40,.316,1.70,3.60,.474,.474,1.50,1.70,.840,1.00,2.30,3.40,1.70,0.50,0.00,1.10,2.30,9.10
213,Dalano Banton,25,POR,PG,34,0,16.00,3.20,7.80,.410,1.20,3.30,.363,2.00,4.50,.444,.487,1.40,2.00,.691,0.40,1.70,2.10,2.30,0.80,0.50,1.30,0.90,9.00
214,Luke Kennard,28,MEM,SG,30,1,21.40,2.90,6.40,.461,2.00,4.40,.466,0.90,2.00,.450,.620,1.10,1.30,.895,0.60,2.40,3.10,3.20,0.60,0.10,0.90,0.90,9.00
215,Carlton Carrington,19,WAS,PG,42,33,30.00,3.30,8.20,.399,1.50,4.50,.342,1.70,3.70,.468,.493,0.70,0.90,.789,0.30,3.90,4.20,3.90,0.80,0.20,1.50,2.50,8.80
216,Justin Champagnie,23,WAS,SF,24,13,21.20,3.40,6.50,.519,1.30,3.10,.413,2.10,3.40,.617,.619,0.60,1.00,.652,1.80,3.30,5.10,1.00,1.10,0.60,0.90,2.10,8.70
217,Wendell Carter Jr.,25,ORL,C,32,23,25.40,3.10,7.00,.438,0.50,2.40,.195,2.60,4.60,.565,.471,2.00,2.90,.691,1.80,5.40,7.30,2.20,0.80,0.60,0.90,2.80,8.60
218,Tristan Da Silva,23,ORL,SF,41,34,26.10,3.30,8.00,.410,1.20,3.90,.311,2.00,4.00,.506,.486,0.80,1.00,.825,1.30,2.80,4.10,1.80,0.40,0.20,0.90,1.60,8.60
219,Kevin Huerter,26,SAC,SG,38,15,22.60,3.30,7.80,.419,1.60,5.10,.303,1.70,2.70,.644,.519,0.50,0.70,.704,0.50,2.60,3.10,1.80,0.90,0.40,0.90,1.80,8.60
220,Keon Johnson,22,BRK,SG,42,22,21.80,3.10,8.60,.363,1.40,4.70,.301,1.70,3.90,.436,.445,1.00,1.30,.755,0.60,2.50,3.20,1.70,0.80,0.30,1.30,2.40,8.60
221,Jusuf Nurkić,30,PHO,C,25,23,23.70,3.00,6.50,.454,0.80,2.40,.322,2.20,4.20,.529,.512,1.90,2.80,.696,1.80,7.30,9.20,1.90,0.90,0.60,2.30,3.10,8.60
222,Jay Huff,26,MEM,C,38,1,14.40,3.00,5.70,.523,1.60,3.70,.415,1.40,1.90,.730,.660,1.00,1.30,.771,0.60,1.90,2.40,0.70,0.30,1.00,0.70,1.60,8.50
223,Tyrese Martin,25,BRK,SG,28,5,20.70,3.10,7.50,.412,1.60,4.50,.365,1.50,3.00,.482,.521,0.60,0.90,.654,1.00,2.80,3.80,1.80,0.50,0.20,1.30,1.10,8.50
224,Garrison Mathews,28,ATL,SG,33,2,18.70,2.40,5.90,.412,2.00,4.90,.405,0.40,0.90,.452,.582,1.60,1.90,.828,0.30,1.30,1.70,1.50,0.70,0.30,0.70,1.80,8.50
225,Georges Niang,31,CLE,PF,42,1,20.20,3.20,6.80,.477,1.70,4.30,.389,1.60,2.50,.629,.600,0.40,0.50,.789,0.70,3.10,3.80,1.50,0.30,0.10,1.00,2.30,8.50
226,Peyton Watson,22,DEN,SF,43,12,24.30,3.00,6.40,.476,0.70,2.10,.344,2.30,4.30,.541,.533,1.70,2.20,.768,0.80,2.60,3.40,1.40,0.80,1.20,0.90,1.80,8.50
227,Cole Anthony,24,ORL,PG,41,8,16.20,3.10,7.70,.405,0.90,3.00,.303,2.20,4.70,.469,.464,1.30,1.70,.765,0.60,2.20,2.80,2.70,0.60,0.30,1.60,2.00,8.40
