"Summary Statistics for Information and Communication Establishments by Geolocation, Industry Description, Year and Data Items"

"Geolocation","Industry Description","2021 Number of Establishments","2021 Total Employment a/","2021 Paid Employees a/","2021 Workers on Sub-Contract Agreement or Under Manpower Agencies/Contractors a/","2021 Total Revenue","2021 Total Expense","2021 Compensation","2021 Other Expense","2021 Value Added","2021 Gross Additions to Tangible Fixed Assets","2021 Change in Inventories","2021 Sales from E-Commerce Transactions","2021 Subsidies"
"PHILIPPINES","Information and Communication",2447,169176,168716,12646,785378413,681777764,138204128,543573636,496967452,152826692,-875185,147682,51846
"PHILIPPINES","..Publishing of books, periodicals and other publishing activities",144,6312,6293,149,16437363,14316310,4123191,10193120,7537332,22777,-48959,18084,299
"PHILIPPINES","..Software publishing",9,1088,1087,-,13072744,6620725,2687172,3933552,9650412,-,-,-,-
"PHILIPPINES","..Motion picture, video and television programme activities",45,2772,2764,32,5475348,2826831,1238791,1588041,4283885,101846,-39,-,-
"PHILIPPINES","..Sound recording and music publishing activities",19,517,501,5,1796284,1475244,281046,1194198,658796,4918,-8082,494,-
"PHILIPPINES","..Radio broadcasting",411,5521,5446,91,4714385,3657452,1077213,2580239,2486431,136782,2626,-,17059
"PHILIPPINES","..Television programming and broadcasting activities",58,8061,8061,104,51971908,31415247,16232181,15183065,38139921,10204,-565,-,-
"PHILIPPINES","..Wired telecommunications activities",41,15380,15377,146,114988072,85710617,17243300,68467317,71602571,48197690,-341174,-,6815
"PHILIPPINES","..Wireless telecommunications activities",96,20896,20891,5383,281848465,285379198,27392537,257986661,236538321,99110972,-933760,6251,-
"PHILIPPINES","..Satellite telecommunications activities",312,7132,7091,1214,12085842,10723802,1659665,9064138,4928124,1246464,-33304,-,-
"PHILIPPINES","..Other telecommunications activities",416,7231,7133,2022,35282792,28699916,3291935,25407980,10904048,171890,281444,-,-
"PHILIPPINES","..Computer programming, consultancy and related activities",795,78487,78297,3354,234124166,200947177,56727531,144219647,100843038,3572175,211624,24800,17061
"PHILIPPINES","..Data processing, hosting and related activities; web portals",77,14986,14981,97,12005554,8833393,5671674,3161719,8360165,235294,-5038,98053,10613
"PHILIPPINES","..Other information service activities",23,795,794,49,1575490,1171852,577892,593959,1034408,15681,42,-,-
"..National Capital Region","Information and Communication",1051,133296,133099,11073,736806138,639912789,126866112,513046676,475834871,152014669,-1077260,49629,23282
"..National Capital Region","..Publishing of books, periodicals and other publishing activities",c,c,c,c,c,c,c,c,c,c,c,c,c
"..National Capital Region","..Software publishing",98,6126,6121,139,27119835,18518483,6199092,12319392,16174530,18944,-44386,18084,299
"..National Capital Region","..Motion picture, video and television programme activities",55,3161,3138,36,7087198,4125157,1493157,2632001,4891737,106176,-8066,494,-
"..National Capital Region","..Sound recording and music publishing activities",c,c,c,c,c,c,c,c,c,c,c,c,c
"..National Capital Region","..Radio broadcasting",35,1802,1802,-,2027628,1642789,395481,1247308,931664,109405,-21,-,-
"..National Capital Region","..Television programming and broadcasting activities",19,7534,7534,100,50512732,30481925,15786033,14695892,37117400,1623,-,-,-
"..National Capital Region","..Wired telecommunications activities",18,14634,14634,93,114314078,85144521,17111783,68032738,71307505,48125150,-336469,-,-
"..National Capital Region","..Wireless telecommunications activities",52,19268,19266,5370,280261866,283726211,27102669,256623542,236081202,99000952,-930626,6251,-
"..National Capital Region","..Satellite telecommunications activities",32,1132,1132,159,3964626,3948347,586130,3362218,1191837,930295,-3693,-,-
"..National Capital Region","..Other telecommunications activities",89,4804,4789,2018,33653215,27228175,2887536,24340639,10258016,110825,261359,-,-
"..National Capital Region","..Computer programming, consultancy and related activities",585,64855,64708,3095,207546716,177733177,50754311,126978866,90932223,3514901,-15301,24800,12391
"..National Capital Region","..Data processing, hosting and related activities; web portals",49,9290,9285,14,8851481,6200216,3974605,2225611,6018662,80717,-100,-,10593
"..National Capital Region","..Other information service activities",19,692,692,49,1466762,1163787,575316,588471,930096,15681,42,-,-
