"Summary Statistics for Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles Establishments by Geolocation, Industry Description, Year and Data Items"

"Geolocation","Industry Description","2021 Number of Establishments","2021 Total Employment a/","2021 Paid Employees a/","2021 Workers on Sub-Contract Agreement  or Under Manpower Agencies/Contractors a/","2021 Total Revenue","2021 Total  Expense","2021 Compensation","2021 Other Expense","2021 Gross Margin","2021 Value Added","2021 Gross Additions to Tangible Fixed Assets","2021 Change in Inventories","2021 Sales from E-Commerce Transactions","2021 Subsidies"
"..Zamboanga Peninsula","..Other specialized wholesale",93,815,718,-,18538285,17338664,321353,17017311,1352809,1728561,-,34472,-,-
"..Zamboanga Peninsula","..Non-specialized wholesale trade",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Zamboanga Peninsula","..Retail sale in non-specialized stores",385,6113,5491,-,15980586,15456433,564218,14892214,1794078,1102573,132137,639024,94437,-
"..Zamboanga Peninsula","..Retail sale of food, beverages and tobacco in specialized stores",337,1401,1181,-,1885943,1699087,96481,1602606,378747,319335,-,-15720,-,-
"..Zamboanga Peninsula","..Retail sale of automotive fuel in specialized stores",257,1754,1754,-,10084119,9726019,218922,9507097,764351,634905,-,200990,-,-
"..Zamboanga Peninsula","..Retail sale of information and communications equipment in specialized stores",214,542,542,280,2952808,2890563,75968,2814595,400493,215434,1123,-22988,-,-
"..Zamboanga Peninsula","..Retail sale of other household equipment in specialized stores",407,3991,3621,204,10457537,6516118,275749,6240369,4546563,4362119,-,17419,-,-
"..Zamboanga Peninsula","..Retail sale of cultural and recreation goods in specialized stores",58,400,370,-,277595,259434,33367,226066,77045,56850,1760,9834,-,-
"..Zamboanga Peninsula","..Retail sale of other goods in specialized stores",1025,6421,6137,95,13678264,12992945,761424,12231521,2506490,1645335,92709,-40017,-,20
"..Zamboanga Peninsula","..Retail trade not in stores, stalls or markets",5,93,87,-,1172874,1160542,12393,1148149,40612,37188,-,536,-,-
"..Northern Mindanao","Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles",5262,46227,45166,5425,225823665,210914822,8369408,202545414,33913478,30920710,6509800,-1583121,3272,-
"..Northern Mindanao","..Sale of motor vehicles",113,1466,1464,16,8835342,8473275,220604,8252670,1053739,834866,1049775,-263024,-,-
"..Northern Mindanao","..Maintenance and repair of motor vehicles",61,837,815,-,167974,133423,82695,50727,-,157505,168049,3,-,-
"..Northern Mindanao","..Sale of motor vehicle parts and accessories",216,1329,1282,24,1248983,1151144,173862,977282,315443,286618,229486,-45210,-,-
"..Northern Mindanao","..Sale, maintenance and repair of mo torcycles and related parts and accessories",492,3328,3183,-,12224863,11166105,486376,10679729,1436093,1788116,218004,1016332,-,-
"..Northern Mindanao","..Wholesale on a fee or contract basis",12,827,826,56,8654182,9066358,173269,8893089,-,2176463,13526,-349599,-,-
"..Northern Mindanao","..Wholesale of agricultural raw materials and live animals",74,812,812,-,3124743,2947799,72263,2875536,298420,276403,119441,-45457,-,-
"..Northern Mindanao","..Wholesale of food, beverages and tobacco",155,3661,3656,1211,23414413,22990541,1267020,21723522,3991273,2751299,1220163,-310050,-,-
"..Northern Mindanao","..Wholesale of household goods",110,1521,1521,68,10321927,9103007,464791,8638216,2773902,1837818,117943,39392,3272,-
"..Northern Mindanao","..Wholesale of machinery, equipment and supplies",57,354,354,-,1887959,1725257,83238,1642019,436562,287174,40225,4570,-,-
"..Northern Mindanao","..Other specialized wholesale",112,2954,2954,614,14326836,14095355,496126,13599229,2115120,1478889,573162,157835,-,-
"..Northern Mindanao","..Non-specialized wholesale trade",5,41,41,-,373144,370505,7319,363186,31116,14340,988,1976,-,-
"..Northern Mindanao","..Retail sale in non-specialized stores",539,8735,8547,1724,26638864,24118832,1015736,23103096,4012146,3984155,666198,156300,-,-
"..Northern Mindanao","..Retail sale of food, beverages and tobacco in specialized stores",422,1890,1793,39,5253291,4706176,188104,4518072,844638,814658,45218,-34313,-,-
"..Northern Mindanao","..Retail sale of automotive fuel in specialized stores",384,3205,3205,562,40583404,39832729,767841,39064888,2518892,2662917,1311782,-1080633,-,-
"..Northern Mindanao","..Retail sale of information and communications equipment in specialized stores",280,1195,1132,29,4417987,3864247,208063,3656184,817505,839269,11302,172092,-,-
"..Northern Mindanao","..Retail sale of other household equipment in specialized stores",660,6909,6672,190,28622043,26927098,1026274,25900824,3810078,3042690,150922,160616,-,-
"..Northern Mindanao","..Retail sale of cultural and recreation goods in specialized stores",84,408,408,-,455794,460338,49570,410768,131319,82588,127371,-24956,-,-
"..Northern Mindanao","..Retail sale of other goods in specialized stores",1473,6699,6445,892,35232994,29748763,1584098,28164666,9316354,7597641,446216,-1139919,-,-
"..Northern Mindanao","..Retail trade not in stores, stalls or markets",14,56,56,-,38922,33872,2157,31714,10878,7302,27,925,-,-
"..Davao Region","Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles",6715,63200,62122,7313,306384331,284003668,12846677,271156991,54671797,44381185,1297534,4385392,219802,10444
"..Davao Region","..Sale of motor vehicles",113,2067,2025,16,8834861,8342505,244505,8098000,1444002,1143109,-,393511,-,-
"..Davao Region","..Maintenance and repair of motor vehicles",133,1017,939,-,1449134,1316293,240928,1075365,-,484600,-,83298,-,-
"..Davao Region","..Sale of motor vehicle parts and accessories",246,2073,2026,-,9022966,8900710,333559,8567151,1334969,718146,-,336124,-,-
"..Davao Region","..Sale, maintenance and repair of mo torcycles and related parts and accessories",536,3789,3789,117,9099354,8836921,515106,8321815,1251367,974270,5286,381965,-,-
"..Davao Region","..Wholesale on a fee or contract basis",73,1393,1393,-,6232938,5931943,260592,5671351,-,615674,-,-,-,-
"..Davao Region","..Wholesale of agricultural raw materials and live animals",107,381,341,-,500665,456113,28582,427532,128879,94127,-,-22255,-,-
"..Davao Region","..Wholesale of food, beverages and tobacco",231,4351,4351,1493,43245863,39401378,1431234,37970145,9271216,6529443,72120,1277683,-,-
"..Davao Region","..Wholesale of household goods",328,3795,3795,1195,35828869,33063492,1587586,31475906,7385525,5616993,120990,613744,-,-
"..Davao Region","..Wholesale of machinery, equipment and supplies",164,1442,1440,17,15666688,14080162,370638,13709524,3190662,2580505,34099,735417,596,-
"..Davao Region","..Other specialized wholesale",281,5322,5322,492,34116502,26749124,1539033,25210091,6788330,10655646,444716,191337,-,-
"..Davao Region","..Non-specialized wholesale trade",3,8,8,-,3718,3757,540,3217,854,342,-,106,-,-
"..Davao Region","..Retail sale in non-specialized stores",767,14711,14445,2975,64617904,62658136,2381470,60276667,10204358,5885949,369774,7130,-,10444
"..Davao Region","..Retail sale of food, beverages and tobacco in specialized stores",373,1558,1526,-,4729392,4593662,215419,4378243,965477,458895,614,26137,-,-
"..Davao Region","..Retail sale of automotive fuel in specialized stores",457,3580,3511,252,14619418,14036819,333731,13703089,1504971,1301835,2100,489698,-,-
"..Davao Region","..Retail sale of information and communications equipment in specialized stores",344,1484,1426,29,6838364,6725190,304890,6420301,727631,503969,300,-49541,-,-
"..Davao Region","..Retail sale of other household equipment in specialized stores",581,6220,5901,374,14388181,13737168,943526,12793642,2892619,1880402,102040,801949,-,-
"..Davao Region","..Retail sale of cultural and recreation goods in specialized stores",113,705,705,-,1770748,1499430,77668,1421762,411911,373411,-,-327059,-,-
"..Davao Region","..Retail sale of other goods in specialized stores",1833,9260,9135,342,35394852,33650422,2034895,31615526,7159442,4556871,145495,-553556,219207,-
"..Davao Region","..Retail trade not in stores, stalls or markets",34,44,44,11,23917,20442,2777,17666,9583,6997,-,-294,-,-
"..SOCCSKSARGEN","Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles",4504,33211,31897,1836,115686765,109195504,4535308,104660196,16340504,12884640,563269,2992153,10377,-
"..SOCCSKSARGEN","..Sale of motor vehicles",48,868,858,-,3156318,3117265,93135,3024129,226356,190342,7800,297459,-,-
"..SOCCSKSARGEN","..Maintenance and repair of motor vehicles",103,527,458,28,439088,416517,39022,377495,-,67759,179,53113,-,-
"..SOCCSKSARGEN","..Sale of motor vehicle parts and accessories",112,678,655,1,836964,769890,83322,686567,199765,172774,7133,34037,-,-
"..SOCCSKSARGEN","..Sale, maintenance and repair of mo torcycles and related parts and accessories",314,2174,2144,-,8828634,8159304,466804,7692501,1508903,1193608,15591,418708,-,-
"..SOCCSKSARGEN","..Wholesale on a fee or contract basis",8,341,339,21,1256530,1178464,32632,1145832,-,169133,6504,-9585,-,-
"..SOCCSKSARGEN","..Wholesale of agricultural raw materials and live animals",151,2427,2369,13,2304823,2177411,145536,2031875,585029,366289,22632,132555,-,-
"..SOCCSKSARGEN","..Wholesale of food, beverages and tobacco",117,1378,1271,22,4723377,4672703,97495,4575208,247837,178577,8075,-2773,-,-
"..SOCCSKSARGEN","..Wholesale of household goods",137,1057,1002,41,6839751,6667246,271432,6395813,753497,501609,27,-195951,-,-
"..SOCCSKSARGEN","..Wholesale of machinery, equipment and supplies",84,452,450,4,1402656,1278523,70197,1208326,246326,220577,1241,48264,-,-
"..SOCCSKSARGEN","..Other specialized wholesale",105,514,448,78,1029909,1039199,50404,988795,144625,103634,29443,-11562,-,-
"..SOCCSKSARGEN","..Non-specialized wholesale trade",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..SOCCSKSARGEN","..Retail sale in non-specialized stores",483,6515,6220,823,19522278,18464715,787243,17677472,3279906,2552910,114929,953961,-,-
"..SOCCSKSARGEN","..Retail sale of food, beverages and tobacco in specialized stores",421,1710,1641,235,1108127,1068706,122188,946519,342290,187362,4462,-41604,-,-
"..SOCCSKSARGEN","..Retail sale of automotive fuel in specialized stores",349,2633,2633,1,23199664,22946903,345856,22601047,1046808,684319,2152,79830,-,-
"..SOCCSKSARGEN","..Retail sale of information and communications equipment in specialized stores",234,968,968,36,4762125,3900202,226486,3673716,939754,1175148,3062,224647,-,-
"..SOCCSKSARGEN","..Retail sale of other household equipment in specialized stores",490,4752,4711,248,15622118,14190655,750548,13440107,3211158,2387294,87044,-180301,-,-
"..SOCCSKSARGEN","..Retail sale of cultural and recreation goods in specialized stores",93,589,589,2,1988400,1741324,91518,1649806,518961,388927,-,7557,-,-
"..SOCCSKSARGEN","..Retail sale of other goods in specialized stores",1235,5586,5101,282,18611048,17358225,856914,16501311,3070082,2331623,252978,1183134,10377,-
"..SOCCSKSARGEN","..Retail trade not in stores, stalls or markets",19,42,40,-,54955,48253,4576,43677,19206,12754,17,665,-,-
"..Caraga","Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles",2763,24437,23319,906,100221811,97673042,3498032,94175010,12274681,8031781,4048602,2460026,2255,9100
"..Caraga","..Sale of motor vehicles",34,599,599,6,3077605,3691292,99443,3591849,261527,-486428,110038,85546,-,-
"..Caraga","..Maintenance and repair of motor vehicles",48,299,280,23,9227241,9113920,53066,9060853,-,243429,3045,-2137,-,-
"..Caraga","..Sale of motor vehicle parts and accessories",48,335,335,-,539962,528130,28407,499724,65503,46404,10009,42309,-,-
"..Caraga","..Sale, maintenance and repair of mo torcycles and related parts and accessories",292,1802,1655,-,4362027,3907652,235367,3672285,945027,798878,110750,459857,-,-
"..Caraga","..Wholesale on a fee or contract basis",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"..Caraga","..Wholesale of agricultural raw materials and live animals",59,603,603,-,633389,596008,35964,560045,118673,83001,836,3284,-,-
"..Caraga","..Wholesale of food, beverages and tobacco",80,1908,1805,14,15263995,15056597,313511,14743086,1126242,583350,15693,564308,-,-
"..Caraga","..Wholesale of household goods",46,729,696,21,1282457,1208011,118898,1089113,302206,204032,6196,49519,-,-
"..Caraga","..Wholesale of machinery, equipment and supplies",43,274,254,-,682306,515474,55105,460369,220116,232907,-,85702,-,-
"..Caraga","..Other specialized wholesale",48,633,617,-,7072163,6826843,105583,6721260,572409,441273,708511,271182,-,-
"..Caraga","..Non-specialized wholesale trade",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"..Caraga","..Retail sale in non-specialized stores",384,6390,6056,427,18669853,18233824,633755,17600069,2931797,2016039,2191850,368513,-,9100
"..Caraga","..Retail sale of food, beverages and tobacco in specialized stores",261,1705,1523,34,2790868,2725726,179355,2546372,519461,311834,40211,-13281,2255,-
"..Caraga","..Retail sale of automotive fuel in specialized stores",162,1454,1454,-,11649936,11435668,133392,11302276,644756,538605,107640,44775,-,-
"..Caraga","..Retail sale of information and communications equipment in specialized stores",130,575,575,-,2922015,2860186,80520,2779666,208110,156146,-,3009,-,-
"..Caraga","..Retail sale of other household equipment in specialized stores",329,3248,3183,216,9215704,8809821,816540,7993281,1775829,1287370,294701,268663,-,-
"..Caraga","..Retail sale of cultural and recreation goods in specialized stores",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"..Caraga","..Retail sale of other goods in specialized stores",746,3506,3324,163,12383004,11762230,583067,11179163,2458324,1487530,448452,223402,-,-
"..Caraga","..Retail trade not in stores, stalls or markets",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Bangsamoro Autonomous Region in Muslim Mindanao","Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles",380,4155,3839,5,9920211,9122782,356055,8766727,1965139,1264185,196591,44707,481,5
"..Bangsamoro Autonomous Region in Muslim Mindanao","..Sale of motor vehicles",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Bangsamoro Autonomous Region in Muslim Mindanao","..Maintenance and repair of motor vehicles",7,53,53,-,22028,18763,3872,14892,-,7469,135,989,-,-
"..Bangsamoro Autonomous Region in Muslim Mindanao","..Sale of motor vehicle parts and accessories",14,126,122,-,651412,338209,7634,330574,22390,322976,60,3394,-,-
"..Bangsamoro Autonomous Region in Muslim Mindanao","..Sale, maintenance and repair of mo torcycles and related parts and accessories",11,57,57,-,69316,61248,5228,56021,12207,15716,1240,-6749,-,-
"..Bangsamoro Autonomous Region in Muslim Mindanao","..Wholesale on a fee or contract basis",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Bangsamoro Autonomous Region in Muslim Mindanao","..Wholesale of agricultural raw materials and live animals",17,172,168,-,116489,87646,8985,78661,49772,44808,9015,-6240,-,5
"..Bangsamoro Autonomous Region in Muslim Mindanao","..Wholesale of food, beverages and tobacco",21,279,266,3,4203609,4211520,48131,4163388,116697,75156,495,19920,481,-
"..Bangsamoro Autonomous Region in Muslim Mindanao","..Wholesale of household goods",9,51,51,-,26747,24379,5017,19362,11273,9585,1040,-9722,-,-
"..Bangsamoro Autonomous Region in Muslim Mindanao","..Wholesale of machinery, equipment and supplies",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"..Bangsamoro Autonomous Region in Muslim Mindanao","..Other specialized wholesale",6,87,87,-,70857,71650,5677,65973,18238,6040,-,-1622,-,-
"..Bangsamoro Autonomous Region in Muslim Mindanao","..Non-specialized wholesale trade",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Bangsamoro Autonomous Region in Muslim Mindanao","..Retail sale in non-specialized stores",56,885,624,-,95859,95246,21276,73970,33744,27777,18683,-14432,-,-
"..Bangsamoro Autonomous Region in Muslim Mindanao","..Retail sale of food, beverages and tobacco in specialized stores",19,96,76,-,396730,397876,24561,373315,40919,24470,-,-6211,-,-
"..Bangsamoro Autonomous Region in Muslim Mindanao","..Retail sale of automotive fuel in specialized stores",23,231,231,-,907316,781062,24828,756234,164497,170371,60805,-54673,-,-
"..Bangsamoro Autonomous Region in Muslim Mindanao","..Retail sale of information and communications equipment in specialized stores",19,75,75,-,57468,53381,2810,50571,11648,9568,-833,549,-,-
"..Bangsamoro Autonomous Region in Muslim Mindanao","..Retail sale of other household equipment in specialized stores",67,1200,1188,2,2843801,2578545,128703,2449843,1312636,418609,103150,134669,-,-
"..Bangsamoro Autonomous Region in Muslim Mindanao","..Retail sale of cultural and recreation goods in specialized stores",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"..Bangsamoro Autonomous Region in Muslim Mindanao","..Retail sale of other goods in specialized stores",105,811,811,-,393200,343630,66615,277016,159137,123721,500,-9200,-,-
"..Bangsamoro Autonomous Region in Muslim Mindanao","..Retail trade not in stores, stalls or markets",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
