industry_description,number_of_establishments_all_employment_sizes_2016,number_of_establishments_total_employment_of_20_and_over_2016,number_of_establishments_total_employment_of_less_than_20_2016,total_employment_all_employment_sizes_2016,total_employment_total_employment_of_20_and_over_2016,total_employment_total_employment_of_less_than_20_2016,paid_employees_all_employment_sizes_2016,paid_employees_total_employment_of_20_and_over_2016,paid_employees_total_employment_of_less_than_20_2016,total_income_all_employment_sizes_2016,total_income_total_employment_of_20_and_over_2016,total_income_total_employment_of_less_than_20_2016,total_expense_all_employment_sizes_2016,total_expense_total_employment_of_20_and_over_2016,total_expense_total_employment_of_less_than_20_2016,compensation_all_employment_sizes_2016,compensation_total_employment_of_20_and_over_2016,compensation_total_employment_of_less_than_20_2016,other_expense_all_employment_sizes_2016,other_expense_total_employment_of_20_and_over_2016,other_expense_total_employment_of_less_than_20_2016,value_added_all_employment_sizes_2016,value_added_total_employment_of_20_and_over_2016,value_added_total_employment_of_less_than_20_2016,goss_additions_to_fixed_assets_all_employment_sizes_2016,goss_additions_to_fixed_assets_total_employment_of_20_and_over_2016,goss_additions_to_fixed_assets_total_employment_of_less_than_20_2016,change_in_inventories_all_employment_sizes_2016,change_in_inventories_total_employment_of_20_and_over_2016,change_in_inventories_total_employment_of_less_than_20_2016,subsidies_all_employment_sizes_2016,subsidies_total_employment_of_20_and_over_2016,subsidies_total_employment_of_less_than_20_2016,e-commerce_sales_all_employment_sizes_2016,e-commerce_sales_total_employment_of_20_and_over_2016,e-commerce_sales_total_employment_of_less_than_20_2016
Information and Communication,4598,846,3752,145324,127561,17763,143565,127332,16233,626619395,577097351,49522044,522550074,479787963,42762111,86855396,83527150,3328245,435694678,396260812,39433865,241019482,222975817,18043665,53375801,52544951,830850,-424262,-653660,229398,37664,37664,0,540069,538529,1540
Book publishing,79,34,45,3629,3194,435,3615,3183,432,6193075,5341411,851664,5678947,4926295,752652,911131,797668,113463,4767816,4128627,639189,1846391,1601489,244902,380037,374488,5548,16846,18341,-1495,0,0,0,120838,119448,1390
Publishing of directories and mailing lists,3,3,0,1257,1257,0,1257,1257,0,1277829,1277829,0,1236572,1236572,0,669737,669737,0,566835,566835,0,729101,729101,0,5898,5898,0,6174,6174,0,0,0,0,55068,55068,0
"Publishing of newspapers, journals and periodicals",105,40,65,4945,4509,436,4870,4449,421,10860985,10320221,540764,9528783,9034837,493946,2092482,1994921,97561,7436301,7039916,396385,3800861,3629585,171276,83100,76969,6131,17955,18569,-615,0,0,0,0,0,0
Other publishing activities,7,4,3,394,363,31,394,363,31,293457,214814,78643,288926,212361,76564,134906,119987,14919,154020,92374,61645,151093,131809,19284,4882,4472,410,0,0,0,0,0,0,0,0,0
Software publishing,5,5,0,1852,1852,0,1852,1852,0,7360285,7360285,0,7187417,7187417,0,2200837,2200837,0,4986581,4986581,0,2540718,2540718,0,48000,48000,0,0,0,0,0,0,0,0,0,0
"Motion picture, video and television programme activities",33,11,22,1102,888,214,1084,870,214,4052583,3341696,710887,2946675,2314413,632263,574246,505863,68382,2372430,1808549,563882,1715600,1756200,-40599,68906,68716,190,-19320,-19173,-148,0,0,0,0,0,0
"Motion picture, video and television programme post-production activities",11,0,0,1182,0,0,1182,0,0,859582,0,0,846661,0,0,349112,0,0,497548,0,0,427129,0,0,13902,0,0,0,0,0,0,0,0,0,0,0
"Motion picture, video and television programme distribution activities",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Motion picture projection activities,115,36,79,2186,1455,731,2183,1453,730,7491001,4683374,2807627,5485753,3217601,2268152,446170,284019,162151,5039583,2933582,2106000,3676877,2577356,1099521,1898866,1323303,575563,-514,-627,113,0,0,0,0,0,0
