,,,,,,,,,,,,,,"Summary Statistics for Education Establishments by Geolocation, Industry Description, Year and Data Items"
Geolocation,Industry Description,2020 Number of Establishments,2020 Total Employment a/,2020 Paid Employees a/,2020 Workers on Sub-Contract Agreement  or Under Manpower Agencies/Contractors a/,2020 Total Revenue,2020 Total Expense,2020 Compensation,2020 Other Expense,2020 Value Added,2020 Gross Additions to Tangible Fixed Assets,2020 Change in Inventories,2020 Sales from E-commerce Transactions,2020 Subsidies
PHILIPPINES,Education,11488,368644,363941,6989,190208550,170616151,91566741,79049410,131897849,22853860,1212,75346,4712860
PHILIPPINES,..Pre-primary/pre-school education,2169,23204,22475,127,7567957,7014872,3424896,3589975,4786292,329256,-10649,-,13474
PHILIPPINES,..Primary/elementary education,2565,44032,42544,654,13032277,12012652,7175240,4837411,9391894,1015848,10489,-,338550
PHILIPPINES,..Secondary/high school education,3141,103060,101829,1635,47209220,41306106,23827627,17478479,34523844,6316715,-9037,-,2825728
PHILIPPINES,..Higher education,2138,173026,172014,4191,108873202,97410419,52052553,45357867,76395140,14704284,34881,-,1476084
PHILIPPINES,..Other education services,1453,24790,24549,351,12963531,12345499,4909460,7436038,6520353,475001,-20203,75346,59024
PHILIPPINES,..Educational support services,22,532,531,31,562363,526603,176965,349639,280325,12756,-4268,-,-
..National Capital Region,Education,2293,90156,89391,2309,77615187,69077023,33411523,35665500,50399190,9541438,-21479,47937,521040
..National Capital Region,..Pre-primary/pre-school education,533,7095,6991,-,3962557,3795111,1516121,2278989,2166842,224449,1310,-,-
..National Capital Region,..Primary/elementary education,366,6488,6312,186,3073115,2773846,1502812,1271034,2064047,223830,1211,-,3228
..National Capital Region,..Secondary/high school education,372,20469,20263,576,17813346,14877711,7950322,6927389,12885782,2852670,-5749,-,296154
..National Capital Region,..Higher education,374,45628,45438,1274,43484679,38906923,19451203,19455720,29151267,6053187,-4834,-,221658
..National Capital Region,..Other education services,641,10147,10060,249,8828084,8311937,2848992,5462946,3920934,174546,-13417,47937,-
..National Capital Region,..Educational support services,7,328,328,24,453405,411495,142073,269422,210318,12756,-,-,-
..Cordillera Administrative Region,Education,301,10329,10285,40,3398062,3137295,2022154,1115141,2528004,292906,17497,-,127150
..Cordillera Administrative Region,..Pre-primary/pre-school education,36,276,251,-,43292,40847,24582,16265,32437,-,1203,-,-
..Cordillera Administrative Region,..Primary/elementary education,53,1519,1519,7,544191,468191,343940,124250,466320,-,-7,-,878
..Cordillera Administrative Region,..Secondary/high school education,93,1795,1795,-,438743,436291,315642,120649,337323,24276,2178,-,111768
..Cordillera Administrative Region,..Higher education,61,3320,3304,22,1460122,1353085,815181,537904,1085873,268630,2545,-,-
..Cordillera Administrative Region,..Other education services,59,3419,3416,11,911714,838882,522809,316073,606050,-,11578,-,14504
..Cordillera Administrative Region,..Educational support services,,,,,,,,,,,,,
..Ilocos Region,Education,548,16984,16944,234,5758064,5153625,2920507,2233118,4364397,301776,-353,-,279391
..Ilocos Region,..Pre-primary/pre-school education,97,690,674,-,85675,81919,54413,27507,70229,315,15,-,-
..Ilocos Region,..Primary/elementary education,146,3231,3231,-,1010956,880163,503389,376775,707365,126008,7039,-,4044
..Ilocos Region,..Secondary/high school education,147,4155,4155,53,1299466,1176523,623527,552996,930207,115,7396,-,227263
..Ilocos Region,..Higher education,125,8749,8737,180,3323735,2970873,1716044,1254829,2628780,175338,-8159,-,48084
..Ilocos Region,..Other education services,32,160,148,-,38232,44147,23135,21012,27816,-,-6644,-,-
..Ilocos Region,..Educational support services,,,,,,,,,,,,,
..Cagayan Valley,Education,251,8080,8023,59,2626931,2385605,1507309,878295,2062352,139740,-12376,-,-
..Cagayan Valley,..Pre-primary/pre-school education,61,760,760,-,80329,78908,59860,19048,68994,-,4,-,-
..Cagayan Valley,..Primary/elementary education,46,453,453,-,54906,45230,28816,16414,42432,-,-1204,-,-
..Cagayan Valley,..Secondary/high school education,72,2513,2513,21,504681,445990,344245,101745,414023,-,-4572,-,-
..Cagayan Valley,..Higher education,62,4165,4120,38,1929925,1761005,1047718,713287,1502687,139740,-6604,-,-
..Cagayan Valley,..Other education services,10,188,176,-,57090,54472,26671,27801,34216,-,-,-,-
..Cagayan Valley,..Educational support services,,,,,,,,,,,,,
..Central Luzon,Education,1317,40077,39718,554,15826991,14414706,8587543,5827163,11597784,1538751,-8076,-,775214
..Central Luzon,..Pre-primary/pre-school education,251,2770,2727,-,603325,551681,360452,191229,466160,-,-211,-,358
..Central Luzon,..Primary/elementary education,334,6947,6829,208,1766609,1693536,1017997,675539,1317789,366639,-536,-,51154
