geolocation,industry_description,number_of_establishments_2021,total_employment_at_2021,paid_employees_at_2021,workers_on_sub-contract_agreement_or_under_manpower_agencies_contractors_at_2021,total_revenue_2021,total_expense_2021,compensation_2021,other_expense_2021,value_added_2021,gross_additions_to_tangible_fixed_assets_2021,change_in_inventories_2021,sales_from_e-commerce_transactions_2021,subsidies_2021
Bicol Region,Repair of computers and communications equipment,13,51,45,3,30029,26214,5378,20836,11025,47,418,0,0
Bicol Region,Repair of personal and household goods,35,130,120,0,13298,16402,8631,7771,7087,23,-361,0,0
Bicol Region,"Personal services for wellness, except sports activities",151,415,373,0,82295,98443,25326,73116,15211,0,0,0,0
Bicol Region,Laundry services,61,167,152,0,23188,27073,9874,17200,10915,0,14,0,0
Bicol Region,Funeral and related activities,92,500,500,40,126892,98670,43933,54737,77054,1300,8014,0,0
Bicol Region,"Other personal service activities, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Western Visayas,Other Service Activities,570,3744,3703,31,1256083,1037576,372092,665484,641446,2792,4499,0,0
Western Visayas,Repair of computers and communications equipment,20,109,105,10,40519,36714,11268,25446,17128,0,3300,0,0
Western Visayas,Repair of personal and household goods,83,729,729,20,268709,249330,108846,140484,150890,2792,-882,0,0
Western Visayas,"Personal services for wellness, except sports activities",186,1896,1896,0,190369,169204,111411,57793,145910,0,85,0,0
Western Visayas,Laundry services,190,429,429,0,108316,106554,49982,56571,58880,0,-77,0,0
Western Visayas,Funeral and related activities,88,569,532,0,645569,473526,88706,384820,266146,0,2073,0,0
Western Visayas,"Other personal service activities, n.e.c.",4,13,13,0,2600,2248,1880,368,2492,0,0,0,0
Central Visayas,Other Service Activities,835,7009,6353,158,3466192,2942738,896853,2045885,1527882,133463,-831,0,0
Central Visayas,Repair of computers and communications equipment,25,75,69,0,22041,20574,6621,13953,9387,0,317,0,0
Central Visayas,Repair of personal and household goods,77,1543,1542,158,1058722,809384,237714,571670,498199,33455,-93,0,0
Central Visayas,"Personal services for wellness, except sports activities",438,3909,3264,0,973176,989459,442995,546464,473447,0,1814,0,0
Central Visayas,Laundry services,161,662,662,0,121061,113721,44997,68725,58728,0,0,0,0
Central Visayas,Funeral and related activities,126,804,800,0,1287672,1004672,162446,842226,486520,100008,-2870,0,0
Central Visayas,"Other personal service activities, n.e.c.",8,16,16,0,3519,4928,2081,2847,1601,0,0,0,0
Eastern Visayas,Other Service Activities,243,1123,1081,0,320635,239159,79267,159892,183230,5839,1308,0,0
Eastern Visayas,Repair of computers and communications equipment,8,20,14,0,3472,4419,1515,2904,1155,398,9,0,0
Eastern Visayas,Repair of personal and household goods,20,98,91,0,35774,25885,6539,19345,17208,0,44,0,0
Eastern Visayas,"Personal services for wellness, except sports activities",74,521,495,0,63650,58750,20141,38609,27614,658,2643,0,0
Eastern Visayas,Laundry services,68,110,109,0,26214,19019,8386,10633,17085,0,40,0,0
Eastern Visayas,Funeral and related activities,73,374,372,0,191526,131087,42685,88401,120168,4783,-1428,0,0
Eastern Visayas,"Other personal service activities, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Peninsula,Other Service Activities,219,1191,1108,8,369477,312297,84039,228258,149864,13,-224,0,0
Zamboanga Peninsula,Repair of computers and communications equipment,9,43,42,4,24442,19909,5161,14748,11028,0,-592,0,0
Zamboanga Peninsula,Repair of personal and household goods,29,173,158,0,46657,36462,10356,26106,22433,13,1176,0,0
Zamboanga Peninsula,"Personal services for wellness, except sports activities",81,592,551,0,123729,100796,35665,65131,59967,0,-1436,0,0
Zamboanga Peninsula,Laundry services,65,159,159,0,57910,48777,13856,34921,24684,0,509,0,0
Zamboanga Peninsula,Funeral and related activities,35,223,198,4,116739,106353,19000,87352,31750,0,119,0,0
Zamboanga Peninsula,"Other personal service activities, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mindanao,Other Service Activities,286,1535,1509,0,585707,513210,119995,393214,249427,209641,-5075,0,0
Northern Mindanao,Repair of computers and communications equipment,10,31,27,0,10915,8577,3577,5001,7852,18,-21,0,0
Northern Mindanao,Repair of personal and household goods,40,361,357,0,75605,72539,28645,43894,37034,5124,-1245,0,0
Northern Mindanao,"Personal services for wellness, except sports activities",132,674,674,0,122750,100157,34630,65527,70646,0,-3001,0,0
Northern Mindanao,Laundry services,67,146,146,0,40374,41274,9906,31368,10916,0,0,0,0
Northern Mindanao,Funeral and related activities,37,324,305,0,336063,290662,43238,247423,122979,204499,-808,0,0
Northern Mindanao,"Other personal service activities, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Davao Region,Other Service Activities,340,2039,2024,2,712110,604069,168200,435869,324836,159,1777,0,0
Davao Region,Repair of computers and communications equipment,10,46,38,0,78839,52286,6203,46084,38820,128,717,0,0
Davao Region,Repair of personal and household goods,50,322,315,2,91148,91679,37030,54648,45791,32,511,0,0
Davao Region,"Personal services for wellness, except sports activities",101,678,678,0,93600,92175,34806,57369,44445,0,355,0,0
Davao Region,Laundry services,114,430,430,0,73406,63195,23124,40071,44190,0,0,0,0
Davao Region,Funeral and related activities,59,550,550,0,368231,298384,65897,232487,148196,0,194,0,0
Davao Region,"Other personal service activities, n.e.c.",7,13,13,0,6887,6349,1141,5209,3395,0,0,0,0
Soccsksargen,Other Service Activities,254,1374,1329,9,331603,294317,83507,210810,159546,1560,-991,0,0
Soccsksargen,Repair of computers and communications equipment,6,13,10,0,2648,2011,879,1132,1584,20,-46,0,0
Soccsksargen,Repair of personal and household goods,30,189,176,0,70259,62266,9363,52904,21078,129,-301,0,0
Soccsksargen,"Personal services for wellness, except sports activities",113,806,806,0,90962,68309,36096,32213,61611,0,0,0,0
Soccsksargen,Laundry services,55,110,110,0,53177,55575,13822,41753,31025,0,0,0,0
Soccsksargen,Funeral and related activities,50,256,227,9,114557,106155,23347,82808,44248,1411,-644,0,0
Soccsksargen,"Other personal service activities, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Caraga,Other Service Activities,129,701,697,1,179867,146420,57571,88849,118419,5514,-132,0,0
Caraga,Repair of computers and communications equipment,5,13,13,0,7605,6180,2245,3935,4356,367,43,0,0
Caraga,Repair of personal and household goods,20,85,81,0,20707,15120,5209,9911,11332,140,-2,0,0
Caraga,"Personal services for wellness, except sports activities",55,343,343,0,43904,37545,23629,13916,33921,348,47,0,0
Caraga,Laundry services,17,69,69,0,32813,24719,9615,15104,22737,4470,-151,0,0
Caraga,Funeral and related activities,32,192,192,1,74838,62856,16873,45983,46073,190,-68,0,0
Caraga,"Other personal service activities, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Bangsamoro Autonomous Region in Muslim Mindanao,Other Service Activities,15,98,70,0,13917,11881,4197,7684,7380,300,-90,0,0
Bangsamoro Autonomous Region in Muslim Mindanao,Repair of computers and communications equipment,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangsamoro Autonomous Region in Muslim Mindanao,Repair of personal and household goods,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangsamoro Autonomous Region in Muslim Mindanao,"Personal services for wellness, except sports activities",7,47,19,0,5724,4322,1861,2462,3427,300,-55,0,0
Bangsamoro Autonomous Region in Muslim Mindanao,Laundry services,5,20,20,0,4952,3909,1082,2827,2809,0,-35,0,0
Bangsamoro Autonomous Region in Muslim Mindanao,Funeral and related activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangsamoro Autonomous Region in Muslim Mindanao,"Other personal service activities, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
