id,incident_number,incident_code,category,descript,day_of_the_week,date,time,police_dept_district,resolution,address,location_x_axis,location_y_axis
10603156328150,106031563,28150,Vandalism,"Malicious Mischief, Vandalism",Sunday,2010-03-14,15:30,Southern,None,"Folsom St, The Embarcaderosouth St",-122.390094248247,37.7907638589303
10046336268020,100463362,68020,OtherOffenses,Miscellaneous Investigation,Wednesday,2010-05-19,01:40,Central,"Arrest, Booked",400 Block Of Sutter St,-122.407802668376,37.7893818905021
10051673928160,100516739,28160,Vandalism,"Malicious Mischief, Vandalism Of Vehicles",Friday,2010-06-04,04:36,Northern,None,"Scott St, Filbert St",-122.440613705411,37.7973928602692
13082092003011,130820920,3011,Robbery,Robbery On The Street With A Gun,Sunday,2013-09-29,08:37,Bayview,"Arrest, Booked","Somerset St, Bacon St",-122.407556369323,37.7266003621804
6057910806244,60579108,6244,Larceny/theft,Grand Theft From Locked Auto,Wednesday,2006-05-31,17:00,Central,None,"Mason St, Sutter St",-122.410246553741,37.7890162035598
9607456271000,96074562,71000,Non-criminal,Lost Property,Monday,2009-08-24,09:15,Northern,Unfounded,400 Block Of Mcallister St,-122.419448185224,37.7802091894281
8113679163010,81136791,63010,Warrants,Warrant Arrest,Friday,2008-10-24,02:19,Northern,"Arrest, Booked","Geary St, Polk St",-122.419739837805,37.7858926099715
14007903261030,140079032,61030,Non-criminal,"Death Report, Cause Unknown",Friday,2013-12-20,14:00,Tenderloin,None,600 Block Of Ofarrell St,-122.414850480524,37.7856087588303
3037557271000,30375572,71000,Non-criminal,Lost Property,Monday,2003-03-31,06:00,Mission,None,"16th St, Mission St",-122.419671780303,37.7650501214714
7086817372000,70868173,72000,Non-criminal,Found Property,Saturday,2007-08-25,18:15,Northern,Unfounded,"Fillmore St, Turk St",-122.432142776025,37.780495583709
7126026905011,71260269,5011,Burglary,"Burglary Of Apartment House, Forcible Entry",Sunday,2007-12-09,10:00,Bayview,District Attorney Refuses To Prosecute,0 Block Of Garlington Ct,-122.384396871119,37.7325070966122
6022628065016,60226280,65016,OtherOffenses,"Drivers License, Suspended Or Revoked",Tuesday,2006-02-28,10:40,Southern,"Arrest, Cited","Mcallister St, Jones St",-122.411979487494,37.7809039696758
7015005515201,70150055,15201,Assault,Stalking,Saturday,2007-02-10,05:15,Bayview,None,"Harbor Rd, Ingalls St",-122.379932683403,37.7333815339796
12021015919057,120210159,19057,Assault,Threats Against Life,Monday,2011-03-14,11:42,Mission,"Arrest, Booked",3000 Block Of 16th St,-122.420080983505,37.7650815376682
13100529816030,131005298,16030,Drug/narcotic,Possession Of Marijuana For Sales,Wednesday,2013-11-27,15:50,Central,"Arrest, Booked",1100 Block Of Mason St,-122.411387588535,37.7942916387198
6035471264020,60354712,64020,Non-criminal,"Aided Case, Mental Disturbed",Monday,2006-04-03,10:10,Tenderloin,Psychopathic Case,400 Block Of Ellis St,-122.413609328985,37.784696907904
11033381864085,110333818,64085,SuspiciousOcc,Investigative Detention,Monday,2011-04-25,03:00,Central,None,400 Block Of Geary St,-122.41072162587,37.7870966495663
11097552364070,110975523,64070,SuspiciousOcc,Suspicious Occurrence,Friday,2011-12-02,11:00,Northern,None,800 Block Of Webster St,-122.430095242111,37.7783762836471
12018653864070,120186538,64070,SuspiciousOcc,Suspicious Occurrence,Wednesday,2012-02-29,13:01,Central,None,800 Block Of Grant Avenue,-122.406460320184,37.7947041509893
5035981371000,50359813,71000,Non-criminal,Lost Property,Tuesday,2005-03-29,11:00,Northern,None,"Pierce St, Chestnut St",-122.439504944769,37.8004024933389
8600492728150,86004927,28150,Vandalism,"Malicious Mischief, Vandalism",Thursday,2008-01-17,07:00,Park,None,0 Block Of Corbett Avenue,-122.439763965816,37.7619648792721
5123451307021,51234513,7021,VehicleTheft,Stolen Automobile,Monday,2005-10-31,20:00,Bayview,None,800 Block Of Rhodeisland St,-122.402085966027,37.7590227079465
5019168707021,50191687,7021,VehicleTheft,Stolen Automobile,Thursday,2005-02-17,18:30,Mission,None,2200 Block Of Mariposa St,-122.405937388162,37.7632231175643
11063764805013,110637648,5013,Burglary,"Burglary Of Apartment House, Unlawful Entry",Tuesday,2011-08-09,19:30,Taraval,None,0 Block Of Rivas Avenue,-122.481507877132,37.7168456932205
9105664064070,91056640,64070,SuspiciousOcc,Suspicious Occurrence,Tuesday,2009-10-13,09:30,Richmond,None,500 Block Of 10th Avenue,-122.468289062405,37.7779534929462
7602259706244,76022597,6244,Larceny/theft,Grand Theft From Locked Auto,Saturday,2007-04-07,21:50,Mission,None,1000 Block Of Potrero Avenue,-122.406681057265,37.755343095442
10015479362050,100154793,62050,Warrants,Enroute To Outside Jurisdiction,Tuesday,2010-02-16,07:35,Bayview,"Arrest, Booked","Ofarrell St, Larkin St",-122.417903977564,37.7851670875517
8081768768020,80817687,68020,OtherOffenses,Miscellaneous Investigation,Sunday,2008-08-03,20:00,Southern,None,800 Block Of Bryant St,-122.403404791479,37.775420706711
11043920626080,110439206,26080,OtherOffenses,Conspiracy,Tuesday,2011-05-31,10:50,Tenderloin,"Arrest, Booked",500 Block Of Leavenworth St,-122.414782081215,37.7860514387143
10073194306244,100731943,6244,Larceny/theft,Grand Theft From Locked Auto,Monday,2010-08-09,18:00,Southern,None,"Bryant St, 2nd St",-122.393622739343,37.7830791191471
12099004462060,120990044,62060,Warrants,Enroute To Adult Authority,Saturday,2012-12-08,12:22,Tenderloin,"Arrest, Booked",200 Block Of Hyde St,-122.415721688006,37.7830679886919
7064689463010,70646894,63010,Warrants,Warrant Arrest,Wednesday,2007-06-27,08:55,Central,"Arrest, Booked","Columbus Av, Kearny St",-122.405291680009,37.7969085528868
13001212775030,130012127,75030,Non-criminal,Case Closure,Saturday,2013-01-05,00:54,Tenderloin,"Arrest, Booked",100 Block Of Eddy St,-122.410157073911,37.7842973843312
9086706465015,90867064,65015,OtherOffenses,Traffic Violation,Monday,2009-08-24,09:40,Park,"Arrest, Booked","Oak St, Divisadero St",-122.437422446098,37.7731323316038
3138866307200,31388663,7200,OtherOffenses,False Evidence Of Vehicle Registration,Wednesday,2003-11-26,23:00,Tenderloin,"Arrest, Cited",100 Block Of Fulton St,-122.415973980362,37.7797387918499
9125326616623,91253266,16623,Drug/narcotic,Possession Of Base/rock Cocaine For Sale,Monday,2009-12-07,20:25,Ingleside,"Arrest, Booked","Santos St, Blythdale Avenue",-122.418770479936,37.7107332124
3008732906363,30087329,6363,Larceny/theft,Petty Theft Shoplifting,Wednesday,2003-01-22,13:20,Southern,"Arrest, Cited",900 Block Of Market St,-122.408421116922,37.7835699386918
5097902962050,50979029,62050,Warrants,Enroute To Outside Jurisdiction,Wednesday,2005-08-31,05:29,Northern,"Arrest, Booked",900 Block Of Vanness Avenue,-122.421193769309,37.7840443977954
8085454815200,80854548,15200,SecondaryCodes,Domestic Violence,Thursday,2008-08-14,07:00,Bayview,None,"3rd St, Vandyke Avenue",-122.392625489263,37.7292804432175
3151404004013,31514040,4013,Assault,Aggravated Assault With A Deadly Weapon,Wednesday,2003-12-31,17:00,Ingleside,None,100 Block Of Otsego Avenue,-122.440083667738,37.7253481284825
12081401826020,120814018,26020,OtherOffenses,Aid Or Harbor Felon,Wednesday,2012-10-10,12:01,Park,"Arrest, Booked",1700 Block Of Eddy St,-122.43644305449,37.7808493247624
13009740864070,130097408,64070,SuspiciousOcc,Suspicious Occurrence,Monday,2012-09-10,12:15,Northern,None,700 Block Of Eddy St,-122.420025955939,37.7830500140737
12034151664030,120341516,64030,Non-criminal,"Aided Case, Sick Person",Monday,2012-04-30,02:46,Northern,None,1000 Block Of Larkin St,-122.41824964748,37.7872715205959
3046288405043,30462884,5043,Burglary,"Burglary Of Residence, Unlawful Entry",Thursday,2003-04-17,17:00,Mission,None,0 Block Of Clipper St,-122.42607805163,37.7493092181132
5043530028100,50435300,28100,Vandalism,"Malicious Mischief, Breaking Windows",Tuesday,2005-04-19,17:40,Park,None,1800 Block Of Haight St,-122.452706340322,37.7692156705894
11061771964020,110617719,64020,Non-criminal,"Aided Case, Mental Disturbed",Tuesday,2011-08-02,20:43,Southern,Psychopathic Case,900 Block Of Howard St,-122.406508487003,37.7803313209065
13075484627170,130754846,27170,OtherOffenses,Resisting Arrest,Monday,2013-09-09,10:52,Tenderloin,"Arrest, Booked",0 Block Of Taylor St,-122.410689907787,37.7824948907735
12068916262050,120689162,62050,Warrants,Enroute To Outside Jurisdiction,Wednesday,2012-08-29,12:20,Northern,"Arrest, Booked",1400 Block Of Bush St,-122.421132500205,37.7885381075121
8003986906242,80039869,6242,Larceny/theft,Petty Theft From Locked Auto,Friday,2008-01-11,22:30,Central,None,1100 Block Of Filbert St,-122.41843657715,37.8002896335326
11070510409027,110705104,9027,OtherOffenses,False Personation,Friday,2010-01-01,00:01,Taraval,None,200 Block Of Randolph St,-122.464859528476,37.7143452864077
6114837404134,61148374,4134,Assault,Battery,Friday,2006-10-27,17:30,Tenderloin,"Arrest, Cited",300 Block Of Ellis St,-122.411987643595,37.7850226622786
10038076665016,100380766,65016,OtherOffenses,"Drivers License, Suspended Or Revoked",Sunday,2010-04-25,00:13,Park,"Arrest, Booked","Haight St, Stanyan St",-122.45353456066,37.7691662978052
11030139828160,110301398,28160,Vandalism,"Malicious Mischief, Vandalism Of Vehicles",Wednesday,2011-04-13,15:00,Bayview,None,0 Block Of Reardon Rd,-122.376900658814,37.7294874636559
11011820630155,110118206,30155,LiquorLaws,Consuming Alcohol In Public View,Tuesday,2011-02-08,12:26,Mission,"Arrest, Booked","16th St, Mission St",-122.419671780296,37.7650501214668
5052334771000,50523347,71000,Non-criminal,Lost Property,Sunday,2005-05-08,14:00,Southern,None,800 Block Of Bryant St,-122.403404791479,37.775420706711
5099244165016,50992441,65016,OtherOffenses,"Drivers License, Suspended Or Revoked",Saturday,2005-09-03,00:04,Northern,"Arrest, Cited","Eddy St, Fillmore St",-122.432329732358,37.7814292195185
8079583926150,80795839,26150,OtherOffenses,Parole Violation,Tuesday,2008-07-29,08:49,Tenderloin,"Arrest, Booked",400 Block Of Jones St,-122.412857126524,37.7855804361702
10039287464085,100392874,64085,SuspiciousOcc,Investigative Detention,Wednesday,2010-04-28,18:07,Tenderloin,None,0 Block Of Unitednations Pz,-122.41431222924,37.7798339183587
6131819109120,61318191,9120,Forgery/counterfeiting,"Forgery, Drivers License Or Id-card",Tuesday,2006-11-14,00:01,Mission,"Arrest, Booked",200 Block Of Lexington St,-122.420512730767,37.7593349069014
5035996006244,50359960,6244,Larceny/theft,Grand Theft From Locked Auto,Friday,2005-04-01,23:00,Southern,None,"10th St, Harrison St",-122.411279189976,37.7715785765089
7095399005071,70953990,5071,Burglary,"Burglary, Forcible Entry",Monday,2007-09-17,01:30,Northern,None,1800 Block Of Buchanan St,-122.430143811017,37.7869726260489
10118296728100,101182967,28100,Vandalism,"Malicious Mischief, Breaking Windows",Saturday,2010-12-25,02:45,Southern,"Arrest, Booked",100 Block Of Valencia St,-122.422375026857,37.7707188965808
6003011606244,60030116,6244,Larceny/theft,Grand Theft From Locked Auto,Wednesday,2006-01-04,12:00,Taraval,None,800 Block Of Kirkham St,-122.469812999899,37.7602014622086
5105385216623,51053852,16623,Drug/narcotic,Possession Of Base/rock Cocaine For Sale,Monday,2005-09-19,19:20,Northern,"Arrest, Booked","Ofarrell St, Larkin St",-122.417903977571,37.7851670875288
4048551971000,40485519,71000,Non-criminal,Lost Property,Thursday,2004-04-22,20:00,Southern,None,"1st St, Mission St",-122.397576409121,37.7897619308607
3078386207055,30783862,7055,VehicleTheft,Recovered Vehicle - Stolen Outside Sf,Tuesday,2003-07-01,07:43,Ingleside,None,1800 Block Of Cayuga Avenue,-122.449667099721,37.7141226823433
4066175306244,40661753,6244,Larceny/theft,Grand Theft From Locked Auto,Sunday,2004-06-06,17:30,Richmond,None,"9th Av, Martin Luther King Jr Dr",-122.466429551461,37.7664741386147
10014686965016,100146869,65016,OtherOffenses,"Drivers License, Suspended Or Revoked",Saturday,2010-02-13,17:06,Ingleside,"Arrest, Cited","Crescent Av, Ellsworth St",-122.414936756154,37.7347928494094
4012178506244,40121785,6244,Larceny/theft,Grand Theft From Locked Auto,Friday,2004-01-30,15:40,Mission,None,"Folsom St, 14th St",-122.415616338328,37.7685360123629
8015498472000,80154984,72000,Non-criminal,Found Property,Sunday,2008-02-10,11:00,Southern,Unfounded,0 Block Of Stillman St,-122.395237696668,37.7825710705311
12095508205152,120955082,5152,Burglary,"Burglary,store Under Construction, Att. Forcible",Saturday,2012-11-24,17:00,Mission,None,700 Block Of Douglass St,-122.438658356149,37.7522242889006
