id,incident_number,incident_code,category,descript,day_of_the_week,date,time,police_dept_district,resolution,address,location_x_axis,location_y_axis
16039880664072,160398806,64072,SuspiciousOcc,"Suspicious Occurrence, Possible Shots Fired",Sunday,2016-05-15,22:00,Bayview,None,"25th St, Connecticut St",-122.39651609825312,37.75231121968467
17617403006244,176174030,6244,Larceny/theft,Grand Theft From Locked Auto,Wednesday,2017-07-05,15:00,Central,None,900 Block Of Northpoint St,-122.42283580175656,37.80533557367585
17021486616650,170214866,16650,Drug/narcotic,Possession Of Meth-amphetamine,Wednesday,2017-03-15,18:37,Mission,"Arrest, Booked",3000 Block Of Folsom St,-122.41362712829508,37.74854035884246
16089365264001,160893652,64001,Non-criminal,"Civil Sidewalks, Warning",Wednesday,2016-11-02,18:02,Mission,None,"21st St, Shotwell St",-122.4156293324455,37.75723222791403
16025202016710,160252020,16710,Drug/narcotic,Possession Of Narcotics Paraphernalia,Saturday,2016-03-26,22:51,Southern,"Arrest, Booked",100 Block Of 6th St,-122.40836857934458,37.78077842537316
17608362906244,176083629,6244,Larceny/theft,Grand Theft From Locked Auto,Thursday,2017-03-30,20:25,Central,None,1200 Block Of Battery St,-122.40195731185072,37.80277533313292
16005703006244,160057030,6244,Larceny/theft,Grand Theft From Locked Auto,Wednesday,2016-01-20,15:00,Ingleside,None,5200 Block Of Diamondheights Bl,-122.4390659449591,37.744277476687685
17616164506244,176161645,6244,Larceny/theft,Grand Theft From Locked Auto,Sunday,2017-06-18,13:00,Park,None,"Fell St, Pierce St",-122.43429441363116,37.77447475485967
16006559461030,160065594,61030,Non-criminal,"Death Report, Cause Unknown",Saturday,2016-01-23,13:55,Central,None,1400 Block Of Jones St,-122.41466999967167,37.79456612613335
17600007106372,176000071,6372,Larceny/theft,Petty Theft Of Property,Wednesday,2016-12-28,23:30,Mission,None,700 Block Of Valencia St,-122.42143134920516,37.76088992304961
17614396606244,176143966,6244,Larceny/theft,Grand Theft From Locked Auto,Sunday,2017-06-04,04:40,Taraval,None,1700 Block Of 26th Avenue,-122.48410687890669,37.754822597277794
18610634671000,186106346,71000,Non-criminal,Lost Property,Tuesday,2018-05-08,11:00,Southern,None,0 Block Of Market St,-122.39509777418073,37.79405904855615
15070498471000,150704984,71000,Non-criminal,Lost Property,Thursday,2015-08-13,00:10,Central,None,2600 Block Of Mason St,-122.414139896503,37.8079521038261
17045917505071,170459175,5071,Burglary,"Burglary, Forcible Entry",Friday,2017-06-02,18:00,Richmond,None,5600 Block Of Geary Bl,-122.47993818520868,37.7804355312399
17064751804134,170647518,4134,Assault,Battery,Wednesday,2017-08-09,10:19,Southern,"Arrest, Booked",700 Block Of Clementina St,-122.41135663407935,37.77476323852711
18609311371000,186093113,71000,Non-criminal,Lost Property,Wednesday,2018-04-18,01:00,Taraval,None,"Irving St, 19th Avenue",-122.47717237075098,37.76355845967802
17004125506243,170041255,6243,Larceny/theft,Petty Theft From Locked Auto,Sunday,2017-01-15,23:55,Park,None,3600 Block Of 16th St,-122.43422118471848,37.76422370704821
17057904603011,170579046,3011,Robbery,Robbery On The Street With A Gun,Sunday,2017-07-16,22:12,Ingleside,None,400 Block Of Trumbull St,-122.4220766992789,37.7308864223683
17066587706222,170665877,6222,Larceny/theft,Petty Theft From Unlocked Auto,Monday,2017-08-14,03:22,Northern,None,"Golden Gate Av, Steiner St",-122.43359779260707,37.77935373157074
16089534174000,160895341,74000,MissingPerson,Missing Adult,Wednesday,2016-09-07,00:01,Southern,None,700 Block Of Natoma St,-122.41290438086844,37.77599818053118
