id,incident_number,incident_code,category,descript,day_of_the_week,date,time,police_dept_district,resolution,address,location_x_axis,location_y_axis
4049085306372,40490853,6372,Larceny/theft,Petty Theft Of Property,Wednesday,2004-04-28,09:30,Richmond,None,400 Block Of 8th Avenue,-122.466287076743,37.7799438711013
10092379206372,100923792,6372,Larceny/theft,Petty Theft Of Property,Monday,2010-10-04,17:30,Southern,None,800 Block Of Howard St,-122.403890955445,37.7824014072132
10089218126170,100892181,26170,OtherOffenses,Probation Violation,Saturday,2010-09-25,17:00,Central,"Arrest, Booked",100 Block Of Clay St,-122.397373740066,37.7953338267436
12033086006374,120330860,6374,Larceny/theft,Grand Theft Of Property,Thursday,2012-04-26,14:25,Southern,None,800 Block Of Mission St,-122.405395493939,37.7835100715421
7066233926170,70662339,26170,OtherOffenses,Probation Violation,Sunday,2007-07-01,17:54,Tenderloin,"Arrest, Booked","Ellis St, Jones St",-122.412784096502,37.7848656939526
3001636228160,30016362,28160,Vandalism,"Malicious Mischief, Vandalism Of Vehicles",Sunday,2003-01-05,00:25,Mission,None,500 Block Of Valencia St,-122.421738508476,37.7640972229024
11016327306152,110163273,6152,Larceny/theft,Grand Theft From Person,Tuesday,2011-02-22,18:45,Northern,None,"Laguna St, Geary Bl",-122.427991151911,37.7849531241612
12004386915200,120043869,15200,SecondaryCodes,Domestic Violence,Monday,2012-01-16,16:45,Mission,"Arrest, Booked",100 Block Of Chattanooga St,-122.426623405863,37.7541413014419
11012585304134,110125853,4134,Assault,Battery,Thursday,2011-02-10,22:35,Mission,"Arrest, Cited",3200 Block Of 17th St,-122.417913861876,37.7635887638425
5049366527195,50493665,27195,Trespass,Trespassing,Tuesday,2005-05-03,22:37,Ingleside,"Arrest, Cited",1600 Block Of Sunnydale Avenue,-122.417144802399,37.7121502932531
6075013207020,60750132,7020,VehicleTheft,Stolen And Recovered Vehicle,Saturday,2006-07-15,20:00,Mission,None,2300 Block Of 16th St,-122.409529913278,37.7657184395282
12006023319090,120060233,19090,Drunkenness,Under Influence Of Alcohol In A Public Place,Sunday,2012-01-22,18:15,Ingleside,"Arrest, Booked",4800 Block Of Mission St,-122.437992398571,37.7206211151044
4010984416621,40109844,16621,Drug/narcotic,Possession Of Base/rock Cocaine,Wednesday,2004-01-28,09:17,Tenderloin,"Arrest, Booked",0 Block Of Turk St,-122.409849441655,37.7832755202567
8022640816710,80226408,16710,Drug/narcotic,Possession Of Narcotics Paraphernalia,Sunday,2008-03-02,20:20,Tenderloin,"Arrest, Cited","Ofarrell St, Larkin St",-122.417903977564,37.7851670875517
13033267406244,130332674,6244,Larceny/theft,Grand Theft From Locked Auto,Tuesday,2013-04-23,13:58,Richmond,None,"Martin Luther King Jr Dr, Crossover Dr",-122.47736353874,37.7660604768452
13605542006372,136055420,6372,Larceny/theft,Petty Theft Of Property,Monday,2013-03-25,16:00,Southern,None,"Howard St, 4th St",-122.402712593282,37.7832596543979
12015738519010,120157385,19010,DisorderlyConduct,Committing Public Nuisance,Saturday,2012-02-25,08:19,Tenderloin,"Arrest, Cited",0 Block Of Mason St,-122.409129633669,37.7838066631424
3126629106221,31266291,6221,Larceny/theft,Petty Theft From Unlocked Auto,Tuesday,2003-10-28,11:31,Ingleside,None,500 Block Of Cambridge St,-122.417718665137,37.7245899046342
12064676406113,120646764,6113,Larceny/theft,Grand Theft Pickpocket,Tuesday,2012-08-14,20:00,Northern,None,1500 Block Of Broadway St,-122.422617297546,37.7958935012253
11613359106244,116133591,6244,Larceny/theft,Grand Theft From Locked Auto,Friday,2011-10-14,01:00,Northern,None,1100 Block Of Larkin St,-122.418540939104,37.7886879917994
7015252826150,70152528,26150,OtherOffenses,Parole Violation,Sunday,2007-02-11,16:40,Tenderloin,"Arrest, Booked","Eddy St, Mason St",-122.409313111431,37.7843478513151
12074700506244,120747005,6244,Larceny/theft,Grand Theft From Locked Auto,Monday,2012-09-17,11:48,Central,None,900 Block Of Northpoint St,-122.422857719558,37.8054440413944
7074082206314,70740822,6314,Larceny/theft,Grand Theft Bicycle,Sunday,2007-07-22,17:30,Southern,None,"Market St, 2nd St",-122.401378067544,37.7892639310458
7102306709320,71023067,9320,Fraud,"Credit Card, Theft By Use Of",Tuesday,2007-10-02,18:00,Northern,None,1500 Block Of Jackson St,-122.420583441863,37.7941926336276
6119443063010,61194430,63010,Warrants,Warrant Arrest,Wednesday,2006-11-08,17:43,Tenderloin,"Arrest, Booked",0 Block Of Turk St,-122.409849441655,37.7832755202567
10004449568020,100044495,68020,OtherOffenses,Miscellaneous Investigation,Thursday,2010-01-14,10:49,Mission,None,1100 Block Of Valencia St,-122.420817675346,37.7544878225551
10027225404170,100272254,4170,Assault,False Imprisonment,Tuesday,2010-03-23,00:40,Northern,"Arrest, Booked",800 Block Of Grove St,-122.430562907175,37.7769200093228
13049990163010,130499901,63010,Warrants,Warrant Arrest,Tuesday,2013-06-18,09:44,Tenderloin,"Arrest, Booked","Turk St, Jones St",-122.412414263581,37.7830037964534
11070933830000,110709338,30000,OtherOffenses,"Permit Violation, Police (general)",Saturday,2011-09-03,23:00,Southern,"Arrest, Cited","King St, 3rd St",-122.391845617192,37.778124778322
8074062473000,80740624,73000,Non-criminal,Property For Identification,Tuesday,2008-07-15,11:10,Ingleside,None,1200 Block Of Girard St,-122.400298318649,37.7171808374172
5126303963010,51263039,63010,Warrants,Warrant Arrest,Tuesday,2005-11-08,14:25,Southern,"Arrest, Booked","Mason St, Turk St",-122.408953598286,37.7832878735491
13001677107021,130016771,7021,VehicleTheft,Stolen Automobile,Sunday,2013-01-06,14:00,Northern,None,2700 Block Of Franklin St,-122.425840838222,37.7997585654909
8075816609040,80758166,9040,Forgery/counterfeiting,"Checks, Possession With Intent To Pass",Tuesday,2008-07-08,00:03,Ingleside,None,100 Block Of Russia Avenue,-122.435941304691,37.7210616750407
11005992326105,110059923,26105,OtherOffenses,False Report Of Bomb,Thursday,2011-01-20,06:34,Richmond,None,3800 Block Of California St,-122.457540234704,37.7859461545927
