id,incident_number,incident_code,category,descript,day_of_the_week,date,time,police_dept_district,resolution,address,location_x_axis,location_y_axis
15014334864070,150143348,64070,SuspiciousOcc,Suspicious Occurrence,Sunday,2015-02-15,12:00,Northern,None,900 Block Of Eddy St,-122.423290225168,37.7825205059981
14028170465016,140281704,65016,OtherOffenses,"Drivers License, Suspended Or Revoked",Saturday,2014-04-05,01:27,Northern,"Arrest, Cited","Broadway St, Larkin St",-122.420110903923,37.796094078966
14065923628160,140659236,28160,Vandalism,"Malicious Mischief, Vandalism Of Vehicles",Thursday,2014-08-07,17:30,Southern,None,"Golden Gate Av, Market St",-122.41029351969,37.7822305870036
14013616564020,140136165,64020,Non-criminal,"Aided Case, Mental Disturbed",Saturday,2014-02-15,14:07,Tenderloin,Psychopathic Case,"Eddy St, Hyde St",-122.415885065788,37.7835160564153
14048772065016,140487720,65016,OtherOffenses,"Drivers License, Suspended Or Revoked",Thursday,2014-06-12,10:29,Richmond,"Arrest, Cited","Geary Bl, 8th Avenue",-122.466427961913,37.7809230964028
14007883062050,140078830,62050,Warrants,Enroute To Outside Jurisdiction,Monday,2014-01-27,10:17,Mission,"Arrest, Booked","24th St, Mission St",-122.418448186101,37.7522391652625
15017648009027,150176480,9027,OtherOffenses,False Personation,Thursday,2015-01-01,00:01,Northern,None,1400 Block Of Larkin St,-122.419062415432,37.7912635361132
14605119506244,146051195,6244,Larceny/theft,Grand Theft From Locked Auto,Saturday,2014-03-15,22:00,Northern,None,"Broadway St, Vanness Avenue",-122.423413057205,37.795737109246
14037125875000,140371258,75000,MissingPerson,Found Person,Monday,2014-04-21,13:00,Tenderloin,Located,"Grove St, Larkin St",-122.416583456133,37.7786591541508
15015567261030,150155672,61030,Non-criminal,"Death Report, Cause Unknown",Friday,2015-02-20,07:06,Southern,None,900 Block Of Bryant St,-122.405773120598,37.7733935593284
15016647503071,150166475,3071,Robbery,"Robbery, Armed With A Gun",Monday,2015-02-23,13:30,Ingleside,None,"France Av, Lisbon St",-122.435960195653,37.7188905651362
15012502309029,150125023,9029,OtherOffenses,False Personation To Receive Money Or Property,Monday,2015-02-02,09:00,Richmond,None,100 Block Of Cabrillo St,-122.460138934597,37.7755960616718
14063936306113,140639363,6113,Larceny/theft,Grand Theft Pickpocket,Friday,2014-08-01,16:10,Central,None,"Kearny St, Sutter St",-122.403846623514,37.7898284156061
15014120106243,150141201,6243,Larceny/theft,Petty Theft From Locked Auto,Sunday,2015-02-15,15:30,Tenderloin,None,100 Block Of Golden Gate Avenue,-122.413047972078,37.7819119628298
14605810706244,146058107,6244,Larceny/theft,Grand Theft From Locked Auto,Thursday,2014-03-27,11:30,Northern,None,"Geary Bl, Laguna St",-122.427991151911,37.7849531241612
15007297907055,150072979,7055,RecoveredVehicle,Recovered Vehicle - Stolen Outside Sf,Saturday,2015-01-24,09:31,Bayview,None,600 Block Of Bacon St,-122.409022067506,37.7261579431472
15008417872000,150084178,72000,Non-criminal,Found Property,Tuesday,2015-01-27,20:15,Southern,None,0 Block Of The Embarcaderonorth St,-122.388169858297,37.7859590242212
14028088107021,140280881,7021,VehicleTheft,Stolen Automobile,Thursday,2014-04-03,21:00,Ingleside,None,"Huron Av, Sickles Avenue",-122.45324753845,37.7091666091768
14047487465016,140474874,65016,OtherOffenses,"Drivers License, Suspended Or Revoked",Saturday,2014-06-07,17:20,Park,"Arrest, Cited","7th Av, Irving St",-122.464173729443,37.7641301468372
14049555762050,140495557,62050,Warrants,Enroute To Outside Jurisdiction,Sunday,2014-06-15,08:15,Northern,None,"Polk St, Fern St",-122.420211964949,37.7882225424263
14026428307020,140264283,7020,VehicleTheft,Stolen And Recovered Vehicle,Friday,2014-03-28,22:00,Northern,None,"Fell St, Franklin St",-122.421149407714,37.7761593097669
15017193526030,150171935,26030,Arson,Arson,Wednesday,2015-02-25,01:30,Southern,None,100 Block Of Jessie St,-122.402167886345,37.7869228718614
15002569903073,150025699,3073,Robbery,"Robbery, Armed With A Dangerous Weapon",Wednesday,2015-01-07,08:00,Southern,None,"Dore St, Folsom St",-122.412226329199,37.7732855303603
14037670372000,140376703,72000,Non-criminal,Found Property,Tuesday,2014-05-06,15:00,Northern,None,"Toledo Wy, Pierce St",-122.439600601036,37.8010162291018
14613080206244,146130802,6244,Larceny/theft,Grand Theft From Locked Auto,Sunday,2014-07-06,21:45,Northern,None,"Ofarrell St, Larkin St",-122.417903977564,37.7851670875517
14033968206244,140339682,6244,Larceny/theft,Grand Theft From Locked Auto,Thursday,2014-04-24,10:30,Northern,None,"Steiner St, Fulton St",-122.433220475299,37.7774892652621
14028528965016,140285289,65016,OtherOffenses,"Drivers License, Suspended Or Revoked",Sunday,2014-04-06,11:57,Park,"Arrest, Cited","Haight St, Buenavistaeast Avenue",-122.440359655894,37.7708480203633
14045868003014,140458680,3014,Robbery,"Robbery On The Street, Strongarm",Monday,2014-06-02,09:45,Bayview,None,"Phelps St, Jerrold Avenue",-122.391269032991,37.7398531385192
15013469809320,150134698,9320,Fraud,"Credit Card, Theft By Use Of",Wednesday,2015-02-11,13:30,Southern,None,800 Block Of Market St,-122.407633520742,37.7841893501425
14603840006244,146038400,6244,Larceny/theft,Grand Theft From Locked Auto,Wednesday,2014-02-19,18:00,Mission,None,"22nd St, Alabama St",-122.411273408094,37.7558882839912
15007359164020,150073591,64020,Non-criminal,"Aided Case, Mental Disturbed",Saturday,2015-01-24,13:32,Central,None,"Powell St, John St",-122.409991544752,37.7960578963176
14050094603474,140500946,3474,Robbery,Attempted Robbery With Bodily Force,Tuesday,2014-06-17,03:05,Mission,None,"20th St, Sancarlos St",-122.419843759487,37.7585838119382
15011069874000,150110698,74000,MissingPerson,Missing Adult,Wednesday,2015-02-04,22:00,Southern,None,0 Block Of Dore St,-122.413045971966,37.7738617771611
15008013206373,150080132,6373,Larceny/theft,Petty Theft Of Property,Sunday,2015-01-25,15:00,Taraval,None,"26th Av, Vicente St",-122.48293178455,37.7389917330988
14023204265016,140232042,65016,OtherOffenses,"Drivers License, Suspended Or Revoked",Wednesday,2014-03-19,08:11,Mission,"Arrest, Cited","16th St, Capp St",-122.418701003284,37.7651098786222
14019934530200,140199345,30200,OtherOffenses,Violation Of Municipal Code,Saturday,2014-03-08,11:39,Park,"Arrest, Cited","Castro St, Market St",-122.435187699349,37.7626702770872
15017721263010,150177212,63010,Warrants,Warrant Arrest,Thursday,2015-02-26,14:30,Tenderloin,"Arrest, Booked",100 Block Of Ofarrell St,-122.407244087032,37.7865647607685
15007801874000,150078018,74000,MissingPerson,Missing Adult,Thursday,2015-01-22,12:00,Park,None,"Haight St, Shrader St",-122.451864552636,37.7693505381781
15006707719400,150067077,19400,SecondaryCodes,Gang Activity,Thursday,2015-01-22,07:41,Bayview,None,"3rd St, Palou Avenue",-122.390971734551,37.7340152180723
