id,incident_number,incident_code,category,descript,day_of_the_week,date,time,police_dept_district,resolution,address,location_x_axis,location_y_axis
12024982965016,120249829,65016,OtherOffenses,"Drivers License, Suspended Or Revoked",Wednesday,2012-03-28,14:34,Bayview,"Arrest, Cited","Ingalls St, Gilman Avenue",-122.391872492835,37.7203513038826
5011784306154,50117843,6154,Larceny/theft,Grand Theft From Person,Thursday,2005-01-27,21:00,Bayview,None,"20th St, Kansas St",-122.403051612844,37.7596170416516
10052240728100,100522407,28100,Vandalism,"Malicious Mischief, Breaking Windows",Saturday,2010-06-05,19:57,Mission,"Arrest, Cited",2500 Block Of Folsom St,-122.414394078892,37.7564874116443
12076690864070,120766908,64070,SuspiciousOcc,Suspicious Occurrence,Monday,2012-09-24,15:01,Southern,None,800 Block Of Bryant St,-122.403404791479,37.775420706711
3026347204011,30263472,4011,Assault,Aggravated Assault With A Gun,Tuesday,2003-03-04,15:30,Ingleside,None,"Mission St, Persia Avenue",-122.435977217004,37.7231288307053
4043924306243,40439243,6243,Larceny/theft,Petty Theft From Locked Auto,Saturday,2004-04-17,01:30,Northern,None,400 Block Of Oak St,-122.426722441111,37.774437373756
6073202765015,60732027,65015,OtherOffenses,Traffic Violation,Tuesday,2006-07-11,05:00,Ingleside,"Arrest, Cited","Paris St, France Avenue",-122.43675507464,37.7192703128443
6117690506304,61176905,6304,Larceny/theft,Grand Theft From A Building,Friday,2006-11-03,18:00,Southern,None,800 Block Of Mission St,-122.405395493939,37.7835100715421
6113961816030,61139618,16030,Drug/narcotic,Possession Of Marijuana For Sales,Wednesday,2006-10-25,15:15,Tenderloin,"Arrest, Booked",0 Block Of Jones St,-122.412054141237,37.7816136403158
10083184417030,100831844,17030,LiquorLaws,Miscellaneous Liqour Law Violation,Wednesday,2010-09-08,20:40,Tenderloin,"Arrest, Cited",300 Block Of Ofarrell St,-122.410509258795,37.7860432222992
3138340364070,31383403,64070,SuspiciousOcc,Suspicious Occurrence,Tuesday,2003-11-25,10:30,Mission,None,3800 Block Of 26th St,-122.426000525318,37.7485081311496
7094101465016,70941014,65016,OtherOffenses,"Drivers License, Suspended Or Revoked",Thursday,2007-09-13,22:54,Southern,"Arrest, Booked",0 Block Of Russ St,-122.408476130266,37.7791146666955
11045635705153,110456357,5153,Burglary,"Burglary,store Under Construction, Unlawful Entry",Friday,2011-06-03,00:01,Ingleside,None,0 Block Of Phelan Avenue,-122.452289660492,37.7256933575703
4071642706243,40716427,6243,Larceny/theft,Petty Theft From Locked Auto,Sunday,2004-05-30,22:30,Southern,None,1300 Block Of Stevenson St,-122.42173251154,37.7707590888754
8107733306243,81077333,6243,Larceny/theft,Petty Theft From Locked Auto,Wednesday,2008-10-08,19:20,Ingleside,None,0 Block Of Redrock Wy,-122.442195165607,37.7460301008456
9128941506363,91289415,6363,Larceny/theft,Petty Theft Shoplifting,Friday,2009-12-18,18:35,Tenderloin,"Arrest, Cited",0 Block Of Ofarrell St,-122.405895369887,37.7867342184983
4078324465016,40783244,65016,OtherOffenses,"Drivers License, Suspended Or Revoked",Friday,2004-07-09,17:55,Mission,"Arrest, Cited","16th St, Dolores St",-122.426384450814,37.7646439372665
11044460365050,110444603,65050,DrivingUnderTheInfluence,Driving While Under The Influence Of Alcohol,Thursday,2011-06-02,00:45,Richmond,"Arrest, Booked",300 Block Of 3rd Avenue,-122.461064679815,37.7821086327091
5141721407041,51417214,7041,VehicleTheft,"Vehicle, Recovered, Auto",Saturday,2005-12-17,23:00,Southern,None,"Folsom St, Norfolk St",-122.414527599698,37.7714049987239
