id,incident_number,incident_code,category,descript,day_of_the_week,date,time,police_dept_district,resolution,address,location_x_axis,location_y_axis
17046922106126,170469221,6126,Larceny/theft,Theft Of Computers Or Cell Phones,Wednesday,2017-06-07,18:07,Central,None,1200 Block Of Taylor St,-122.4129902127122,37.79387620787841
17051628628100,170516286,28100,Vandalism,"Malicious Mischief, Breaking Windows",Sunday,2017-06-25,04:50,Mission,None,1600 Block Of Bryant St,-122.41047806948748,37.76624632091369
17026451051040,170264510,51040,Non-criminal,Aided Case,Friday,2017-03-31,17:02,Mission,None,"Treat Av, 24th St",-122.41299748806792,37.75257224622256
17045852512015,170458525,12015,WeaponLaws,Carrying A Concealed Weapon,Monday,2017-06-05,03:44,Central,"Arrest, Booked",800 Block Of Grant Avenue,-122.40646032018432,37.79470415098925
16102271704134,161022717,4134,Assault,Battery,Saturday,2016-12-17,02:45,Southern,None,"Market St, Jones St",-122.41197948749404,37.78090396967583
16628416606244,166284166,6244,Larceny/theft,Grand Theft From Locked Auto,Sunday,2016-12-04,13:02,Central,None,"Powell St, Bay St",-122.41195308361146,37.80582429492737
17009096762050,170090967,62050,Warrants,Enroute To Outside Jurisdiction,Wednesday,2017-02-01,20:06,Southern,"Arrest, Booked",0 Block Of 9th St,-122.41495304304472,37.77650191245737
16078670664020,160786706,64020,Non-criminal,"Aided Case, Mental Disturbed",Wednesday,2016-09-28,01:40,Northern,None,1100 Block Of Fillmore St,-122.43211623369466,37.780030435115584
17004979865010,170049798,65010,OtherOffenses,Traffic Violation Arrest,Wednesday,2017-01-18,23:48,Tenderloin,"Arrest, Booked","Leavenworth St, Golden Gate Avenue",-122.41386963255408,37.78186218830212
16078269104134,160782691,4134,Assault,Battery,Monday,2016-09-19,18:30,Mission,None,2300 Block Of 16th St,-122.40952991327822,37.76571843952822
17041840015161,170418400,15161,OtherOffenses,Violation Of Restraining Order,Monday,2017-05-22,01:45,Central,"Arrest, Booked",1300 Block Of California St,-122.41673365443394,37.79101066305215
17043634964020,170436349,64020,Non-criminal,"Aided Case, Mental Disturbed",Saturday,2017-05-27,22:22,Richmond,None,400 Block Of 21st Avenue,-122.4803101165724,37.77930482934281
16610638828160,166106388,28160,Vandalism,"Malicious Mischief, Vandalism Of Vehicles",Tuesday,2016-05-10,10:00,Bayview,None,"Deharo St, 18th St",-122.40132777378282,37.76229013904368
17061738962050,170617389,62050,Warrants,Enroute To Outside Jurisdiction,Saturday,2017-07-29,15:49,Southern,"Arrest, Booked","Juniper St, Folsom St",-122.41342364155128,37.77234313937144
16083602213075,160836022,13075,Prostitution,Loitering For Purpose Of Prostitution,Thursday,2016-10-13,18:40,Southern,"Arrest, Booked",700 Block Of Mission St,-122.40397126905746,37.784828309361046
17058966906244,170589669,6244,Larceny/theft,Grand Theft From Locked Auto,Thursday,2017-07-20,10:05,Richmond,None,1000 Block Of Pointlobos Avenue,-122.51364206426544,37.77846921994672
16084566972000,160845669,72000,Non-criminal,Found Property,Monday,2016-10-17,11:15,Southern,None,800 Block Of Bryant St,-122.40340479147903,37.775420706711
16617649406244,166176494,6244,Larceny/theft,Grand Theft From Locked Auto,Wednesday,2016-08-03,22:30,Bayview,None,1400 Block Of Indiana St,-122.39055308882476,37.75201864481874
16617650706244,166176507,6244,Larceny/theft,Grand Theft From Locked Auto,Saturday,2016-08-06,14:20,Richmond,None,"Parker Av, Mcallister St",-122.45296364812226,37.7757491793526
17006390806244,170063908,6244,Larceny/theft,Grand Theft From Locked Auto,Monday,2017-01-23,19:43,Tenderloin,"Arrest, Booked","Golden Gate Av, Leavenworth St",-122.41386963255408,37.78186218830212
16082342715200,160823427,15200,SecondaryCodes,Domestic Violence,Sunday,2016-10-09,17:35,Ingleside,None,900 Block Of Ellsworth St,-122.4165174274052,37.73301038674158
16057632565010,160576325,65010,OtherOffenses,Traffic Violation Arrest,Sunday,2016-07-17,13:03,Northern,"Arrest, Booked","Starrking Wy, Franklin St",-122.42284079465296,37.78454553552158
17050643163010,170506431,63010,Warrants,Warrant Arrest,Wednesday,2017-06-21,18:18,Southern,"Arrest, Booked",800 Block Of Howard St,-122.4037932594886,37.78232358976164
17079122806113,170791228,6113,Larceny/theft,Grand Theft Pickpocket,Wednesday,2017-09-27,15:00,Tenderloin,None,"Powell St, Ofarrell St",-122.40804047485813,37.78640940336183
17900790972000,179007909,72000,Non-criminal,Found Property,Thursday,2017-12-07,23:30,Richmond,None,3900 Block Of Geary Bl,-122.46162016910051,37.78125976105973
16097310728165,160973107,28165,Vandalism,"Malicious Mischief, Graffiti",Wednesday,2016-11-30,08:52,Central,None,2500 Block Of Jones St,-122.41682570858204,37.80457338223443
16628473006244,166284730,6244,Larceny/theft,Grand Theft From Locked Auto,Monday,2016-12-05,16:00,Northern,None,"Franklin St, Ofarrell St",-122.42284079465296,37.78454553552158
17078625706243,170786257,6243,Larceny/theft,Petty Theft From Locked Auto,Tuesday,2017-09-26,13:00,Park,None,"Grove St, Scott St",-122.43632069366872,37.77613634279951
17016382171011,170163821,71011,Non-criminal,"License Plate, Found",Sunday,2017-02-26,16:08,Northern,None,"Polk St, Turk St",-122.41899637199911,37.78216891382917
16087518305013,160875183,5013,Burglary,"Burglary Of Apartment House, Unlawful Entry",Thursday,2016-10-27,09:30,Richmond,None,400 Block Of 7th Avenue,-122.46534948306332,37.779982371898136
17083891164070,170838911,64070,SuspiciousOcc,Suspicious Occurrence,Thursday,2017-10-12,19:42,Tenderloin,None,500 Block Of Ellis St,-122.41541417863054,37.78447665902199
17047372728150,170473727,28150,Vandalism,"Malicious Mischief, Vandalism",Saturday,2017-06-10,10:43,Northern,None,1500 Block Of Polk St,-122.42071372835564,37.79105457184075
17074310062050,170743100,62050,Warrants,Enroute To Outside Jurisdiction,Monday,2017-09-11,17:16,Southern,"Arrest, Booked",0 Block Of Unitednations Pz,-122.41431785788087,37.779944405204645
17093747268020,170937472,68020,OtherOffenses,Miscellaneous Investigation,Friday,2017-11-17,18:14,Northern,None,1300 Block Of Greenwich St,-122.42191500330011,37.80078120859362
17076747363010,170767473,63010,Warrants,Warrant Arrest,Wednesday,2017-09-20,01:22,Northern,"Arrest, Booked","Eddy St, Vanness Avenue",-122.4208183304448,37.78289464509124
17025960227195,170259602,27195,Trespass,Trespassing,Thursday,2017-03-30,05:14,Northern,None,400 Block Of Fulton St,-122.42418090239512,37.77858641005512
17601079106244,176010791,6244,Larceny/theft,Grand Theft From Locked Auto,Saturday,2017-01-07,02:00,Mission,None,100 Block Of San Bruno Avenue,-122.405836615175,37.76783263356818
