"geolocation","estimate_num_of_poor_fam_2018","estimate_num_of_poor_fam_2021","estimate_num_of_poor_fam_2023","coefficient_of_variation_2018","coefficient_of_variation_2021","coefficient_of_variation_2023","standard_error_2018","standard_error_2021","standard_error_2023","confidence_interval_of_95_pct_lower_limit_at_2018","confidence_interval_of_95_pct_lower_limit_at_2021","confidence_interval_of_95_pct_lower_limit_at_2023","confidence_interval_of_95_pct_upper_limit_at_2018","confidence_interval_of_95_pct_upper_limit_at_2021","confidence_interval_of_95_pct_upper_limit_at_2023"
"Cotabato City","20.85","19.16","20.57","9.71","9.71","9.90","2.02","1.99","2.04","16.88","15.26","16.58","24.82","23.05","24.56"
"Oriental Mindoro","14.69","27.16","31.00","19.25","19.25","12.95","2.83","4.07","4.02","9.14","19.18","23.13","20.23","35.14","38.87"
"Bangsamoro Autonomous Region in Muslim Mindanao (BARMM)","377.02","211.68","196.53","3.73","3.73","3.84","14.04","9.90","7.55","349.49","192.27","181.73","404.55","231.09","211.34"
"Basilan","41.98","28.49","23.52","7.63","7.63","8.37","3.20","2.17","1.97","35.71","24.24","19.66","48.26","32.74","27.38"
"Nueva Ecija","35.25","57.04","41.19","13.84","13.84","15.61","4.88","7.30","6.43","25.68","42.73","28.59","44.81","71.34","53.79"
"Sarangani","48.28","47.68","34.07","10.31","10.31","12.52","4.98","3.92","4.26","38.52","40.00","25.71","58.04","55.35","42.43"
"Cotabato","83.10","90.09","62.44","10.80","10.80","15.31","8.97","9.11","9.56","65.51","72.22","43.70","100.70","107.95","81.17"
"Region XII (SOCCSKSARGEN)","231.92","238.71","193.91","5.49","5.49","7.10","12.73","12.23","13.77","206.97","214.73","166.92","256.87","262.69","220.90"
"Region VIII (Eastern Visayas)","253.34","251.32","241.00","4.13","4.13","4.41","10.45","10.12","10.63","232.86","231.48","220.17","273.83","271.17","261.83"
"Catanduanes","8.20","9.97","14.32","9.19","9.19","8.53","0.75","0.85","1.22","6.72","8.30","11.92","9.68","11.65","16.71"
