"geolocation","Estimate ('000) 2018","Estimate ('000) 2021","Estimate ('000) 2023","Coefficient of Variation 2018","Coefficient of Variation 2021","Coefficient of Variation 2023","Standard Error 2018","Standard Error 2021","Standard Error 2023","95% Confidence Interval (Lower Limit) 2018","95% Confidence Interval (Lower Limit) 2021","95% Confidence Interval (Lower Limit) 2023","95% Confidence Interval (Upper Limit) 2018","95% Confidence Interval (Upper Limit) 2021","95% Confidence Interval (Upper Limit) 2023"
"....Ifugao 3/, a/, b/, c/","4.46","2.83","2.21","15.36","18.16","13.91","0.68","0.51","0.31","3.12","1.82","1.61","5.80","3.84","2.81"
"....Kalinga 1/, 2/, 3/, a/, b/, c/","4.03","2.56","1.21","12.72","19.51","22.28","0.51","0.50","0.27","3.03","1.58","0.68","5.03","3.54","1.73"
"....Mt. Province 2/, 3/, a/, c/","6.31","5.85","4.12","10.23","9.85","13.51","0.64","0.58","0.56","5.04","4.72","3.03","7.57","6.97","5.21"
"..Region I (Ilocos Region) 1/, 2/","85.15","139.19","109.93","9.74","7.11","9.85","8.30","9.89","10.83","68.89","119.80","88.71","101.41","158.58","131.15"
"....Ilocos Norte 2/, 3/, a/, b/, c/","4.49","2.65","0.40","22.56","28.69","49.59","1.01","0.76","0.20","2.51","1.16","0.01","6.48","4.14","0.80"
"....Ilocos Sur 1/, 2/, a/, b/, c/","8.96","19.59","9.01","14.89","10.96","16.81","1.33","2.15","1.52","6.34","15.38","6.04","11.57","23.80","11.98"
"....La Union 1/, 3/, a/, b/, c/","5.50","13.36","13.15","19.68","14.13","14.40","1.08","1.89","1.89","3.38","9.66","9.44","7.63","17.06","16.86"
"....Pangasinan 1/, a/, c/","66.20","103.60","87.36","12.17","9.11","12.07","8.05","9.44","10.55","50.41","85.09","66.68","81.98","122.10","108.03"
"..Region II (Cagayan Valley) 2/, 3/","106.30","105.09","66.69","6.67","7.57","8.36","7.09","7.95","5.57","92.40","89.50","55.76","120.20","120.67","77.61"
"....Batanes 1/, a/, b/, c/","0.33","0.14","0.19","22.33","26.67","26.78","0.07","0.04","0.05","0.19","0.07","0.09","0.48","0.21","0.29"
"....Cagayan 1/, 3/, b/, c/","35.84","21.85","17.51","9.76","13.66","16.83","3.50","2.99","2.95","28.98","16.00","11.73","42.70","27.71","23.28"
"....Isabela 2/, 3/, a/, b/, c/","51.92","65.96","35.74","11.36","10.69","12.60","5.90","7.05","4.50","40.36","52.14","26.91","63.48","79.78","44.56"
"....Nueva Vizcaya a/, b/, c/","14.16","14.23","10.05","12.29","14.68","13.72","1.74","2.09","1.38","10.75","10.13","7.35","17.57","18.32","12.75"
"....Quirino a/, b/, c/","4.04","2.91","3.21","11.33","15.64","14.18","0.46","0.45","0.46","3.14","2.02","2.32","4.94","3.80","4.11"
"..Region III (Central Luzon) 1/, 2/, 3/","143.37","247.66","177.59","6.73","6.53","6.51","9.66","16.18","11.57","124.44","215.94","154.91","162.30","279.37","200.26"
"....Aurora 1/, 2/, a/, b/, c/","6.10","9.13","6.27","11.80","12.00","12.39","0.72","1.10","0.78","4.69","6.98","4.75","7.51","11.28","7.79"
"....Bataan 1/, a/, b/, c/","10.93","18.54","14.09","14.23","13.17","14.08","1.56","2.44","1.98","7.88","13.76","10.20","13.99","23.32","17.98"
"....Bulacan 1/, 3/, a/, b/, c/","28.74","73.15","55.69","20.32","17.82","14.43","5.84","13.04","8.04","17.30","47.59","39.94","40.19","98.70","71.45"
"....Nueva Ecija 1/, a/, b/, c/","35.25","57.04","41.19","13.84","12.80","15.61","4.88","7.30","6.43","25.68","42.73","28.59","44.81","71.34","53.79"
"....Pampanga 2/, a/, b/, c/","13.88","20.21","7.54","30.04","17.09","23.33","4.17","3.45","1.76","5.71","13.44","4.09","22.06","26.98","11.00"
"....Tarlac a/, b/, c/","25.26","28.61","24.42","11.67","10.52","14.75","2.95","3.01","3.60","19.48","22.71","17.36","31.04","34.51","31.48"
"....Zambales 1/, 2/, a/","23.21","40.98","28.39","10.81","7.87","9.51","2.51","3.22","2.70","18.29","34.66","23.10","28.12","47.30","33.68"
"..Region IV-A (CALABARZON) 1/, 2/","190.43","295.64","226.67","7.59","6.95","6.74","14.45","20.55","15.29","162.09","255.36","196.71","218.76","335.92","256.63"
"....Batangas 1/, a/, b/, c/","58.42","32.28","39.52","13.90","21.79","16.38","8.12","7.03","6.47","42.50","18.49","26.83","74.34","46.06","52.21"
"....Cavite 1/, a/, b/, c/","36.77","77.05","49.84","19.36","15.85","16.19","7.12","12.21","8.07","22.82","53.12","34.02","50.73","100.99","65.66"
"....Laguna 1/, 3/, a/, b/, c/","23.23","64.81","54.36","20.37","15.49","13.88","4.73","10.04","7.55","13.96","45.14","39.57","32.51","84.48","69.15"
"....Quezon 1/, 2/, a/, b/, c/","48.35","89.04","39.01","14.98","10.55","14.85","7.24","9.39","5.79","34.15","70.63","27.66","62.55","107.45","50.36"
"....Rizal 3/, a/, b/, c/","23.65","32.46","43.94","17.63","18.15","13.68","4.17","5.89","6.01","15.48","20.91","32.15","31.83","44.02","55.72"
"..MIMAROPA Region 1/, 3/","77.35","118.38","133.34","6.70","5.14","9.98","5.18","6.08","13.31","67.20","106.46","107.25","87.51","130.30","159.43"
