geolocation,industry_description,number_of_establishments_2020,total_employment_at_2020,paid_employees_at_2020,workers_on_sub-contract_agreement_or_under_manpower_agencies_contractors_as_of_15_november_at_2020,total_revenue_2020,total_expense_2020,compensation_2020,other_expense_2020,value_added_2020,gross_additions_to_tangible_fixed_assets_2020,change_in_inventories_2020,sales_from_e-commerce_transactions_2020,subsidies_2020
Zamboanga Peninsula,Real estate activities with own or leased property,39,258,257,0,300671,231979,34808,197172,146453,0,-3908,0,0
Zamboanga Peninsula,Real estate activities on a fee or contract basis,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mindanao,Real Estate Activities,75,1392,1329,857,10737735,9210183,472350,8737834,5444154,98010,-26245,0,0
Northern Mindanao,Real estate activities with own or leased property,70,1378,1315,857,10731312,9204122,470808,8733314,5441041,90248,-26245,0,0
Northern Mindanao,Real estate activities on a fee or contract basis,5,14,14,0,6423,6061,1542,4519,3113,7762,0,0,0
Davao Region,Real Estate Activities,221,3662,3658,455,11798799,9498413,1425943,8072471,5006721,1114348,1308320,0,0
Davao Region,Real estate activities with own or leased property,195,3515,3511,409,11686852,9390279,1394783,7995496,4951689,1114348,1308320,0,0
Davao Region,Real estate activities on a fee or contract basis,26,147,147,46,111948,108134,31160,76975,55032,0,0,0,0
Soccsksargen,Real Estate Activities,57,840,824,0,712679,696123,125671,570453,524672,0,-39410,0,0
Soccsksargen,Real estate activities with own or leased property,51,801,801,0,703567,687844,123672,564173,519862,0,-39410,0,0
Soccsksargen,Real estate activities on a fee or contract basis,5,39,23,0,9113,8279,1999,6280,4810,0,0,0,0
Caraga,Real Estate Activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Caraga,Real estate activities with own or leased property,0,0,0,0,0,0,0,0,0,0,0,0,0
Caraga,Real estate activities on a fee or contract basis,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,Real Estate Activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,Real estate activities with own or leased property,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,Real estate activities on a fee or contract basis,0,0,0,0,0,0,0,0,0,0,0,0,0
