geolocation,industry_description,number_of_establishments_2020,total_employment_at_2020,paid_employees_at_2020,workers_on_sub-contract_agreement_or_under_manpower_agencies_contractors_at_2020,total_revenue_2020,total_expense_2020,compensation_2020,other_expense_2020,value_added_2020,gross_additions_to_tangible_fixed_assets_2020,change_in_inventories_2020,sales_from_e-commerce_transactions_2020,subsidies_2020
Philippines,Other Service Activities,8910,61913,60100,1362,19047753,17594232,5423125,12171107,8802735,1062146,6672,0,0
Philippines,Repair of computers and communications equipment,227,1368,1330,210,714270,582698,201861,380837,365166,5313,-20247,0,0
Philippines,Repair of personal and household goods,1085,6282,6151,23,2498771,2043773,485756,1558017,1100582,24627,-48725,0,0
Philippines,"Personal services for wellness, except sports activities",4476,39310,38305,743,7593728,7863193,3149639,4713554,3798229,200733,-51592,0,0
Philippines,Laundry services,1893,6201,5986,2,1830742,1730138,442385,1287752,651053,73577,91596,0,0
Philippines,Funeral and related activities,1171,8420,7999,384,6262790,5225305,1118969,4106336,2858605,755776,45238,0,0
Philippines,"Other personal service activities, n.e.c.",58,333,328,0,147452,149125,24515,124610,29100,2121,-9598,0,0
National Capital Region,Other Service Activities,2759,21468,20991,213,4792540,4740522,1874457,2866064,2390592,66718,-7128,0,0
National Capital Region,Repair of computers and communications equipment,62,744,744,210,365426,314025,126544,187481,195652,3944,-5348,0,0
National Capital Region,Repair of personal and household goods,448,2749,2749,0,315872,286500,133434,153066,198531,0,587,0,0
National Capital Region,"Personal services for wellness, except sports activities",1455,14327,13850,3,2304925,2413895,1259557,1154338,1355487,0,-3997,0,0
National Capital Region,Laundry services,653,1821,1821,0,310280,316256,87076,229179,116175,0,0,0,0
National Capital Region,Funeral and related activities,110,1628,1628,0,1421763,1331149,258433,1072716,518733,62774,2211,0,0
National Capital Region,"Other personal service activities, n.e.c.",30,199,199,0,74273,78697,9412,69284,6014,0,-580,0,0
Cordillera Administrative Region,Other Service Activities,199,1227,1141,0,265968,248971,76635,172337,119875,6018,387,0,0
Cordillera Administrative Region,Repair of computers and communications equipment,5,25,22,0,6254,5555,3452,2103,4369,20,12,0,0
Cordillera Administrative Region,Repair of personal and household goods,18,43,43,0,7382,7284,3217,4067,4234,248,-104,0,0
Cordillera Administrative Region,"Personal services for wellness, except sports activities",132,982,902,0,144434,135324,54605,80719,78022,0,270,0,0
Cordillera Administrative Region,Laundry services,34,103,103,0,15305,13024,6282,6742,8912,0,316,0,0
Cordillera Administrative Region,Funeral and related activities,12,75,72,0,92593,87784,9078,78706,24338,5750,-107,0,0
Cordillera Administrative Region,"Other personal service activities, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Ilocos Region,Other Service Activities,426,2157,2085,103,568614,596115,158074,438041,231442,23964,-17817,0,0
Ilocos Region,Repair of computers and communications equipment,17,67,67,0,35119,34281,4970,29311,6574,0,-77,0,0
Ilocos Region,Repair of personal and household goods,44,225,210,0,82595,68848,26010,42838,44469,0,-290,0,0
Ilocos Region,"Personal services for wellness, except sports activities",224,1421,1396,0,123019,189124,96946,92178,43504,504,-267,0,0
Ilocos Region,Laundry services,31,144,136,0,14042,11909,5912,5997,8791,0,4,0,0
Ilocos Region,Funeral and related activities,112,301,276,103,313840,291954,24235,267718,128103,23460,-17187,0,0
Ilocos Region,"Other personal service activities, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan Valley,Other Service Activities,181,1898,1889,0,516249,482138,156701,325437,239012,0,2663,0,0
Cagayan Valley,Repair of computers and communications equipment,5,10,10,0,2637,2519,874,1646,1196,0,-83,0,0
Cagayan Valley,Repair of personal and household goods,27,109,109,0,143532,122121,14859,107262,49393,0,6521,0,0
Cagayan Valley,"Personal services for wellness, except sports activities",100,1511,1502,0,138310,199912,96938,102974,49321,0,-3306,0,0
Cagayan Valley,Laundry services,14,48,48,0,16015,14871,3259,11612,5473,0,-129,0,0
Cagayan Valley,Funeral and related activities,35,221,221,0,215756,142715,40773,101942,133630,0,-340,0,0
Cagayan Valley,"Other personal service activities, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Central Luzon,Other Service Activities,802,5666,5381,71,1589620,1293521,442512,851009,881351,172975,-91629,0,0
Central Luzon,Repair of computers and communications equipment,22,97,87,0,121529,87476,23441,64035,61971,0,-9445,0,0
Central Luzon,Repair of personal and household goods,83,521,521,23,602196,409933,50456,359477,271340,20429,-51363,0,0
Central Luzon,"Personal services for wellness, except sports activities",410,3614,3568,46,500656,482053,238395,243659,326956,98637,-24637,0,0
Central Luzon,Laundry services,164,470,438,2,130313,133179,51949,81230,70661,53909,-530,0,0
Central Luzon,Funeral and related activities,120,955,758,0,232027,178521,77280,101241,148629,0,-5654,0,0
Central Luzon,"Other personal service activities, n.e.c.",3,9,9,0,2899,2358,992,1366,1794,0,0,0,0
Calabarzon,Other Service Activities,1380,10785,10540,641,3591934,3295290,848904,2446385,1548247,100,-4625,0,0
Calabarzon,Repair of computers and communications equipment,25,165,165,0,53697,43373,10448,32925,22123,0,16,0,0
Calabarzon,Repair of personal and household goods,146,870,831,0,609894,529004,70906,458098,159674,0,-3003,0,0
Calabarzon,"Personal services for wellness, except sports activities",681,7208,7087,613,1557241,1526118,536435,989683,850449,100,-2032,0,0
Calabarzon,Laundry services,309,1307,1307,0,837344,773900,123615,650285,250705,0,5835,0,0
Calabarzon,Funeral and related activities,211,1219,1137,28,530928,420304,106467,313837,263800,0,-5452,0,0
Calabarzon,"Other personal service activities, n.e.c.",8,17,13,0,2830,2591,1033,1559,1495,0,10,0,0
Mimaropa Region,Other Service Activities,77,356,356,0,124369,117365,30147,87218,50596,8949,-1540,0,0
Mimaropa Region,Repair of computers and communications equipment,3,12,12,0,9438,8924,1539,7385,2277,0,-3392,0,0
Mimaropa Region,Repair of personal and household goods,6,29,29,0,4225,3784,2147,1636,2924,0,240,0,0
Mimaropa Region,"Personal services for wellness, except sports activities",20,110,110,0,16318,12853,6632,6222,11362,0,0,0,0
Mimaropa Region,Laundry services,8,36,36,0,8287,7673,3697,3976,5666,0,-379,0,0
Mimaropa Region,Funeral and related activities,40,169,169,0,86100,84131,16131,68000,28367,8949,1992,0,0
Mimaropa Region,"Other personal service activities, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Bicol Region,Other Service Activities,362,1695,1563,0,332103,262035,102611,159424,199087,15870,867,0,0
Bicol Region,Repair of computers and communications equipment,24,48,24,0,5794,5231,739,4492,2397,0,-396,0,0
Bicol Region,Repair of personal and household goods,40,169,119,0,13310,11362,4404,6957,7273,0,-358,0,0
Bicol Region,"Personal services for wellness, except sports activities",164,712,667,0,81739,83706,36013,47693,42862,15398,-1664,0,0
Bicol Region,Laundry services,20,48,34,0,6407,9599,2295,7303,315,473,-19,0,0
Bicol Region,Funeral and related activities,113,719,719,0,224853,152137,59159,92978,146240,0,3304,0,0
Bicol Region,"Other personal service activities, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Western Visayas,Other Service Activities,481,2686,2594,64,1035904,940630,243651,696979,462667,43444,-3830,0,0
Western Visayas,Repair of computers and communications equipment,14,41,41,0,8443,5821,2029,3791,5244,0,-33,0,0
Western Visayas,Repair of personal and household goods,49,279,279,0,52032,45087,17047,28040,31773,0,-2362,0,0
Western Visayas,"Personal services for wellness, except sports activities",166,1328,1289,0,232743,200864,119362,81502,167358,8827,-1341,0,0
Western Visayas,Laundry services,155,474,443,0,126784,112180,38652,73528,64161,0,-1145,0,0
Western Visayas,Funeral and related activities,97,565,543,64,615902,576679,66561,510118,194131,34617,1051,0,0
Western Visayas,"Other personal service activities, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Central Visayas,Other Service Activities,806,5763,5578,195,2968733,3044321,877418,2166903,1005769,5054,69767,0,0
Central Visayas,Repair of computers and communications equipment,21,65,65,0,30274,24117,15769,8347,22612,0,380,0,0
Central Visayas,Repair of personal and household goods,92,651,651,0,312211,288365,92489,195876,130844,1687,4,0,0
Central Visayas,"Personal services for wellness, except sports activities",365,3491,3447,29,1647237,1816931,521691,1295240,511833,3367,-6435,0,0
Central Visayas,Laundry services,221,809,682,0,190449,174125,60652,113474,29769,0,75407,0,0
Central Visayas,Funeral and related activities,104,717,703,165,769755,721041,181594,539446,304731,0,411,0,0
Central Visayas,"Other personal service activities, n.e.c.",4,31,31,0,18807,19743,5223,14520,5981,0,0,0,0
Eastern Visayas,Other Service Activities,195,769,712,0,267210,207445,59211,148235,150316,23840,14338,0,0
Eastern Visayas,Repair of computers and communications equipment,4,10,10,0,9731,4917,1044,3873,6321,360,-181,0,0
Eastern Visayas,Repair of personal and household goods,8,101,96,0,30566,19636,16661,2975,29527,821,-13,0,0
Eastern Visayas,"Personal services for wellness, except sports activities",77,300,269,0,50594,46547,14176,32371,29787,16398,583,0,0
Eastern Visayas,Laundry services,50,124,124,0,33550,30368,7494,22874,9376,0,13300,0,0
Eastern Visayas,Funeral and related activities,56,233,212,0,142768,105978,19836,86142,75306,6262,649,0,0
Eastern Visayas,"Other personal service activities, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Peninsula,Other Service Activities,173,1119,1095,0,414498,308861,107682,201180,225640,0,40742,0,0
Zamboanga Peninsula,Repair of computers and communications equipment,4,20,20,0,27173,21681,4444,17237,10635,0,-1315,0,0
Zamboanga Peninsula,Repair of personal and household goods,16,48,48,0,36545,23799,3386,20413,16472,0,-597,0,0
Zamboanga Peninsula,"Personal services for wellness, except sports activities",104,667,648,0,50734,39462,19391,20070,36531,0,-13,0,0
Zamboanga Peninsula,Laundry services,19,19,14,0,4397,3493,1150,2342,2737,0,-14,0,0
Zamboanga Peninsula,Funeral and related activities,29,365,365,0,295649,220426,79309,141118,159266,0,42682,0,0
Zamboanga Peninsula,"Other personal service activities, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mindanao,Other Service Activities,199,1561,1561,0,595655,408054,110947,297107,331285,641552,-8296,0,0
Northern Mindanao,Repair of computers and communications equipment,7,28,28,0,14048,10243,4299,5944,10210,302,-22,0,0
Northern Mindanao,Repair of personal and household goods,17,62,62,0,24056,16214,3640,12574,11921,372,0,0,0
Northern Mindanao,"Personal services for wellness, except sports activities",119,860,860,0,47084,67532,37812,29720,37598,20766,-596,0,0
Northern Mindanao,Laundry services,27,63,63,0,11406,14049,5518,8530,10394,19196,-192,0,0
Northern Mindanao,Funeral and related activities,30,549,549,0,499060,300017,59677,240340,261162,600917,-7486,0,0
Northern Mindanao,"Other personal service activities, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Davao Region,Other Service Activities,509,2887,2867,56,1373211,1077259,231476,845782,715573,15782,16764,0,0
Davao Region,Repair of computers and communications equipment,7,17,17,0,16119,7332,1385,5947,10897,612,-273,0,0
Davao Region,Repair of personal and household goods,56,249,249,0,193570,162124,33236,128888,105381,0,-360,0,0
Davao Region,"Personal services for wellness, except sports activities",271,1588,1570,52,372317,309879,66988,242891,152323,0,-400,0,0
Davao Region,Laundry services,127,615,615,0,87987,88491,37110,51381,43933,0,-490,0,0
Davao Region,Funeral and related activities,42,388,386,4,695055,501776,90645,411132,400021,15170,18288,0,0
Davao Region,"Other personal service activities, n.e.c.",6,31,31,0,8162,7657,2113,5544,3018,0,0,0,0
