geolocation,industry_description,number_of_establishments_at_2020,total_employment_as_of_15_november_at_2020,paid_employment_as_of_15_november_at_2020,workers_on_sub-contract_agreement_or_under_manpower_agencies_contractors_as_of_15_november_at_2020,total_revenue_2020,total_expense_2020,compensation_2020,other_expense_2020,value_added_2020,gross_additions_to_tangible_fixed_assets_2020,change_in_inventories_2020,sales_from_e-commerce_2020,subsidies_2020
Zamboanga Peninsula,Temporary employment agency activities,10,398,398,0,1306741,1261250,69978,1191271,109341,0,39990,0,0
Zamboanga Peninsula,Other human resources provision,0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Peninsula,Travel agency and tour operator activities,3,38,38,0,7418,6243,3486,2757,5492,0,71,0,0
Zamboanga Peninsula,Other reservation service and related activities,10,49,49,0,6358,6235,3310,2925,3971,0,53,0,0
Zamboanga Peninsula,Private security activities,8,1525,1523,0,186557,175403,153285,22118,169612,0,1,0,0
Zamboanga Peninsula,Security systems service activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Peninsula,Investigation activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Peninsula,Combined facilities support activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Peninsula,Cleaning activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Peninsula,Landscape care and maintenance service activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Peninsula,Office administrative and support activities,8,149,149,0,108299,82471,16266,66205,35495,9900,12808,0,0
Zamboanga Peninsula,Call centers and other related activities,6,149,149,73,64599,50667,22221,28445,40406,0,-898,0,0
Zamboanga Peninsula,Organization of conventions and trade shows,0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Peninsula,"Business support service activities, n.e.c.",3,117,117,0,25935,22628,8288,14341,11888,0,996,0,0
Northern Mindanao,Administrative and Support Service Activities,167,17965,17938,2465,12954869,9538783,3416584,6122199,6414539,335608,-73765,555375,0
Northern Mindanao,Renting and leasing of motor vehicles,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mindanao,Renting and leasing of personal and household goods,4,10,10,0,1920,1722,661,1061,759,0,162,0,0
Northern Mindanao,"Renting and leasing of other machinery, equipment and tangible goods, n.e.c.",5,40,40,0,35005,28362,6884,21478,31995,0,-2031,0,0
Northern Mindanao,"Leasing of intellectual property and  similar products, except copyrighted works",0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mindanao,Activities of employment placement agencies,61,2972,2972,0,808477,772867,462486,310381,554955,1981,-47955,0,0
Northern Mindanao,Temporary employment agency activities,28,6483,6483,2448,1414966,1074678,931971,142708,1272834,117730,-6227,0,0
Northern Mindanao,Other human resources provision,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mindanao,Travel agency and tour operator activities,6,10,10,0,824,1336,687,649,1200,938,0,0,0
Northern Mindanao,Other reservation service and related activities,7,66,66,0,80878,69705,13701,56004,28043,140,-10,0,0
Northern Mindanao,Private security activities,18,4138,4111,1,624749,613404,526513,86892,597720,145176,-18903,0,0
Northern Mindanao,Security systems service activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mindanao,Investigation activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mindanao,Combined facilities support activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mindanao,Cleaning activities,3,52,52,0,38448,36585,15865,20720,23056,1292,626,0,0
Northern Mindanao,Landscape care and maintenance service activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mindanao,Office administrative and support activities,17,184,184,0,130767,111910,15230,96680,35385,322,360,0,0
Northern Mindanao,Call centers and other related activities,10,3703,3703,16,9692462,6740028,1372905,5367124,3756536,46494,212,555375,0
Northern Mindanao,Organization of conventions and trade shows,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mindanao,"Business support service activities, n.e.c.",8,307,307,0,126375,88183,69680,18503,112058,21534,0,0,0
Davao Region,Administrative and Support Service Activities,362,68640,68274,7510,27910755,26749725,18615697,8134028,21494487,1046903,57242,15098468,900
Davao Region,Renting and leasing of motor vehicles,0,0,0,0,0,0,0,0,0,0,0,0,0
Davao Region,Renting and leasing of personal and household goods,18,84,84,0,12407,20567,6904,13664,540,0,0,0,0
Davao Region,"Renting and leasing of other machinery, equipment and tangible goods, n.e.c.",11,354,354,11,314427,355161,105805,249357,152526,639,-4405,0,0
Davao Region,"Leasing of intellectual property and  similar products, except copyrighted works",0,0,0,0,0,0,0,0,0,0,0,0,0
Davao Region,Activities of employment placement agencies,86,7525,7525,0,1909302,1805481,1225006,580475,1408439,12698,211,0,0
Davao Region,Temporary employment agency activities,50,14978,14978,7074,2489807,2239638,1451959,787679,1436611,140,-1559,0,900
Davao Region,Other human resources provision,0,0,0,0,0,0,0,0,0,0,0,0,0
Davao Region,Travel agency and tour operator activities,14,93,70,0,20392,27783,11217,16566,9228,0,0,0,0
Davao Region,Other reservation service and related activities,22,149,141,10,490439,467311,22500,444811,2509,34,49838,0,0
Davao Region,Private security activities,61,9508,9501,0,1186451,1131741,907598,224143,1010894,2139,-90,0,0
Davao Region,Security systems service activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Davao Region,Investigation activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Davao Region,Combined facilities support activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Davao Region,Cleaning activities,13,1323,1323,0,373200,339987,274247,65740,323249,3388,2482,0,0
Davao Region,Landscape care and maintenance service activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Davao Region,Office administrative and support activities,14,42,42,0,2926,2716,1235,1481,2645,0,0,0,0
Davao Region,Call centers and other related activities,50,34335,34005,416,20957255,20247238,14571154,5676083,17058785,1016293,10823,15090049,0
Davao Region,Organization of conventions and trade shows,0,0,0,0,0,0,0,0,0,0,0,0,0
Davao Region,"Business support service activities, n.e.c.",23,251,251,0,154147,112104,38074,74030,89061,11572,-58,8419,0
Soccsksargen,Administrative and Support Service Activities,130,33092,33065,246,5593530,5408930,2179663,3229267,2673494,85727,4752,0,0
Soccsksargen,Renting and leasing of motor vehicles,0,0,0,0,0,0,0,0,0,0,0,0,0
Soccsksargen,Renting and leasing of personal and household goods,0,0,0,0,0,0,0,0,0,0,0,0,0
Soccsksargen,"Renting and leasing of other machinery, equipment and tangible goods, n.e.c.",7,36,11,1,6058,5013,1297,3716,2806,0,119,0,0
Soccsksargen,"Leasing of intellectual property and  similar products, except copyrighted works",0,0,0,0,0,0,0,0,0,0,0,0,0
Soccsksargen,Activities of employment placement agencies,59,866,866,0,425148,368385,205320,163065,285901,0,-61,0,0
Soccsksargen,Temporary employment agency activities,17,27349,27349,0,3858154,3824272,1341822,2482450,1411852,7390,-2186,0,0
Soccsksargen,Other human resources provision,0,0,0,0,0,0,0,0,0,0,0,0,0
Soccsksargen,Travel agency and tour operator activities,7,22,20,0,2196,5049,2025,3024,153,0,0,0,0
Soccsksargen,Other reservation service and related activities,4,11,11,0,1450,2104,1020,1084,1627,0,-1056,0,0
Soccsksargen,Private security activities,11,2031,2031,0,206764,194180,182508,11672,198652,420,-8,0,0
Soccsksargen,Security systems service activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Soccsksargen,Investigation activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Soccsksargen,Combined facilities support activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Soccsksargen,Cleaning activities,3,478,478,0,60101,55809,33112,22697,40492,155,404,0,0
Soccsksargen,Landscape care and maintenance service activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Soccsksargen,Office administrative and support activities,17,136,136,0,52775,36117,13040,23078,32550,10605,7573,0,0
Soccsksargen,Call centers and other related activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Soccsksargen,Organization of conventions and trade shows,0,0,0,0,0,0,0,0,0,0,0,0,0
Soccsksargen,"Business support service activities, n.e.c.",5,2160,2160,0,982725,920409,401202,519207,700806,67194,0,0,0
Caraga,Administrative and Support Service Activities,43,4418,4416,288,786712,758429,400945,357484,570865,178701,13171,0,0
Caraga,Renting and leasing of motor vehicles,0,0,0,0,0,0,0,0,0,0,0,0,0
Caraga,Renting and leasing of personal and household goods,0,0,0,0,0,0,0,0,0,0,0,0,0
Caraga,"Renting and leasing of other machinery, equipment and tangible goods, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Caraga,"Leasing of intellectual property and  similar products, except copyrighted works",0,0,0,0,0,0,0,0,0,0,0,0,0
Caraga,Activities of employment placement agencies,0,0,0,0,0,0,0,0,0,0,0,0,0
Caraga,Temporary employment agency activities,18,1931,1931,148,315808,305736,194771,110966,276907,170839,11495,0,0
Caraga,Other human resources provision,0,0,0,0,0,0,0,0,0,0,0,0,0
Caraga,Travel agency and tour operator activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Caraga,Other reservation service and related activities,6,155,155,0,158381,154387,12854,141533,17171,968,0,0,0
Caraga,Private security activities,11,2187,2187,140,184814,164789,151935,12854,177852,6859,-20,0,0
Caraga,Security systems service activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Caraga,Investigation activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Caraga,Combined facilities support activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Caraga,Cleaning activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Caraga,Landscape care and maintenance service activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Caraga,Office administrative and support activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Caraga,Call centers and other related activities,4,123,123,0,119483,126110,38340,87770,93920,0,1709,0,0
Caraga,Organization of conventions and trade shows,0,0,0,0,0,0,0,0,0,0,0,0,0
Caraga,"Business support service activities, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,Administrative and Support Service Activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,Renting and leasing of motor vehicles,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,Renting and leasing of personal and household goods,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,"Renting and leasing of other machinery, equipment and tangible goods, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,"Leasing of intellectual property and  similar products, except copyrighted works",0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,Activities of employment placement agencies,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,Temporary employment agency activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,Other human resources provision,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,Travel agency and tour operator activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,Other reservation service and related activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,Private security activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,Security systems service activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,Investigation activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,Combined facilities support activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,Cleaning activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,Landscape care and maintenance service activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,Office administrative and support activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,Call centers and other related activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,Organization of conventions and trade shows,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,"Business support service activities, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
