geolocation,industry_description,number_of_establishments_2020,total_employment_at_2020,paid_employees_at_2020,workers_on_sub-contract_agreement_or_under_manpower_agencies_contractors_at_2020,total_revenue_2020,total_expense_2020,compensation_2020,other_expense_2020,gross_margin_2020,value_added_2020,gross_additions_to_tangible_fixed_assets_2020,change_in_inventories_2020,sales_from_e-commerce_transactions_2020,subsidies_2020
Cordillera Administrative Region,Sale of motor vehicles,11,348,347,2,2005839,1908937,67170,1841767,240614,228834,2673,4953,0,0
Cordillera Administrative Region,Maintenance and repair of motor vehicles,77,379,378,0,312956,290004,28667,261337,0,65936,0,7954,0,0
Cordillera Administrative Region,Sale of motor vehicle parts and accessories,71,208,186,0,128128,114806,10862,103945,35029,28407,0,-19250,0,0
Cordillera Administrative Region,"Sale, maintenance and repair of motorcycles and related parts and accessories",32,175,175,12,646560,596037,23117,572920,151065,134798,2832,23462,0,0
Cordillera Administrative Region,Wholesale on a fee or contract basis,4,92,92,0,488830,395290,10912,384378,0,112026,0,3472,0,0
Cordillera Administrative Region,Wholesale of agricultural raw materials and live animals,25,371,363,0,479409,371093,22688,348405,109683,129483,0,11516,0,0
Cordillera Administrative Region,"Wholesale of food, beverages and tobacco",46,1886,1886,8,4472415,4074875,431772,3643104,1046335,887251,0,42093,0,0
Cordillera Administrative Region,Wholesale of household goods,33,176,161,0,64660,62977,9355,53622,15518,12802,0,4102,0,0
Cordillera Administrative Region,"Wholesale of machinery, equipment and supplies",24,397,397,0,152724,145836,30112,115724,45525,41005,0,-8808,0,0
Cordillera Administrative Region,Other specialized wholesale,24,219,219,0,828484,766346,20212,746134,117504,85857,1135,-16339,0,0
Cordillera Administrative Region,Non-specialized wholesale trade,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordillera Administrative Region,Retail sale in non-specialized stores,118,2227,2114,745,11358344,11053148,311704,10741444,2264705,798979,8047,-480990,0,160
Cordillera Administrative Region,"Retail sale of food, beverages and tobacco in specialized stores",123,491,337,0,220933,207438,39433,168005,74255,59840,0,-1916,0,0
Cordillera Administrative Region,Retail sale of automotive fuel in specialized stores,92,441,400,0,1139637,1115310,37679,1077632,111725,74578,24420,-4914,0,0
Cordillera Administrative Region,Retail sale of information and communications equipment in specialized stores,44,366,325,0,989176,931226,24999,906227,144564,118322,886,250410,0,0
Cordillera Administrative Region,Retail sale of other household equipment in specialized stores,202,1370,1314,252,2079515,2038831,79862,1958968,298260,165721,6848,-28248,327764,0
Cordillera Administrative Region,Retail sale of cultural and recreation goods in specialized stores,60,242,242,0,141129,139222,22658,116564,41106,25219,11,6438,0,0
Cordillera Administrative Region,Retail sale of other goods in specialized stores,465,2180,2080,0,5253509,4389015,263707,4125309,1536234,1211319,13290,-240451,0,3412
Cordillera Administrative Region,"Retail trade not in stores, stalls or markets",6,28,28,0,12461,14719,2735,11984,3372,1487,0,-596,0,0
Ilocos Region,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,4376,48613,47452,2756,174172877,171974350,5970388,166003962,17281179,12699069,1615166,2055990,72730,9863
Ilocos Region,Sale of motor vehicles,60,1563,1561,0,7547623,7271464,210672,7060793,331106,548161,15755,182220,0,0
Ilocos Region,Maintenance and repair of motor vehicles,109,332,304,0,35709,28053,9326,18727,0,19371,0,1118,0,0
Ilocos Region,Sale of motor vehicle parts and accessories,164,718,718,0,1104686,1127757,96224,1031534,102577,89584,0,-294881,0,0
Ilocos Region,"Sale, maintenance and repair of motorcycles and related parts and accessories",506,3681,3533,37,4323378,4265032,343638,3921394,578946,487196,44740,98548,0,0
Ilocos Region,Wholesale on a fee or contract basis,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilocos Region,Wholesale of agricultural raw materials and live animals,103,961,618,0,6257173,6026929,139531,5887398,704928,424633,0,47278,0,0
Ilocos Region,"Wholesale of food, beverages and tobacco",156,6697,6697,33,61145709,59523749,1357260,58166490,5342352,4445031,225,197234,0,0
Ilocos Region,Wholesale of household goods,138,768,768,0,815188,868519,53202,815317,131236,37115,988,-64921,72730,0
Ilocos Region,"Wholesale of machinery, equipment and supplies",47,214,213,0,161557,150037,20801,129235,31378,35686,280,-8935,0,0
Ilocos Region,Other specialized wholesale,159,2557,2557,0,6828568,6748272,141905,6606367,366803,276745,0,-13139,0,0
Ilocos Region,Non-specialized wholesale trade,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilocos Region,Retail sale in non-specialized stores,463,6608,6608,1395,36078678,35393504,857323,34536181,3397374,2192055,118253,2402645,0,0
Ilocos Region,"Retail sale of food, beverages and tobacco in specialized stores",234,1927,1823,30,1158426,1039154,145686,893468,417072,286186,104,-144428,0,0
Ilocos Region,Retail sale of automotive fuel in specialized stores,418,4627,4627,652,11640079,11807672,542326,11265346,925923,659299,22377,922,0,9863
Ilocos Region,Retail sale of information and communications equipment in specialized stores,204,2270,2149,91,5645769,5567891,215797,5352094,700651,371805,6791,192033,0,0
Ilocos Region,Retail sale of other household equipment in specialized stores,470,6953,6785,519,8088452,7962391,510811,7451580,1766862,981535,666465,-483028,0,0
Ilocos Region,Retail sale of cultural and recreation goods in specialized stores,109,706,706,0,2859726,2794919,112860,2682059,451187,344438,626,73818,0,0
