geolocation,industry_description,number_of_establishments_2020,total_employment_at_2020,paid_employees_at_2020,workers_on_sub-contract_agreement_or_under_manpower_agencies_contractors_at_2020,total_revenue_2020,total_expense_2020,compensation_2020,other_expense_2020,gross_margin_2020,value_added_2020,gross_additions_to_tangible_fixed_assets_2020,change_in_inventories_2020,sales_from_e-commerce_transactions_2020,subsidies_2020
Western Visayas,Retail sale of information and communications equipment in specialized stores,252,971,971,0,3069133,2973095,137392,2835703,366095,251317,9505,39694,0,0
Western Visayas,Retail sale of other household equipment in specialized stores,611,6304,6274,11523,15624883,16008549,883927,15124623,3717869,1461111,100424,651587,0,0
Western Visayas,Retail sale of cultural and recreation goods in specialized stores,136,753,753,0,3261082,3260458,156197,3104261,451432,210866,60,-344214,0,0
Western Visayas,Retail sale of other goods in specialized stores,1244,8944,8799,346,39856595,39697718,1976193,37721525,4308857,2451424,74354,2700514,5843,0
Western Visayas,"Retail trade not in stores, stalls or markets",15,72,72,12,310194,303799,21144,282655,148058,31162,0,-14107,0,0
Central Visayas,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,6984,86905,85368,7652,314984416,305713607,14298330,291415277,48788295,29453031,3343787,-533806,25556,577
Central Visayas,Sale of motor vehicles,159,4394,4394,99,19621841,20293437,927297,19366139,1862310,756733,0,-451125,0,0
Central Visayas,Maintenance and repair of motor vehicles,114,1024,1024,0,426095,382630,187385,195245,0,325891,0,61572,0,0
Central Visayas,Sale of motor vehicle parts and accessories,224,2029,1908,248,6644011,6481096,277767,6203330,729671,480306,24794,-154494,0,0
Central Visayas,"Sale, maintenance and repair of motorcycles and related parts and accessories",563,4819,4819,2,6845027,6756104,646723,6109381,1417277,917963,212064,-86213,0,0
Central Visayas,Wholesale on a fee or contract basis,47,442,442,0,642543,631824,30934,600889,0,92412,2247,-5550,0,0
Central Visayas,Wholesale of agricultural raw materials and live animals,45,415,371,0,886380,852136,29267,822868,95665,70111,749,9371,0,0
Central Visayas,"Wholesale of food, beverages and tobacco",134,4826,4826,58,23720952,23186377,762790,22423587,2631106,1653521,632861,189431,0,0
Central Visayas,Wholesale of household goods,364,3272,3272,72,19558365,19072344,1150606,17921738,2410268,1295714,1083178,1697330,0,0
Central Visayas,"Wholesale of machinery, equipment and supplies",235,2178,2175,79,5548378,5371208,393890,4977319,969367,720821,14778,-1535231,0,577
Central Visayas,Other specialized wholesale,269,5541,5541,1256,24148451,23340951,1300408,22040543,3287229,2468295,8717,-1302259,0,0
Central Visayas,Non-specialized wholesale trade,3,95,95,0,902578,884101,13121,870979,63527,40039,820,34953,0,0
Central Visayas,Retail sale in non-specialized stores,512,20885,20008,4034,98426270,96010524,3332378,92678146,16915102,8191514,318013,-400411,0,0
Central Visayas,"Retail sale of food, beverages and tobacco in specialized stores",536,3994,3941,22,3592908,3354356,300006,3054350,925512,617966,179651,-38909,0,0
Central Visayas,Retail sale of automotive fuel in specialized stores,357,3162,3162,0,12225019,11254844,333676,10921168,1865037,1615419,0,-78821,0,0
Central Visayas,Retail sale of information and communications equipment in specialized stores,424,2983,2983,142,5621781,5473312,298334,5174978,688530,548356,7685,-29100,0,0
Central Visayas,Retail sale of other household equipment in specialized stores,1095,15207,14813,273,34862439,32960364,2260499,30699865,7024958,4920353,751274,1376705,0,0
Central Visayas,Retail sale of cultural and recreation goods in specialized stores,167,1751,1751,111,2671743,2604938,220338,2384600,505861,349784,117,61893,0,0
Central Visayas,Retail sale of other goods in specialized stores,1724,9773,9746,1257,48442464,46609413,1824889,44784524,7367690,4361289,106842,89347,23840,0
Central Visayas,"Retail trade not in stores, stalls or markets",14,116,97,0,197174,193650,8021,185629,29185,26542,0,27705,1716,0
Eastern Visayas,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,3104,27879,27492,384,115790246,108533009,3905405,104627605,15149198,12562134,559886,-8670792,0,1050
Eastern Visayas,Sale of motor vehicles,35,731,731,18,4451602,4118386,102670,4015716,338840,579778,94786,300224,0,0
Eastern Visayas,Maintenance and repair of motor vehicles,70,813,795,0,1327807,1289430,99296,1190134,0,112688,38052,-31112,0,0
Eastern Visayas,Sale of motor vehicle parts and accessories,85,444,408,0,636652,604209,40558,563650,133083,102174,0,-82897,0,0
Eastern Visayas,"Sale, maintenance and repair of motorcycles and related parts and accessories",231,3235,3235,0,2782648,2709618,391150,2318469,695188,523664,194089,212471,0,0
Eastern Visayas,Wholesale on a fee or contract basis,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,Wholesale of agricultural raw materials and live animals,84,318,318,0,584931,632418,34875,597543,33856,17725,0,45611,0,0
Eastern Visayas,"Wholesale of food, beverages and tobacco",104,2805,2738,357,31800191,30377722,182855,30194867,2094109,2047830,172187,71486,0,0
Eastern Visayas,Wholesale of household goods,143,1159,1159,0,3845100,3763181,233642,3529540,860757,477293,9385,-1752,0,0
Eastern Visayas,"Wholesale of machinery, equipment and supplies",30,179,179,0,151395,158721,17633,141088,45095,25195,4199,-225,0,0
Eastern Visayas,Other specialized wholesale,91,775,775,0,2070257,1555817,104644,1451173,734546,664656,0,213876,0,0
Eastern Visayas,Non-specialized wholesale trade,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,Retail sale in non-specialized stores,270,3463,3383,0,16325533,16207396,311614,15895781,823834,576520,9422,223649,0,0
Eastern Visayas,"Retail sale of food, beverages and tobacco in specialized stores",201,1050,966,0,4032005,3269165,111322,3157843,1285656,666475,0,-1833662,0,0
Eastern Visayas,Retail sale of automotive fuel in specialized stores,158,3237,3237,0,19776502,15798601,362087,15436514,4440098,4393369,0,-7328006,0,0
Eastern Visayas,Retail sale of information and communications equipment in specialized stores,137,502,502,0,692192,664270,60378,603892,158441,98837,0,30522,0,0
Eastern Visayas,Retail sale of other household equipment in specialized stores,532,3726,3726,9,11405236,11958926,1103376,10855550,1425093,820177,14658,-640520,0,1050
Eastern Visayas,Retail sale of cultural and recreation goods in specialized stores,80,642,586,0,609142,591611,43460,548150,122699,69248,2074,29858,0,0
Eastern Visayas,Retail sale of other goods in specialized stores,841,4780,4739,0,15293226,14828342,704852,14123489,1956132,1384721,21036,120059,0,0
Eastern Visayas,"Retail trade not in stores, stalls or markets",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Peninsula,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,2157,26139,24904,547,61734871,59460551,2578385,56882167,9115825,6870677,213913,-1094339,0,0
Zamboanga Peninsula,Sale of motor vehicles,37,588,588,0,2789599,2661287,61615,2599671,234376,150359,459,51504,0,0
Zamboanga Peninsula,Maintenance and repair of motor vehicles,53,437,374,0,76953,57573,34114,23459,0,59771,0,-253,0,0
Zamboanga Peninsula,Sale of motor vehicle parts and accessories,53,350,265,0,148698,130654,12597,118057,49290,33808,11,19217,0,0
Zamboanga Peninsula,"Sale, maintenance and repair of motorcycles and related parts and accessories",197,1896,1896,29,12388549,12112027,367711,11744317,1685742,1073265,471,-1442124,0,0
Zamboanga Peninsula,Wholesale on a fee or contract basis,6,265,262,0,382144,305839,25287,280552,0,152184,13524,22110,0,0
Zamboanga Peninsula,Wholesale of agricultural raw materials and live animals,82,1246,1246,0,3044870,2928735,118762,2809974,434051,368020,0,126001,0,0
Zamboanga Peninsula,"Wholesale of food, beverages and tobacco",91,1173,1147,0,2900661,2647367,172773,2474594,652004,499942,111733,-305009,0,0
Zamboanga Peninsula,Wholesale of household goods,65,3200,3200,3,5218608,5121554,188585,4932970,588310,352331,0,-16020,0,0
Zamboanga Peninsula,"Wholesale of machinery, equipment and supplies",30,132,131,0,403397,346623,55193,291430,195016,120822,38,-23747,0,0
Zamboanga Peninsula,Other specialized wholesale,55,1025,1020,300,3961739,3649473,156937,3492535,602604,553030,0,9308,0,0
Zamboanga Peninsula,Non-specialized wholesale trade,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Peninsula,Retail sale in non-specialized stores,182,6065,5485,50,11026087,11109788,419890,10689899,1268334,1043678,11303,291509,0,0
Zamboanga Peninsula,"Retail sale of food, beverages and tobacco in specialized stores",218,973,778,0,3746917,3426452,112390,3314062,616805,445895,0,-208955,0,0
Zamboanga Peninsula,Retail sale of automotive fuel in specialized stores,183,1122,1122,25,2896807,2778854,125269,2653586,363295,312886,16444,127450,0,0
Zamboanga Peninsula,Retail sale of information and communications equipment in specialized stores,123,992,939,0,3461066,3364706,113374,3251332,343925,270056,0,103501,0,0
Zamboanga Peninsula,Retail sale of other household equipment in specialized stores,244,2449,2449,141,4944499,4709374,223047,4486327,876291,688744,45886,33141,0,0
Zamboanga Peninsula,Retail sale of cultural and recreation goods in specialized stores,35,187,151,0,407733,393838,13671,380166,167733,46387,7522,11191,0,0
Zamboanga Peninsula,Retail sale of other goods in specialized stores,502,4033,3848,0,3929006,3710027,376612,3333415,1036163,697704,6523,107148,0,0
Zamboanga Peninsula,"Retail trade not in stores, stalls or markets",3,6,5,0,7538,6379,559,5820,1887,1794,0,-310,0,0
Northern Mindanao,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,3591,42519,41893,9628,233430638,226440407,6457057,219983351,24214451,20679185,11054742,6739076,5644,0
Northern Mindanao,Sale of motor vehicles,101,1444,1444,97,6128613,5732863,214039,5518824,783063,797329,1133608,47256,0,0
Northern Mindanao,Maintenance and repair of motor vehicles,65,723,723,2,131127,102510,63133,39377,0,95914,13055,-4235,0,0
Northern Mindanao,Sale of motor vehicle parts and accessories,123,1213,1213,0,2004992,1975960,154667,1821293,297006,235363,18809,168175,0,0
Northern Mindanao,"Sale, maintenance and repair of motorcycles and related parts and accessories",265,4779,4779,2,6566800,6463238,758192,5705046,1241555,948099,405954,343714,0,0
Northern Mindanao,Wholesale on a fee or contract basis,4,53,53,0,1141297,1114048,16488,1097560,0,235891,116533,165150,0,0
Northern Mindanao,Wholesale of agricultural raw materials and live animals,73,499,392,0,179683,152202,20882,131320,59864,55419,30387,-4823,0,0
Northern Mindanao,"Wholesale of food, beverages and tobacco",106,4155,4155,46,19011594,18808376,319425,18488950,783683,640211,248301,-71133,0,0
Northern Mindanao,Wholesale of household goods,133,2235,2233,0,4970754,4728601,286743,4441858,548681,487846,97994,-111057,5644,0
Northern Mindanao,"Wholesale of machinery, equipment and supplies",90,1723,1700,16,2701132,2625229,151508,2473721,426004,389637,624002,84988,0,0
Northern Mindanao,Other specialized wholesale,83,2140,2140,303,55749091,53783876,954358,52829518,5370416,4671633,27960,4821199,0,0
Northern Mindanao,Non-specialized wholesale trade,36,687,687,315,3528372,3502756,58927,3443830,311935,123730,71160,-522126,0,0
Northern Mindanao,Retail sale in non-specialized stores,441,6509,6202,1268,17922802,17059252,777668,16281584,3640046,2277734,715239,585451,0,0
Northern Mindanao,"Retail sale of food, beverages and tobacco in specialized stores",243,1356,1263,908,4921598,4747922,237630,4510293,854375,2638883,4989926,-686965,0,0
Northern Mindanao,Retail sale of automotive fuel in specialized stores,276,4237,4237,6166,44183205,42299180,601048,41698132,4461694,3270378,823326,1668364,0,0
Northern Mindanao,Retail sale of information and communications equipment in specialized stores,140,1222,1222,0,22022254,21923903,150343,21773560,512687,322783,10529,92569,0,0
Northern Mindanao,Retail sale of other household equipment in specialized stores,322,3058,3058,0,10033576,9208451,569894,8638557,1894815,1590448,1448671,-89221,0,0
Northern Mindanao,Retail sale of cultural and recreation goods in specialized stores,75,437,414,0,781978,746501,24267,722235,144032,126504,0,28036,0,0
Northern Mindanao,Retail sale of other goods in specialized stores,1009,6035,5963,506,31447257,31460431,1096844,30363587,2883109,1769732,275290,224431,0,0
Northern Mindanao,"Retail trade not in stores, stalls or markets",7,16,16,0,4514,5107,1000,4107,1486,1651,3996,-695,0,0
Davao Region,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,4560,59951,59819,6804,278910633,269075943,11653862,257422081,45066672,27379266,3338201,3302367,27988,0
Davao Region,Sale of motor vehicles,119,1726,1726,40,4324263,4224894,196348,4028546,387324,379416,20910,-150416,0,0
Davao Region,Maintenance and repair of motor vehicles,86,1040,1040,0,1015232,992205,212937,779268,0,310566,0,38047,0,0
Davao Region,Sale of motor vehicle parts and accessories,168,2456,2456,58,8046089,7520157,303676,7216481,1154217,1049921,229686,37256,0,0
Davao Region,"Sale, maintenance and repair of motorcycles and related parts and accessories",292,3592,3592,0,6275402,5828675,622962,5205713,1323131,1199815,920,-95838,0,0
Davao Region,Wholesale on a fee or contract basis,50,1624,1624,2764,5771275,5831815,510460,5321354,0,1327541,97620,23500,0,0
Davao Region,Wholesale of agricultural raw materials and live animals,112,2004,2004,53,3038430,2542978,130151,2412827,745131,553630,62752,-228864,0,0
Davao Region,"Wholesale of food, beverages and tobacco",101,3950,3950,31,30355002,29455062,936895,28518168,7795373,2394177,267305,570444,0,0
Davao Region,Wholesale of household goods,309,6649,6599,306,26387344,25492855,1070249,24422605,3240315,2433949,51433,1166745,0,0
Davao Region,"Wholesale of machinery, equipment and supplies",183,1436,1436,117,4037091,3614777,329392,3285385,1283178,961918,7602,-132662,0,0
Davao Region,Other specialized wholesale,115,1542,1511,184,14450875,12348733,539465,11809268,4172317,3117837,25313,-248261,0,0
Davao Region,Non-specialized wholesale trade,4,61,61,0,337100,295350,12971,282379,93319,68280,2612,27261,0,0
Davao Region,Retail sale in non-specialized stores,580,16806,16793,2965,92416511,91471673,2939946,88531727,12112558,5676151,143912,380521,0,0
Davao Region,"Retail sale of food, beverages and tobacco in specialized stores",369,1665,1665,42,4192338,4181569,323434,3858135,813904,514476,15197,86828,0,0
Davao Region,Retail sale of automotive fuel in specialized stores,302,2328,2325,29,13156958,13276977,232694,13044284,711326,450226,31163,133765,0,0
Davao Region,Retail sale of information and communications equipment in specialized stores,273,1125,1125,0,12809791,11971566,198614,11772951,1278002,1088628,0,28034,0,0
Davao Region,Retail sale of other household equipment in specialized stores,307,5404,5404,14,20753449,18823420,1269810,17553610,3803151,3260781,95158,-384700,3128,0
Davao Region,Retail sale of cultural and recreation goods in specialized stores,79,570,544,97,2906858,2775594,91450,2684144,512651,353216,0,-67573,0,0
Davao Region,Retail sale of other goods in specialized stores,1092,5934,5925,105,28585285,28385309,1727299,26658011,5619483,2223656,2286618,2118941,24860,0
Davao Region,"Retail trade not in stores, stalls or markets",22,39,39,0,51340,42333,5109,37224,21290,15082,0,-662,0,0
Soccsksargen,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,3490,38490,38038,2737,142004417,141317940,5760247,135557693,16409053,16434257,3334499,-539732,0,0
Soccsksargen,Sale of motor vehicles,49,1614,1614,104,8593854,8217937,201868,8016069,450231,704157,12190,-603257,0,0
Soccsksargen,Maintenance and repair of motor vehicles,65,638,618,0,171721,138462,58208,80254,0,97457,0,-3896,0,0
Soccsksargen,Sale of motor vehicle parts and accessories,145,1253,1253,0,1666329,1481831,127632,1354199,402001,385314,2712,37453,0,0
Soccsksargen,"Sale, maintenance and repair of motorcycles and related parts and accessories",252,1978,1978,0,3411272,3722895,417386,3305510,669679,482272,2628,-362673,0,0
Soccsksargen,Wholesale on a fee or contract basis,11,1976,1976,0,21927651,23050247,495299,22554948,0,5329524,69,-982009,0,0
Soccsksargen,Wholesale of agricultural raw materials and live animals,104,3337,3337,0,7083124,6956208,343649,6612559,1544335,948945,0,1907086,0,0
Soccsksargen,"Wholesale of food, beverages and tobacco",125,2106,2106,814,10132330,10745473,922653,9822820,1023379,472355,5835,226851,0,0
Soccsksargen,Wholesale of household goods,116,987,987,0,6931788,6669756,526852,6142905,1852844,1100921,2322312,51606,0,0
Soccsksargen,"Wholesale of machinery, equipment and supplies",81,362,362,0,1311934,1265496,42979,1222517,234910,112752,1607,23868,0,0
Soccsksargen,Other specialized wholesale,65,340,340,0,262619,248343,26716,221627,90496,57216,0,5911,0,0
Soccsksargen,Non-specialized wholesale trade,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Soccsksargen,Retail sale in non-specialized stores,308,5984,5776,211,15737235,15422070,662319,14759751,1903913,1336527,47639,557300,0,0
Soccsksargen,"Retail sale of food, beverages and tobacco in specialized stores",359,1768,1768,123,10855594,11001569,210509,10791060,1513077,878063,862477,-851687,0,0
Soccsksargen,Retail sale of automotive fuel in specialized stores,252,2728,2728,0,22269190,22481602,444744,22036858,1555428,866208,0,-764192,0,0
Soccsksargen,Retail sale of information and communications equipment in specialized stores,201,1716,1716,0,4024189,3894935,109370,3785565,778417,383882,17629,52230,0,0
Soccsksargen,Retail sale of other household equipment in specialized stores,398,5145,5032,1230,15849618,14785717,410169,14375548,2410763,1777292,56487,-135243,0,0
Soccsksargen,Retail sale of cultural and recreation goods in specialized stores,112,423,312,0,249480,225243,18958,206286,101224,62420,0,14742,0,0
Soccsksargen,Retail sale of other goods in specialized stores,840,6071,6071,255,11430263,10917001,736126,10180875,1866077,1430216,2916,301238,0,0
Soccsksargen,"Retail trade not in stores, stalls or markets",11,66,66,0,96226,93155,4812,88343,12280,8734,0,-15061,0,0
Caraga,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,1930,21482,20813,531,80126891,77572345,2995245,74577100,9055210,6831974,2932264,841148,100,0
Caraga,Sale of motor vehicles,33,415,415,0,2424406,2197819,30538,2167281,210094,133832,0,42720,0,0
Caraga,Maintenance and repair of motor vehicles,25,154,154,0,73141,71910,33243,38667,0,60852,180,15274,0,0
Caraga,Sale of motor vehicle parts and accessories,46,342,342,0,828580,788682,76641,712041,165337,144238,0,40133,0,0
Caraga,"Sale, maintenance and repair of motorcycles and related parts and accessories",138,1238,1238,0,2312740,2216522,220207,1996315,485648,342673,0,277334,0,0
Caraga,Wholesale on a fee or contract basis,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caraga,Wholesale of agricultural raw materials and live animals,53,355,355,0,392111,363739,22795,340945,70582,56055,5400,-5691,0,0
Caraga,"Wholesale of food, beverages and tobacco",81,1049,1049,0,13802703,13723237,192631,13530607,472131,346971,0,335145,0,0
Caraga,Wholesale of household goods,70,1496,1496,0,9382121,8228718,649376,7579342,2059765,2165187,2372076,42652,0,0
Caraga,"Wholesale of machinery, equipment and supplies",30,133,133,0,355729,341840,23226,318614,71805,44567,-96,4803,0,0
Caraga,Other specialized wholesale,37,435,435,0,567591,445973,22640,423333,183926,153848,0,-10088,0,0
Caraga,Non-specialized wholesale trade,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caraga,Retail sale in non-specialized stores,166,5316,5021,10,11594305,11662287,443801,11218486,1177515,681494,10134,156749,0,0
Caraga,"Retail sale of food, beverages and tobacco in specialized stores",188,1712,1617,0,4181052,4176739,195547,3981192,492671,269594,46676,10061,0,0
Caraga,Retail sale of automotive fuel in specialized stores,143,1599,1542,57,8633120,8551752,175271,8376482,568271,393452,327966,-38262,0,0
Caraga,Retail sale of information and communications equipment in specialized stores,54,311,311,0,1991655,1935375,34899,1900476,268292,140974,4970,28698,0,0
Caraga,Retail sale of other household equipment in specialized stores,212,2550,2549,352,9353449,9250110,249772,9000338,847195,492581,145804,-126645,100,0
Caraga,Retail sale of cultural and recreation goods in specialized stores,30,123,123,0,601234,574986,10909,564078,81949,41128,0,67691,0,0
Caraga,Retail sale of other goods in specialized stores,618,4016,3795,112,13571200,13003926,599279,12404647,1890588,1322426,8606,-5581,0,0
Caraga,"Retail trade not in stores, stalls or markets",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,201,1753,1582,80,1357278,1247072,125057,1122014,331219,284934,78329,-25886,0,0
Autonomous Region in Muslim Mindanao,Sale of motor vehicles,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,Maintenance and repair of motor vehicles,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,Sale of motor vehicle parts and accessories,7,33,31,0,7759,7166,574,6592,2443,1625,1841,-1392,0,0
Autonomous Region in Muslim Mindanao,"Sale, maintenance and repair of motorcycles and related parts and accessories",6,11,11,0,3838,2648,476,2172,965,2487,1339,-106,0,0
Autonomous Region in Muslim Mindanao,Wholesale on a fee or contract basis,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,Wholesale of agricultural raw materials and live animals,21,328,224,80,284785,221783,28538,193245,144664,113039,12000,20267,0,0
Autonomous Region in Muslim Mindanao,"Wholesale of food, beverages and tobacco",8,64,60,0,154299,136080,7236,128844,24194,20367,182,-54552,0,0
Autonomous Region in Muslim Mindanao,Wholesale of household goods,5,55,53,0,22468,21506,5074,16432,8923,6982,1017,1710,0,0
Autonomous Region in Muslim Mindanao,"Wholesale of machinery, equipment and supplies",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,Other specialized wholesale,5,68,66,0,385455,381449,8459,372990,14203,12922,0,5946,0,0
Autonomous Region in Muslim Mindanao,Non-specialized wholesale trade,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,Retail sale in non-specialized stores,36,452,452,0,48175,44966,15562,29404,11576,14023,10463,-790,0,0
Autonomous Region in Muslim Mindanao,"Retail sale of food, beverages and tobacco in specialized stores",11,78,65,0,56479,55195,5543,49652,20132,14982,2,7797,0,0
Autonomous Region in Muslim Mindanao,Retail sale of automotive fuel in specialized stores,13,91,91,0,117975,117538,5376,112162,9753,19691,35258,-3649,0,0
Autonomous Region in Muslim Mindanao,Retail sale of information and communications equipment in specialized stores,7,29,29,0,38888,36946,1539,35407,6695,3952,21,-1567,0,0
Autonomous Region in Muslim Mindanao,Retail sale of other household equipment in specialized stores,28,328,328,0,172450,164821,33985,130836,66505,52771,15605,226,0,0
Autonomous Region in Muslim Mindanao,Retail sale of cultural and recreation goods in specialized stores,4,9,8,0,1815,1780,287,1492,745,443,0,147,0,0
Autonomous Region in Muslim Mindanao,Retail sale of other goods in specialized stores,45,158,129,0,50413,46497,9297,37200,18811,14085,0,1737,0,0
Autonomous Region in Muslim Mindanao,"Retail trade not in stores, stalls or markets",0,0,0,0,0,0,0,0,0,0,0,0,0,0
