geolocation,industry_description,number_of_establishments_2020,total_employment_at_2020,paid_employees_at_2020,workers_on_sub-contract_agreement_or_under_manpower_agencies_contractors_at_2020,total_revenue_2020,total_expense_2020,compensation_2020,other_expense_2020,value_added_2020,gross_additions_to_tangible_fixed_assets_2020,change_in_inventories_2020,sales_from_e-commerce_2020,subsidies_2020
Soccsksargen,Market research and public opinion polling,0,0,0,0,0,0,0,0,0,0,0,0,0
Soccsksargen,Specialized design activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Soccsksargen,Photographic activities,30,116,116,0,129523,161204,28072,133132,25698,4862,-25023,0,0
Soccsksargen,"Other professional, scientific and technical activities, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Soccsksargen,Veterinary activities,7,22,22,0,8098,4648,1395,3253,5052,204,-89,0,0
Caraga,"Professional, Scientific and Technical Activities",61,240,219,0,152945,106945,34653,72293,89670,447,-115,0,0
Caraga,Legal activities,14,55,49,0,8688,5838,3123,2715,6329,0,-31,0,0
Caraga,"Accounting, bookkeeping and auditing activities; tax consultancy",3,25,25,0,17140,13726,9042,4685,13639,0,0,0,0
Caraga,Activities of head offices,0,0,0,0,0,0,0,0,0,0,0,0,0
Caraga,Management consultancy activities,4,24,24,0,6586,4605,975,3630,3274,0,12,0,0
Caraga,Architectural and engineering activities and related technical consultancy,0,0,0,0,0,0,0,0,0,0,0,0,0
Caraga,Technical testing and analysis,17,41,41,0,84942,54113,16376,37737,49971,0,21,0,0
Caraga,Research and experimental development on natural sciences and engineering,0,0,0,0,0,0,0,0,0,0,0,0,0
Caraga,Research and experimental development on social sciences and humanities,0,0,0,0,0,0,0,0,0,0,0,0,0
Caraga,Research and experimental development in information technology,0,0,0,0,0,0,0,0,0,0,0,0,0
Caraga,"Research and experimental development services, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Caraga,Advertising,0,0,0,0,0,0,0,0,0,0,0,0,0
Caraga,Market research and public opinion polling,0,0,0,0,0,0,0,0,0,0,0,0,0
Caraga,Specialized design activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Caraga,Photographic activities,18,62,49,0,29999,23835,3243,20591,13334,0,-117,0,0
Caraga,"Other professional, scientific and technical activities, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Caraga,Veterinary activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,"Professional, Scientific and Technical Activities",3,5,5,0,668,565,108,457,234,0,0,0,0
Autonomous Region in Muslim Mindanao,Legal activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,"Accounting, bookkeeping and auditing activities; tax consultancy",0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,Activities of head offices,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,Management consultancy activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,Architectural and engineering activities and related technical consultancy,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,Technical testing and analysis,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,Research and experimental development on natural sciences and engineering,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,Research and experimental development on social sciences and humanities,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,Research and experimental development in information technology,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,"Research and experimental development services, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,Advertising,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,Market research and public opinion polling,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,Specialized design activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,Photographic activities,3,5,5,0,668,565,108,457,234,0,0,0,0
Autonomous Region in Muslim Mindanao,"Other professional, scientific and technical activities, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,Veterinary activities,0,0,0,0,0,0,0,0,0,0,0,0,0
