geolocation,industry_description,number_of_establishments_2020,total_employment_at_2020,paid_employees_at_2020,workers_on_sub-contract_agreement_or_under_manpower_agencies_contractors_at_2020,total_revenue_2020,total_expense_2020,compensation_2020,other_expense_2020,value_added_2020,gross_additions_to_tangible_fixed_assets_2020,change_in_inventories_2020,sales_from_e-commerce_transactions_2020,subsidies_2020
Eastern Visayas,Event catering and other food service activities,27,339,289,0,21790,19226,9596,9630,13549,0,-301,0,0
Eastern Visayas,Beverage serving activities,29,256,253,0,40748,33598,16780,16819,25122,0,153,0,0
Zamboanga Peninsula,Accommodation and Food Service Activities,701,10961,10694,448,7918805,6298006,903180,5394825,2957959,138842,93170,125122,0
Zamboanga Peninsula,Short term accommodation activities,97,3834,3661,29,1240186,869057,310704,558354,888207,0,-2884,0,0
Zamboanga Peninsula,Other accommodation,10,40,40,0,4100,3748,2710,1038,3190,0,-3,0,0
Zamboanga Peninsula,Restaurants and mobile food service activities,554,6514,6433,419,6260632,4963853,535143,4428710,1972251,138842,96051,125122,0
Zamboanga Peninsula,Event catering and other food service activities,10,150,136,0,68830,158593,13061,145532,2564,0,6,0,0
Zamboanga Peninsula,Beverage serving activities,31,425,425,0,345057,302755,41562,261192,91746,0,0,0,0
Northern Mindanao,Accommodation and Food Service Activities,935,11781,11541,1348,10710548,9541955,1262280,8279676,3431358,1109957,-119646,3387,0
Northern Mindanao,Short term accommodation activities,161,1819,1780,50,666838,554714,152279,402436,360996,165424,-25185,0,0
Northern Mindanao,Other accommodation,6,91,91,0,140371,77800,22748,55051,107536,0,-18460,0,0
Northern Mindanao,Restaurants and mobile food service activities,709,9273,9072,1082,9674982,8676627,997605,7679022,2856076,933447,-75657,3387,0
Northern Mindanao,Event catering and other food service activities,18,200,200,0,117398,123891,56562,67329,59915,0,-150,0,0
Northern Mindanao,Beverage serving activities,41,400,400,216,110959,108924,33087,75837,46835,11086,-196,0,0
Davao Region,Accommodation and Food Service Activities,1350,14569,14464,2035,13400385,12002388,1854147,10148241,4836184,132761,-131123,17511,0
Davao Region,Short term accommodation activities,161,2579,2577,48,1099881,1505579,281485,1224095,354228,16758,-7806,0,0
Davao Region,Other accommodation,30,259,259,0,52093,53862,28294,25567,30011,0,0,0,0
Davao Region,Restaurants and mobile food service activities,1091,10760,10678,1987,10707532,9035851,1387162,7648688,4074199,116003,-120300,17511,0
Davao Region,Event catering and other food service activities,18,437,416,0,236392,127800,54540,73260,205882,0,-841,0,0
Davao Region,Beverage serving activities,50,535,535,0,1304487,1279297,102666,1176631,171865,0,-2176,0,0
Soccsksargen,Accommodation and Food Service Activities,955,10109,9971,604,9862227,9164765,980130,8184635,2888681,19695,-152896,0,0
Soccsksargen,Short term accommodation activities,176,3212,3172,377,1858801,1589549,364870,1224678,748257,12844,1031,0,0
Soccsksargen,Other accommodation,7,29,23,6,2913,5363,1986,3377,569,1504,0,0,0
Soccsksargen,Restaurants and mobile food service activities,704,6384,6291,221,7708397,7311588,560300,6751289,2037594,5346,-154257,0,0
Soccsksargen,Event catering and other food service activities,46,311,311,0,169312,152040,35354,116686,56610,0,330,0,0
Soccsksargen,Beverage serving activities,22,174,174,0,122804,106225,17619,88606,45652,0,0,0,0
Caraga,Accommodation and Food Service Activities,417,5052,4757,99,2754217,2606093,372434,2233659,782299,1090315,12634,0,0
Caraga,Short term accommodation activities,89,985,919,0,304812,314895,69840,245055,66873,0,19348,0,0
Caraga,Other accommodation,4,10,10,0,5309,3157,1337,1821,4150,0,0,0,0
Caraga,Restaurants and mobile food service activities,300,3806,3600,99,2214947,2071714,290510,1781203,678979,1090199,-7860,0,0
Caraga,Event catering and other food service activities,11,103,103,0,218021,206980,6758,200222,26192,116,740,0,0
Caraga,Beverage serving activities,14,148,126,0,11128,9347,3989,5358,6104,0,406,0,0
Automous Region in Muslim Mindanao,Accommodation and Food Service Activities,74,873,778,3,172715,125783,52203,73580,104912,97,-1039,0,0
Automous Region in Muslim Mindanao,Short term accommodation activities,11,421,381,0,128264,87596,31885,55711,76299,0,-727,0,0
Automous Region in Muslim Mindanao,Other accommodation,0,0,0,0,0,0,0,0,0,0,0,0,0
Automous Region in Muslim Mindanao,Restaurants and mobile food service activities,49,336,334,3,35331,31226,17597,13627,23359,97,8,0,0
Automous Region in Muslim Mindanao,Event catering and other food service activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Automous Region in Muslim Mindanao,Beverage serving activities,14,116,63,0,9120,6962,2720,4242,5254,0,-320,0,0
