pdid,incidntnum,incident_code,category,descript,dayofweek,date,time,pddistrict,resolution,address,x,y,location,:@computed_region_6qbp_sg9q,:@computed_region_qgnn_b9vv,:@computed_region_26cr_cadq,:@computed_region_ajp5_b2md,:@computed_region_yftq_j783,:@computed_region_p5aj_wyqh,:@computed_region_rxqg_mtj9,:@computed_region_bh8s_q3mv,:@computed_region_fyvs_ahh9,:@computed_region_9dfj_4gjx,:@computed_region_n4xg_c4py,:@computed_region_4isq_27mq,:@computed_region_fcz8_est8,:@computed_region_pigm_ib2e,:@computed_region_9jxd_iqea,:@computed_region_6pnf_4xz7,:@computed_region_6ezc_tdp2,:@computed_region_h4ep_8xdi,:@computed_region_nqbw_i6c3,:@computed_region_2dwj_jsy4,:@computed_region_jwn9_ihcz
14606380506244,146063805,6244,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,2014-03-25T00:00:00.000,18:00,SOUTHERN,NONE,HARRISON ST / SPEAR ST,-122.389432577161,37.7888379056123,POINT (-122.389432577161 37.7888379056123),30.0,1,10,8,6,2,9,28855.0,6,,,,,,3.0,1,,,,,30.0
15009406464020,150094064,64020,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Saturday,2015-01-31T00:00:00.000,03:25,SOUTHERN,NONE,700 Block of MARKET ST,-122.403919148357,37.7871160984672,POINT (-122.40391914835702 37.7871160984672),32.0,5,10,8,12,2,9,28853.0,6,,,,,,4.0,1,,,,35.0,32.0
14078592264070,140785922,64070,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Thursday,2014-09-18T00:00:00.000,02:55,INGLESIDE,NONE,KINGSTON ST / MISSION ST,-122.422366686691,37.7417616962887,POINT (-122.422366686691 37.7417616962887),83.0,9,2,2,2,7,7,28859.0,2,,,,,,,1,,,,,83.0
14108672704134,141086727,4134,ASSAULT,BATTERY,Friday,2014-12-26T00:00:00.000,18:29,INGLESIDE,NONE,BOSWORTH ST / DIAMOND ST,-122.434145789073,37.7335506131208,POINT (-122.43414578907299 37.7335506131208),96.0,9,5,41,9,7,5,63.0,40,15.0,,17.0,,17.0,,1,,,,80.0,96.0
14015258106242,140152581,6242,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,2014-02-20T00:00:00.000,21:03,RICHMOND,NONE,WALNUT ST / CALIFORNIA ST,-122.448470391223,37.7870474882864,POINT (-122.44847039122301 37.7870474882864),11.0,8,6,31,15,6,1,54.0,31,,,,,,,1,,,,,11.0
14029620865015,140296208,65015,OTHER OFFENSES,TRAFFIC VIOLATION,Wednesday,2014-04-09T00:00:00.000,18:00,BAYVIEW,"ARREST, CITED",3RD ST / YOSEMITE AV,-122.393232869341,37.7277351549331,POINT (-122.393232869341 37.7277351549331),86.0,2,9,1,10,3,8,58.0,1,,,,,,,2,,,,,86.0
14094076262060,140940762,62060,WARRANTS,ENROUTE TO ADULT AUTHORITY,Thursday,2014-11-06T00:00:00.000,13:57,TARAVAL,"ARREST, BOOKED",TARAVAL ST / 46TH AV,-122.504618718594,37.7417618186278,POINT (-122.50461871859399 37.7417618186278),39.0,10,7,35,1,8,3,29491.0,35,,,,,,,1,,,,,39.0
14094962307025,140949623,7025,VEHICLE THEFT,STOLEN TRUCK,Friday,2014-11-07T00:00:00.000,19:00,MISSION,NONE,VICKSBURG ST / 24TH ST,-122.428548504461,37.7516375485337,POINT (-122.428548504461 37.7516375485337),84.0,3,5,22,2,4,5,28862.0,22,,,,,,12.0,1,,,,,84.0
14612149728150,146121497,28150,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Tuesday,2014-06-24T00:00:00.000,17:30,PARK,NONE,HAYES ST / STANYAN ST,-122.454286690265,37.7728951613405,POINT (-122.45428669026498 37.7728951613405),,7,4,12,11,5,2,29492.0,8,,,,,,,1,,,,,
14080492003013,140804920,3013,ROBBERY,ROBBERY ON THE STREET WITH A DANGEROUS WEAPON,Tuesday,2014-09-23T00:00:00.000,23:01,MISSION,"ARREST, BOOKED",MISSION ST / 23RD ST,-122.418596727459,37.7538382048501,POINT (-122.418596727459 37.7538382048501),53.0,3,2,20,2,4,7,28859.0,19,,,,3.0,,,2,,,3.0,,53.0
