pdid,incidntnum,incident_code,category,descript,dayofweek,date,time,pddistrict,resolution,address,x,y,location,:@computed_region_6qbp_sg9q,:@computed_region_qgnn_b9vv,:@computed_region_26cr_cadq,:@computed_region_ajp5_b2md,:@computed_region_yftq_j783,:@computed_region_p5aj_wyqh,:@computed_region_rxqg_mtj9,:@computed_region_bh8s_q3mv,:@computed_region_fyvs_ahh9,:@computed_region_9dfj_4gjx,:@computed_region_n4xg_c4py,:@computed_region_4isq_27mq,:@computed_region_fcz8_est8,:@computed_region_pigm_ib2e,:@computed_region_9jxd_iqea,:@computed_region_6pnf_4xz7,:@computed_region_6ezc_tdp2,:@computed_region_h4ep_8xdi,:@computed_region_nqbw_i6c3,:@computed_region_2dwj_jsy4,:@computed_region_jwn9_ihcz
4127170768020,41271707,68020,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Saturday,2004-11-06T00:00:00.000,18:52,TENDERLOIN,NONE,JONES ST / TURK ST,-122.412414263588,37.7830037964305,POINT (-122.412414263588 37.7830037964305),20.0,5.0,10.0,36.0,7.0,10.0,9.0,28852.0,36.0,17.0,1.0,18.0,1.0,18.0,6.0,2.0,1.0,1.0,1.0,,20.0
5140005904134,51400059,4134,ASSAULT,BATTERY,Tuesday,2005-12-13T00:00:00.000,11:20,SOUTHERN,NONE,800 Block of BRYANT ST,-122.403404791479,37.775420706711,POINT (-122.40340479147902 37.775420706711),32.0,1.0,10.0,34.0,14.0,2.0,9.0,28853.0,34.0,,,,,,,2.0,,,,,32.0
8051530806241,80515308,6241,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Friday,2008-05-16T00:00:00.000,20:35,SOUTHERN,NONE,2ND ST / BRYANT ST,-122.393622739343,37.7830791191471,POINT (-122.393622739343 37.7830791191471),32.0,1.0,10.0,8.0,6.0,2.0,9.0,28856.0,6.0,,,,,,,1.0,,,,,32.0
5102185905051,51021859,5051,BURGLARY,"BURGLARY OF STORE, FORCIBLE ENTRY",Saturday,2005-09-10T00:00:00.000,15:18,BAYVIEW,NONE,100 Block of LOOMIS ST,-122.405235331357,37.7406551031553,POINT (-122.40523533135702 37.7406551031553),82.0,2.0,9.0,1.0,10.0,3.0,8.0,58.0,1.0,,,,,,,1.0,,,,,82.0
3142315664070,31423156,64070,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Saturday,2003-12-06T00:00:00.000,12:14,SOUTHERN,NONE,200 Block of 9TH ST,-122.412845031536,37.7748170645635,POINT (-122.41284503153598 37.77481706456351),32.0,1.0,10.0,34.0,8.0,2.0,9.0,28853.0,34.0,,1.0,,1.0,,,2.0,,,1.0,,32.0
4054426219057,40544262,19057,ASSAULT,THREATS AGAINST LIFE,Wednesday,2004-05-12T00:00:00.000,11:25,SOUTHERN,DISTRICT ATTORNEY REFUSES TO PROSECUTE,10TH ST / STEVENSON ST,-122.416918270667,37.7760771059734,POINT (-122.41691827066701 37.7760771059734),32.0,5.0,10.0,34.0,8.0,2.0,9.0,28853.0,34.0,,1.0,,1.0,,7.0,2.0,1.0,1.0,1.0,,32.0
4118757405083,41187574,5083,BURGLARY,"BURGLARY, HOT PROWL, UNLAWFUL ENTRY",Sunday,2004-10-17T00:00:00.000,06:45,INGLESIDE,NONE,100 Block of FOERSTER ST,-122.448783090532,37.7294855168485,POINT (-122.448783090532 37.7294855168485),95.0,9.0,8.0,41.0,9.0,7.0,4.0,28861.0,40.0,,,,,,,1.0,,,,,95.0
11009537506304,110095375,6304,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Monday,2011-01-31T00:00:00.000,15:30,TARAVAL,NONE,1300 Block of LA PLAYA ST,-122.509134839191,37.7611977677632,POINT (-122.509134839191 37.7611977677632),39.0,10.0,7.0,35.0,1.0,8.0,3.0,56.0,35.0,,,,,,,1.0,,,,,39.0
10078208764085,100782087,64085,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Wednesday,2010-08-25T00:00:00.000,14:50,MISSION,NONE,3100 Block of 16TH ST,-122.423637302048,37.7648666651043,POINT (-122.423637302048 37.7648666651043),37.0,3.0,5.0,20.0,8.0,4.0,5.0,28853.0,19.0,,,,,,,2.0,,,,,37.0
9050916919065,90509169,19065,LOITERING,BEGGING,Saturday,2009-05-16T00:00:00.000,12:48,TARAVAL,"ARREST, CITED",19TH AV / WINSTON DR,-122.474899151688,37.7269905309861,POINT (-122.474899151688 37.7269905309861),41.0,10.0,8.0,41.0,9.0,8.0,4.0,64.0,40.0,,,,,,,1.0,,,,,41.0
