pdid,incidntnum,incident_code,category,descript,dayofweek,date,time,pddistrict,resolution,address,x,y,location,:@computed_region_6qbp_sg9q,:@computed_region_qgnn_b9vv,:@computed_region_26cr_cadq,:@computed_region_ajp5_b2md,:@computed_region_yftq_j783,:@computed_region_p5aj_wyqh,:@computed_region_rxqg_mtj9,:@computed_region_bh8s_q3mv,:@computed_region_fyvs_ahh9,:@computed_region_9dfj_4gjx,:@computed_region_n4xg_c4py,:@computed_region_4isq_27mq,:@computed_region_fcz8_est8,:@computed_region_pigm_ib2e,:@computed_region_9jxd_iqea,:@computed_region_6pnf_4xz7,:@computed_region_6ezc_tdp2,:@computed_region_h4ep_8xdi,:@computed_region_nqbw_i6c3,:@computed_region_2dwj_jsy4,:@computed_region_jwn9_ihcz
4091088903014,40910889,3014,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Tuesday,2004-08-10T00:00:00.000,16:40,BAYVIEW,NONE,1500 Block of LA SALLE AV,-122.386304220968,37.7349050342849,POINT (-122.386304220968 37.73490503428491),86.0,2.0,9,1,10.0,3.0,8,58.0,1,,,,,,,2,,,,,86.0
7074725407023,70747254,7023,VEHICLE THEFT,STOLEN MOTORCYCLE,Sunday,2007-07-22T00:00:00.000,17:00,PARK,NONE,0 Block of DELMAR ST,-122.445798079616,37.768224666159,POINT (-122.445798079616 37.768224666159),25.0,7.0,11,3,15.0,5.0,11,29492.0,9,,,,,,,1,,,,,25.0
8013558606244,80135586,6244,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,2008-02-07T00:00:00.000,20:30,NORTHERN,NONE,1700 Block of BROADWAY ST,-122.425905234189,37.7954736338658,POINT (-122.425905234189 37.7954736338658),102.0,4.0,6,30,13.0,9.0,1,28858.0,27,,,,,,,1,,,,,102.0
10105757065010,101057570,65010,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Sunday,2010-11-14T00:00:00.000,10:38,PARK,"ARREST, BOOKED",HAIGHT ST / STANYAN ST,-122.45353456066,37.7691662978052,POINT (-122.45353456066 37.7691662978052),9.0,7.0,11,3,11.0,5.0,11,29492.0,9,22.0,,24.0,,25.0,,1,,,,,9.0
3145022864070,31450228,64070,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Saturday,2003-12-13T00:00:00.000,17:45,MISSION,NONE,1000 Block of POTRERO AV,-122.406539115148,37.7564864109309,POINT (-122.40653911514798 37.7564864109309),54.0,3.0,9,20,10.0,4.0,8,28859.0,19,23.0,,10.0,3.0,10.0,,2,,,3.0,,54.0
3028381262050,30283812,62050,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Saturday,2003-03-08T00:00:00.000,14:16,MISSION,"ARREST, BOOKED",18TH ST / VALENCIA ST,-122.421581681378,37.7617007179563,POINT (-122.421581681378 37.76170071795631),37.0,3.0,5,20,2.0,4.0,5,28859.0,19,,,,3.0,,,1,,,3.0,,37.0
8061526527100,80615265,27100,DISORDERLY CONDUCT,MAINTAINING A PUBLIC NUISANCE,Thursday,2008-06-12T00:00:00.000,12:49,SOUTHERN,"ARREST, BOOKED",MISSION ST / SOUTH VAN NESS AV,-122.418618953339,37.7730525547653,POINT (-122.418618953339 37.7730525547653),32.0,1.0,10,20,8.0,2.0,9,28853.0,19,,1.0,,1.0,,,2,,,1.0,,32.0
12064591009150,120645910,9150,FORGERY/COUNTERFEITING,"FORGERY, NOTES",Tuesday,2012-08-14T00:00:00.000,17:25,SOUTHERN,NONE,1500 Block of MARKET ST,-122.419666717917,37.7746823329875,POINT (-122.41966671791698 37.7746823329875),32.0,1.0,10,20,8.0,2.0,9,28853.0,19,,1.0,,1.0,,8.0,2,1.0,1.0,1.0,,32.0
11072825316626,110728253,16626,DRUG/NARCOTIC,TRANSPORTATION OF COCAINE,Saturday,2011-09-10T00:00:00.000,13:45,CENTRAL,"ARREST, BOOKED",1400 Block of CALIFORNIA ST,-122.418239272625,37.7909332313364,POINT (-122.41823927262502 37.79093323133641),16.0,6.0,3,21,5.0,1.0,10,28858.0,21,,,,,,,1,,,,,16.0
9602389806244,96023898,6244,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,2009-03-25T00:00:00.000,18:00,NORTHERN,NONE,700 Block of EDDY ST,-122.420004126989,37.7829415360009,POINT (-122.420004126989 37.7829415360009),20.0,4.0,10,36,7.0,9.0,9,28852.0,36,,1.0,,,,,2,1.0,1.0,,,20.0
