pdid,incidntnum,incident_code,category,descript,dayofweek,date,time,pddistrict,resolution,address,x,y,location,:@computed_region_6qbp_sg9q,:@computed_region_qgnn_b9vv,:@computed_region_26cr_cadq,:@computed_region_ajp5_b2md,:@computed_region_yftq_j783,:@computed_region_p5aj_wyqh,:@computed_region_rxqg_mtj9,:@computed_region_bh8s_q3mv,:@computed_region_fyvs_ahh9,:@computed_region_9dfj_4gjx,:@computed_region_n4xg_c4py,:@computed_region_4isq_27mq,:@computed_region_fcz8_est8,:@computed_region_pigm_ib2e,:@computed_region_9jxd_iqea,:@computed_region_6pnf_4xz7,:@computed_region_6ezc_tdp2,:@computed_region_h4ep_8xdi,:@computed_region_nqbw_i6c3,:@computed_region_2dwj_jsy4,:@computed_region_jwn9_ihcz
4044896507055,40448965,7055,VEHICLE THEFT,RECOVERED VEHICLE - STOLEN OUTSIDE SF,Monday,2004-04-19T00:00:00.000,18:53,INGLESIDE,NONE,600 Block of ATHENS ST,-122.431435918283,37.717766627246,POINT (-122.431435918283 37.717766627246),90.0,9.0,1,7,9.0,7.0,6,28861,5,,,,,,,2,,,,,90.0
9056043406243,90560434,6243,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Sunday,2009-05-31T00:00:00.000,05:45,NORTHERN,"ARREST, BOOKED",1600 Block of SACRAMENTO ST,-122.420052444419,37.7915436932136,POINT (-122.420052444419 37.7915436932136),105.0,4.0,3,21,13.0,9.0,10,28858,21,,,,,,,1,,,,,105.0
10059710926150,100597109,26150,OTHER OFFENSES,PAROLE VIOLATION,Tuesday,2010-06-29T00:00:00.000,08:34,MISSION,"ARREST, BOOKED",2000 Block of MARKET ST,-122.426955631709,37.769247063207,POINT (-122.426955631709 37.769247063207),28.0,3.0,5,5,7.0,4.0,5,28862,3,18.0,,20.0,5.0,20.0,9.0,1,,,5.0,,28.0
11604649928150,116046499,28150,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Sunday,2011-04-10T00:00:00.000,18:30,MISSION,NONE,15TH ST / SOUTH VAN NESS AV,-122.417647884705,37.7668053842905,POINT (-122.417647884705 37.7668053842905),53.0,3.0,2,20,8.0,4.0,7,28853,19,12.0,,14.0,3.0,14.0,,2,,,3.0,,53.0
13060772805014,130607728,5014,BURGLARY,"BURGLARY, VEHICLE (ARREST MADE)",Wednesday,2013-07-24T00:00:00.000,00:16,CENTRAL,"ARREST, BOOKED",800 Block of GEARY ST,-122.417295322526,37.7862578545865,POINT (-122.41729532252602 37.7862578545865),50.0,6.0,10,36,13.0,1.0,9,28858,36,,,,,,,2,,,,,50.0
7056271707025,70562717,7025,VEHICLE THEFT,STOLEN TRUCK,Sunday,2007-06-03T00:00:00.000,03:00,MISSION,NONE,22ND ST / FAIROAKS ST,-122.424289602669,37.7551051184234,POINT (-122.424289602669 37.7551051184234),52.0,3.0,5,20,2.0,4.0,5,28859,19,,,,,,,1,,,,,52.0
13083320211012,130833202,11012,STOLEN PROPERTY,"STOLEN PROPERTY, POSSESSION WITH KNOWLEDGE, RECEIVING",Friday,2013-09-27T00:00:00.000,16:00,NORTHERN,"ARREST, BOOKED",OCTAVIA ST / LILY ST,-122.424144299156,37.7743414500734,POINT (-122.424144299156 37.7743414500734),26.0,4.0,11,9,7.0,9.0,11,28852,10,,,,,,,1,,,,,26.0
8038386064080,80383860,64080,SUSPICIOUS OCC,SUSPICIOUS PERSON,Saturday,2008-04-12T00:00:00.000,23:15,RICHMOND,NONE,800 Block of 39TH AV,-122.49918056986,37.7728034161411,POINT (-122.49918056986002 37.7728034161411),8.0,8.0,4,29,11.0,6.0,2,55,26,,,,,,,1,,,,2.0,8.0
3132673215150,31326732,15150,OTHER OFFENSES,VIOLATION OF RESTRAINING ORDER,Tuesday,2003-11-11T00:00:00.000,19:02,TENDERLOIN,"ARREST, BOOKED",0 Block of ELLIS ST,-122.406850401437,37.7855610975205,POINT (-122.406850401437 37.7855610975205),19.0,6.0,3,8,14.0,10.0,10,28852,6,,,,,,5.0,2,,,,,19.0
6080905264070,60809052,64070,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Monday,2006-07-31T00:00:00.000,12:00,MISSION,LOCATED,400 Block of GUERRERO ST,-122.424146866925,37.763953010283,POINT (-122.42414686692501 37.763953010283),37.0,3.0,5,20,8.0,4.0,5,28859,19,,,,,,,2,,,,,37.0
