pdid,incidntnum,incident_code,category,descript,dayofweek,date,time,pddistrict,resolution,address,x,y,location,:@computed_region_6qbp_sg9q,:@computed_region_qgnn_b9vv,:@computed_region_26cr_cadq,:@computed_region_ajp5_b2md,:@computed_region_yftq_j783,:@computed_region_p5aj_wyqh,:@computed_region_rxqg_mtj9,:@computed_region_bh8s_q3mv,:@computed_region_fyvs_ahh9,:@computed_region_9dfj_4gjx,:@computed_region_n4xg_c4py,:@computed_region_4isq_27mq,:@computed_region_fcz8_est8,:@computed_region_pigm_ib2e,:@computed_region_9jxd_iqea,:@computed_region_6pnf_4xz7,:@computed_region_6ezc_tdp2,:@computed_region_h4ep_8xdi,:@computed_region_nqbw_i6c3,:@computed_region_2dwj_jsy4,:@computed_region_jwn9_ihcz
16611435306244,166114353,6244,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,2016-05-21T00:00:00.000,14:00,CENTRAL,NONE,0 Block of JACKSON ST,-122.39773568046247,37.79711214773637,POINT (-122.39773568046249 37.797112147736364),77.0,6.0,3,8,3.0,1,10,28860,6,,,,,,,1,,,,,77.0
17096464165016,170964641,65016,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Tuesday,2017-11-28T00:00:00.000,08:01,NORTHERN,"ARREST, BOOKED",DUBOCE AV / STEINER ST,-122.43157140936262,37.7693057403579,POINT (-122.43157140936262 37.7693057403579),28.0,7.0,5,5,15.0,5,5,28862,3,18.0,,20.0,,20.0,,1,,,5.0,,28.0
17065809865015,170658098,65015,OTHER OFFENSES,TRAFFIC VIOLATION,Saturday,2017-08-12T00:00:00.000,23:14,INGLESIDE,"ARREST, BOOKED",GENEVA AV / ALEMANY BL,-122.44232661421768,37.71783531455705,POINT (-122.44232661421768 37.71783531455705),80.0,9.0,1,28,9.0,7,6,28861,25,,,,,,,2,,,,,80.0
16050014216652,160500142,16652,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE FOR SALE,Monday,2016-06-20T00:00:00.000,10:50,INGLESIDE,"ARREST, BOOKED",200 Block of THERESA ST,-122.43591698470368,37.72983713412084,POINT (-122.43591698470368 37.729837134120835),94.0,9.0,1,28,9.0,7,6,28861,25,,,,,,,1,,,,,94.0
17061634719057,170616347,19057,ASSAULT,THREATS AGAINST LIFE,Saturday,2017-07-29T00:00:00.000,11:00,TENDERLOIN,NONE,100 Block of TAYLOR ST,-122.4107916776447,37.78369522697492,POINT (-122.4107916776447 37.78369522697492),20.0,5.0,10,36,14.0,10,9,28852,36,17.0,1.0,18.0,,18.0,6.0,2,1.0,1.0,,,20.0
17087325272000,170873252,72000,NON-CRIMINAL,FOUND PROPERTY,Saturday,2017-10-21T00:00:00.000,17:00,CENTRAL,NONE,200 Block of CHESTNUT ST,-122.40755027059524,37.80440837677806,POINT (-122.40755027059524 37.80440837677806),18.0,6.0,3,23,3.0,1,10,308,23,,,,,,,1,,,,,18.0
16011179906362,160111799,6362,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Sunday,2016-02-07T00:00:00.000,10:55,TARAVAL,NONE,200 Block of WESTPORTAL AV,-122.46811749981516,37.738900014484486,POINT (-122.46811749981516 37.738900014484486),46.0,10.0,8,41,1.0,8,4,59,40,,,,,,,1,,,,,46.0
17085372128160,170853721,28160,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Wednesday,2017-10-18T00:00:00.000,19:10,INGLESIDE,"ARREST, BOOKED",300 Block of BRAZIL AV,-122.43206063077284,37.72330777172393,POINT (-122.43206063077284 37.72330777172393),90.0,9.0,1,7,9.0,7,6,28861,5,,,,,,,2,,,,,90.0
17013972503014,170139725,3014,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Saturday,2017-02-18T00:00:00.000,10:10,PARK,"ARREST, BOOKED",FULTON ST / MASONIC AV,-122.4464726790052,37.77580159439119,POINT (-122.44647267900521 37.77580159439119),12.0,7.0,11,18,15.0,5,11,29492,16,,,,,,,1,,,,,12.0
16007894571024,160078945,71024,NON-CRIMINAL,"STAY AWAY OR COURT ORDER, NON-DV RELATED",Friday,2016-01-15T00:00:00.000,18:45,NORTHERN,NONE,600 Block of POLK ST,-122.41902096434852,37.782652976076974,POINT (-122.41902096434852 37.782652976076974),20.0,4.0,10,36,7.0,9,9,28852,36,,1.0,,,,,2,1.0,1.0,,,20.0
