"release_date","date_id"
"1994-09-23",1
"1972-03-14",2
"1974-12-20",3
"1993-12-15",4
"1957-04-10",5
"2001-07-20",6
"1995-10-20",7
"2008-07-16",8
"2019-05-30",9
"1999-12-10",10
"1994-09-10",11
"2016-08-26",12
"2003-12-17",13
"1994-06-23",14
"2021-06-17",15
"1990-09-12",16
"1966-12-22",17
"1954-04-26",18
"1988-04-16",19
"1988-11-17",20
"1997-12-20",21
