industry_description,number_of_establishments_all_employment_sizes_2015,number_of_establishments_total_employment_of_20_and_over_2015,number_of_establishments_total_employment_of_less_than_20_2015,employment_all_employment_sizes_2015,employment_total_employment_of_20_and_over_2015,employment_total_employment_of_less_than_20_2015,paid_employees_all_employment_sizes_2015,paid_employees_total_employment_of_20_and_over_2015,paid_employees_total_employment_of_less_than_20_2015,income_all_employment_sizes_2015,income_total_employment_of_20_and_over_2015,income_total_employment_of_less_than_20_2015,expense_all_employment_sizes_2015,expense_total_employment_of_20_and_over_2015,expense_total_employment_of_less_than_20_2015,compensation_all_employment_sizes_2015,compensation_total_employment_of_20_and_over_2015,compensation_total_employment_of_less_than_20_2015,other_expense_all_employment_sizes_2015,other_expense_total_employment_of_20_and_over_2015,other_expense_total_employment_of_less_than_20_2015,gross_margin_all_employment_sizes_2015,gross_margin_total_employment_of_20_and_over_2015,gross_margin_total_employment_of_less_than_20_2015,value_added_all_employment_sizes_2015,value_added_total_employment_of_20_and_over_2015,value_added_total_employment_of_less_than_20_2015,gross_additions_to_tangible_fixed_assets_all_employment_sizes_2015,gross_additions_to_tangible_fixed_assets_total_employment_of_20_and_over_2015,gross_additions_to_tangible_fixed_assets_total_employment_of_less_than_20_2015,change_in_inventories_all_employment_sizes_2015,change_in_inventories_total_employment_of_20_and_over_2015,change_in_inventories_total_employment_of_less_than_20_2015,subsidies_all_employment_sizes_2015,subsidies_total_employment_of_20_and_over_2015,subsidies_total_employment_of_less_than_20_2015,sales_from_e-commerce_transactions_all_employment_sizes_2015,sales_from_e-commerce_transactions_total_employment_of_20_and_over_2015,sales_from_e-commerce_transactions_total_employment_of_less_than_20_2015
"Retail sale of marine supplies, including nets and gears",73,3,70,363,74,289,363,74,289,579848,269228,310620,553952,258096,295856,56017,13828,42189,497935,244268,253667,129035,30104,98931,94570,26927,67643,7598,226,7372,7605,-3119,10724,0,0,0,0,0,0
Retail sale of camping goods and bicycles,177,0,176,2114,0,2092,2114,0,2092,1569422,0,1566212,1522779,0,1519579,216055,0,214900,1306725,0,1304679,533740,0,532966,381210,0,379749,0,0,0,-771088,0,-772426,0,0,0,0,0,0
Retail sale of games and toys in specialized stores,135,7,128,716,258,458,716,258,458,2464070,1068322,1395748,2336085,1009056,1327029,140696,42720,97976,2195389,966336,1229052,664212,297701,366511,330753,128023,202730,0,0,0,-10137,1953,-12090,0,0,0,0,0,0
"Retail sale of wearing apparel, except footwear",8095,338,7757,44828,11164,33664,44802,11138,33664,74260984,17671082,56589902,66597400,16990778,49606622,5636672,1224815,4411857,60960728,15765963,45194765,24748442,5736431,19012010,15028554,2518203,12510351,772198,191045,581153,55004,694317,-639313,0,0,0,0,0,0
Retail sale of made-up textile goods,47,0,45,353,0,289,353,0,289,620592,0,412544,561472,0,365832,25608,0,17422,535865,0,348411,144841,0,104756,104170,0,80027,0,0,0,45312,0,44237,0,0,0,0,0,0
"Retail sale of footwear, all kinds",2319,59,2260,15708,2620,13088,15253,2613,12640,33630931,7275372,26355559,32452163,7138944,25313219,2667161,569110,2098052,29785001,6569834,23215167,10762103,2257646,8504457,5113210,896631,4216579,395017,25076,369942,417239,144502,272737,0,0,0,0,0,0
"Retail sale of leather and artificial leather goods and travel accessories, except footwear",329,3,326,1446,188,1258,1446,188,1258,3160895,364432,2796463,3077945,341322,2736624,307831,40785,267046,2770115,300536,2469578,1033600,122430,911170,448653,73481,375172,0,0,0,-29732,20180,-49912,0,0,0,0,0,0
"Retail sale of other clothing, footwear and leather articles in specialized stores, n.e.c.",385,19,366,1919,827,1093,1900,808,1093,6151721,4492027,1659694,5784181,4155078,1629103,397272,194195,203077,5386909,3960883,1426026,1766390,1108933,657457,994218,627819,366399,146258,2754,143504,-61451,-190264,128813,0,0,0,0,0,0
Retail sale of drugs and pharmaceutical goods,6475,321,6154,42410,10359,32051,40854,10342,30511,164553493,66052987,98500506,160733750,65077692,95656058,9358484,3341569,6016915,151375266,61736124,89639143,24024963,10106989,13917973,14979886,5145041,9834845,264054,158638,105417,2520552,1006254,1514298,0,0,0,0,0,0
"Retail sale of medical, surgical and orthopedic goods/instruments and dental supplies",308,26,282,2469,983,1486,2469,983,1486,7630907,4124181,3506727,6972860,3968320,3004540,461028,197306,263721,6511832,3771013,2740818,2264403,1098623,1165780,1266389,424696,841693,5441,3798,1643,480562,-148073,628635,0,0,0,21962,21962,0
"Retail sale of perfumery, cosmetic and toilet articles",1445,42,1403,10160,2507,7653,10128,2505,7623,41530513,8969041,32561471,34307631,8141887,26165744,1540068,444279,1095789,32767564,7697608,25069955,13189045,2191444,10997600,9332088,1403552,7928536,170861,37974,132887,524245,40034,484211,0,0,0,0,0,0
"Retail sale of feeds, fertilizers and insecticides",2688,36,2652,13461,1489,11972,10076,1489,8587,27716174,7436356,20279818,26687193,7217333,19469860,997735,232880,764855,25689458,6984454,18705005,3257559,824068,2433492,2278884,533812,1745072,170069,153442,16627,156112,109045,47067,0,0,0,0,0,0
Retail sale of gifts and novelty goods,807,28,779,7944,971,6973,7687,971,6716,16096702,2933426,13163276,15199452,2573550,12625902,879969,179165,700804,14319483,2394385,11925098,4378410,854727,3523683,2033310,582607,1450703,66733,17002,49731,356300,72224,284076,0,0,0,0,0,0
"Retail sale of office machines and equipment, excluding computers and computer peripheral equipment",144,12,132,1370,480,889,1370,480,889,3306076,1648822,1657254,2992753,1519599,1473154,297445,131751,165694,2695308,1387848,1307460,958482,495004,463478,695855,333815,362041,3424,0,3424,45424,5263,40161,0,0,0,0,0,0
"Retail sale of jewelry, watches and clocks",1332,23,1309,5681,622,5059,5681,622,5059,19807970,1815328,17992642,18936516,1681580,17254936,1186021,140936,1045084,17750495,1540644,16209852,4314030,511401,3802629,2308877,296413,2012464,37471,13894,23577,-19321,90855,-110175,0,0,0,28031,28031,0
Retail sale of fresh and artificial flowers and plants,310,4,306,2021,94,1927,1953,94,1859,1411803,95879,1315924,1329369,91893,1237476,253471,8649,244822,1075898,83244,992654,538875,30111,508763,393402,18686,374716,0,0,0,-13110,1876,-14986,0,0,0,0,0,0
Retail sale of beauty parlor supplies and equipment,275,7,268,1620,304,1316,1620,304,1316,2098516,913378,1185138,1958793,809837,1148955,112537,25895,86642,1846256,783942,1062314,404633,136243,268390,317899,131071,186828,0,0,0,-590,7518,-8108,0,0,0,0,0,0
"Retail sale of art goods, marble products, painting and artists' supplies",194,8,186,1034,380,654,977,380,597,1611302,509077,1102225,1516749,485552,1031198,169193,60926,108268,1347556,424626,922930,542316,122451,419865,297706,99139,198567,31874,14594,17280,-2155,1840,-3995,0,0,0,0,0,0
Retail sale of optical goods and supplies,377,14,363,2331,646,1685,2331,646,1685,2628251,961797,1666453,2556013,925617,1630396,316948,94246,222702,2239065,831371,1407694,829709,297511,532198,448373,151772,296601,331,331,0,101320,28202,73117,0,0,0,0,0,0
"Other retail sale of new goods in specialized stores, n.e.c.",1640,26,1614,10730,1235,9496,9411,1235,8176,9281136,3090056,6191079,8694677,2877281,5817396,1006088,208028,798060,7688589,2669253,5019336,2466774,621770,1845005,1804422,494357,1310065,317347,23234,294112,-54608,21725,-76334,0,0,0,0,0,0
"Retail sale of second-hand clothing, footwear and leather articles",842,0,841,4014,0,3993,3337,0,3316,1416939,0,1364732,1376602,0,1330508,229998,0,225853,1146604,0,1104655,484399,0,463198,302255,0,291150,2208,0,2149,53904,0,52748,0,0,0,0,0,0
Retail sale of books and other goods,35,0,33,283,0,160,283,0,160,358573,0,289575,351318,0,283967,32666,0,21475,318652,0,262492,107402,0,80901,54709,0,39059,5772,0,0,207,0,-1147,0,0,0,0,0,0
Retail sale of antiques and auctioning houses,22,0,22,121,0,121,121,0,121,143430,0,143430,136935,0,136935,18118,0,18118,118817,0,118817,39349,0,39349,28205,0,28205,12951,0,12951,10051,0,10051,0,0,0,0,0,0
"Retail sale of second-hand goods, n.e.c.",324,8,316,1289,368,921,1289,368,921,1244702,967172,277530,1182550,911728,270822,106172,58454,47718,1076378,853274,223104,396101,296624,99477,215351,149117,66234,0,0,0,20483,29040,-8556,0,0,0,0,0,0
Retail sale of liquefied petroleum gas and other fuel products,1591,68,1523,9719,2678,7041,9415,2647,6768,34797299,11648705,23148594,33151658,11029809,22121848,876415,315484,560930,32275243,10714325,21560918,4188642,1349713,2838929,2787348,1047257,1740092,97819,71149,26670,-148687,82550,-231237,0,0,0,0,0,0
Retail sale via internet,10,0,8,360,0,60,360,0,60,1275303,0,211278,1269014,0,179268,101403,0,10495,1167611,0,168773,229107,0,61316,145268,0,46541,0,0,0,113926,0,66323,0,0,0,1010585,0,0
Door-to-door retailing,23,0,22,131,0,107,131,0,107,403575,0,370420,311986,0,279232,19331,0,14553,292655,0,264679,138979,0,124767,114214,0,108085,3418,0,2632,4008,0,5106,0,0,0,0,0,0
Selling by vending machine,4,0,0,318,0,0,318,0,0,967495,0,0,940056,0,0,65511,0,0,874544,0,0,198086,0,0,112537,0,0,35792,0,0,65970,0,0,0,0,0,0,0,0
"Retail sale of health products, non-store",317,7,310,1477,240,1237,1403,240,1163,3039097,382201,2656896,2792765,363989,2428776,158239,43712,114527,2634526,320277,2314249,940898,125145,815753,475124,83222,391902,7706,621,7086,4878,7645,-2767,0,0,0,0,0,0
Retail sale of water (including distribution),24,0,23,99,0,65,99,0,65,47152,0,29023,42581,0,26139,7445,0,4060,35136,0,22079,17509,0,10457,13587,0,7980,0,0,0,4475,0,2585,0,0,0,0,0,0
"Other retail sale not in stores, stalls or markets, n.e.c",44,4,40,238,120,118,238,120,118,522506,392063,130443,496186,365955,130231,72534,46443,26091,423652,319512,104140,116598,75994,40603,109877,82215,27662,1809,1809,0,7463,13768,-6305,0,0,0,0,0,0
